chrstrandcoord,gene,shoot1,shoot2,shoot3,stem_60days1,stem_60days2,stem_60days3,root_5days1,root_5days2,root_5days3,anther1,anther2,anther3
Chr2-17254219,LOC_Os02g29130,4,0,1,0,1,1,3,0,0,1,0,0
Chr2+18712002,LOC_Os02g31220,79,72,83,105,74,95,67,71,65,65,79,73
Chr2+18711652,LOC_Os02g31220,5,6,17,19,35,17,22,17,9,13,14,6
Chr2+18706759,LOC_Os02g31220,1,0,0,0,2,2,0,1,1,1,1,0
Chr2+18712273,LOC_Os02g31220,16,22,15,20,3,20,18,18,18,9,6,13
Chr2+18711507,LOC_Os02g31220,0,1,0,2,2,2,0,0,1,0,0,1
Chr2+18711396,LOC_Os02g31220,0,3,1,3,2,4,1,4,2,0,1,2
Chr2-18889903,LOC_Os02g31960,8,7,14,3,5,12,10,8,9,11,5,18
Chr2-18889982,LOC_Os02g31960,5,6,0,6,9,0,6,5,7,5,5,5
Chr2-19309755,LOC_Os02g32590,7,6,17,42,29,34,2,4,2,114,132,101
Chr2-19309512,LOC_Os02g32590,0,0,0,0,0,0,0,0,0,1,6,5
Chr2-19312149,LOC_Os02g32590,0,1,2,1,0,1,2,0,1,6,7,7
Chr2-19406144,LOC_Os02g32690,0,1,1,1,2,1,0,0,2,0,0,0
Chr2-19415539,LOC_Os02g32690,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-19405398,LOC_Os02g32690,0,0,1,0,0,0,29,24,24,0,0,0
Chr2-19405267,LOC_Os02g32690,1,1,2,0,0,0,10,12,13,0,0,0
Chr2-19406584,LOC_Os02g32690,0,1,0,1,0,0,8,12,7,0,0,0
Chr2-19406282,LOC_Os02g32690,1,0,1,0,0,1,1,1,1,0,0,0
Chr2-19405538,LOC_Os02g32690,1,8,15,0,0,0,37,63,29,0,0,0
Chr2-21411357,LOC_Os02g35590,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-21410581,LOC_Os02g35590,0,0,1,1,1,1,4,8,2,2,0,1
Chr2-21410854,LOC_Os02g35590,126,129,118,224,221,234,86,93,102,61,47,60
Chr2+21417192,LOC_Os02g35600,79,104,89,119,122,115,62,63,46,81,82,83
Chr2+21414776,LOC_Os02g35600,3,0,0,0,0,0,0,0,0,0,0,0
Chr2+21417451,LOC_Os02g35600,0,1,1,5,4,1,0,0,0,1,0,1
Chr2+21414661,LOC_Os02g35600,0,0,0,0,1,0,1,1,1,0,2,0
Chr2-22365525,LOC_Os02g37030,0,0,0,0,1,0,0,0,0,1,0,0
Chr2-22365434,LOC_Os02g37030,49,43,46,109,99,86,20,35,17,50,51,53
Chr2-22365325,LOC_Os02g37030,75,69,65,97,99,99,48,49,46,65,74,55
Chr2-23768598,LOC_Os02g39384,0,0,0,0,0,0,1,0,0,0,0,0
Chr2-23768788,LOC_Os02g39384,0,0,0,1,1,1,0,0,0,0,0,0
Chr2-23768996,LOC_Os02g39384,0,0,0,0,0,0,3,0,3,0,0,0
Chr2-24976333,LOC_Os02g41630,1,0,0,0,0,0,0,0,0,1,1,0
Chr2-24973449,LOC_Os02g41630,8704,7994,8252,12065,11514,11477,11145,11593,11132,219,214,262
Chr2-24985293,LOC_Os02g41650,2844,2916,2962,2658,2690,2696,2829,2377,2714,398,402,411
Chr2-24989309,LOC_Os02g41650,11,12,10,1,1,1,10,10,9,0,2,4
Chr2-24988736,LOC_Os02g41650,76,58,76,10,11,10,36,43,45,1,0,0
Chr2-24984870,LOC_Os02g41650,2,2,2,0,1,1,0,2,1,1,1,0
Chr2-24985579,LOC_Os02g41650,16,11,15,1,3,5,21,18,39,6,4,0
Chr2-24988487,LOC_Os02g41650,32,28,29,0,6,1,5,6,7,0,1,0
Chr2-25252915,LOC_Os02g42020,5,6,9,0,0,0,3,4,3,1,1,1
Chr2-25250919,LOC_Os02g42020,1,6,9,0,0,1,4,2,3,0,0,0
Chr2-25243157,LOC_Os02g42020,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-25242586,LOC_Os02g42020,43,46,43,120,121,114,63,52,54,65,55,59
Chr2-25251004,LOC_Os02g42020,3,10,7,7,11,7,10,10,9,2,3,2
Chr2+25400795,LOC_Os02g42220,12,9,3,4,6,5,11,8,10,0,0,0
Chr2+25404079,LOC_Os02g42220,16,16,16,16,16,16,13,12,19,0,0,0
Chr2+25404328,LOC_Os02g42220,0,1,4,0,5,4,1,1,1,1,1,1
Chr2+25404210,LOC_Os02g42220,177,169,146,215,191,203,135,135,137,28,25,19
Chr2+26519762,LOC_Os02g43930,0,0,0,1,1,2,1,0,0,0,0,0
Chr2+26523221,LOC_Os02g43930,176,193,149,626,675,703,186,232,213,493,521,552
Chr2-26866894,LOC_Os02g44380,0,0,0,0,0,0,2,2,0,22,26,29
Chr2-26866526,LOC_Os02g44380,3,5,5,0,0,0,0,0,0,187,148,157
Chr2-26875346,LOC_Os02g44380,1,3,0,0,0,0,3,3,4,0,0,0
Chr2+27389105,LOC_Os02g45150,0,0,0,0,0,0,2,4,3,0,0,0
Chr2+27387494,LOC_Os02g45150,11,9,11,6,4,6,9,3,4,0,2,1
Chr2+27387677,LOC_Os02g45150,4,1,2,5,3,2,5,5,4,1,1,1
Chr2-28109647,LOC_Os02g46120,0,0,0,0,1,1,1,0,0,0,0,0
Chr2-28109106,LOC_Os02g46120,1,0,0,0,0,0,0,1,1,1,0,0
Chr2-28108635,LOC_Os02g46120,2,2,2,0,0,1,1,1,0,1,1,1
Chr2-28109791,LOC_Os02g46120,1,0,0,0,0,0,0,0,0,3,2,0
Chr2+28118869,LOC_Os02g46130,1,4,2,4,8,2,9,12,10,3,1,0
Chr2+28118978,LOC_Os02g46130,7,7,7,4,6,6,13,13,14,4,4,5
Chr2+28118684,LOC_Os02g46130,63,74,102,63,65,68,176,166,138,65,54,66
Chr2-28290012,LOC_Os02g46440,7,5,7,1,1,1,0,0,1,1,0,1
Chr2-28289764,LOC_Os02g46440,16,20,9,2,3,2,7,3,6,0,1,0
Chr2-28290945,LOC_Os02g46440,195,159,206,30,26,29,11,16,18,22,15,20
Chr2-28480797,LOC_Os02g46660,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-28480842,LOC_Os02g46660,0,0,0,0,0,1,0,0,0,0,0,0
Chr2-28480903,LOC_Os02g46660,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-28478685,LOC_Os02g46660,78,83,97,134,120,122,44,42,53,23,23,14
Chr2-29226666,LOC_Os02g47790,11,14,17,0,0,0,8,11,13,0,0,0
Chr2-29228191,LOC_Os02g47790,3,2,1,1,0,0,1,1,0,0,0,0
Chr2+29801902,LOC_Os02g48680,1,1,0,0,0,0,0,0,1,0,0,0
Chr2+29801621,LOC_Os02g48680,29,30,31,39,44,52,47,61,64,68,75,93
Chr2+30448040,LOC_Os02g49820,0,7,7,8,9,8,4,2,1,2,1,1
Chr2+30445332,LOC_Os02g49820,2,3,3,0,1,1,8,3,2,1,1,1
Chr2+30447973,LOC_Os02g49820,20,30,18,7,9,8,1,8,1,7,6,6
Chr2-31120619,LOC_Os02g50910,11,19,10,0,0,1,18,19,18,81,71,85
Chr2-31123299,LOC_Os02g50910,2,0,4,1,1,1,2,1,1,0,0,0
Chr2-31123156,LOC_Os02g50910,0,0,1,0,1,0,1,0,1,0,0,0
Chr2-31538242,LOC_Os02g51500,0,0,1,4,0,1,2,6,5,1,5,3
Chr2-31535365,LOC_Os02g51500,270,205,242,256,247,248,285,283,321,102,125,149
Chr2-31535306,LOC_Os02g51500,51,57,55,63,60,53,107,110,113,37,17,39
Chr2+32961389,LOC_Os02g53810,5,9,6,4,1,3,4,7,2,11,12,8
Chr2+32961350,LOC_Os02g53810,10,14,13,6,1,2,13,13,13,36,39,35
Chr2+33727675,LOC_Os02g55060,650,550,592,838,853,807,334,315,322,162,159,178
Chr2+33727915,LOC_Os02g55060,3,0,2,1,1,1,0,0,2,0,0,0
Chr2+33728174,LOC_Os02g55060,0,2,0,2,2,2,0,0,0,1,0,2
Chr2+33733905,LOC_Os02g55070,0,1,0,4,2,2,0,0,0,2,6,13
Chr2+33733819,LOC_Os02g55070,0,0,0,8,1,4,0,0,0,9,3,6
Chr2+33729982,LOC_Os02g55070,0,1,0,0,0,0,1,0,1,0,0,0
Chr2-34915930,LOC_Os02g56980,14,7,21,27,16,24,19,19,15,29,15,36
Chr2-34916000,LOC_Os02g56980,0,0,0,2,0,1,0,1,0,1,0,2
Chr2+35004795,LOC_Os02g57150,63,81,69,56,52,55,140,148,151,100,101,94
Chr2+35004132,LOC_Os02g57150,2,3,3,5,3,1,3,5,2,2,5,3
Chr2+35004918,LOC_Os02g57150,3,2,2,2,2,1,10,5,10,3,4,4
Chr2+35683362,LOC_Os02g58330,0,0,0,1,0,0,0,1,1,2,0,2
Chr2+35683539,LOC_Os02g58330,0,0,1,0,2,0,1,1,1,9,7,5
Chr2+35806327,LOC_Os02g58570,30,30,27,58,59,60,28,27,29,143,137,148
Chr2+35806783,LOC_Os02g58570,4,5,3,8,8,8,4,5,2,9,13,1
Chr3+263497,LOC_Os03g01350,2,7,4,2,2,2,3,2,4,16,15,13
Chr3+264263,LOC_Os03g01350,53,52,51,35,25,30,33,33,36,23,18,23
Chr3+263679,LOC_Os03g01350,1,0,0,2,1,0,0,0,0,0,0,1
Chr3+268702,LOC_Os03g01360,0,0,0,0,0,0,0,0,0,0,0,0
Chr3+272500,LOC_Os03g01360,1,0,4,4,3,4,1,0,0,0,0,1
Chr3+277286,LOC_Os03g01360,1,1,1,1,3,2,0,1,1,0,2,0
Chr3+272747,LOC_Os03g01360,11,5,3,6,15,7,4,3,4,0,2,0
Chr3+274944,LOC_Os03g01360,0,0,0,1,0,0,1,1,0,0,0,0
Chr3+274763,LOC_Os03g01360,48,43,37,54,54,58,22,26,29,9,9,10
Chr3+274995,LOC_Os03g01360,0,0,0,0,1,0,0,0,0,0,0,0
Chr3+270943,LOC_Os03g01360,0,0,0,1,2,1,0,0,0,1,1,1
Chr3+272581,LOC_Os03g01360,16,29,24,43,38,51,13,20,13,7,5,10
Chr3-356966,LOC_Os03g01570,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-356870,LOC_Os03g01570,86,79,77,90,95,94,34,34,35,44,44,47
Chr3-560631,LOC_Os03g01910,0,0,0,0,0,0,1,1,1,0,0,0
Chr3-560194,LOC_Os03g01910,0,3,1,0,1,0,7,7,5,1,1,0
Chr3-560399,LOC_Os03g01910,649,592,636,403,413,421,744,686,815,200,201,198
Chr3+909800,LOC_Os03g02480,0,0,0,0,0,0,0,0,0,0,0,0
Chr3+909945,LOC_Os03g02480,12,25,21,20,21,23,53,34,43,26,24,34
Chr3-1499663,LOC_Os03g03470,67,73,62,12,11,10,2,1,0,2,3,1
Chr3-1500269,LOC_Os03g03470,5,5,8,0,0,0,1,0,0,1,0,1
Chr3-1499971,LOC_Os03g03470,71,66,68,0,0,1,2,2,2,2,0,2
Chr3-1720577,LOC_Os03g03830,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-1720157,LOC_Os03g03830,137,134,127,146,135,152,170,169,104,89,83,92
Chr3+1833036,LOC_Os03g04020,195,164,170,1218,1064,1064,107,95,87,80,98,76
Chr3+1833109,LOC_Os03g04020,6,0,0,6,7,6,2,1,0,3,1,3
Chr3+1833465,LOC_Os03g04020,0,0,0,2,1,1,0,0,0,0,0,0
Chr3-1948391,LOC_Os03g04240,8,16,14,0,0,0,4,4,6,0,1,0
Chr3-1948315,LOC_Os03g04240,54,47,66,0,0,0,73,52,46,1,6,0
Chr3+2101873,LOC_Os03g04500,0,0,0,2,1,1,1,1,1,5,5,5
Chr3+2102000,LOC_Os03g04500,4,12,5,2,9,4,8,8,8,54,69,52
Chr3+2875165,LOC_Os03g05760,0,0,1,1,0,3,1,0,0,0,2,0
Chr3+2875336,LOC_Os03g05760,29,26,24,14,24,35,22,15,21,58,46,65
Chr3+2871223,LOC_Os03g05760,0,0,1,0,0,0,0,0,0,0,1,0
Chr3+2871081,LOC_Os03g05760,1,0,0,4,0,2,0,0,0,2,1,2
Chr3+3189514,LOC_Os03g06370,0,2,2,1,0,1,1,1,2,6,5,1
Chr3+3188701,LOC_Os03g06370,2,0,0,0,0,0,2,2,2,3,2,3
Chr3+3189326,LOC_Os03g06370,1,1,1,7,11,5,4,0,2,4,3,9
Chr3-3931613,LOC_Os03g07739,0,1,0,5,5,5,0,2,0,1,3,5
Chr3-3931348,LOC_Os03g07739,27,24,26,19,23,37,23,20,24,20,20,17
Chr3-3931235,LOC_Os03g07739,4,1,5,3,0,2,6,5,0,3,3,1
Chr3+3983476,LOC_Os03g07820,5,2,5,0,0,0,0,1,4,1,0,1
Chr3+3983550,LOC_Os03g07820,18,16,8,5,2,3,18,18,19,4,17,7
Chr3+3983387,LOC_Os03g07820,1,0,0,0,1,1,1,1,2,0,0,0
Chr3-4946381,LOC_Os03g09930,43,42,47,67,70,63,6,7,8,17,15,27
Chr3-4952855,LOC_Os03g09930,0,0,0,4,4,4,0,1,0,14,9,5
Chr3-4953231,LOC_Os03g09930,9,6,4,43,45,51,6,4,7,66,59,65
Chr3-5297912,LOC_Os03g10400,0,0,0,0,0,0,1,0,0,0,0,0
Chr3-5298414,LOC_Os03g10400,0,0,0,0,0,0,0,0,0,1,1,0
Chr3-5297295,LOC_Os03g10400,27,25,21,77,47,36,26,28,32,41,33,43
Chr3-5297655,LOC_Os03g10400,13,15,20,12,17,18,25,16,22,6,9,11
Chr3-5298441,LOC_Os03g10400,2,0,2,4,5,7,6,3,13,3,3,2
Chr3-5348422,LOC_Os03g10510,406,413,437,217,200,269,838,813,818,638,598,595
Chr3-5348097,LOC_Os03g10510,0,0,0,0,0,0,1,0,0,0,0,0
Chr3-5779675,LOC_Os03g11240,1,1,1,1,1,1,1,2,0,6,5,5
Chr3-5779638,LOC_Os03g11240,61,66,59,38,49,58,14,32,45,93,74,77
Chr3-7103254,LOC_Os03g13170,1,1,0,1,0,0,0,0,0,0,0,0
Chr3-7103455,LOC_Os03g13170,1,0,1,1,1,2,3,4,3,0,4,0
Chr3-7102176,LOC_Os03g13170,1102,1124,1206,1226,1184,1271,1664,1467,1818,281,293,293
Chr3-7101925,LOC_Os03g13170,0,0,0,2,1,4,1,4,0,0,2,2
Chr3-7103812,LOC_Os03g13170,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-7102010,LOC_Os03g13170,10,15,4,3,4,7,6,5,9,0,1,0
Chr3-7102946,LOC_Os03g13170,7,2,6,1,1,3,3,7,5,2,2,4
Chr3-7102730,LOC_Os03g13170,0,0,0,2,4,0,2,0,2,2,0,0
Chr3+7231671,LOC_Os03g13390,3,4,1,14,13,13,120,109,119,6,6,5
Chr3+7231779,LOC_Os03g13390,1,1,0,0,1,1,15,17,11,2,0,0
Chr3+7231507,LOC_Os03g13390,24,26,34,173,159,209,286,258,345,23,23,22
Chr3+7675319,LOC_Os03g14120,4,3,3,0,1,0,2,1,1,2,3,0
Chr3+7675543,LOC_Os03g14120,28,24,25,8,4,3,6,7,7,14,24,20
Chr3+7675886,LOC_Os03g14120,43,38,47,11,12,15,24,18,31,143,113,113
Chr3+7676702,LOC_Os03g14120,0,0,0,0,0,0,1,0,0,0,0,1
Chr3-7847873,LOC_Os03g14450,3,1,2,1,2,3,9,9,9,52,43,38
Chr3-7847996,LOC_Os03g14450,353,348,336,206,205,224,876,1077,1002,1312,1537,1423
Chr3-8547193,LOC_Os03g15540,2,0,1,0,1,0,1,0,1,1,1,2
Chr3-8546870,LOC_Os03g15540,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-8546947,LOC_Os03g15540,68,74,60,75,81,98,113,135,143,67,58,64
Chr3-8581457,LOC_Os03g15580,22,21,21,15,19,17,16,17,16,20,30,36
Chr3-8581591,LOC_Os03g15580,5,0,8,4,3,4,5,2,3,3,10,6
Chr3+9016497,LOC_Os03g16334,89,92,90,23,25,23,40,41,40,174,274,405
Chr3+9016764,LOC_Os03g16334,0,0,0,0,0,0,0,0,0,4,3,3
Chr3+9014396,LOC_Os03g16334,1,1,0,1,2,3,0,1,0,2,2,3
Chr3+9252238,LOC_Os03g16700,41,46,44,48,49,51,27,25,27,88,60,73
Chr3+9249735,LOC_Os03g16700,0,0,1,1,1,1,0,1,0,1,1,0
Chr3+9252587,LOC_Os03g16700,164,175,166,119,118,116,107,128,128,273,317,240
Chr3+9247927,LOC_Os03g16700,0,0,0,0,0,0,0,1,0,0,0,0
Chr3-10123820,LOC_Os03g18130,0,0,0,0,0,1,0,0,0,2,1,3
Chr3-10120288,LOC_Os03g18130,94,100,125,319,294,287,54,42,48,266,90,204
Chr3-10196515,LOC_Os03g18190,2,1,2,1,0,1,2,2,2,2,2,1
Chr3-10191681,LOC_Os03g18190,1,0,0,0,0,1,4,2,4,2,1,2
Chr3-10478483,LOC_Os03g18720,91,90,99,231,234,248,142,139,146,58,47,38
Chr3-10480975,LOC_Os03g18720,0,0,0,0,0,0,1,1,1,0,0,1
Chr3-10478135,LOC_Os03g18720,1,3,1,4,6,5,4,4,4,3,4,4
Chr3-10478323,LOC_Os03g18720,11,10,10,17,14,16,12,12,15,4,4,8
Chr3-11007598,LOC_Os03g19580,61,80,64,115,134,146,158,167,162,149,111,112
Chr3-11007785,LOC_Os03g19580,0,0,0,0,1,0,0,0,0,2,4,4
Chr3+11272950,LOC_Os03g20010,87,74,96,61,72,66,39,39,36,22,14,24
Chr3+11273211,LOC_Os03g20010,3,11,1,4,2,8,2,1,4,3,2,4
Chr3-12358932,LOC_Os03g21650,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-12359111,LOC_Os03g21650,0,0,0,0,0,0,0,0,0,0,0,1
Chr3+12494791,LOC_Os03g21850,6,7,7,3,3,0,6,7,6,12,3,1
Chr3+12493764,LOC_Os03g21850,0,0,0,0,0,0,0,0,0,0,0,0
Chr3+12495617,LOC_Os03g21850,0,0,0,0,0,0,0,0,0,0,0,1
Chr3+12500195,LOC_Os03g21850,1,2,3,1,1,1,0,0,0,4,6,4
Chr3+12500011,LOC_Os03g21850,36,38,41,31,39,20,3,2,2,88,64,83
Chr3-12823606,LOC_Os03g22400,9,7,11,3,0,1,7,7,6,2,2,2
Chr3-12823981,LOC_Os03g22400,45,33,33,40,54,50,38,30,35,83,64,73
Chr3-12823726,LOC_Os03g22400,13,6,10,8,10,6,11,9,11,7,3,4
Chr3-13122593,LOC_Os03g22720,41,22,38,32,50,44,36,38,44,69,68,68
Chr3-13122744,LOC_Os03g22720,1,1,1,2,2,2,3,2,1,7,7,11
Chr3-15967318,LOC_Os03g27830,1,5,6,1,1,2,1,1,0,7,5,5
Chr3-15969754,LOC_Os03g27830,4,5,1,0,0,0,1,1,2,0,1,0
Chr3-15967901,LOC_Os03g27830,6,6,6,19,19,21,1,0,5,19,22,20
Chr3-15967045,LOC_Os03g27830,0,0,0,0,0,0,0,0,0,1,1,1
Chr3-15968050,LOC_Os03g27830,3,2,1,7,8,8,2,3,3,26,26,33
Chr3-15966789,LOC_Os03g27830,0,1,1,0,0,1,0,1,0,2,1,4
Chr3+16632280,LOC_Os03g29240,0,0,0,0,0,0,0,0,0,0,1,0
Chr3+16631923,LOC_Os03g29240,164,120,134,228,228,240,373,368,356,150,144,168
Chr3-17265532,LOC_Os03g30260,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-17262563,LOC_Os03g30260,0,3,1,0,0,0,0,1,2,3,3,1
Chr3-17262487,LOC_Os03g30260,0,4,1,0,0,0,4,7,5,9,5,9
Chr3-19518896,LOC_Os03g34300,142,156,148,147,163,184,114,131,92,156,136,151
Chr3-19519047,LOC_Os03g34300,4,0,6,3,0,2,1,0,2,4,4,4
Chr3-21002655,LOC_Os03g37840,4,5,10,7,13,11,6,5,6,0,0,0
Chr3-21003023,LOC_Os03g37840,3,1,0,5,5,5,3,3,0,0,0,0
Chr3-21002883,LOC_Os03g37840,15,7,10,25,26,32,8,6,7,0,0,0
Chr3-22168103,LOC_Os03g39860,1,3,2,3,8,3,0,0,0,1,0,1
Chr3-22167896,LOC_Os03g39860,1,1,3,2,2,1,0,0,0,0,0,0
Chr3-22164643,LOC_Os03g39860,122,118,125,82,91,81,64,56,69,66,63,64
Chr3-22167574,LOC_Os03g39860,3,0,0,6,5,3,0,3,0,0,0,1
Chr3-22169781,LOC_Os03g39860,0,0,0,0,0,0,0,0,0,0,0,0
Chr3+22377852,LOC_Os03g40260,0,0,0,0,0,0,0,0,0,0,0,0
Chr3+22380017,LOC_Os03g40260,0,0,0,0,0,0,0,0,0,0,0,0
Chr3+22377915,LOC_Os03g40260,0,0,0,0,0,0,0,0,0,0,0,0
Chr3+22380147,LOC_Os03g40260,19,29,54,11,7,20,31,32,31,34,36,18
Chr3-24049423,LOC_Os03g43114,0,0,0,0,1,1,1,0,1,0,0,0
Chr3-24052867,LOC_Os03g43114,2,7,12,7,8,6,1,1,1,0,0,0
Chr3-24052315,LOC_Os03g43114,7,8,8,6,6,11,0,0,0,0,0,0
Chr3-24053082,LOC_Os03g43114,2,3,0,1,0,2,0,0,1,0,0,1
Chr3+26439236,LOC_Os03g46710,45,50,37,40,44,53,34,32,49,35,32,39
Chr3+26439085,LOC_Os03g46710,12,5,22,15,15,15,11,12,15,10,12,16
Chr3+27123759,LOC_Os03g47780,55,59,52,34,28,41,42,57,24,40,45,38
Chr3+27120063,LOC_Os03g47780,0,1,0,0,0,0,0,0,0,0,0,0
Chr3+27256555,LOC_Os03g47940,139,116,155,0,0,0,3,2,1,150,143,155
Chr3+27252695,LOC_Os03g47940,1,2,3,0,0,0,0,0,1,1,1,1
Chr3-27300750,LOC_Os03g48030,10,10,9,5,2,4,0,0,0,0,0,0
Chr3-27300866,LOC_Os03g48030,13,33,43,18,26,31,4,2,2,0,0,0
Chr3-27300940,LOC_Os03g48030,0,1,0,1,1,1,0,0,0,0,0,0
Chr3-27300989,LOC_Os03g48030,1,0,2,7,3,0,0,0,0,0,0,0
Chr3+27825665,LOC_Os03g48840,28,41,42,34,26,25,40,42,42,53,71,68
Chr3+27823905,LOC_Os03g48840,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-30062335,LOC_Os03g52340,42,44,43,35,56,42,40,48,47,55,61,18
Chr3-30062223,LOC_Os03g52340,2,0,5,0,0,0,0,1,0,1,0,0
Chr3-32360717,LOC_Os03g56790,466,478,487,1074,1015,1013,688,794,717,400,390,552
Chr3-32361758,LOC_Os03g56790,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-32363116,LOC_Os03g56790,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-32363706,LOC_Os03g56790,0,0,0,0,0,0,1,2,1,1,0,0
Chr3+32378357,LOC_Os03g56820,70,71,57,1,1,0,56,98,61,144,155,163
Chr3+32378673,LOC_Os03g56820,17,22,13,0,0,0,47,47,47,21,20,24
Chr3-32570108,LOC_Os03g57130,0,2,1,9,4,2,3,2,3,1,0,0
Chr3-32570066,LOC_Os03g57130,41,48,49,124,112,136,92,107,95,25,26,26
Chr3+33035379,LOC_Os03g58010,7,5,4,20,8,12,5,5,4,1,1,0
Chr3+33035627,LOC_Os03g58010,1,1,1,6,12,5,2,2,1,0,0,0
Chr3+33187191,LOC_Os03g58240,65,69,56,37,22,38,95,92,91,99,90,73
Chr3+33183983,LOC_Os03g58240,1,0,0,0,0,0,1,1,1,0,0,0
Chr3-33190872,LOC_Os03g58250,7,3,6,6,0,2,1,1,1,2,0,4
Chr3-33187380,LOC_Os03g58250,22,15,39,31,29,33,29,27,28,34,22,43
Chr3-33539234,LOC_Os03g58910,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-33530087,LOC_Os03g58910,20,15,25,35,33,40,19,19,19,16,16,12
Chr3-33530530,LOC_Os03g58910,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-33530257,LOC_Os03g58910,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-33530461,LOC_Os03g58910,0,0,0,0,0,0,0,0,0,0,0,0
Chr3+33713385,LOC_Os03g59200,32,34,29,0,5,1,25,22,26,3,2,5
Chr3+33713543,LOC_Os03g59200,17,21,15,0,0,1,11,10,13,5,4,3
Chr3+33713681,LOC_Os03g59200,6,4,4,0,0,0,6,6,5,3,0,4
Chr3+33734975,LOC_Os03g59240,110,126,111,7,4,7,44,38,40,10,21,17
Chr3+33735183,LOC_Os03g59240,15,15,17,1,0,1,4,4,8,2,0,1
Chr3+33734791,LOC_Os03g59240,2,3,4,0,0,0,1,0,1,0,0,0
Chr3-34820693,LOC_Os03g61340,104,110,105,193,225,209,163,175,146,77,62,77
Chr3-34820824,LOC_Os03g61340,5,7,9,22,17,22,6,8,12,10,12,6
Chr3-35447854,LOC_Os03g62640,0,0,0,1,1,1,1,1,0,0,0,0
Chr3-35446445,LOC_Os03g62640,50,57,98,101,126,116,45,33,56,83,56,64
Chr3-35447557,LOC_Os03g62640,0,0,0,0,0,0,0,0,0,0,1,0
Chr3-35447302,LOC_Os03g62640,0,0,0,2,0,1,1,2,0,0,0,2
Chr3-35664360,LOC_Os03g63074,8,7,5,7,9,10,9,7,6,112,75,77
Chr3-35659856,LOC_Os03g63074,19,19,18,5,7,7,2,0,1,5,2,4
Chr3-35660476,LOC_Os03g63074,1,4,2,0,0,0,0,0,0,0,0,0
Chr3-35665518,LOC_Os03g63074,0,0,0,0,0,0,0,0,0,0,0,0
Chr3+36175491,LOC_Os03g64010,8,7,14,8,9,9,6,3,5,14,13,13
Chr3+36175371,LOC_Os03g64010,74,58,51,163,170,136,33,13,23,46,27,42
Chr3+36175655,LOC_Os03g64010,0,0,0,0,0,0,0,0,0,1,0,0
Chr3-36265888,LOC_Os03g64190,1,1,1,1,0,1,2,0,0,1,2,1
Chr3-36265551,LOC_Os03g64190,73,70,64,56,68,64,87,84,75,44,55,69
Chr3-36265422,LOC_Os03g64190,1,0,1,0,0,1,1,2,0,2,1,1
Chr4-227055,LOC_Os04g01300,34,51,51,18,29,17,45,44,46,5,10,15
Chr4-226904,LOC_Os04g01300,858,857,835,285,272,262,745,751,767,94,66,110
Chr4-4446093,LOC_Os04g08330,7,2,1,1,4,2,5,0,9,11,10,10
Chr4-4446276,LOC_Os04g08330,15,13,30,21,16,17,34,27,37,37,42,36
Chr4-4446462,LOC_Os04g08330,19,14,11,19,17,22,23,24,23,23,20,18
Chr4+4455326,LOC_Os04g08340,5,1,0,4,4,3,12,1,0,8,4,7
Chr4+4455129,LOC_Os04g08340,0,2,1,3,4,0,0,0,0,1,1,0
Chr4+4455602,LOC_Os04g08340,0,3,0,3,0,2,0,3,3,2,1,2
Chr4+4455445,LOC_Os04g08340,1,1,1,7,8,8,10,4,8,4,2,4
Chr4-8310605,LOC_Os04g14790,2,0,2,0,0,0,0,2,0,0,2,1
Chr4-8307366,LOC_Os04g14790,38,23,50,95,85,88,61,48,84,148,111,123
Chr4-13821867,LOC_Os04g24170,2,3,0,0,0,2,0,0,0,0,1,0
Chr4-13821597,LOC_Os04g24170,3,3,5,5,9,10,0,1,1,4,4,4
Chr4-13822060,LOC_Os04g24170,0,0,0,1,0,1,0,0,0,0,0,1
Chr4-13821797,LOC_Os04g24170,35,49,61,157,163,168,29,30,29,43,45,39
Chr4-16645532,LOC_Os04g28180,8,9,10,5,7,7,24,26,26,9,9,8
Chr4-16645840,LOC_Os04g28180,1453,1498,1430,2364,2316,2309,2518,2476,2548,658,625,636
Chr4-16645602,LOC_Os04g28180,1,2,1,2,1,2,6,3,10,2,1,2
Chr4+19411544,LOC_Os04g32370,18,19,18,14,13,23,24,19,21,9,18,13
Chr4+19418448,LOC_Os04g32370,4,13,4,19,20,23,9,5,7,71,66,62
Chr4+19418720,LOC_Os04g32370,27,21,24,45,35,42,31,35,31,122,118,94
