chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,leaf_60days1,leaf_60days2,leaf_60days3,mature_pollen1,mature_pollen2,mature_pollen3,pistil1,pistil2,pistil3
Chr2-17244950,LOC_Os02g29130,0,0,0,0,0,0,0,0,0,8,11,8
Chr2-17254219,LOC_Os02g29130,3,2,0,1,1,0,14,2,12,0,0,0
Chr2+18712002,LOC_Os02g31220,130,165,154,103,96,105,15,89,80,111,131,119
Chr2+18711652,LOC_Os02g31220,18,7,15,10,10,10,66,5,115,22,25,19
Chr2+18706759,LOC_Os02g31220,4,4,5,0,2,1,0,0,0,0,0,0
Chr2+18712273,LOC_Os02g31220,28,31,28,7,5,8,0,1,4,22,8,15
Chr2+18711507,LOC_Os02g31220,1,1,0,1,0,1,0,0,0,4,6,0
Chr2+18711396,LOC_Os02g31220,0,9,10,1,1,1,0,0,0,0,1,1
Chr2-18889903,LOC_Os02g31960,0,0,0,20,14,11,0,0,0,15,8,0
Chr2-18889982,LOC_Os02g31960,13,13,5,6,6,6,48,4,27,27,26,8
Chr2-19309755,LOC_Os02g32590,127,143,122,65,66,64,118,19,64,85,93,83
Chr2-19309512,LOC_Os02g32590,0,0,0,0,1,0,0,0,0,0,1,0
Chr2-19312149,LOC_Os02g32590,51,42,46,0,2,0,0,0,0,13,11,11
Chr2-19406144,LOC_Os02g32690,1,0,0,0,0,0,0,0,0,0,0,0
Chr2-19415539,LOC_Os02g32690,22,22,17,0,0,0,9,9,4,0,0,0
Chr2-19405398,LOC_Os02g32690,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-19405267,LOC_Os02g32690,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-19406584,LOC_Os02g32690,0,0,0,2,1,0,0,0,0,0,0,0
Chr2-19406282,LOC_Os02g32690,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-19405538,LOC_Os02g32690,0,0,0,1,0,0,0,0,0,0,0,0
Chr2-21411357,LOC_Os02g35590,1,6,4,1,0,0,0,0,0,0,0,0
Chr2-21410581,LOC_Os02g35590,0,1,0,2,0,0,0,0,1,0,0,0
Chr2-21410854,LOC_Os02g35590,131,176,155,187,209,201,61,235,230,60,54,61
Chr2+21417192,LOC_Os02g35600,99,159,143,148,142,155,58,9,47,205,175,219
Chr2+21414776,LOC_Os02g35600,6,5,2,0,0,0,0,0,0,0,0,0
Chr2+21417451,LOC_Os02g35600,0,1,1,7,4,5,4,22,9,0,0,0
Chr2+21414661,LOC_Os02g35600,13,35,10,0,0,0,0,0,0,1,1,0
Chr2-22365525,LOC_Os02g37030,10,3,1,2,2,2,0,0,0,1,0,1
Chr2-22365434,LOC_Os02g37030,120,53,76,145,146,82,6,23,15,52,42,35
Chr2-22365325,LOC_Os02g37030,53,54,49,144,137,159,11,58,177,61,60,60
Chr2-23768598,LOC_Os02g39384,5,17,10,0,0,0,0,0,0,3,2,1
Chr2-23768788,LOC_Os02g39384,0,5,2,0,0,0,0,0,0,2,2,2
Chr2-23768996,LOC_Os02g39384,0,0,0,0,0,0,4,0,4,0,0,0
Chr2-24976333,LOC_Os02g41630,0,1,0,0,0,0,4,4,0,0,1,0
Chr2-24973449,LOC_Os02g41630,187,127,82,332,298,336,4643,5050,737,557,400,380
Chr2-24985293,LOC_Os02g41650,427,447,417,312,300,307,544,848,1112,710,726,720
Chr2-24989309,LOC_Os02g41650,2,12,6,1,0,0,0,0,0,1,1,0
Chr2-24988736,LOC_Os02g41650,0,0,0,1,1,0,7,5,5,2,0,1
Chr2-24984870,LOC_Os02g41650,1,2,2,0,0,0,0,0,0,1,3,2
Chr2-24985579,LOC_Os02g41650,3,3,3,0,0,1,0,0,0,1,3,3
Chr2-24988487,LOC_Os02g41650,1,1,0,0,0,0,9,19,6,5,2,4
Chr2-25252915,LOC_Os02g42020,0,1,0,1,0,4,0,0,0,2,3,2
Chr2-25250919,LOC_Os02g42020,0,1,0,0,1,3,0,0,0,2,2,2
Chr2-25243157,LOC_Os02g42020,9,7,1,0,0,0,0,0,0,0,0,0
Chr2-25242586,LOC_Os02g42020,298,206,200,116,116,119,47,8,5,104,109,114
Chr2-25251004,LOC_Os02g42020,9,14,21,13,14,19,4,1,1,11,11,5
Chr2+25400795,LOC_Os02g42220,0,0,0,3,1,4,0,0,0,1,1,2
Chr2+25404079,LOC_Os02g42220,0,0,0,8,6,5,3,2,5,2,3,4
Chr2+25404328,LOC_Os02g42220,0,0,0,0,0,0,0,0,0,0,2,0
Chr2+25404210,LOC_Os02g42220,3,3,10,164,156,161,19,9,11,60,54,57
Chr2+26519762,LOC_Os02g43930,16,21,4,0,0,0,0,0,0,1,2,0
Chr2+26523221,LOC_Os02g43930,758,1111,770,335,337,327,753,448,271,628,603,639
Chr2-26866894,LOC_Os02g44380,1,4,2,0,0,0,14,15,2,4,0,0
Chr2-26866526,LOC_Os02g44380,0,0,2,0,0,0,380,54,126,16,14,8
Chr2-26875346,LOC_Os02g44380,0,1,0,0,0,2,2,3,1,0,0,0
Chr2+27389105,LOC_Os02g45150,51,15,38,0,0,0,0,0,0,1,2,0
Chr2+27387494,LOC_Os02g45150,1,4,3,0,0,0,0,0,0,24,1,23
Chr2+27387677,LOC_Os02g45150,15,14,15,1,0,1,0,0,0,2,3,4
Chr2-28109647,LOC_Os02g46120,4,3,4,1,1,0,0,0,0,3,2,2
Chr2-28109106,LOC_Os02g46120,4,1,0,4,3,1,0,0,0,2,3,2
Chr2-28108635,LOC_Os02g46120,8,1,1,0,0,0,1,1,2,1,2,1
Chr2-28109791,LOC_Os02g46120,5,5,3,2,1,1,0,0,0,6,4,5
Chr2+28118869,LOC_Os02g46130,0,2,1,1,1,0,0,0,0,2,0,0
Chr2+28118978,LOC_Os02g46130,4,9,6,11,9,7,0,0,0,6,4,4
Chr2+28118684,LOC_Os02g46130,207,197,157,57,54,43,85,47,47,97,88,99
Chr2-28290012,LOC_Os02g46440,0,0,0,0,1,5,0,0,0,6,3,2
Chr2-28289764,LOC_Os02g46440,0,0,0,6,1,2,1,1,0,1,1,1
Chr2-28290945,LOC_Os02g46440,1,0,0,104,101,94,0,0,1,58,58,69
Chr2-28480797,LOC_Os02g46660,1,1,1,1,0,2,0,0,0,0,0,0
Chr2-28480842,LOC_Os02g46660,0,0,0,0,1,0,0,0,0,0,0,0
Chr2-28480903,LOC_Os02g46660,0,0,0,0,0,1,0,0,0,0,0,0
Chr2-28478685,LOC_Os02g46660,13,19,15,483,439,458,40,27,58,11,5,6
Chr2-29226666,LOC_Os02g47790,0,0,0,0,0,0,0,0,0,1,2,1
Chr2-29228191,LOC_Os02g47790,4,3,6,0,0,0,0,0,1,0,0,0
Chr2+29801902,LOC_Os02g48680,0,0,0,0,0,5,0,0,0,3,3,0
Chr2+29801621,LOC_Os02g48680,31,57,63,45,45,44,57,80,28,65,77,77
Chr2+30448040,LOC_Os02g49820,2,0,1,21,27,17,26,5,12,7,10,11
Chr2+30445332,LOC_Os02g49820,2,7,2,3,0,0,6,6,11,0,0,0
Chr2+30447973,LOC_Os02g49820,3,1,2,21,21,17,17,18,4,24,21,18
Chr2-31120619,LOC_Os02g50910,0,0,0,0,0,0,184,421,371,5,4,4
Chr2-31123299,LOC_Os02g50910,2,3,1,2,3,0,12,0,9,0,0,0
Chr2-31123156,LOC_Os02g50910,0,0,0,1,1,0,0,2,3,0,1,0
Chr2-31538242,LOC_Os02g51500,1,1,2,1,2,1,0,0,0,5,5,5
Chr2-31535365,LOC_Os02g51500,172,217,164,334,239,358,36,89,61,80,58,68
Chr2-31535306,LOC_Os02g51500,13,13,16,80,66,87,5,2,1,23,23,5
Chr2+32961389,LOC_Os02g53810,6,7,5,0,0,1,0,0,0,9,10,7
Chr2+32961350,LOC_Os02g53810,21,7,16,1,1,1,54,22,6,27,29,30
Chr2+33727675,LOC_Os02g55060,228,347,380,738,723,709,242,267,285,207,194,196
Chr2+33727915,LOC_Os02g55060,9,5,1,0,0,0,0,0,0,0,0,2
Chr2+33728174,LOC_Os02g55060,1,9,1,4,0,1,0,0,0,1,1,1
Chr2+33733905,LOC_Os02g55070,0,0,0,0,1,0,0,0,0,0,0,0
Chr2+33733819,LOC_Os02g55070,1,0,0,0,0,0,0,0,1,0,0,0
Chr2+33729982,LOC_Os02g55070,1,0,0,2,1,1,8,14,14,0,0,0
Chr2-34915930,LOC_Os02g56980,48,37,59,36,36,53,0,0,0,49,44,50
Chr2-34916000,LOC_Os02g56980,4,9,7,5,0,4,0,0,0,1,0,1
Chr2+35004795,LOC_Os02g57150,45,143,98,32,28,30,139,149,132,95,90,96
Chr2+35004132,LOC_Os02g57150,4,3,4,7,2,9,0,18,23,1,1,1
Chr2+35004918,LOC_Os02g57150,3,0,4,2,1,0,0,0,0,3,5,5
Chr2+35683362,LOC_Os02g58330,0,0,0,1,1,1,0,2,3,1,2,2
Chr2+35683539,LOC_Os02g58330,0,0,0,2,0,2,135,30,93,2,3,0
Chr2+35806327,LOC_Os02g58570,31,21,32,91,64,59,231,621,278,48,47,47
Chr2+35806783,LOC_Os02g58570,18,18,19,11,12,16,25,31,26,4,0,9
Chr3+263497,LOC_Os03g01350,10,5,18,5,4,6,0,0,0,1,0,1
Chr3+264263,LOC_Os03g01350,27,8,15,32,39,30,1,31,50,8,11,12
Chr3+263679,LOC_Os03g01350,6,2,2,0,0,0,5,6,5,0,0,0
Chr3+268702,LOC_Os03g01360,0,4,1,1,1,5,0,0,0,0,0,0
Chr3+272500,LOC_Os03g01360,20,0,7,2,1,1,4,34,28,0,0,1
Chr3+277286,LOC_Os03g01360,34,29,45,3,5,0,0,0,0,1,0,1
Chr3+272747,LOC_Os03g01360,1,3,3,3,2,4,0,0,0,0,0,0
Chr3+274944,LOC_Os03g01360,1,8,9,0,0,0,0,0,0,0,0,0
Chr3+274763,LOC_Os03g01360,36,38,37,65,46,54,28,11,4,6,5,8
Chr3+274995,LOC_Os03g01360,11,7,12,1,0,1,0,0,0,0,0,0
Chr3+270943,LOC_Os03g01360,0,0,2,1,0,0,2,3,1,6,7,7
Chr3+272581,LOC_Os03g01360,37,32,43,9,40,59,3,4,6,9,7,9
Chr3-356966,LOC_Os03g01570,0,2,2,1,0,0,0,0,0,0,0,0
Chr3-356870,LOC_Os03g01570,72,66,63,135,133,136,100,55,87,22,55,50
Chr3-560631,LOC_Os03g01910,0,0,0,0,0,1,0,0,0,0,0,0
Chr3-560194,LOC_Os03g01910,3,2,3,0,0,0,0,0,0,0,0,0
Chr3-560399,LOC_Os03g01910,646,716,631,280,346,323,288,138,123,500,560,581
Chr3+909800,LOC_Os03g02480,0,8,5,0,0,0,0,0,0,0,0,0
Chr3+909945,LOC_Os03g02480,31,22,24,6,6,7,83,40,35,54,47,31
Chr3-1499663,LOC_Os03g03470,1,9,11,20,21,21,119,27,21,5,4,4
Chr3-1500269,LOC_Os03g03470,2,0,0,2,0,1,0,0,0,4,10,9
Chr3-1499971,LOC_Os03g03470,0,1,1,19,7,12,0,0,0,4,5,3
Chr3-1720577,LOC_Os03g03830,0,4,6,0,0,0,0,0,0,0,0,1
Chr3-1720157,LOC_Os03g03830,117,128,114,99,127,106,62,103,38,104,93,95
Chr3+1833036,LOC_Os03g04020,194,339,151,869,859,907,70,884,68,138,175,151
Chr3+1833109,LOC_Os03g04020,1,3,0,1,9,5,0,0,0,1,4,0
Chr3+1833465,LOC_Os03g04020,4,5,12,0,1,2,0,0,0,0,0,0
Chr3-1948391,LOC_Os03g04240,0,0,0,0,0,0,36,8,12,1,3,1
Chr3-1948315,LOC_Os03g04240,4,1,2,0,0,0,0,0,0,4,4,2
Chr3+2101873,LOC_Os03g04500,5,3,0,3,3,1,0,0,0,1,0,0
Chr3+2102000,LOC_Os03g04500,7,11,5,9,4,15,9,28,43,10,12,6
Chr3+2875165,LOC_Os03g05760,42,30,47,1,1,1,2,2,1,2,9,3
Chr3+2875336,LOC_Os03g05760,30,33,28,32,63,36,6,84,4,41,47,34
Chr3+2871223,LOC_Os03g05760,0,0,0,1,3,1,0,0,0,0,0,1
Chr3+2871081,LOC_Os03g05760,5,1,1,0,0,0,12,4,2,1,1,1
Chr3+3189514,LOC_Os03g06370,5,5,12,1,11,0,0,0,0,4,3,4
Chr3+3188701,LOC_Os03g06370,4,1,1,0,0,1,0,0,0,2,2,1
Chr3+3189326,LOC_Os03g06370,3,7,8,5,3,5,13,11,7,8,8,6
Chr3-3931613,LOC_Os03g07739,7,20,23,4,3,3,0,0,0,5,7,5
Chr3-3931348,LOC_Os03g07739,23,17,31,28,40,37,1,0,20,38,32,41
Chr3-3931235,LOC_Os03g07739,0,0,0,6,6,0,0,0,0,8,10,1
Chr3+3983476,LOC_Os03g07820,1,1,5,0,0,1,26,29,12,1,2,1
Chr3+3983550,LOC_Os03g07820,0,5,8,15,12,13,2,1,1,4,2,10
Chr3+3983387,LOC_Os03g07820,2,2,0,0,0,0,11,6,1,0,0,0
Chr3-4946381,LOC_Os03g09930,18,45,31,25,23,27,72,28,47,21,22,24
Chr3-4952855,LOC_Os03g09930,3,1,2,0,2,1,3,1,4,3,2,2
Chr3-4953231,LOC_Os03g09930,2,18,12,7,6,7,126,467,377,22,29,25
Chr3-5297912,LOC_Os03g10400,0,4,2,0,0,0,16,53,33,1,0,1
Chr3-5298414,LOC_Os03g10400,2,3,4,0,0,0,0,0,0,0,1,1
Chr3-5297295,LOC_Os03g10400,16,39,12,38,57,44,11,34,13,54,37,36
Chr3-5297655,LOC_Os03g10400,33,23,17,15,20,15,2,7,1,15,17,21
Chr3-5298441,LOC_Os03g10400,1,1,2,7,1,1,0,0,0,0,1,3
Chr3-5348422,LOC_Os03g10510,99,138,97,162,219,156,264,284,142,144,119,147
Chr3-5348097,LOC_Os03g10510,6,10,15,0,0,0,0,0,0,0,0,0
Chr3-5779675,LOC_Os03g11240,6,7,2,2,2,0,12,13,12,7,7,9
Chr3-5779638,LOC_Os03g11240,87,91,67,60,57,62,8,1,10,116,125,106
Chr3-7103254,LOC_Os03g13170,7,12,9,0,0,0,0,0,0,4,3,4
Chr3-7103455,LOC_Os03g13170,163,137,151,11,5,4,0,0,0,0,1,4
Chr3-7102176,LOC_Os03g13170,1670,1979,1199,415,494,449,747,719,673,1048,1053,1103
Chr3-7101925,LOC_Os03g13170,2,1,1,3,6,1,0,0,0,0,0,0
Chr3-7103812,LOC_Os03g13170,6,13,8,0,0,0,0,0,0,0,1,0
Chr3-7102010,LOC_Os03g13170,3,3,2,0,0,0,0,0,0,5,6,3
Chr3-7102946,LOC_Os03g13170,262,295,159,1,1,0,47,14,23,21,21,29
Chr3-7102730,LOC_Os03g13170,4,10,11,0,0,0,3,1,1,8,13,10
Chr3+7231671,LOC_Os03g13390,27,16,13,15,6,16,12,10,3,0,0,1
Chr3+7231779,LOC_Os03g13390,4,6,4,0,3,1,0,0,2,0,0,0
Chr3+7231507,LOC_Os03g13390,271,189,177,125,138,168,9,30,0,4,2,1
Chr3+7675319,LOC_Os03g14120,4,2,3,3,3,0,2,0,0,1,1,1
Chr3+7675543,LOC_Os03g14120,5,5,2,10,9,9,4,10,15,4,2,6
Chr3+7675886,LOC_Os03g14120,6,6,5,14,17,17,26,42,34,42,48,33
Chr3+7676702,LOC_Os03g14120,0,0,0,0,0,0,28,104,12,0,0,0
Chr3-7847873,LOC_Os03g14450,1,0,0,0,1,0,1,1,1,3,3,5
Chr3-7847996,LOC_Os03g14450,159,197,170,105,106,90,397,405,725,329,336,327
Chr3-8547193,LOC_Os03g15540,24,2,7,0,4,1,12,0,25,3,3,3
Chr3-8546870,LOC_Os03g15540,0,0,0,0,0,0,13,40,2,0,0,0
Chr3-8546947,LOC_Os03g15540,49,70,67,81,82,72,19,53,113,127,135,127
Chr3-8581457,LOC_Os03g15580,2,4,18,20,15,11,0,0,0,16,18,21
Chr3-8581591,LOC_Os03g15580,22,22,37,2,8,5,13,13,15,3,4,10
Chr3+9016497,LOC_Os03g16334,503,502,523,59,52,55,1,1,25,39,43,44
Chr3+9016764,LOC_Os03g16334,5,5,10,0,0,0,0,0,0,0,0,0
Chr3+9014396,LOC_Os03g16334,2,4,2,2,3,2,1,9,7,0,0,0
Chr3+9252238,LOC_Os03g16700,27,34,34,108,89,83,17,9,327,27,29,31
Chr3+9249735,LOC_Os03g16700,0,2,6,0,0,0,0,0,0,0,0,0
Chr3+9252587,LOC_Os03g16700,10,98,39,242,237,273,680,617,734,72,60,65
Chr3+9247927,LOC_Os03g16700,5,3,0,4,1,0,2,6,1,0,1,0
Chr3-10123820,LOC_Os03g18130,0,3,1,3,2,3,0,0,0,0,0,0
Chr3-10120288,LOC_Os03g18130,72,75,69,351,422,292,39,128,237,144,151,92
Chr3-10196515,LOC_Os03g18190,2,3,0,2,3,5,7,18,20,0,0,0
Chr3-10191681,LOC_Os03g18190,6,6,0,1,1,0,0,0,0,5,6,4
Chr3-10478483,LOC_Os03g18720,107,171,221,133,140,124,113,127,135,125,128,131
Chr3-10480975,LOC_Os03g18720,2,1,3,0,0,0,0,0,0,0,0,0
Chr3-10478135,LOC_Os03g18720,23,21,39,4,2,3,0,19,8,7,6,2
Chr3-10478323,LOC_Os03g18720,22,14,21,9,9,15,5,42,3,17,20,9
Chr3-11007598,LOC_Os03g19580,39,36,27,81,92,85,32,8,94,39,42,40
Chr3-11007785,LOC_Os03g19580,3,2,1,0,1,0,0,35,61,0,0,0
Chr3+11272950,LOC_Os03g20010,10,10,12,205,217,206,20,44,106,28,28,31
Chr3+11273211,LOC_Os03g20010,2,6,1,16,16,19,0,0,0,8,9,9
Chr3-12358932,LOC_Os03g21650,38,29,20,0,0,0,1,0,2,0,0,0
Chr3-12359111,LOC_Os03g21650,215,104,121,0,0,0,0,0,0,0,0,0
Chr3+12494791,LOC_Os03g21850,3,3,0,4,10,6,58,10,50,1,1,1
Chr3+12493764,LOC_Os03g21850,3,4,9,0,0,0,0,0,0,0,0,0
Chr3+12495617,LOC_Os03g21850,6,5,8,0,0,0,0,0,0,0,1,2
Chr3+12500195,LOC_Os03g21850,6,15,7,4,2,3,1,3,0,4,2,7
Chr3+12500011,LOC_Os03g21850,118,129,157,54,54,60,94,35,5,162,154,157
Chr3-12823606,LOC_Os03g22400,13,13,1,13,8,15,1,0,0,2,2,2
Chr3-12823981,LOC_Os03g22400,103,105,74,58,111,76,1,63,34,98,62,100
Chr3-12823726,LOC_Os03g22400,8,16,24,21,19,12,0,0,0,10,4,7
Chr3-13122593,LOC_Os03g22720,8,9,13,39,35,34,95,53,124,43,34,42
Chr3-13122744,LOC_Os03g22720,2,0,6,2,0,1,20,15,3,4,5,6
Chr3-15967318,LOC_Os03g27830,1,0,0,3,1,0,0,0,0,2,2,2
Chr3-15969754,LOC_Os03g27830,0,1,1,0,0,1,2,0,0,0,0,0
Chr3-15967901,LOC_Os03g27830,10,1,13,18,15,18,3,0,0,16,21,21
Chr3-15967045,LOC_Os03g27830,0,0,4,0,0,0,40,0,34,0,0,1
Chr3-15968050,LOC_Os03g27830,1,5,0,6,4,4,6,13,22,3,0,2
Chr3-15966789,LOC_Os03g27830,7,2,5,1,2,1,0,0,0,0,0,0
Chr3+16632280,LOC_Os03g29240,0,1,6,0,0,1,0,0,0,0,0,0
Chr3+16631923,LOC_Os03g29240,112,106,106,65,71,65,329,241,272,153,139,168
Chr3-17265532,LOC_Os03g30260,0,0,0,0,0,0,6,7,14,0,0,0
Chr3-17262563,LOC_Os03g30260,0,0,0,0,0,0,0,0,0,3,0,0
Chr3-17262487,LOC_Os03g30260,0,0,0,0,0,0,0,0,0,8,11,10
Chr3-19518896,LOC_Os03g34300,30,59,52,188,141,145,182,182,276,65,75,67
Chr3-19519047,LOC_Os03g34300,20,11,12,2,4,4,97,0,50,2,3,1
Chr3-21002655,LOC_Os03g37840,0,0,0,68,65,57,0,0,0,0,0,0
Chr3-21003023,LOC_Os03g37840,0,0,0,33,25,12,0,0,0,0,0,0
Chr3-21002883,LOC_Os03g37840,3,3,1,103,106,106,42,2,9,0,0,0
Chr3-22168103,LOC_Os03g39860,0,0,0,11,20,2,0,0,0,0,1,0
Chr3-22167896,LOC_Os03g39860,0,0,0,2,2,5,0,0,0,1,0,0
Chr3-22164643,LOC_Os03g39860,103,138,85,346,347,319,162,59,292,48,46,54
Chr3-22167574,LOC_Os03g39860,0,0,0,5,17,15,1,1,0,0,0,0
Chr3-22169781,LOC_Os03g39860,1,3,3,0,0,0,0,0,0,0,0,0
Chr3+22377852,LOC_Os03g40260,0,0,0,0,0,0,36,27,61,0,0,0
Chr3+22380017,LOC_Os03g40260,8,1,0,0,0,0,0,0,0,0,0,0
Chr3+22377915,LOC_Os03g40260,0,0,0,0,0,0,49,7,22,0,0,0
Chr3+22380147,LOC_Os03g40260,49,51,52,17,26,23,247,91,223,23,14,35
Chr3-24049423,LOC_Os03g43114,1,2,0,0,1,3,0,0,0,2,0,0
Chr3-24052867,LOC_Os03g43114,0,0,0,12,16,18,5,6,0,1,1,1
Chr3-24052315,LOC_Os03g43114,0,0,0,12,11,11,22,1,33,0,0,0
Chr3-24053082,LOC_Os03g43114,0,0,0,4,5,3,5,11,11,0,0,0
Chr3+26439236,LOC_Os03g46710,14,55,46,25,30,32,1,0,3,45,37,32
Chr3+26439085,LOC_Os03g46710,11,13,17,19,12,9,28,17,9,4,18,6
Chr3+27123759,LOC_Os03g47780,76,13,97,43,41,50,3,12,10,34,33,31
Chr3+27120063,LOC_Os03g47780,0,0,0,0,0,0,12,10,4,0,0,0
Chr3+27256555,LOC_Os03g47940,4,4,6,0,0,0,164,79,6,494,493,498
Chr3+27252695,LOC_Os03g47940,0,0,0,0,0,0,12,11,15,1,0,0
Chr3-27300750,LOC_Os03g48030,0,0,0,25,24,21,0,0,0,3,4,0
Chr3-27300866,LOC_Os03g48030,1,2,1,154,131,137,1,0,0,9,7,0
Chr3-27300940,LOC_Os03g48030,1,3,0,18,3,6,0,0,0,0,0,0
Chr3-27300989,LOC_Os03g48030,1,4,2,3,3,8,0,0,0,0,0,0
Chr3+27825665,LOC_Os03g48840,45,34,43,10,9,12,0,0,33,54,60,52
Chr3+27823905,LOC_Os03g48840,8,8,14,0,0,0,0,0,0,0,0,0
Chr3-30062335,LOC_Os03g52340,103,125,127,77,54,29,49,44,54,37,34,53
Chr3-30062223,LOC_Os03g52340,0,0,0,0,0,0,0,0,0,0,0,1
Chr3-32360717,LOC_Os03g56790,808,937,746,600,570,631,1273,728,768,350,366,351
Chr3-32361758,LOC_Os03g56790,2,0,1,0,0,0,0,0,0,0,0,0
Chr3-32363116,LOC_Os03g56790,7,9,6,0,0,0,0,0,0,0,0,0
Chr3-32363706,LOC_Os03g56790,10,6,2,1,0,0,0,0,0,0,0,0
Chr3+32378357,LOC_Os03g56820,0,0,0,1,1,1,90,52,203,155,140,154
Chr3+32378673,LOC_Os03g56820,1,0,1,0,0,2,7,42,3,24,29,27
Chr3-32570108,LOC_Os03g57130,24,34,41,7,0,2,0,0,0,0,0,3
Chr3-32570066,LOC_Os03g57130,87,91,62,191,154,182,69,31,162,40,42,40
Chr3+33035379,LOC_Os03g58010,7,3,2,35,33,32,0,0,0,0,2,2
Chr3+33035627,LOC_Os03g58010,0,0,2,27,31,30,54,63,2,0,0,0
Chr3+33187191,LOC_Os03g58240,38,38,29,53,36,48,140,30,29,54,48,42
Chr3+33183983,LOC_Os03g58240,3,1,5,0,1,0,1,2,8,0,0,0
Chr3-33190872,LOC_Os03g58250,12,11,12,2,1,6,0,0,0,4,2,3
Chr3-33187380,LOC_Os03g58250,37,35,35,109,85,84,40,88,25,41,30,44
Chr3-33539234,LOC_Os03g58910,10,2,6,0,0,0,0,0,0,0,0,0
Chr3-33530087,LOC_Os03g58910,65,56,74,36,35,19,5,49,30,21,21,25
Chr3-33530530,LOC_Os03g58910,17,8,14,0,0,0,0,0,0,0,0,0
Chr3-33530257,LOC_Os03g58910,8,9,7,0,0,0,0,0,0,0,0,0
Chr3-33530461,LOC_Os03g58910,3,0,0,0,0,0,0,0,0,0,0,0
Chr3+33713385,LOC_Os03g59200,0,0,0,3,0,0,7,18,19,35,31,35
Chr3+33713543,LOC_Os03g59200,0,1,1,1,0,0,0,0,0,17,19,17
Chr3+33713681,LOC_Os03g59200,0,0,0,0,0,0,0,0,0,3,2,1
Chr3+33734975,LOC_Os03g59240,0,8,6,4,4,6,8,21,14,61,68,76
Chr3+33735183,LOC_Os03g59240,0,2,0,0,1,0,0,0,0,10,12,11
Chr3+33734791,LOC_Os03g59240,0,0,0,1,1,1,0,0,0,1,1,0
Chr3-34820693,LOC_Os03g61340,72,86,102,125,93,117,7,49,17,79,77,68
Chr3-34820824,LOC_Os03g61340,27,28,37,34,35,31,2,3,3,8,5,13
Chr3-35447854,LOC_Os03g62640,6,5,2,1,3,2,0,0,0,1,1,1
Chr3-35446445,LOC_Os03g62640,153,226,272,131,169,141,12,109,89,123,122,106
Chr3-35447557,LOC_Os03g62640,3,6,3,0,0,0,0,0,0,0,0,0
Chr3-35447302,LOC_Os03g62640,7,12,9,1,3,0,0,0,0,1,3,4
Chr3-35664360,LOC_Os03g63074,1444,1651,1239,0,2,1,7,7,21,65,65,51
Chr3-35659856,LOC_Os03g63074,2,0,2,40,27,25,1,2,1,12,1,7
Chr3-35660476,LOC_Os03g63074,1,1,0,1,1,3,0,0,0,2,2,2
Chr3-35665518,LOC_Os03g63074,8,6,0,0,0,0,0,0,0,0,0,0
Chr3+36175491,LOC_Os03g64010,7,7,4,16,15,16,15,28,33,4,8,4
Chr3+36175371,LOC_Os03g64010,53,36,34,194,180,173,66,64,59,44,38,39
Chr3+36175655,LOC_Os03g64010,0,8,8,0,0,0,0,0,0,0,0,0
Chr3-36265888,LOC_Os03g64190,12,15,20,1,0,1,1,0,0,4,5,6
Chr3-36265551,LOC_Os03g64190,109,98,98,54,65,70,58,66,29,62,84,88
Chr3-36265422,LOC_Os03g64190,7,13,17,4,0,2,0,0,0,1,0,2
Chr4-227055,LOC_Os04g01300,25,18,33,14,7,10,2,5,4,12,16,18
Chr4-226904,LOC_Os04g01300,109,126,55,191,196,220,243,133,82,267,251,227
Chr4-4446093,LOC_Os04g08330,7,9,7,1,5,1,43,57,8,1,1,1
Chr4-4446276,LOC_Os04g08330,8,7,5,30,24,23,17,28,3,20,23,17
Chr4-4446462,LOC_Os04g08330,16,7,20,10,13,12,2,2,0,16,24,20
Chr4+4455326,LOC_Os04g08340,1,0,6,2,3,3,0,5,9,19,20,10
Chr4+4455129,LOC_Os04g08340,1,3,14,1,0,1,0,0,0,15,17,9
Chr4+4455602,LOC_Os04g08340,0,0,0,2,1,0,0,0,0,2,2,2
Chr4+4455445,LOC_Os04g08340,0,0,0,0,0,3,0,0,0,7,9,7
Chr4-8310605,LOC_Os04g14790,1,1,1,2,2,2,0,0,0,0,1,1
Chr4-8307366,LOC_Os04g14790,104,234,176,121,124,122,97,0,44,102,75,59
Chr4-13821867,LOC_Os04g24170,1,13,9,0,1,0,10,0,10,0,1,1
Chr4-13821597,LOC_Os04g24170,15,17,12,5,5,5,0,1,0,4,3,4
Chr4-13822060,LOC_Os04g24170,12,19,29,2,2,0,0,0,0,1,0,0
Chr4-13821797,LOC_Os04g24170,138,130,122,160,110,146,126,64,190,63,62,58
Chr4-16645532,LOC_Os04g28180,20,13,9,4,6,4,0,0,0,1,7,11
Chr4-16645840,LOC_Os04g28180,2303,2332,2277,754,744,764,1012,1215,1304,1847,1922,1847
Chr4-16645602,LOC_Os04g28180,10,10,6,1,1,0,0,0,0,1,1,1
Chr4+19411544,LOC_Os04g32370,6,21,15,24,18,16,117,41,141,8,4,6
Chr4+19418448,LOC_Os04g32370,46,46,48,25,41,32,1,0,0,10,16,7
