chrstrandcoord,gene,endosperm1,endosperm2,endosperm3,leaf_60days1,leaf_60days2,leaf_60days3,stem_60days1,stem_60days2,stem_60days3,embryo1,embryo2,embryo3
Chr2-17244950,LOC_Os02g29130,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-17254219,LOC_Os02g29130,0,1,3,1,1,0,0,1,1,0,0,0
Chr2+18712002,LOC_Os02g31220,90,97,114,103,96,105,105,74,95,96,80,96
Chr2+18711652,LOC_Os02g31220,11,6,6,10,10,10,19,35,17,25,16,17
Chr2+18706759,LOC_Os02g31220,0,2,5,0,2,1,0,2,2,2,3,3
Chr2+18712273,LOC_Os02g31220,49,46,43,7,5,8,20,3,20,68,67,71
Chr2+18711507,LOC_Os02g31220,1,0,0,1,0,1,2,2,2,0,1,2
Chr2+18711396,LOC_Os02g31220,6,7,5,1,1,1,3,2,4,12,9,5
Chr2-18889903,LOC_Os02g31960,3,2,1,20,14,11,3,5,12,2,2,3
Chr2-18889982,LOC_Os02g31960,8,9,9,6,6,6,6,9,0,14,5,12
Chr2-19309755,LOC_Os02g32590,233,278,210,65,66,64,42,29,34,69,58,105
Chr2-19309512,LOC_Os02g32590,0,0,0,0,1,0,0,0,0,0,1,0
Chr2-19312149,LOC_Os02g32590,34,30,31,0,2,0,1,0,1,16,19,12
Chr2-19406144,LOC_Os02g32690,3,1,9,0,0,0,1,2,1,0,0,1
Chr2-19415539,LOC_Os02g32690,1,0,0,0,0,0,0,0,0,1,1,1
Chr2-19405398,LOC_Os02g32690,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-19405267,LOC_Os02g32690,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-19406584,LOC_Os02g32690,3,0,1,2,1,0,1,0,0,0,0,0
Chr2-19406282,LOC_Os02g32690,3,3,5,0,0,0,0,0,1,0,0,0
Chr2-19405538,LOC_Os02g32690,0,0,0,1,0,0,0,0,0,0,0,0
Chr2-21411357,LOC_Os02g35590,6,6,5,1,0,0,0,0,0,5,9,0
Chr2-21410581,LOC_Os02g35590,0,3,2,2,0,0,1,1,1,0,0,0
Chr2-21410854,LOC_Os02g35590,248,233,242,187,209,201,224,221,234,182,197,161
Chr2+21417192,LOC_Os02g35600,155,126,170,148,142,155,119,122,115,259,259,259
Chr2+21414776,LOC_Os02g35600,7,8,7,0,0,0,0,0,0,2,1,1
Chr2+21417451,LOC_Os02g35600,3,5,4,7,4,5,5,4,1,1,1,1
Chr2+21414661,LOC_Os02g35600,7,5,10,0,0,0,0,1,0,13,6,11
Chr2-22365525,LOC_Os02g37030,18,5,16,2,2,2,0,1,0,3,3,3
Chr2-22365434,LOC_Os02g37030,101,85,89,145,146,82,109,99,86,85,89,90
Chr2-22365325,LOC_Os02g37030,78,53,89,144,137,159,97,99,99,65,65,65
Chr2-23768598,LOC_Os02g39384,0,0,0,0,0,0,0,0,0,16,22,16
Chr2-23768788,LOC_Os02g39384,0,0,3,0,0,0,1,1,1,11,12,12
Chr2-23768996,LOC_Os02g39384,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-24976333,LOC_Os02g41630,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-24973449,LOC_Os02g41630,287,403,234,332,298,336,12065,11514,11477,122,116,83
Chr2-24985293,LOC_Os02g41650,1137,683,555,312,300,307,2658,2690,2696,373,374,373
Chr2-24989309,LOC_Os02g41650,1,1,1,1,0,0,1,1,1,1,0,1
Chr2-24988736,LOC_Os02g41650,0,1,0,1,1,0,10,11,10,0,0,0
Chr2-24984870,LOC_Os02g41650,8,1,5,0,0,0,0,1,1,0,2,3
Chr2-24985579,LOC_Os02g41650,2,1,3,0,0,1,1,3,5,1,0,0
Chr2-24988487,LOC_Os02g41650,0,1,0,0,0,0,0,6,1,0,0,1
Chr2-25252915,LOC_Os02g42020,0,0,0,1,0,4,0,0,0,0,18,50
Chr2-25250919,LOC_Os02g42020,0,0,0,0,1,3,0,0,1,0,0,0
Chr2-25243157,LOC_Os02g42020,8,5,4,0,0,0,0,0,0,15,11,0
Chr2-25242586,LOC_Os02g42020,241,225,220,116,116,119,120,121,114,221,218,220
Chr2-25251004,LOC_Os02g42020,13,11,13,13,14,19,7,11,7,10,11,9
Chr2+25400795,LOC_Os02g42220,2,3,1,3,1,4,4,6,5,0,0,0
Chr2+25404079,LOC_Os02g42220,1,3,0,8,6,5,16,16,16,10,2,5
Chr2+25404328,LOC_Os02g42220,0,0,0,0,0,0,0,5,4,0,0,0
Chr2+25404210,LOC_Os02g42220,0,1,4,164,156,161,215,191,203,21,21,21
Chr2+26519762,LOC_Os02g43930,6,5,7,0,0,0,1,1,2,9,16,14
Chr2+26523221,LOC_Os02g43930,975,960,917,335,337,327,626,675,703,904,898,910
Chr2-26866894,LOC_Os02g44380,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-26866526,LOC_Os02g44380,2,0,1,0,0,0,0,0,0,1,0,2
Chr2-26875346,LOC_Os02g44380,1,2,0,0,0,2,0,0,0,0,0,0
Chr2+27389105,LOC_Os02g45150,36,15,56,0,0,0,0,0,0,1,1,0
Chr2+27387494,LOC_Os02g45150,1,1,2,0,0,0,6,4,6,3,3,0
Chr2+27387677,LOC_Os02g45150,49,39,37,1,0,1,5,3,2,4,1,0
Chr2-28109647,LOC_Os02g46120,0,0,0,1,1,0,0,1,1,7,10,2
Chr2-28109106,LOC_Os02g46120,2,1,3,4,3,1,0,0,0,2,0,1
Chr2-28108635,LOC_Os02g46120,0,0,0,0,0,0,0,0,1,1,2,0
Chr2-28109791,LOC_Os02g46120,3,8,6,2,1,1,0,0,0,5,4,5
Chr2+28118869,LOC_Os02g46130,3,1,7,1,1,0,4,8,2,2,0,1
Chr2+28118978,LOC_Os02g46130,6,6,3,11,9,7,4,6,6,3,5,4
Chr2+28118684,LOC_Os02g46130,161,158,165,57,54,43,63,65,68,164,170,232
Chr2-28290012,LOC_Os02g46440,0,0,0,0,1,5,1,1,1,0,0,0
Chr2-28289764,LOC_Os02g46440,5,2,1,6,1,2,2,3,2,4,4,2
Chr2-28290945,LOC_Os02g46440,11,15,14,104,101,94,30,26,29,7,2,3
Chr2-28480797,LOC_Os02g46660,7,5,5,1,0,2,0,0,0,0,0,0
Chr2-28480842,LOC_Os02g46660,11,19,3,0,1,0,0,0,1,0,0,0
Chr2-28480903,LOC_Os02g46660,3,2,6,0,0,1,0,0,0,0,0,0
Chr2-28478685,LOC_Os02g46660,18,22,21,483,439,458,134,120,122,10,9,10
Chr2-29226666,LOC_Os02g47790,2,4,1,0,0,0,0,0,0,0,0,0
Chr2-29228191,LOC_Os02g47790,3,3,2,0,0,0,1,0,0,0,1,1
Chr2+29801902,LOC_Os02g48680,0,0,0,0,0,5,0,0,0,1,3,0
Chr2+29801621,LOC_Os02g48680,43,40,49,45,45,44,39,44,52,42,66,53
Chr2+30448040,LOC_Os02g49820,0,0,0,21,27,17,8,9,8,1,3,2
Chr2+30445332,LOC_Os02g49820,4,8,7,3,0,0,0,1,1,2,2,0
Chr2+30447973,LOC_Os02g49820,3,3,0,21,21,17,7,9,8,31,37,18
Chr2-31120619,LOC_Os02g50910,0,1,2,0,0,0,0,0,1,0,0,0
Chr2-31123299,LOC_Os02g50910,2,1,0,2,3,0,1,1,1,0,0,0
Chr2-31123156,LOC_Os02g50910,0,1,0,1,1,0,0,1,0,0,0,0
Chr2-31538242,LOC_Os02g51500,0,0,0,1,2,1,4,0,1,3,6,3
Chr2-31535365,LOC_Os02g51500,196,167,174,334,239,358,256,247,248,104,118,152
Chr2-31535306,LOC_Os02g51500,30,14,17,80,66,87,63,60,53,6,9,8
Chr2+32961389,LOC_Os02g53810,6,0,13,0,0,1,4,1,3,0,1,0
Chr2+32961350,LOC_Os02g53810,8,7,3,1,1,1,6,1,2,5,0,1
Chr2+33727675,LOC_Os02g55060,541,468,534,738,723,709,838,853,807,292,298,269
Chr2+33727915,LOC_Os02g55060,0,0,0,0,0,0,1,1,1,0,0,0
Chr2+33728174,LOC_Os02g55060,9,5,7,4,0,1,2,2,2,7,5,5
Chr2+33733905,LOC_Os02g55070,0,0,0,0,1,0,4,2,2,0,0,0
Chr2+33733819,LOC_Os02g55070,0,0,0,0,0,0,8,1,4,0,0,0
Chr2+33729982,LOC_Os02g55070,4,1,5,2,1,1,0,0,0,0,0,0
Chr2-34915930,LOC_Os02g56980,32,51,40,36,36,53,27,16,24,59,85,95
Chr2-34916000,LOC_Os02g56980,2,7,1,5,0,4,2,0,1,18,41,38
Chr2+35004795,LOC_Os02g57150,131,115,69,32,28,30,56,52,55,88,149,104
Chr2+35004132,LOC_Os02g57150,4,5,2,7,2,9,5,3,1,2,2,1
Chr2+35004918,LOC_Os02g57150,0,1,2,2,1,0,2,2,1,3,0,0
Chr2+35683362,LOC_Os02g58330,1,1,3,1,1,1,1,0,0,6,0,2
Chr2+35683539,LOC_Os02g58330,4,0,0,2,0,2,0,2,0,1,1,2
Chr2+35806327,LOC_Os02g58570,31,24,27,91,64,59,58,59,60,20,22,21
Chr2+35806783,LOC_Os02g58570,31,25,17,11,12,16,8,8,8,15,17,20
Chr3+263497,LOC_Os03g01350,10,0,30,5,4,6,2,2,2,6,12,20
Chr3+264263,LOC_Os03g01350,36,11,9,32,39,30,35,25,30,8,9,14
Chr3+263679,LOC_Os03g01350,7,5,7,0,0,0,2,1,0,2,1,3
Chr3+268702,LOC_Os03g01360,2,2,4,1,1,5,0,0,0,13,0,1
Chr3+272500,LOC_Os03g01360,10,6,8,2,1,1,4,3,4,8,0,8
Chr3+277286,LOC_Os03g01360,23,48,33,3,5,0,1,3,2,38,37,26
Chr3+272747,LOC_Os03g01360,8,4,3,3,2,4,6,15,7,5,5,4
Chr3+274944,LOC_Os03g01360,6,4,5,0,0,0,1,0,0,9,15,11
Chr3+274763,LOC_Os03g01360,3,48,43,65,46,54,54,54,58,45,41,42
Chr3+274995,LOC_Os03g01360,7,4,5,1,0,1,0,1,0,16,17,16
Chr3+270943,LOC_Os03g01360,0,0,0,1,0,0,1,2,1,0,3,0
Chr3+272581,LOC_Os03g01360,26,30,28,9,40,59,43,38,51,37,33,26
Chr3-356966,LOC_Os03g01570,3,5,3,1,0,0,0,0,0,2,1,0
Chr3-356870,LOC_Os03g01570,57,85,57,135,133,136,90,95,94,49,32,6
Chr3-560631,LOC_Os03g01910,3,3,0,0,0,1,0,0,0,0,0,0
Chr3-560194,LOC_Os03g01910,0,0,0,0,0,0,0,1,0,3,3,3
Chr3-560399,LOC_Os03g01910,480,501,513,280,346,323,403,413,421,555,587,639
Chr3+909800,LOC_Os03g02480,5,2,0,0,0,0,0,0,0,0,1,1
Chr3+909945,LOC_Os03g02480,23,20,32,6,6,7,20,21,23,62,62,62
Chr3-1499663,LOC_Os03g03470,1,1,1,20,21,21,12,11,10,6,7,5
Chr3-1500269,LOC_Os03g03470,0,0,0,2,0,1,0,0,0,0,0,0
Chr3-1499971,LOC_Os03g03470,2,0,1,19,7,12,0,0,1,2,8,5
Chr3-1720577,LOC_Os03g03830,9,4,11,0,0,0,0,0,0,0,0,0
Chr3-1720157,LOC_Os03g03830,70,48,102,99,127,106,146,135,152,138,141,146
Chr3+1833036,LOC_Os03g04020,245,221,286,869,859,907,1218,1064,1064,236,193,247
Chr3+1833109,LOC_Os03g04020,0,0,0,1,9,5,6,7,6,0,0,0
Chr3+1833465,LOC_Os03g04020,0,2,0,0,1,2,2,1,1,0,1,0
Chr3-1948391,LOC_Os03g04240,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-1948315,LOC_Os03g04240,1,1,1,0,0,0,0,0,0,0,0,0
Chr3+2101873,LOC_Os03g04500,0,5,4,3,3,1,2,1,1,5,3,2
Chr3+2102000,LOC_Os03g04500,68,3,14,9,4,15,2,9,4,5,5,8
Chr3+2875165,LOC_Os03g05760,45,31,22,1,1,1,1,0,3,20,19,18
Chr3+2875336,LOC_Os03g05760,33,40,11,32,63,36,14,24,35,33,33,33
Chr3+2871223,LOC_Os03g05760,1,8,4,1,3,1,0,0,0,0,0,0
Chr3+2871081,LOC_Os03g05760,4,14,22,0,0,0,4,0,2,4,2,5
Chr3+3189514,LOC_Os03g06370,2,9,9,1,11,0,1,0,1,9,8,15
Chr3+3188701,LOC_Os03g06370,0,0,0,0,0,1,0,0,0,0,0,0
Chr3+3189326,LOC_Os03g06370,10,28,5,5,3,5,7,11,5,7,18,7
Chr3-3931613,LOC_Os03g07739,21,11,10,4,3,3,5,5,5,20,19,22
Chr3-3931348,LOC_Os03g07739,27,29,35,28,40,37,19,23,37,45,44,43
Chr3-3931235,LOC_Os03g07739,0,0,0,6,6,0,3,0,2,1,1,1
Chr3+3983476,LOC_Os03g07820,3,2,2,0,0,1,0,0,0,4,5,5
Chr3+3983550,LOC_Os03g07820,0,3,2,15,12,13,5,2,3,0,0,0
Chr3+3983387,LOC_Os03g07820,11,8,20,0,0,0,0,1,1,2,2,2
Chr3-4946381,LOC_Os03g09930,15,52,9,25,23,27,67,70,63,55,55,54
Chr3-4952855,LOC_Os03g09930,3,3,4,0,2,1,4,4,4,9,4,5
Chr3-4953231,LOC_Os03g09930,20,7,23,7,6,7,43,45,51,16,2,24
Chr3-5297912,LOC_Os03g10400,0,0,0,0,0,0,0,0,0,0,1,0
Chr3-5298414,LOC_Os03g10400,2,4,7,0,0,0,0,0,0,0,0,0
Chr3-5297295,LOC_Os03g10400,45,34,40,38,57,44,77,47,36,42,48,24
Chr3-5297655,LOC_Os03g10400,11,9,17,15,20,15,12,17,18,4,12,8
Chr3-5298441,LOC_Os03g10400,1,7,2,7,1,1,4,5,7,3,9,3
Chr3-5348422,LOC_Os03g10510,143,135,143,162,219,156,217,200,269,96,129,124
Chr3-5348097,LOC_Os03g10510,0,2,0,0,0,0,0,0,0,9,8,7
Chr3-5779675,LOC_Os03g11240,22,14,4,2,2,0,1,1,1,11,9,8
Chr3-5779638,LOC_Os03g11240,105,62,47,60,57,62,38,49,58,89,89,89
Chr3-7103254,LOC_Os03g13170,4,6,4,0,0,0,1,0,0,0,0,0
Chr3-7103455,LOC_Os03g13170,29,36,21,11,5,4,1,1,2,164,170,178
Chr3-7102176,LOC_Os03g13170,1291,1143,1129,415,494,449,1226,1184,1271,1652,1521,1413
Chr3-7101925,LOC_Os03g13170,0,1,14,3,6,1,2,1,4,1,1,2
Chr3-7103812,LOC_Os03g13170,4,8,0,0,0,0,0,0,0,12,13,11
Chr3-7102010,LOC_Os03g13170,0,2,2,0,0,0,3,4,7,3,3,3
Chr3-7102946,LOC_Os03g13170,45,26,60,1,1,0,1,1,3,1362,1725,1106
Chr3-7102730,LOC_Os03g13170,0,4,12,0,0,0,2,4,0,8,0,9
Chr3+7231671,LOC_Os03g13390,32,19,7,15,6,16,14,13,13,0,2,3
Chr3+7231779,LOC_Os03g13390,1,0,1,0,3,1,0,1,1,1,1,1
Chr3+7231507,LOC_Os03g13390,186,292,343,125,138,168,173,159,209,43,35,39
Chr3+7675319,LOC_Os03g14120,5,9,9,3,3,0,0,1,0,6,5,5
Chr3+7675543,LOC_Os03g14120,4,5,2,10,9,9,8,4,3,15,15,14
Chr3+7675886,LOC_Os03g14120,4,3,2,14,17,17,11,12,15,28,27,16
Chr3+7676702,LOC_Os03g14120,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-7847873,LOC_Os03g14450,5,4,4,0,1,0,1,2,3,2,2,3
Chr3-7847996,LOC_Os03g14450,160,180,188,105,106,90,206,205,224,279,276,278
Chr3-8547193,LOC_Os03g15540,20,10,24,0,4,1,0,1,0,20,30,16
Chr3-8546870,LOC_Os03g15540,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-8546947,LOC_Os03g15540,30,36,32,81,82,72,75,81,98,27,46,58
Chr3-8581457,LOC_Os03g15580,11,15,18,20,15,11,15,19,17,16,16,18
Chr3-8581591,LOC_Os03g15580,48,16,2,2,8,5,4,3,4,28,26,26
Chr3+9016497,LOC_Os03g16334,838,700,633,59,52,55,23,25,23,659,492,556
Chr3+9016764,LOC_Os03g16334,28,5,14,0,0,0,0,0,0,1,5,4
Chr3+9014396,LOC_Os03g16334,2,3,0,2,3,2,1,2,3,0,0,0
Chr3+9252238,LOC_Os03g16700,55,53,54,108,89,83,48,49,51,13,19,31
Chr3+9249735,LOC_Os03g16700,3,3,3,0,0,0,1,1,1,0,0,0
Chr3+9252587,LOC_Os03g16700,86,105,54,242,237,273,119,118,116,6,15,43
Chr3+9247927,LOC_Os03g16700,3,1,1,4,1,0,0,0,0,3,3,2
Chr3-10123820,LOC_Os03g18130,3,3,1,3,2,3,0,0,1,0,1,1
Chr3-10120288,LOC_Os03g18130,76,76,58,351,422,292,319,294,287,37,18,27
Chr3-10196515,LOC_Os03g18190,4,3,3,2,3,5,1,0,1,1,0,1
Chr3-10191681,LOC_Os03g18190,0,0,0,1,1,0,0,0,1,3,6,10
Chr3-10478483,LOC_Os03g18720,177,162,110,133,140,124,231,234,248,175,196,223
Chr3-10480975,LOC_Os03g18720,0,0,0,0,0,0,0,0,0,2,0,4
Chr3-10478135,LOC_Os03g18720,39,23,81,4,2,3,4,6,5,33,39,40
Chr3-10478323,LOC_Os03g18720,2,3,4,9,9,15,17,14,16,34,25,32
Chr3-11007598,LOC_Os03g19580,48,48,46,81,92,85,115,134,146,40,47,32
Chr3-11007785,LOC_Os03g19580,5,0,1,0,1,0,0,1,0,1,0,1
Chr3+11272950,LOC_Os03g20010,20,1,16,205,217,206,61,72,66,10,16,3
Chr3+11273211,LOC_Os03g20010,1,5,3,16,16,19,4,2,8,0,6,2
Chr3-12358932,LOC_Os03g21650,22,40,41,0,0,0,0,0,0,22,12,11
Chr3-12359111,LOC_Os03g21650,333,213,261,0,0,0,0,0,0,227,227,229
Chr3+12494791,LOC_Os03g21850,0,3,7,4,10,6,3,3,0,4,2,1
Chr3+12493764,LOC_Os03g21850,8,4,23,0,0,0,0,0,0,0,0,0
Chr3+12495617,LOC_Os03g21850,0,1,0,0,0,0,0,0,0,1,0,0
Chr3+12500195,LOC_Os03g21850,4,1,8,4,2,3,1,1,1,9,2,8
Chr3+12500011,LOC_Os03g21850,180,167,174,54,54,60,31,39,20,141,137,141
Chr3-12823606,LOC_Os03g22400,3,4,3,13,8,15,3,0,1,8,4,13
Chr3-12823981,LOC_Os03g22400,148,94,149,58,111,76,40,54,50,173,178,173
Chr3-12823726,LOC_Os03g22400,4,9,2,21,19,12,8,10,6,7,10,5
Chr3-13122593,LOC_Os03g22720,1,5,5,39,35,34,32,50,44,6,9,8
Chr3-13122744,LOC_Os03g22720,6,10,11,2,0,1,2,2,2,7,1,4
Chr3-15967318,LOC_Os03g27830,0,0,0,3,1,0,1,1,2,0,1,0
Chr3-15969754,LOC_Os03g27830,1,1,0,0,0,1,0,0,0,0,0,0
Chr3-15967901,LOC_Os03g27830,3,11,1,18,15,18,19,19,21,47,22,10
Chr3-15967045,LOC_Os03g27830,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-15968050,LOC_Os03g27830,1,0,3,6,4,4,7,8,8,7,9,1
Chr3-15966789,LOC_Os03g27830,0,0,0,1,2,1,0,0,1,0,0,0
Chr3+16632280,LOC_Os03g29240,0,0,0,0,0,1,0,0,0,0,0,0
Chr3+16631923,LOC_Os03g29240,127,89,98,65,71,65,228,228,240,35,30,37
Chr3-17265532,LOC_Os03g30260,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-17262563,LOC_Os03g30260,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-17262487,LOC_Os03g30260,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-19518896,LOC_Os03g34300,13,3,56,188,141,145,147,163,184,38,37,36
Chr3-19519047,LOC_Os03g34300,13,3,7,2,4,4,3,0,2,12,11,11
Chr3-21002655,LOC_Os03g37840,1,1,1,68,65,57,7,13,11,0,0,0
Chr3-21003023,LOC_Os03g37840,0,0,0,33,25,12,5,5,5,0,0,0
Chr3-21002883,LOC_Os03g37840,0,0,0,103,106,106,25,26,32,0,0,0
Chr3-22168103,LOC_Os03g39860,0,0,0,11,20,2,3,8,3,2,2,4
Chr3-22167896,LOC_Os03g39860,0,2,1,2,2,5,2,2,1,1,0,0
Chr3-22164643,LOC_Os03g39860,165,153,73,346,347,319,82,91,81,103,94,95
Chr3-22167574,LOC_Os03g39860,0,0,0,5,17,15,6,5,3,0,0,0
Chr3-22169781,LOC_Os03g39860,3,2,1,0,0,0,0,0,0,2,5,4
Chr3+22377852,LOC_Os03g40260,0,0,0,0,0,0,0,0,0,0,0,0
Chr3+22380017,LOC_Os03g40260,1,0,8,0,0,0,0,0,0,14,8,5
Chr3+22377915,LOC_Os03g40260,0,0,0,0,0,0,0,0,0,0,0,0
Chr3+22380147,LOC_Os03g40260,15,17,64,17,26,23,11,7,20,75,93,81
Chr3-24049423,LOC_Os03g43114,0,2,0,0,1,3,0,1,1,1,1,0
Chr3-24052867,LOC_Os03g43114,0,0,0,12,16,18,7,8,6,0,0,0
Chr3-24052315,LOC_Os03g43114,0,0,0,12,11,11,6,6,11,5,3,3
Chr3-24053082,LOC_Os03g43114,0,0,0,4,5,3,1,0,2,0,0,0
Chr3+26439236,LOC_Os03g46710,47,40,51,25,30,32,40,44,53,38,50,36
Chr3+26439085,LOC_Os03g46710,13,17,15,19,12,9,15,15,15,22,33,24
Chr3+27123759,LOC_Os03g47780,28,33,25,43,41,50,34,28,41,45,80,75
Chr3+27120063,LOC_Os03g47780,2,2,1,0,0,0,0,0,0,0,0,0
Chr3+27256555,LOC_Os03g47940,5,3,2,0,0,0,0,0,0,9,9,3
Chr3+27252695,LOC_Os03g47940,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-27300750,LOC_Os03g48030,0,1,1,25,24,21,5,2,4,3,0,2
Chr3-27300866,LOC_Os03g48030,3,0,8,154,131,137,18,26,31,9,9,6
Chr3-27300940,LOC_Os03g48030,0,0,0,18,3,6,1,1,1,10,10,10
Chr3-27300989,LOC_Os03g48030,1,0,2,3,3,8,7,3,0,1,4,2
Chr3+27825665,LOC_Os03g48840,39,27,30,10,9,12,34,26,25,29,25,32
Chr3+27823905,LOC_Os03g48840,3,5,3,0,0,0,0,0,0,31,31,29
Chr3-30062335,LOC_Os03g52340,124,143,138,77,54,29,35,56,42,149,164,164
Chr3-30062223,LOC_Os03g52340,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-32360717,LOC_Os03g56790,708,953,1015,600,570,631,1074,1015,1013,452,452,452
Chr3-32361758,LOC_Os03g56790,8,0,2,0,0,0,0,0,0,0,0,0
Chr3-32363116,LOC_Os03g56790,6,4,2,0,0,0,0,0,0,0,0,0
Chr3-32363706,LOC_Os03g56790,8,10,12,1,0,0,0,0,0,1,1,1
Chr3+32378357,LOC_Os03g56820,6,3,0,1,1,1,1,1,0,4,1,1
Chr3+32378673,LOC_Os03g56820,1,4,1,0,0,2,0,0,0,3,6,0
Chr3-32570108,LOC_Os03g57130,13,7,19,7,0,2,9,4,2,35,14,53
Chr3-32570066,LOC_Os03g57130,81,47,94,191,154,182,124,112,136,181,208,198
Chr3+33035379,LOC_Os03g58010,3,0,0,35,33,32,20,8,12,1,0,6
Chr3+33035627,LOC_Os03g58010,1,0,0,27,31,30,6,12,5,0,0,0
Chr3+33187191,LOC_Os03g58240,17,13,45,53,36,48,37,22,38,24,30,27
Chr3+33183983,LOC_Os03g58240,2,8,5,0,1,0,0,0,0,1,2,1
Chr3-33190872,LOC_Os03g58250,22,2,24,2,1,6,6,0,2,1,3,2
Chr3-33187380,LOC_Os03g58250,58,48,63,109,85,84,31,29,33,21,24,25
Chr3-33539234,LOC_Os03g58910,2,0,1,0,0,0,0,0,0,1,2,0
Chr3-33530087,LOC_Os03g58910,44,63,44,36,35,19,35,33,40,61,56,48
Chr3-33530530,LOC_Os03g58910,24,12,6,0,0,0,0,0,0,3,8,3
Chr3-33530257,LOC_Os03g58910,3,0,3,0,0,0,0,0,0,2,2,2
Chr3-33530461,LOC_Os03g58910,13,3,11,0,0,0,0,0,0,1,1,0
Chr3+33713385,LOC_Os03g59200,0,0,1,3,0,0,0,5,1,1,1,1
Chr3+33713543,LOC_Os03g59200,0,0,0,1,0,0,0,0,1,0,0,0
Chr3+33713681,LOC_Os03g59200,0,0,0,0,0,0,0,0,0,0,2,0
Chr3+33734975,LOC_Os03g59240,1,0,0,4,4,6,7,4,7,5,5,6
Chr3+33735183,LOC_Os03g59240,5,1,0,0,1,0,1,0,1,0,0,0
Chr3+33734791,LOC_Os03g59240,0,0,0,1,1,1,0,0,0,0,0,0
Chr3-34820693,LOC_Os03g61340,160,84,118,125,93,117,193,225,209,109,109,109
Chr3-34820824,LOC_Os03g61340,75,84,92,34,35,31,22,17,22,44,60,53
Chr3-35447854,LOC_Os03g62640,1,2,0,1,3,2,1,1,1,1,1,1
Chr3-35446445,LOC_Os03g62640,171,166,122,131,169,141,101,126,116,238,192,233
Chr3-35447557,LOC_Os03g62640,1,1,7,0,0,0,0,0,0,1,1,1
Chr3-35447302,LOC_Os03g62640,0,0,0,1,3,0,2,0,1,1,1,1
Chr3-35664360,LOC_Os03g63074,1667,1190,1705,0,2,1,7,9,10,1335,1778,1129
Chr3-35659856,LOC_Os03g63074,0,0,0,40,27,25,5,7,7,6,6,6
Chr3-35660476,LOC_Os03g63074,3,1,2,1,1,3,0,0,0,1,2,2
Chr3-35665518,LOC_Os03g63074,10,10,10,0,0,0,0,0,0,0,3,1
Chr3+36175491,LOC_Os03g64010,5,0,6,16,15,16,8,9,9,6,5,3
Chr3+36175371,LOC_Os03g64010,42,40,54,194,180,173,163,170,136,1,8,22
Chr3+36175655,LOC_Os03g64010,3,12,6,0,0,0,0,0,0,2,6,3
Chr3-36265888,LOC_Os03g64190,14,5,26,1,0,1,1,0,1,11,2,7
Chr3-36265551,LOC_Os03g64190,120,159,119,54,65,70,56,68,64,165,137,184
Chr3-36265422,LOC_Os03g64190,7,8,3,4,0,2,0,0,1,2,1,2
Chr4-227055,LOC_Os04g01300,30,17,43,14,7,10,18,29,17,35,50,48
Chr4-226904,LOC_Os04g01300,170,59,118,191,196,220,285,272,262,162,176,182
Chr4-4446093,LOC_Os04g08330,4,10,6,1,5,1,1,4,2,1,1,1
Chr4-4446276,LOC_Os04g08330,23,15,13,30,24,23,21,16,17,11,9,7
Chr4-4446462,LOC_Os04g08330,12,15,18,10,13,12,19,17,22,18,16,16
Chr4+4455326,LOC_Os04g08340,16,9,13,2,3,3,4,4,3,10,10,0
Chr4+4455129,LOC_Os04g08340,7,0,0,1,0,1,3,4,0,18,18,18
Chr4+4455602,LOC_Os04g08340,0,0,0,2,1,0,3,0,2,0,0,0
Chr4+4455445,LOC_Os04g08340,3,1,0,0,0,3,7,8,8,0,1,0
Chr4-8310605,LOC_Os04g14790,1,2,1,2,2,2,0,0,0,0,0,0
Chr4-8307366,LOC_Os04g14790,216,203,180,121,124,122,95,85,88,184,209,179
Chr4-13821867,LOC_Os04g24170,10,10,5,0,1,0,0,0,2,9,9,10
Chr4-13821597,LOC_Os04g24170,7,4,4,5,5,5,5,9,10,7,5,6
Chr4-13822060,LOC_Os04g24170,7,19,15,2,2,0,1,0,1,11,11,14
Chr4-13821797,LOC_Os04g24170,116,177,135,160,110,146,157,163,168,219,221,223
Chr4-16645532,LOC_Os04g28180,25,26,25,4,6,4,5,7,7,18,27,13
Chr4-16645840,LOC_Os04g28180,1678,1617,1655,754,744,764,2364,2316,2309,4263,4239,4261
Chr4-16645602,LOC_Os04g28180,7,2,7,1,1,0,2,1,2,9,5,9
Chr4+19411544,LOC_Os04g32370,14,25,17,24,18,16,14,13,23,13,9,9
Chr4+19418448,LOC_Os04g32370,52,58,56,25,41,32,19,20,23,49,51,50
