chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,leaf_20days1,leaf_20days2,leaf_20days3,anther1,anther2,anther3,mature_pollen1,mature_pollen2,mature_pollen3
Chr2-17244950,LOC_Os02g29130,0,0,0,0,0,0,3,4,2,0,0,0
Chr2-17254219,LOC_Os02g29130,3,2,0,0,4,1,1,0,0,14,2,12
Chr2+18712002,LOC_Os02g31220,130,165,154,91,88,104,65,79,73,15,89,80
Chr2+18711652,LOC_Os02g31220,18,7,15,7,8,29,13,14,6,66,5,115
Chr2+18706759,LOC_Os02g31220,4,4,5,0,0,0,1,1,0,0,0,0
Chr2+18712273,LOC_Os02g31220,28,31,28,12,13,11,9,6,13,0,1,4
Chr2+18711507,LOC_Os02g31220,1,1,0,1,0,1,0,0,1,0,0,0
Chr2+18711396,LOC_Os02g31220,0,9,10,4,0,9,0,1,2,0,0,0
Chr2-18889903,LOC_Os02g31960,0,0,0,10,8,11,11,5,18,0,0,0
Chr2-18889982,LOC_Os02g31960,13,13,5,2,10,2,5,5,5,48,4,27
Chr2-19309755,LOC_Os02g32590,127,143,122,0,0,0,114,132,101,118,19,64
Chr2-19309512,LOC_Os02g32590,0,0,0,0,0,0,1,6,5,0,0,0
Chr2-19312149,LOC_Os02g32590,51,42,46,0,0,4,6,7,7,0,0,0
Chr2-19406144,LOC_Os02g32690,1,0,0,0,0,0,0,0,0,0,0,0
Chr2-19415539,LOC_Os02g32690,22,22,17,0,0,0,0,0,0,9,9,4
Chr2-19405398,LOC_Os02g32690,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-19405267,LOC_Os02g32690,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-19406584,LOC_Os02g32690,0,0,0,3,0,0,0,0,0,0,0,0
Chr2-19406282,LOC_Os02g32690,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-19405538,LOC_Os02g32690,0,0,0,0,1,0,0,0,0,0,0,0
Chr2-21411357,LOC_Os02g35590,1,6,4,0,0,0,0,0,0,0,0,0
Chr2-21410581,LOC_Os02g35590,0,1,0,0,0,3,2,0,1,0,0,1
Chr2-21410854,LOC_Os02g35590,131,176,155,326,291,283,61,47,60,61,235,230
Chr2+21417192,LOC_Os02g35600,99,159,143,175,168,172,81,82,83,58,9,47
Chr2+21414776,LOC_Os02g35600,6,5,2,0,0,0,0,0,0,0,0,0
Chr2+21417451,LOC_Os02g35600,0,1,1,5,2,11,1,0,1,4,22,9
Chr2+21414661,LOC_Os02g35600,13,35,10,0,0,0,0,2,0,0,0,0
Chr2-22365525,LOC_Os02g37030,10,3,1,2,2,3,1,0,0,0,0,0
Chr2-22365434,LOC_Os02g37030,120,53,76,80,74,104,50,51,53,6,23,15
Chr2-22365325,LOC_Os02g37030,53,54,49,112,107,139,65,74,55,11,58,177
Chr2-23768598,LOC_Os02g39384,5,17,10,0,0,0,0,0,0,0,0,0
Chr2-23768788,LOC_Os02g39384,0,5,2,0,0,0,0,0,0,0,0,0
Chr2-23768996,LOC_Os02g39384,0,0,0,0,0,0,0,0,0,4,0,4
Chr2-24976333,LOC_Os02g41630,0,1,0,3,3,1,1,1,0,4,4,0
Chr2-24973449,LOC_Os02g41630,187,127,82,517,511,491,219,214,262,4643,5050,737
Chr2-24985293,LOC_Os02g41650,427,447,417,562,561,577,398,402,411,544,848,1112
Chr2-24989309,LOC_Os02g41650,2,12,6,1,2,1,0,2,4,0,0,0
Chr2-24988736,LOC_Os02g41650,0,0,0,0,3,0,1,0,0,7,5,5
Chr2-24984870,LOC_Os02g41650,1,2,2,0,0,0,1,1,0,0,0,0
Chr2-24985579,LOC_Os02g41650,3,3,3,0,0,0,6,4,0,0,0,0
Chr2-24988487,LOC_Os02g41650,1,1,0,0,0,0,0,1,0,9,19,6
Chr2-25252915,LOC_Os02g42020,0,1,0,0,0,0,1,1,1,0,0,0
Chr2-25250919,LOC_Os02g42020,0,1,0,2,3,10,0,0,0,0,0,0
Chr2-25243157,LOC_Os02g42020,9,7,1,0,0,0,0,0,0,0,0,0
Chr2-25242586,LOC_Os02g42020,298,206,200,71,85,82,65,55,59,47,8,5
Chr2-25251004,LOC_Os02g42020,9,14,21,10,10,3,2,3,2,4,1,1
Chr2+25400795,LOC_Os02g42220,0,0,0,3,3,2,0,0,0,0,0,0
Chr2+25404079,LOC_Os02g42220,0,0,0,9,11,10,0,0,0,3,2,5
Chr2+25404328,LOC_Os02g42220,0,0,0,3,2,0,1,1,1,0,0,0
Chr2+25404210,LOC_Os02g42220,3,3,10,105,93,99,28,25,19,19,9,11
Chr2+26519762,LOC_Os02g43930,16,21,4,0,0,0,0,0,0,0,0,0
Chr2+26523221,LOC_Os02g43930,758,1111,770,211,212,164,493,521,552,753,448,271
Chr2-26866894,LOC_Os02g44380,1,4,2,0,0,1,22,26,29,14,15,2
Chr2-26866526,LOC_Os02g44380,0,0,2,3,1,4,187,148,157,380,54,126
Chr2-26875346,LOC_Os02g44380,0,1,0,0,0,0,0,0,0,2,3,1
Chr2+27389105,LOC_Os02g45150,51,15,38,2,1,0,0,0,0,0,0,0
Chr2+27387494,LOC_Os02g45150,1,4,3,3,3,1,0,2,1,0,0,0
Chr2+27387677,LOC_Os02g45150,15,14,15,0,0,0,1,1,1,0,0,0
Chr2-28109647,LOC_Os02g46120,4,3,4,6,0,1,0,0,0,0,0,0
Chr2-28109106,LOC_Os02g46120,4,1,0,8,10,6,1,0,0,0,0,0
Chr2-28108635,LOC_Os02g46120,8,1,1,0,0,0,1,1,1,1,1,2
Chr2-28109791,LOC_Os02g46120,5,5,3,1,0,0,3,2,0,0,0,0
Chr2+28118869,LOC_Os02g46130,0,2,1,1,1,1,3,1,0,0,0,0
Chr2+28118978,LOC_Os02g46130,4,9,6,7,5,5,4,4,5,0,0,0
Chr2+28118684,LOC_Os02g46130,207,197,157,54,47,53,65,54,66,85,47,47
Chr2-28290012,LOC_Os02g46440,0,0,0,3,4,3,1,0,1,0,0,0
Chr2-28289764,LOC_Os02g46440,0,0,0,2,2,0,0,1,0,1,1,0
Chr2-28290945,LOC_Os02g46440,1,0,0,60,61,55,22,15,20,0,0,1
Chr2-28480797,LOC_Os02g46660,1,1,1,1,1,4,0,0,0,0,0,0
Chr2-28480842,LOC_Os02g46660,0,0,0,1,0,1,0,0,0,0,0,0
Chr2-28480903,LOC_Os02g46660,0,0,0,7,7,11,0,0,0,0,0,0
Chr2-28478685,LOC_Os02g46660,13,19,15,710,713,754,23,23,14,40,27,58
Chr2-29226666,LOC_Os02g47790,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-29228191,LOC_Os02g47790,4,3,6,1,0,0,0,0,0,0,0,1
Chr2+29801902,LOC_Os02g48680,0,0,0,0,0,0,0,0,0,0,0,0
Chr2+29801621,LOC_Os02g48680,31,57,63,41,38,40,68,75,93,57,80,28
Chr2+30448040,LOC_Os02g49820,2,0,1,25,16,14,2,1,1,26,5,12
Chr2+30445332,LOC_Os02g49820,2,7,2,2,6,1,1,1,1,6,6,11
Chr2+30447973,LOC_Os02g49820,3,1,2,3,4,2,7,6,6,17,18,4
Chr2-31120619,LOC_Os02g50910,0,0,0,0,2,0,81,71,85,184,421,371
Chr2-31123299,LOC_Os02g50910,2,3,1,0,0,0,0,0,0,12,0,9
Chr2-31123156,LOC_Os02g50910,0,0,0,1,1,0,0,0,0,0,2,3
Chr2-31538242,LOC_Os02g51500,1,1,2,2,3,1,1,5,3,0,0,0
Chr2-31535365,LOC_Os02g51500,172,217,164,309,308,312,102,125,149,36,89,61
Chr2-31535306,LOC_Os02g51500,13,13,16,109,110,88,37,17,39,5,2,1
Chr2+32961389,LOC_Os02g53810,6,7,5,9,3,1,11,12,8,0,0,0
Chr2+32961350,LOC_Os02g53810,21,7,16,7,5,4,36,39,35,54,22,6
Chr2+33727675,LOC_Os02g55060,228,347,380,1799,1874,1789,162,159,178,242,267,285
Chr2+33727915,LOC_Os02g55060,9,5,1,1,4,2,0,0,0,0,0,0
Chr2+33728174,LOC_Os02g55060,1,9,1,2,0,9,1,0,2,0,0,0
Chr2+33733905,LOC_Os02g55070,0,0,0,0,0,0,2,6,13,0,0,0
Chr2+33733819,LOC_Os02g55070,1,0,0,0,0,0,9,3,6,0,0,1
Chr2+33729982,LOC_Os02g55070,1,0,0,5,6,0,0,0,0,8,14,14
Chr2-34915930,LOC_Os02g56980,48,37,59,30,25,33,29,15,36,0,0,0
Chr2-34916000,LOC_Os02g56980,4,9,7,1,1,3,1,0,2,0,0,0
Chr2+35004795,LOC_Os02g57150,45,143,98,34,34,35,100,101,94,139,149,132
Chr2+35004132,LOC_Os02g57150,4,3,4,12,7,8,2,5,3,0,18,23
Chr2+35004918,LOC_Os02g57150,3,0,4,3,4,8,3,4,4,0,0,0
Chr2+35683362,LOC_Os02g58330,0,0,0,0,0,0,2,0,2,0,2,3
Chr2+35683539,LOC_Os02g58330,0,0,0,0,0,0,9,7,5,135,30,93
Chr2+35806327,LOC_Os02g58570,31,21,32,110,95,84,143,137,148,231,621,278
Chr2+35806783,LOC_Os02g58570,18,18,19,6,0,28,9,13,1,25,31,26
Chr3+263497,LOC_Os03g01350,10,5,18,1,8,7,16,15,13,0,0,0
Chr3+264263,LOC_Os03g01350,27,8,15,33,35,37,23,18,23,1,31,50
Chr3+263679,LOC_Os03g01350,6,2,2,0,0,0,0,0,1,5,6,5
Chr3+268702,LOC_Os03g01360,0,4,1,0,0,0,0,0,0,0,0,0
Chr3+272500,LOC_Os03g01360,20,0,7,2,2,2,0,0,1,4,34,28
Chr3+277286,LOC_Os03g01360,34,29,45,2,1,2,0,2,0,0,0,0
Chr3+272747,LOC_Os03g01360,1,3,3,7,8,11,0,2,0,0,0,0
Chr3+274944,LOC_Os03g01360,1,8,9,0,0,0,0,0,0,0,0,0
Chr3+274763,LOC_Os03g01360,36,38,37,50,56,56,9,9,10,28,11,4
Chr3+274995,LOC_Os03g01360,11,7,12,0,2,0,0,0,0,0,0,0
Chr3+270943,LOC_Os03g01360,0,0,2,0,2,0,1,1,1,2,3,1
Chr3+272581,LOC_Os03g01360,37,32,43,35,58,47,7,5,10,3,4,6
Chr3-356966,LOC_Os03g01570,0,2,2,0,0,0,0,0,0,0,0,0
Chr3-356870,LOC_Os03g01570,72,66,63,162,250,193,44,44,47,100,55,87
Chr3-560631,LOC_Os03g01910,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-560194,LOC_Os03g01910,3,2,3,1,0,0,1,1,0,0,0,0
Chr3-560399,LOC_Os03g01910,646,716,631,324,220,252,200,201,198,288,138,123
Chr3+909800,LOC_Os03g02480,0,8,5,0,0,0,0,0,0,0,0,0
Chr3+909945,LOC_Os03g02480,31,22,24,2,5,1,26,24,34,83,40,35
Chr3-1499663,LOC_Os03g03470,1,9,11,9,3,22,2,3,1,119,27,21
Chr3-1500269,LOC_Os03g03470,2,0,0,7,4,1,1,0,1,0,0,0
Chr3-1499971,LOC_Os03g03470,0,1,1,5,12,9,2,0,2,0,0,0
Chr3-1720577,LOC_Os03g03830,0,4,6,0,0,0,0,0,0,0,0,0
Chr3-1720157,LOC_Os03g03830,117,128,114,103,100,99,89,83,92,62,103,38
Chr3+1833036,LOC_Os03g04020,194,339,151,502,668,704,80,98,76,70,884,68
Chr3+1833109,LOC_Os03g04020,1,3,0,5,11,8,3,1,3,0,0,0
Chr3+1833465,LOC_Os03g04020,4,5,12,4,4,5,0,0,0,0,0,0
Chr3-1948391,LOC_Os03g04240,0,0,0,0,0,0,0,1,0,36,8,12
Chr3-1948315,LOC_Os03g04240,4,1,2,0,0,0,1,6,0,0,0,0
Chr3+2101873,LOC_Os03g04500,5,3,0,1,1,0,5,5,5,0,0,0
Chr3+2102000,LOC_Os03g04500,7,11,5,10,7,11,54,69,52,9,28,43
Chr3+2875165,LOC_Os03g05760,42,30,47,5,5,1,0,2,0,2,2,1
Chr3+2875336,LOC_Os03g05760,30,33,28,59,55,58,58,46,65,6,84,4
Chr3+2871223,LOC_Os03g05760,0,0,0,0,1,0,0,1,0,0,0,0
Chr3+2871081,LOC_Os03g05760,5,1,1,0,2,4,2,1,2,12,4,2
Chr3+3189514,LOC_Os03g06370,5,5,12,1,0,1,6,5,1,0,0,0
Chr3+3188701,LOC_Os03g06370,4,1,1,0,0,0,3,2,3,0,0,0
Chr3+3189326,LOC_Os03g06370,3,7,8,3,4,3,4,3,9,13,11,7
Chr3-3931613,LOC_Os03g07739,7,20,23,8,9,2,1,3,5,0,0,0
Chr3-3931348,LOC_Os03g07739,23,17,31,13,12,9,20,20,17,1,0,20
Chr3-3931235,LOC_Os03g07739,0,0,0,0,0,2,3,3,1,0,0,0
Chr3+3983476,LOC_Os03g07820,1,1,5,4,4,5,1,0,1,26,29,12
Chr3+3983550,LOC_Os03g07820,0,5,8,5,21,13,4,17,7,2,1,1
Chr3+3983387,LOC_Os03g07820,2,2,0,0,0,0,0,0,0,11,6,1
Chr3-4946381,LOC_Os03g09930,18,45,31,38,39,38,17,15,27,72,28,47
Chr3-4952855,LOC_Os03g09930,3,1,2,0,0,0,14,9,5,3,1,4
Chr3-4953231,LOC_Os03g09930,2,18,12,5,5,13,66,59,65,126,467,377
Chr3-5297912,LOC_Os03g10400,0,4,2,0,0,0,0,0,0,16,53,33
Chr3-5298414,LOC_Os03g10400,2,3,4,0,0,0,1,1,0,0,0,0
Chr3-5297295,LOC_Os03g10400,16,39,12,52,67,49,41,33,43,11,34,13
Chr3-5297655,LOC_Os03g10400,33,23,17,23,30,25,6,9,11,2,7,1
Chr3-5298441,LOC_Os03g10400,1,1,2,7,0,1,3,3,2,0,0,0
Chr3-5348422,LOC_Os03g10510,99,138,97,230,238,189,638,598,595,264,284,142
Chr3-5348097,LOC_Os03g10510,6,10,15,0,0,0,0,0,0,0,0,0
Chr3-5779675,LOC_Os03g11240,6,7,2,2,2,3,6,5,5,12,13,12
Chr3-5779638,LOC_Os03g11240,87,91,67,94,102,100,93,74,77,8,1,10
Chr3-7103254,LOC_Os03g13170,7,12,9,0,0,0,0,0,0,0,0,0
Chr3-7103455,LOC_Os03g13170,163,137,151,3,3,0,0,4,0,0,0,0
Chr3-7102176,LOC_Os03g13170,1670,1979,1199,372,490,397,281,293,293,747,719,673
Chr3-7101925,LOC_Os03g13170,2,1,1,1,0,0,0,2,2,0,0,0
Chr3-7103812,LOC_Os03g13170,6,13,8,0,0,0,0,0,0,0,0,0
Chr3-7102010,LOC_Os03g13170,3,3,2,8,0,2,0,1,0,0,0,0
Chr3-7102946,LOC_Os03g13170,262,295,159,2,3,3,2,2,4,47,14,23
Chr3-7102730,LOC_Os03g13170,4,10,11,1,0,0,2,0,0,3,1,1
Chr3+7231671,LOC_Os03g13390,27,16,13,1,0,0,6,6,5,12,10,3
Chr3+7231779,LOC_Os03g13390,4,6,4,0,1,1,2,0,0,0,0,2
Chr3+7231507,LOC_Os03g13390,271,189,177,47,43,55,23,23,22,9,30,0
Chr3+7675319,LOC_Os03g14120,4,2,3,3,2,6,2,3,0,2,0,0
Chr3+7675543,LOC_Os03g14120,5,5,2,8,1,5,14,24,20,4,10,15
Chr3+7675886,LOC_Os03g14120,6,6,5,25,39,27,143,113,113,26,42,34
Chr3+7676702,LOC_Os03g14120,0,0,0,0,0,0,0,0,1,28,104,12
Chr3-7847873,LOC_Os03g14450,1,0,0,1,0,0,52,43,38,1,1,1
Chr3-7847996,LOC_Os03g14450,159,197,170,99,106,75,1312,1537,1423,397,405,725
Chr3-8547193,LOC_Os03g15540,24,2,7,0,2,0,1,1,2,12,0,25
Chr3-8546870,LOC_Os03g15540,0,0,0,0,0,0,0,0,0,13,40,2
Chr3-8546947,LOC_Os03g15540,49,70,67,59,61,61,67,58,64,19,53,113
Chr3-8581457,LOC_Os03g15580,2,4,18,14,14,28,20,30,36,0,0,0
Chr3-8581591,LOC_Os03g15580,22,22,37,0,0,4,3,10,6,13,13,15
Chr3+9016497,LOC_Os03g16334,503,502,523,114,109,113,174,274,405,1,1,25
Chr3+9016764,LOC_Os03g16334,5,5,10,0,0,0,4,3,3,0,0,0
Chr3+9014396,LOC_Os03g16334,2,4,2,6,2,5,2,2,3,1,9,7
Chr3+9252238,LOC_Os03g16700,27,34,34,156,157,155,88,60,73,17,9,327
Chr3+9249735,LOC_Os03g16700,0,2,6,0,0,0,1,1,0,0,0,0
Chr3+9252587,LOC_Os03g16700,10,98,39,562,557,555,273,317,240,680,617,734
Chr3+9247927,LOC_Os03g16700,5,3,0,0,0,1,0,0,0,2,6,1
Chr3-10123820,LOC_Os03g18130,0,3,1,0,0,0,2,1,3,0,0,0
Chr3-10120288,LOC_Os03g18130,72,75,69,7,12,9,266,90,204,39,128,237
Chr3-10196515,LOC_Os03g18190,2,3,0,6,6,6,2,2,1,7,18,20
Chr3-10191681,LOC_Os03g18190,6,6,0,3,1,1,2,1,2,0,0,0
Chr3-10478483,LOC_Os03g18720,107,171,221,51,143,81,58,47,38,113,127,135
Chr3-10480975,LOC_Os03g18720,2,1,3,0,0,0,0,0,1,0,0,0
Chr3-10478135,LOC_Os03g18720,23,21,39,1,1,1,3,4,4,0,19,8
Chr3-10478323,LOC_Os03g18720,22,14,21,5,5,3,4,4,8,5,42,3
Chr3-11007598,LOC_Os03g19580,39,36,27,97,95,97,149,111,112,32,8,94
Chr3-11007785,LOC_Os03g19580,3,2,1,0,0,0,2,4,4,0,35,61
Chr3+11272950,LOC_Os03g20010,10,10,12,187,197,266,22,14,24,20,44,106
Chr3+11273211,LOC_Os03g20010,2,6,1,25,25,21,3,2,4,0,0,0
Chr3-12358932,LOC_Os03g21650,38,29,20,0,1,0,0,0,0,1,0,2
Chr3-12359111,LOC_Os03g21650,215,104,121,0,0,0,0,0,1,0,0,0
Chr3+12494791,LOC_Os03g21850,3,3,0,5,4,3,12,3,1,58,10,50
Chr3+12493764,LOC_Os03g21850,3,4,9,0,0,0,0,0,0,0,0,0
Chr3+12495617,LOC_Os03g21850,6,5,8,0,0,0,0,0,1,0,0,0
Chr3+12500195,LOC_Os03g21850,6,15,7,3,0,6,4,6,4,1,3,0
Chr3+12500011,LOC_Os03g21850,118,129,157,53,32,47,88,64,83,94,35,5
Chr3-12823606,LOC_Os03g22400,13,13,1,11,10,10,2,2,2,1,0,0
Chr3-12823981,LOC_Os03g22400,103,105,74,48,59,65,83,64,73,1,63,34
Chr3-12823726,LOC_Os03g22400,8,16,24,8,11,14,7,3,4,0,0,0
Chr3-13122593,LOC_Os03g22720,8,9,13,51,55,54,69,68,68,95,53,124
Chr3-13122744,LOC_Os03g22720,2,0,6,1,1,0,7,7,11,20,15,3
Chr3-15967318,LOC_Os03g27830,1,0,0,6,3,1,7,5,5,0,0,0
Chr3-15969754,LOC_Os03g27830,0,1,1,0,0,4,0,1,0,2,0,0
Chr3-15967901,LOC_Os03g27830,10,1,13,11,27,13,19,22,20,3,0,0
Chr3-15967045,LOC_Os03g27830,0,0,4,0,0,0,1,1,1,40,0,34
Chr3-15968050,LOC_Os03g27830,1,5,0,4,8,1,26,26,33,6,13,22
Chr3-15966789,LOC_Os03g27830,7,2,5,0,0,0,2,1,4,0,0,0
Chr3+16632280,LOC_Os03g29240,0,1,6,1,1,2,0,1,0,0,0,0
Chr3+16631923,LOC_Os03g29240,112,106,106,41,52,39,150,144,168,329,241,272
Chr3-17265532,LOC_Os03g30260,0,0,0,0,0,0,0,0,0,6,7,14
Chr3-17262563,LOC_Os03g30260,0,0,0,0,0,0,3,3,1,0,0,0
Chr3-17262487,LOC_Os03g30260,0,0,0,0,0,0,9,5,9,0,0,0
Chr3-19518896,LOC_Os03g34300,30,59,52,229,240,227,156,136,151,182,182,276
Chr3-19519047,LOC_Os03g34300,20,11,12,7,0,4,4,4,4,97,0,50
Chr3-21002655,LOC_Os03g37840,0,0,0,30,33,22,0,0,0,0,0,0
Chr3-21003023,LOC_Os03g37840,0,0,0,10,3,6,0,0,0,0,0,0
Chr3-21002883,LOC_Os03g37840,3,3,1,59,45,58,0,0,0,42,2,9
Chr3-22168103,LOC_Os03g39860,0,0,0,55,13,9,1,0,1,0,0,0
Chr3-22167896,LOC_Os03g39860,0,0,0,10,9,10,0,0,0,0,0,0
Chr3-22164643,LOC_Os03g39860,103,138,85,954,993,1102,66,63,64,162,59,292
Chr3-22167574,LOC_Os03g39860,0,0,0,23,33,25,0,0,1,1,1,0
Chr3-22169781,LOC_Os03g39860,1,3,3,0,0,0,0,0,0,0,0,0
Chr3+22377852,LOC_Os03g40260,0,0,0,0,0,0,0,0,0,36,27,61
Chr3+22380017,LOC_Os03g40260,8,1,0,0,0,0,0,0,0,0,0,0
Chr3+22377915,LOC_Os03g40260,0,0,0,0,0,0,0,0,0,49,7,22
Chr3+22380147,LOC_Os03g40260,49,51,52,24,21,23,34,36,18,247,91,223
Chr3-24049423,LOC_Os03g43114,1,2,0,3,2,2,0,0,0,0,0,0
Chr3-24052867,LOC_Os03g43114,0,0,0,7,12,32,0,0,0,5,6,0
Chr3-24052315,LOC_Os03g43114,0,0,0,26,12,20,0,0,0,22,1,33
Chr3-24053082,LOC_Os03g43114,0,0,0,0,2,1,0,0,1,5,11,11
Chr3+26439236,LOC_Os03g46710,14,55,46,38,28,30,35,32,39,1,0,3
Chr3+26439085,LOC_Os03g46710,11,13,17,4,8,6,10,12,16,28,17,9
Chr3+27123759,LOC_Os03g47780,76,13,97,30,19,27,40,45,38,3,12,10
Chr3+27120063,LOC_Os03g47780,0,0,0,0,0,0,0,0,0,12,10,4
Chr3+27256555,LOC_Os03g47940,4,4,6,0,0,0,150,143,155,164,79,6
Chr3+27252695,LOC_Os03g47940,0,0,0,1,1,1,1,1,1,12,11,15
Chr3-27300750,LOC_Os03g48030,0,0,0,57,54,62,0,0,0,0,0,0
Chr3-27300866,LOC_Os03g48030,1,2,1,319,344,384,0,0,0,1,0,0
Chr3-27300940,LOC_Os03g48030,1,3,0,39,33,26,0,0,0,0,0,0
Chr3-27300989,LOC_Os03g48030,1,4,2,16,17,19,0,0,0,0,0,0
Chr3+27825665,LOC_Os03g48840,45,34,43,10,11,28,53,71,68,0,0,33
Chr3+27823905,LOC_Os03g48840,8,8,14,0,0,0,0,0,0,0,0,0
Chr3-30062335,LOC_Os03g52340,103,125,127,28,22,58,55,61,18,49,44,54
Chr3-30062223,LOC_Os03g52340,0,0,0,0,0,0,1,0,0,0,0,0
Chr3-32360717,LOC_Os03g56790,808,937,746,1026,1015,1023,400,390,552,1273,728,768
Chr3-32361758,LOC_Os03g56790,2,0,1,0,0,0,0,0,0,0,0,0
Chr3-32363116,LOC_Os03g56790,7,9,6,0,0,0,0,0,0,0,0,0
Chr3-32363706,LOC_Os03g56790,10,6,2,1,0,0,1,0,0,0,0,0
Chr3+32378357,LOC_Os03g56820,0,0,0,3,1,2,144,155,163,90,52,203
Chr3+32378673,LOC_Os03g56820,1,0,1,1,2,2,21,20,24,7,42,3
Chr3-32570108,LOC_Os03g57130,24,34,41,4,4,3,1,0,0,0,0,0
Chr3-32570066,LOC_Os03g57130,87,91,62,118,109,105,25,26,26,69,31,162
Chr3+33035379,LOC_Os03g58010,7,3,2,22,17,27,1,1,0,0,0,0
Chr3+33035627,LOC_Os03g58010,0,0,2,27,17,24,0,0,0,54,63,2
Chr3+33187191,LOC_Os03g58240,38,38,29,38,32,3,99,90,73,140,30,29
Chr3+33183983,LOC_Os03g58240,3,1,5,0,0,0,0,0,0,1,2,8
Chr3-33190872,LOC_Os03g58250,12,11,12,1,3,6,2,0,4,0,0,0
Chr3-33187380,LOC_Os03g58250,37,35,35,52,52,76,34,22,43,40,88,25
Chr3-33539234,LOC_Os03g58910,10,2,6,0,0,0,0,0,0,0,0,0
Chr3-33530087,LOC_Os03g58910,65,56,74,20,21,23,16,16,12,5,49,30
Chr3-33530530,LOC_Os03g58910,17,8,14,0,0,0,0,0,0,0,0,0
Chr3-33530257,LOC_Os03g58910,8,9,7,0,0,0,0,0,0,0,0,0
Chr3-33530461,LOC_Os03g58910,3,0,0,0,1,0,0,0,0,0,0,0
Chr3+33713385,LOC_Os03g59200,0,0,0,8,5,4,3,2,5,7,18,19
Chr3+33713543,LOC_Os03g59200,0,1,1,3,1,4,5,4,3,0,0,0
Chr3+33713681,LOC_Os03g59200,0,0,0,1,0,1,3,0,4,0,0,0
Chr3+33734975,LOC_Os03g59240,0,8,6,0,4,4,10,21,17,8,21,14
Chr3+33735183,LOC_Os03g59240,0,2,0,0,3,0,2,0,1,0,0,0
Chr3+33734791,LOC_Os03g59240,0,0,0,3,1,0,0,0,0,0,0,0
Chr3-34820693,LOC_Os03g61340,72,86,102,136,110,136,77,62,77,7,49,17
Chr3-34820824,LOC_Os03g61340,27,28,37,9,15,11,10,12,6,2,3,3
Chr3-35447854,LOC_Os03g62640,6,5,2,0,0,0,0,0,0,0,0,0
Chr3-35446445,LOC_Os03g62640,153,226,272,136,145,97,83,56,64,12,109,89
Chr3-35447557,LOC_Os03g62640,3,6,3,0,0,0,0,1,0,0,0,0
Chr3-35447302,LOC_Os03g62640,7,12,9,0,0,0,0,0,2,0,0,0
Chr3-35664360,LOC_Os03g63074,1444,1651,1239,6,3,6,112,75,77,7,7,21
Chr3-35659856,LOC_Os03g63074,2,0,2,11,16,20,5,2,4,1,2,1
Chr3-35660476,LOC_Os03g63074,1,1,0,0,0,0,0,0,0,0,0,0
Chr3-35665518,LOC_Os03g63074,8,6,0,0,0,0,0,0,0,0,0,0
Chr3+36175491,LOC_Os03g64010,7,7,4,11,19,14,14,13,13,15,28,33
Chr3+36175371,LOC_Os03g64010,53,36,34,182,185,178,46,27,42,66,64,59
Chr3+36175655,LOC_Os03g64010,0,8,8,1,0,0,1,0,0,0,0,0
Chr3-36265888,LOC_Os03g64190,12,15,20,0,0,0,1,2,1,1,0,0
Chr3-36265551,LOC_Os03g64190,109,98,98,76,94,53,44,55,69,58,66,29
Chr3-36265422,LOC_Os03g64190,7,13,17,1,4,1,2,1,1,0,0,0
Chr4-227055,LOC_Os04g01300,25,18,33,7,2,7,5,10,15,2,5,4
Chr4-226904,LOC_Os04g01300,109,126,55,174,156,166,94,66,110,243,133,82
Chr4-4446093,LOC_Os04g08330,7,9,7,0,6,5,11,10,10,43,57,8
Chr4-4446276,LOC_Os04g08330,8,7,5,43,40,30,37,42,36,17,28,3
Chr4-4446462,LOC_Os04g08330,16,7,20,20,21,17,23,20,18,2,2,0
Chr4+4455326,LOC_Os04g08340,1,0,6,3,1,4,8,4,7,0,5,9
Chr4+4455129,LOC_Os04g08340,1,3,14,4,3,0,1,1,0,0,0,0
Chr4+4455602,LOC_Os04g08340,0,0,0,1,1,1,2,1,2,0,0,0
Chr4+4455445,LOC_Os04g08340,0,0,0,3,3,2,4,2,4,0,0,0
Chr4-8310605,LOC_Os04g14790,1,1,1,0,2,2,0,2,1,0,0,0
Chr4-8307366,LOC_Os04g14790,104,234,176,98,87,114,148,111,123,97,0,44
Chr4-13821867,LOC_Os04g24170,1,13,9,4,4,0,0,1,0,10,0,10
Chr4-13821597,LOC_Os04g24170,15,17,12,7,4,4,4,4,4,0,1,0
Chr4-13822060,LOC_Os04g24170,12,19,29,2,0,1,0,0,1,0,0,0
Chr4-13821797,LOC_Os04g24170,138,130,122,126,109,124,43,45,39,126,64,190
Chr4-16645532,LOC_Os04g28180,20,13,9,8,3,5,9,9,8,0,0,0
Chr4-16645840,LOC_Os04g28180,2303,2332,2277,518,554,545,658,625,636,1012,1215,1304
Chr4-16645602,LOC_Os04g28180,10,10,6,0,0,0,2,1,2,0,0,0
Chr4+19411544,LOC_Os04g32370,6,21,15,39,38,38,9,18,13,117,41,141
Chr4+19418448,LOC_Os04g32370,46,46,48,34,35,16,71,66,62,1,0,0
