chrstrandcoord,gene,shoot1,shoot2,shoot3,root_60days1,root_60days2,root_60days3,husk1,husk2,husk3,pistil1,pistil2,pistil3
Chr2+18712002,LOC_Os02g31220,79,72,83,56,84,51,79,79,86,111,131,119
Chr2+18711652,LOC_Os02g31220,5,6,17,14,15,14,14,18,21,22,25,19
Chr2+18706759,LOC_Os02g31220,1,0,0,1,1,0,3,4,2,0,0,0
Chr2+18712273,LOC_Os02g31220,16,22,15,21,24,23,36,22,27,22,8,15
Chr2+18711507,LOC_Os02g31220,0,1,0,1,0,0,0,0,2,4,6,0
Chr2+18711396,LOC_Os02g31220,0,3,1,0,4,3,3,3,3,0,1,1
Chr2-18889903,LOC_Os02g31960,8,7,14,4,3,4,9,15,2,15,8,0
Chr2-18889982,LOC_Os02g31960,5,6,0,3,6,4,6,7,7,27,26,8
Chr2-19309755,LOC_Os02g32590,7,6,17,475,424,413,53,46,36,85,93,83
Chr2-19309512,LOC_Os02g32590,0,0,0,4,4,2,0,0,0,0,1,0
Chr2-19312149,LOC_Os02g32590,0,1,2,38,37,39,1,3,2,13,11,11
Chr2-19406144,LOC_Os02g32690,0,1,1,1,0,0,0,1,0,0,0,0
Chr2-19415539,LOC_Os02g32690,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-19405398,LOC_Os02g32690,0,0,1,1,8,6,1,1,0,0,0,0
Chr2-19405267,LOC_Os02g32690,1,1,2,1,0,3,0,0,0,0,0,0
Chr2-19406584,LOC_Os02g32690,0,1,0,2,2,3,1,2,1,0,0,0
Chr2-19406282,LOC_Os02g32690,1,0,1,1,2,2,0,0,0,0,0,0
Chr2-19405538,LOC_Os02g32690,1,8,15,1,6,11,0,0,0,0,0,0
Chr2-21411357,LOC_Os02g35590,0,0,0,0,0,0,3,2,3,0,0,0
Chr2-21410581,LOC_Os02g35590,0,0,1,3,3,4,0,3,0,0,0,0
Chr2-21410854,LOC_Os02g35590,126,129,118,97,124,83,139,240,69,60,54,61
Chr2+21417192,LOC_Os02g35600,79,104,89,30,37,37,93,104,115,205,175,219
Chr2+21414776,LOC_Os02g35600,3,0,0,0,0,0,0,0,0,0,0,0
Chr2+21417451,LOC_Os02g35600,0,1,1,1,1,0,1,2,0,0,0,0
Chr2+21414661,LOC_Os02g35600,0,0,0,0,0,0,0,1,0,1,1,0
Chr2-22365525,LOC_Os02g37030,0,0,0,2,1,2,0,4,1,1,0,1
Chr2-22365434,LOC_Os02g37030,49,43,46,44,47,46,56,47,52,52,42,35
Chr2-22365325,LOC_Os02g37030,75,69,65,73,79,80,60,62,62,61,60,60
Chr2-23768598,LOC_Os02g39384,0,0,0,0,0,0,0,0,0,3,2,1
Chr2-23768788,LOC_Os02g39384,0,0,0,0,0,1,0,0,0,2,2,2
Chr2-23768996,LOC_Os02g39384,0,0,0,0,0,7,0,0,0,0,0,0
Chr2-24976333,LOC_Os02g41630,1,0,0,1,0,0,0,0,0,0,1,0
Chr2-24973449,LOC_Os02g41630,8704,7994,8252,8777,8943,8238,11137,11192,11366,557,400,380
Chr2-24985293,LOC_Os02g41650,2844,2916,2962,7280,5478,6743,1965,2025,2013,710,726,720
Chr2-24989309,LOC_Os02g41650,11,12,10,40,30,44,0,0,0,1,1,0
Chr2-24988736,LOC_Os02g41650,76,58,76,59,47,52,8,7,5,2,0,1
Chr2-24984870,LOC_Os02g41650,2,2,2,13,7,7,4,1,1,1,3,2
Chr2-24985579,LOC_Os02g41650,16,11,15,9,10,12,53,52,58,1,3,3
Chr2-24988487,LOC_Os02g41650,32,28,29,25,24,27,2,1,3,5,2,4
Chr2-25252915,LOC_Os02g42020,5,6,9,7,5,2,0,2,3,2,3,2
Chr2-25250919,LOC_Os02g42020,1,6,9,0,2,0,1,1,1,2,2,2
Chr2-25243157,LOC_Os02g42020,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-25242586,LOC_Os02g42020,43,46,43,138,137,140,127,107,111,104,109,114
Chr2-25251004,LOC_Os02g42020,3,10,7,12,11,13,7,7,12,11,11,5
Chr2+25400795,LOC_Os02g42220,12,9,3,1,1,1,15,14,17,1,1,2
Chr2+25404079,LOC_Os02g42220,16,16,16,0,1,2,21,25,31,2,3,4
Chr2+25404328,LOC_Os02g42220,0,1,4,0,0,0,3,0,3,0,2,0
Chr2+25404210,LOC_Os02g42220,177,169,146,33,36,32,217,188,203,60,54,57
Chr2+26519762,LOC_Os02g43930,0,0,0,0,0,1,0,0,0,1,2,0
Chr2+26523221,LOC_Os02g43930,176,193,149,468,422,437,334,335,325,628,603,639
Chr2-26866894,LOC_Os02g44380,0,0,0,1,0,0,0,0,2,4,0,0
Chr2-26866526,LOC_Os02g44380,3,5,5,4,1,2,6,6,8,16,14,8
Chr2-26875346,LOC_Os02g44380,1,3,0,0,1,0,0,1,0,0,0,0
Chr2+27389105,LOC_Os02g45150,0,0,0,0,0,0,0,0,0,1,2,0
Chr2+27387494,LOC_Os02g45150,11,9,11,2,2,2,1,0,0,24,1,23
Chr2+27387677,LOC_Os02g45150,4,1,2,4,3,3,10,6,10,2,3,4
Chr2-28109647,LOC_Os02g46120,0,0,0,0,1,0,2,1,0,3,2,2
Chr2-28109106,LOC_Os02g46120,1,0,0,2,0,0,1,0,2,2,3,2
Chr2-28108635,LOC_Os02g46120,2,2,2,4,2,5,1,3,4,1,2,1
Chr2-28109791,LOC_Os02g46120,1,0,0,0,2,0,2,2,1,6,4,5
Chr2+28118869,LOC_Os02g46130,1,4,2,4,4,3,0,4,2,2,0,0
Chr2+28118978,LOC_Os02g46130,7,7,7,13,15,13,6,4,6,6,4,4
Chr2+28118684,LOC_Os02g46130,63,74,102,84,80,84,96,99,95,97,88,99
Chr2-28290012,LOC_Os02g46440,7,5,7,0,0,1,4,3,3,6,3,2
Chr2-28289764,LOC_Os02g46440,16,20,9,3,1,4,8,3,2,1,1,1
Chr2-28290945,LOC_Os02g46440,195,159,206,12,6,7,27,9,29,58,58,69
Chr2-28480797,LOC_Os02g46660,0,0,0,0,0,0,0,1,0,0,0,0
Chr2-28480842,LOC_Os02g46660,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-28480903,LOC_Os02g46660,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-28478685,LOC_Os02g46660,78,83,97,23,15,17,31,54,57,11,5,6
Chr2-29226666,LOC_Os02g47790,11,14,17,17,17,14,0,0,0,1,2,1
Chr2-29228191,LOC_Os02g47790,3,2,1,3,0,2,0,1,0,0,0,0
Chr2+29801902,LOC_Os02g48680,1,1,0,1,1,2,2,0,0,3,3,0
Chr2+29801621,LOC_Os02g48680,29,30,31,28,31,28,27,29,33,65,77,77
Chr2+30448040,LOC_Os02g49820,0,7,7,5,0,0,9,3,0,7,10,11
Chr2+30445332,LOC_Os02g49820,2,3,3,3,2,3,1,2,3,0,0,0
Chr2+30447973,LOC_Os02g49820,20,30,18,0,1,0,12,12,12,24,21,18
Chr2-31120619,LOC_Os02g50910,11,19,10,21,8,9,0,7,2,5,4,4
Chr2-31123299,LOC_Os02g50910,2,0,4,1,0,0,0,2,2,0,0,0
Chr2-31123156,LOC_Os02g50910,0,0,1,0,0,0,1,0,1,0,1,0
Chr2-31538242,LOC_Os02g51500,0,0,1,2,0,5,6,6,0,5,5,5
Chr2-31535365,LOC_Os02g51500,270,205,242,285,277,190,127,138,141,80,58,68
Chr2-31535306,LOC_Os02g51500,51,57,55,104,83,96,78,84,67,23,23,5
Chr2+32961389,LOC_Os02g53810,5,9,6,5,4,5,5,4,6,9,10,7
Chr2+32961350,LOC_Os02g53810,10,14,13,12,10,30,37,27,29,27,29,30
Chr2+33727675,LOC_Os02g55060,650,550,592,433,386,369,614,743,548,207,194,196
Chr2+33727915,LOC_Os02g55060,3,0,2,0,0,0,2,2,1,0,0,2
Chr2+33728174,LOC_Os02g55060,0,2,0,1,0,2,2,3,4,1,1,1
Chr2+33733905,LOC_Os02g55070,0,1,0,0,0,0,0,0,1,0,0,0
Chr2+33733819,LOC_Os02g55070,0,0,0,0,0,0,0,0,0,0,0,0
Chr2+33729982,LOC_Os02g55070,0,1,0,0,0,0,0,0,0,0,0,0
Chr2-34915930,LOC_Os02g56980,14,7,21,33,37,31,60,67,63,49,44,50
Chr2-34916000,LOC_Os02g56980,0,0,0,0,0,0,3,2,2,1,0,1
Chr2+35004795,LOC_Os02g57150,63,81,69,88,91,76,56,51,71,95,90,96
Chr2+35004132,LOC_Os02g57150,2,3,3,4,5,2,3,3,3,1,1,1
Chr2+35004918,LOC_Os02g57150,3,2,2,3,7,4,0,0,0,3,5,5
Chr2+35683362,LOC_Os02g58330,0,0,0,1,1,2,0,0,0,1,2,2
Chr2+35683539,LOC_Os02g58330,0,0,1,0,0,0,1,2,1,2,3,0
Chr2+35806327,LOC_Os02g58570,30,30,27,47,37,30,37,41,41,48,47,47
Chr2+35806783,LOC_Os02g58570,4,5,3,5,4,5,1,4,0,4,0,9
Chr3+263497,LOC_Os03g01350,2,7,4,2,4,9,0,1,1,1,0,1
Chr3+264263,LOC_Os03g01350,53,52,51,111,82,89,3,6,2,8,11,12
Chr3+263679,LOC_Os03g01350,1,0,0,0,0,0,0,0,0,0,0,0
Chr3+268702,LOC_Os03g01360,0,0,0,0,0,0,0,0,0,0,0,0
Chr3+272500,LOC_Os03g01360,1,0,4,0,0,0,0,0,0,0,0,1
Chr3+277286,LOC_Os03g01360,1,1,1,0,3,1,0,0,0,1,0,1
Chr3+272747,LOC_Os03g01360,11,5,3,2,8,8,2,2,2,0,0,0
Chr3+274944,LOC_Os03g01360,0,0,0,0,0,1,0,0,0,0,0,0
Chr3+274763,LOC_Os03g01360,48,43,37,46,45,41,6,6,5,6,5,8
Chr3+274995,LOC_Os03g01360,0,0,0,0,0,0,0,0,0,0,0,0
Chr3+270943,LOC_Os03g01360,0,0,0,2,3,2,1,3,11,6,7,7
Chr3+272581,LOC_Os03g01360,16,29,24,29,3,34,1,2,7,9,7,9
Chr3-356966,LOC_Os03g01570,0,0,0,0,0,0,0,0,1,0,0,0
Chr3-356870,LOC_Os03g01570,86,79,77,8,17,21,79,74,70,22,55,50
Chr3-560631,LOC_Os03g01910,0,0,0,1,1,1,3,4,1,0,0,0
Chr3-560194,LOC_Os03g01910,0,3,1,1,1,1,0,2,2,0,0,0
Chr3-560399,LOC_Os03g01910,649,592,636,551,539,516,278,422,361,500,560,581
Chr3+909800,LOC_Os03g02480,0,0,0,0,0,0,0,0,0,0,0,0
Chr3+909945,LOC_Os03g02480,12,25,21,15,27,15,23,17,25,54,47,31
Chr3-1499663,LOC_Os03g03470,67,73,62,0,0,0,17,13,16,5,4,4
Chr3-1500269,LOC_Os03g03470,5,5,8,0,0,0,1,2,0,4,10,9
Chr3-1499971,LOC_Os03g03470,71,66,68,0,0,0,5,5,7,4,5,3
Chr3-1720577,LOC_Os03g03830,0,0,0,0,0,0,0,0,1,0,0,1
Chr3-1720157,LOC_Os03g03830,137,134,127,82,88,107,82,78,81,104,93,95
Chr3+1833036,LOC_Os03g04020,195,164,170,476,608,546,366,427,440,138,175,151
Chr3+1833109,LOC_Os03g04020,6,0,0,15,9,11,3,1,2,1,4,0
Chr3+1833465,LOC_Os03g04020,0,0,0,1,0,2,2,4,6,0,0,0
Chr3-1948391,LOC_Os03g04240,8,16,14,3,2,1,0,0,0,1,3,1
Chr3-1948315,LOC_Os03g04240,54,47,66,42,37,53,1,2,2,4,4,2
Chr3+2101873,LOC_Os03g04500,0,0,0,4,2,0,1,2,2,1,0,0
Chr3+2102000,LOC_Os03g04500,4,12,5,16,9,17,20,20,19,10,12,6
Chr3+2875165,LOC_Os03g05760,0,0,1,34,25,47,0,0,0,2,9,3
Chr3+2875336,LOC_Os03g05760,29,26,24,299,341,324,32,26,28,41,47,34
Chr3+2871223,LOC_Os03g05760,0,0,1,20,11,16,2,0,0,0,0,1
Chr3+2871081,LOC_Os03g05760,1,0,0,2,0,4,0,0,0,1,1,1
Chr3+3189514,LOC_Os03g06370,0,2,2,2,4,2,0,2,0,4,3,4
Chr3+3188701,LOC_Os03g06370,2,0,0,0,5,0,0,0,0,2,2,1
Chr3+3189326,LOC_Os03g06370,1,1,1,1,0,0,3,2,2,8,8,6
Chr3-3931613,LOC_Os03g07739,0,1,0,2,1,2,3,2,2,5,7,5
Chr3-3931348,LOC_Os03g07739,27,24,26,9,5,9,12,9,12,38,32,41
Chr3-3931235,LOC_Os03g07739,4,1,5,1,6,4,2,0,3,8,10,1
Chr3+3983476,LOC_Os03g07820,5,2,5,4,0,6,1,4,0,1,2,1
Chr3+3983550,LOC_Os03g07820,18,16,8,13,13,14,8,3,4,4,2,10
Chr3+3983387,LOC_Os03g07820,1,0,0,0,0,0,0,0,0,0,0,0
Chr3-4946381,LOC_Os03g09930,43,42,47,14,13,9,46,25,30,21,22,24
Chr3-4952855,LOC_Os03g09930,0,0,0,1,3,1,1,2,2,3,2,2
Chr3-4953231,LOC_Os03g09930,9,6,4,9,10,7,18,32,10,22,29,25
Chr3-5297912,LOC_Os03g10400,0,0,0,0,0,0,0,0,0,1,0,1
Chr3-5298414,LOC_Os03g10400,0,0,0,0,1,0,0,2,2,0,1,1
Chr3-5297295,LOC_Os03g10400,27,25,21,23,22,22,28,30,26,54,37,36
Chr3-5297655,LOC_Os03g10400,13,15,20,12,13,14,15,15,14,15,17,21
Chr3-5298441,LOC_Os03g10400,2,0,2,2,3,2,6,2,4,0,1,3
Chr3-5348422,LOC_Os03g10510,406,413,437,384,375,385,173,174,170,144,119,147
Chr3-5348097,LOC_Os03g10510,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-5779675,LOC_Os03g11240,1,1,1,1,1,1,2,2,0,7,7,9
Chr3-5779638,LOC_Os03g11240,61,66,59,42,36,24,50,45,37,116,125,106
Chr3-7103254,LOC_Os03g13170,1,1,0,0,0,0,0,0,0,4,3,4
Chr3-7103455,LOC_Os03g13170,1,0,1,0,1,0,1,0,2,0,1,4
Chr3-7102176,LOC_Os03g13170,1102,1124,1206,1293,1171,1380,796,748,710,1048,1053,1103
Chr3-7101925,LOC_Os03g13170,0,0,0,2,1,0,2,2,5,0,0,0
Chr3-7103812,LOC_Os03g13170,0,0,0,0,0,0,0,0,0,0,1,0
Chr3-7102010,LOC_Os03g13170,10,15,4,7,6,8,6,2,7,5,6,3
Chr3-7102946,LOC_Os03g13170,7,2,6,0,6,4,3,4,0,21,21,29
Chr3-7102730,LOC_Os03g13170,0,0,0,0,0,0,1,0,2,8,13,10
Chr3+7231671,LOC_Os03g13390,3,4,1,11,12,11,1,2,1,0,0,1
Chr3+7231779,LOC_Os03g13390,1,1,0,0,2,0,0,0,0,0,0,0
Chr3+7231507,LOC_Os03g13390,24,26,34,96,74,77,26,23,3,4,2,1
Chr3+7675319,LOC_Os03g14120,4,3,3,0,0,1,3,4,0,1,1,1
Chr3+7675543,LOC_Os03g14120,28,24,25,1,6,0,13,7,10,4,2,6
Chr3+7675886,LOC_Os03g14120,43,38,47,7,6,10,28,40,33,42,48,33
Chr3+7676702,LOC_Os03g14120,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-7847873,LOC_Os03g14450,3,1,2,3,2,2,6,0,10,3,3,5
Chr3-7847996,LOC_Os03g14450,353,348,336,616,520,573,592,583,685,329,336,327
Chr3-8547193,LOC_Os03g15540,2,0,1,3,2,2,0,0,0,3,3,3
Chr3-8546870,LOC_Os03g15540,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-8546947,LOC_Os03g15540,68,74,60,80,77,81,45,59,90,127,135,127
Chr3-8581457,LOC_Os03g15580,22,21,21,15,12,15,18,28,22,16,18,21
Chr3-8581591,LOC_Os03g15580,5,0,8,7,2,2,3,4,4,3,4,10
Chr3+9016497,LOC_Os03g16334,89,92,90,43,52,49,108,93,76,39,43,44
Chr3+9016764,LOC_Os03g16334,0,0,0,3,2,4,0,0,1,0,0,0
Chr3+9014396,LOC_Os03g16334,1,1,0,0,0,0,1,0,3,0,0,0
Chr3+9252238,LOC_Os03g16700,41,46,44,101,90,128,49,43,68,27,29,31
Chr3+9249735,LOC_Os03g16700,0,0,1,2,4,2,4,3,3,0,0,0
Chr3+9252587,LOC_Os03g16700,164,175,166,380,477,403,277,271,170,72,60,65
Chr3+9247927,LOC_Os03g16700,0,0,0,0,0,0,4,5,2,0,1,0
Chr3-10123820,LOC_Os03g18130,0,0,0,0,1,0,0,0,0,0,0,0
Chr3-10120288,LOC_Os03g18130,94,100,125,218,183,227,198,176,175,144,151,92
Chr3-10196515,LOC_Os03g18190,2,1,2,1,1,2,0,1,1,0,0,0
Chr3-10191681,LOC_Os03g18190,1,0,0,1,0,1,3,3,1,5,6,4
Chr3-10478483,LOC_Os03g18720,91,90,99,122,88,116,72,102,91,125,128,131
Chr3-10480975,LOC_Os03g18720,0,0,0,0,0,0,2,2,1,0,0,0
Chr3-10478135,LOC_Os03g18720,1,3,1,1,4,6,1,0,3,7,6,2
Chr3-10478323,LOC_Os03g18720,11,10,10,10,9,10,5,5,5,17,20,9
Chr3-11007598,LOC_Os03g19580,61,80,64,211,177,135,66,90,69,39,42,40
Chr3-11007785,LOC_Os03g19580,0,0,0,0,2,0,0,0,2,0,0,0
Chr3+11272950,LOC_Os03g20010,87,74,96,11,14,14,62,65,61,28,28,31
Chr3+11273211,LOC_Os03g20010,3,11,1,0,1,3,5,6,7,8,9,9
Chr3-12358932,LOC_Os03g21650,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-12359111,LOC_Os03g21650,0,0,0,1,1,0,0,0,0,0,0,0
Chr3+12494791,LOC_Os03g21850,6,7,7,7,8,6,3,3,0,1,1,1
Chr3+12493764,LOC_Os03g21850,0,0,0,0,0,0,0,0,0,0,0,0
Chr3+12495617,LOC_Os03g21850,0,0,0,0,0,1,5,2,2,0,1,2
Chr3+12500195,LOC_Os03g21850,1,2,3,0,6,5,7,8,6,4,2,7
Chr3+12500011,LOC_Os03g21850,36,38,41,31,36,30,117,119,114,162,154,157
Chr3-12823606,LOC_Os03g22400,9,7,11,6,5,5,3,2,10,2,2,2
Chr3-12823981,LOC_Os03g22400,45,33,33,24,21,37,41,67,72,98,62,100
Chr3-12823726,LOC_Os03g22400,13,6,10,8,9,9,18,3,18,10,4,7
Chr3-13122593,LOC_Os03g22720,41,22,38,22,21,23,27,21,26,43,34,42
Chr3-13122744,LOC_Os03g22720,1,1,1,0,0,0,5,3,5,4,5,6
Chr3-15967318,LOC_Os03g27830,1,5,6,1,2,0,4,3,3,2,2,2
Chr3-15969754,LOC_Os03g27830,4,5,1,0,1,0,1,0,0,0,0,0
Chr3-15967901,LOC_Os03g27830,6,6,6,3,5,4,33,22,24,16,21,21
Chr3-15967045,LOC_Os03g27830,0,0,0,0,0,2,0,1,0,0,0,1
Chr3-15968050,LOC_Os03g27830,3,2,1,1,2,0,9,7,16,3,0,2
Chr3-15966789,LOC_Os03g27830,0,1,1,0,1,1,0,0,1,0,0,0
Chr3+16632280,LOC_Os03g29240,0,0,0,8,2,8,0,0,0,0,0,0
Chr3+16631923,LOC_Os03g29240,164,120,134,1276,1820,782,296,300,272,153,139,168
Chr3-17265532,LOC_Os03g30260,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-17262563,LOC_Os03g30260,0,3,1,2,1,3,1,1,0,3,0,0
Chr3-17262487,LOC_Os03g30260,0,4,1,3,2,3,5,7,6,8,11,10
Chr3-19518896,LOC_Os03g34300,142,156,148,67,80,67,112,88,86,65,75,67
Chr3-19519047,LOC_Os03g34300,4,0,6,0,0,0,5,6,1,2,3,1
Chr3-21002655,LOC_Os03g37840,4,5,10,6,6,6,2,0,1,0,0,0
Chr3-21003023,LOC_Os03g37840,3,1,0,1,1,0,1,10,3,0,0,0
Chr3-21002883,LOC_Os03g37840,15,7,10,8,9,9,16,26,28,0,0,0
Chr3-22168103,LOC_Os03g39860,1,3,2,2,1,1,0,0,0,0,1,0
Chr3-22167896,LOC_Os03g39860,1,1,3,0,0,0,0,0,1,1,0,0
Chr3-22164643,LOC_Os03g39860,122,118,125,121,128,122,61,58,64,48,46,54
Chr3-22167574,LOC_Os03g39860,3,0,0,5,3,3,2,2,1,0,0,0
Chr3-22169781,LOC_Os03g39860,0,0,0,0,0,0,0,0,0,0,0,0
Chr3+22377852,LOC_Os03g40260,0,0,0,0,0,0,0,0,0,0,0,0
Chr3+22380017,LOC_Os03g40260,0,0,0,1,0,1,0,0,0,0,0,0
Chr3+22377915,LOC_Os03g40260,0,0,0,0,0,0,0,0,0,0,0,0
Chr3+22380147,LOC_Os03g40260,19,29,54,23,19,17,12,12,15,23,14,35
Chr3-24049423,LOC_Os03g43114,0,0,0,0,0,0,0,0,0,2,0,0
Chr3-24052867,LOC_Os03g43114,2,7,12,0,0,0,0,0,0,1,1,1
Chr3-24052315,LOC_Os03g43114,7,8,8,0,0,0,3,3,7,0,0,0
Chr3-24053082,LOC_Os03g43114,2,3,0,0,0,0,1,1,1,0,0,0
Chr3+26439236,LOC_Os03g46710,45,50,37,28,26,22,23,19,24,45,37,32
Chr3+26439085,LOC_Os03g46710,12,5,22,18,15,17,6,4,5,4,18,6
Chr3+27123759,LOC_Os03g47780,55,59,52,28,34,42,40,41,42,34,33,31
Chr3+27120063,LOC_Os03g47780,0,1,0,0,0,0,0,1,0,0,0,0
Chr3+27256555,LOC_Os03g47940,139,116,155,0,0,0,76,75,76,494,493,498
Chr3+27252695,LOC_Os03g47940,1,2,3,0,0,0,0,0,0,1,0,0
Chr3-27300750,LOC_Os03g48030,10,10,9,1,2,1,0,0,1,3,4,0
Chr3-27300866,LOC_Os03g48030,13,33,43,3,0,2,4,6,5,9,7,0
Chr3-27300940,LOC_Os03g48030,0,1,0,0,0,0,0,0,0,0,0,0
Chr3-27300989,LOC_Os03g48030,1,0,2,0,0,0,0,0,0,0,0,0
Chr3+27825665,LOC_Os03g48840,28,41,42,26,25,11,33,32,41,54,60,52
Chr3+27823905,LOC_Os03g48840,0,0,0,0,0,0,0,0,1,0,0,0
Chr3-30062335,LOC_Os03g52340,42,44,43,359,374,374,24,47,66,37,34,53
Chr3-30062223,LOC_Os03g52340,2,0,5,10,6,4,4,3,5,0,0,1
Chr3-32360717,LOC_Os03g56790,466,478,487,627,614,574,1012,999,1009,350,366,351
Chr3-32361758,LOC_Os03g56790,0,0,0,0,0,0,2,2,2,0,0,0
Chr3-32363116,LOC_Os03g56790,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-32363706,LOC_Os03g56790,0,0,0,0,0,0,2,2,2,0,0,0
Chr3+32378357,LOC_Os03g56820,70,71,57,34,30,35,63,26,43,155,140,154
Chr3+32378673,LOC_Os03g56820,17,22,13,8,7,4,14,12,2,24,29,27
Chr3-32570108,LOC_Os03g57130,0,2,1,1,0,1,12,1,6,0,0,3
Chr3-32570066,LOC_Os03g57130,41,48,49,71,61,91,80,118,104,40,42,40
Chr3+33035379,LOC_Os03g58010,7,5,4,22,11,19,3,0,1,0,2,2
Chr3+33035627,LOC_Os03g58010,1,1,1,10,10,11,0,1,0,0,0,0
Chr3+33187191,LOC_Os03g58240,65,69,56,84,86,85,24,26,16,54,48,42
Chr3+33183983,LOC_Os03g58240,1,0,0,0,0,0,0,0,0,0,0,0
Chr3-33190872,LOC_Os03g58250,7,3,6,7,12,14,11,13,0,4,2,3
Chr3-33187380,LOC_Os03g58250,22,15,39,148,132,142,43,28,39,41,30,44
Chr3-33539234,LOC_Os03g58910,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-33530087,LOC_Os03g58910,20,15,25,35,35,33,23,23,26,21,21,25
Chr3-33530530,LOC_Os03g58910,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-33530257,LOC_Os03g58910,0,0,0,0,0,0,2,1,0,0,0,0
Chr3-33530461,LOC_Os03g58910,0,0,0,0,0,0,0,0,0,0,0,0
Chr3+33713385,LOC_Os03g59200,32,34,29,0,1,3,12,0,9,35,31,35
Chr3+33713543,LOC_Os03g59200,17,21,15,2,1,2,4,1,6,17,19,17
Chr3+33713681,LOC_Os03g59200,6,4,4,0,1,0,3,2,1,3,2,1
Chr3+33734975,LOC_Os03g59240,110,126,111,27,32,24,29,31,30,61,68,76
Chr3+33735183,LOC_Os03g59240,15,15,17,0,1,2,6,9,15,10,12,11
Chr3+33734791,LOC_Os03g59240,2,3,4,1,1,2,0,0,2,1,1,0
Chr3-34820693,LOC_Os03g61340,104,110,105,62,98,86,121,107,110,79,77,68
Chr3-34820824,LOC_Os03g61340,5,7,9,7,11,9,12,11,12,8,5,13
Chr3-35447854,LOC_Os03g62640,0,0,0,0,0,0,2,1,0,1,1,1
Chr3-35446445,LOC_Os03g62640,50,57,98,15,152,63,69,71,70,123,122,106
Chr3-35447557,LOC_Os03g62640,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-35447302,LOC_Os03g62640,0,0,0,0,0,0,2,2,2,1,3,4
Chr3-35664360,LOC_Os03g63074,8,7,5,6,10,7,69,70,57,65,65,51
Chr3-35659856,LOC_Os03g63074,19,19,18,0,0,0,2,0,4,12,1,7
Chr3-35660476,LOC_Os03g63074,1,4,2,0,0,0,0,0,0,2,2,2
Chr3-35665518,LOC_Os03g63074,0,0,0,0,0,0,0,0,0,0,0,0
Chr3+36175491,LOC_Os03g64010,8,7,14,3,5,3,12,12,10,4,8,4
Chr3+36175371,LOC_Os03g64010,74,58,51,8,1,15,55,16,65,44,38,39
Chr3+36175655,LOC_Os03g64010,0,0,0,0,0,0,0,0,1,0,0,0
Chr3-36265888,LOC_Os03g64190,1,1,1,1,0,0,10,1,9,4,5,6
Chr3-36265551,LOC_Os03g64190,73,70,64,46,54,66,82,75,81,62,84,88
Chr3-36265422,LOC_Os03g64190,1,0,1,1,1,1,2,0,5,1,0,2
Chr4-227055,LOC_Os04g01300,34,51,51,20,32,24,24,14,21,12,16,18
Chr4-226904,LOC_Os04g01300,858,857,835,508,506,506,222,309,291,267,251,227
Chr4-4446093,LOC_Os04g08330,7,2,1,5,13,14,0,0,0,1,1,1
Chr4-4446276,LOC_Os04g08330,15,13,30,25,24,21,23,27,27,20,23,17
Chr4-4446462,LOC_Os04g08330,19,14,11,22,20,21,27,18,13,16,24,20
Chr4+4455326,LOC_Os04g08340,5,1,0,5,6,6,6,10,11,19,20,10
Chr4+4455129,LOC_Os04g08340,0,2,1,1,1,1,1,1,0,15,17,9
Chr4+4455602,LOC_Os04g08340,0,3,0,3,1,0,1,0,0,2,2,2
Chr4+4455445,LOC_Os04g08340,1,1,1,4,5,4,1,3,2,7,9,7
Chr4-8310605,LOC_Os04g14790,2,0,2,2,2,3,1,0,4,0,1,1
Chr4-8307366,LOC_Os04g14790,38,23,50,84,70,105,77,91,78,102,75,59
Chr4-13821867,LOC_Os04g24170,2,3,0,1,0,0,0,0,1,0,1,1
Chr4-13821597,LOC_Os04g24170,3,3,5,1,0,2,5,1,2,4,3,4
Chr4-13822060,LOC_Os04g24170,0,0,0,0,0,0,0,0,0,1,0,0
Chr4-13821797,LOC_Os04g24170,35,49,61,48,46,52,61,56,62,63,62,58
Chr4-16645532,LOC_Os04g28180,8,9,10,17,1,20,4,1,3,1,7,11
Chr4-16645840,LOC_Os04g28180,1453,1498,1430,1704,1720,1652,1094,1255,1063,1847,1922,1847
Chr4-16645602,LOC_Os04g28180,1,2,1,3,2,1,4,3,3,1,1,1
Chr4+19411544,LOC_Os04g32370,18,19,18,24,17,16,20,10,15,8,4,6
Chr4+19418448,LOC_Os04g32370,4,13,4,22,21,2,23,18,18,10,16,7
Chr4+19418720,LOC_Os04g32370,27,21,24,47,50,49,31,30,35,28,24,24
Chr4+19677678,LOC_Os04g32650,1,1,1,1,0,1,0,0,2,0,0,0
Chr4+19682169,LOC_Os04g32650,28,36,37,23,24,26,9,9,9,4,5,1
