"","chrstrandcoord","gene","endosperm1","endosperm2","endosperm3","shoot1","shoot2","shoot3","leaf_60days1","leaf_60days2","leaf_60days3","root_5days1","root_5days2","root_5days3"
"294","Chr2+9044660","LOC_Os02g15950",5,3,3,5,7,7,28,21,10,5,9,0
"295","Chr2+9046083","LOC_Os02g15950",1,0,3,3,3,4,28,20,18,0,6,1
"296","Chr2+9044737","LOC_Os02g15950",2,0,0,9,14,4,16,15,18,10,15,11
"297","Chr2-9913486","LOC_Os02g17292",0,0,0,5,3,1,3,3,7,2,4,2
"298","Chr2-9912522","LOC_Os02g17292",10,18,8,11,16,16,5,5,4,6,5,3
"299","Chr2-9913625","LOC_Os02g17292",0,0,0,1,2,2,1,1,1,7,3,2
"300","Chr2-9913669","LOC_Os02g17292",0,0,0,0,0,1,3,1,2,1,3,0
"301","Chr2-11160276","LOC_Os02g19140",0,0,0,0,0,0,0,0,0,0,0,0
"302","Chr2-11157250","LOC_Os02g19140",309,257,297,240,227,230,104,120,105,312,307,320
"303","Chr2-11159684","LOC_Os02g19140",17,21,32,2,4,0,0,1,0,2,3,2
"304","Chr2-15468574","LOC_Os02g26349",0,4,1,2,19,16,6,4,4,16,17,16
"305","Chr2-15468252","LOC_Os02g26349",32,44,31,7,7,10,19,18,19,13,14,8
"306","Chr2+15912986","LOC_Os02g27060",56,44,26,3,2,6,8,7,3,1,0,2
"307","Chr2+15913311","LOC_Os02g27060",5,8,8,0,0,0,0,0,2,0,0,0
"308","Chr2+15915382","LOC_Os02g27060",0,1,1,1,1,2,0,0,0,0,0,0
"309","Chr2+15915566","LOC_Os02g27060",33,31,30,43,47,46,114,129,118,20,21,20
"310","Chr2+16442642","LOC_Os02g27760",0,0,0,0,0,0,0,2,1,1,1,1
"311","Chr2+16442552","LOC_Os02g27760",1,2,1,4,2,2,0,2,0,2,4,1
"312","Chr2+16442445","LOC_Os02g27760",628,642,651,1086,1135,1179,384,386,375,1395,1572,1394
"313","Chr2-17244950","LOC_Os02g29130",0,0,0,0,0,0,0,0,0,0,0,0
"314","Chr2-17254219","LOC_Os02g29130",0,1,3,4,0,1,1,1,0,3,0,0
"315","Chr2+18712002","LOC_Os02g31220",90,97,114,79,72,83,103,96,105,67,71,65
"316","Chr2+18711652","LOC_Os02g31220",11,6,6,5,6,17,10,10,10,22,17,9
"317","Chr2+18706759","LOC_Os02g31220",0,2,5,1,0,0,0,2,1,0,1,1
"318","Chr2+18712273","LOC_Os02g31220",49,46,43,16,22,15,7,5,8,18,18,18
"319","Chr2+18711507","LOC_Os02g31220",1,0,0,0,1,0,1,0,1,0,0,1
"320","Chr2+18711396","LOC_Os02g31220",6,7,5,0,3,1,1,1,1,1,4,2
"321","Chr2-18889903","LOC_Os02g31960",3,2,1,8,7,14,20,14,11,10,8,9
"322","Chr2-18889982","LOC_Os02g31960",8,9,9,5,6,0,6,6,6,6,5,7
"323","Chr2-19309755","LOC_Os02g32590",233,278,210,7,6,17,65,66,64,2,4,2
"324","Chr2-19309512","LOC_Os02g32590",0,0,0,0,0,0,0,1,0,0,0,0
"325","Chr2-19312149","LOC_Os02g32590",34,30,31,0,1,2,0,2,0,2,0,1
"326","Chr2-19406144","LOC_Os02g32690",3,1,9,0,1,1,0,0,0,0,0,2
"327","Chr2-19415539","LOC_Os02g32690",1,0,0,0,0,0,0,0,0,0,0,0
"328","Chr2-19405398","LOC_Os02g32690",0,0,0,0,0,1,0,0,0,29,24,24
"329","Chr2-19405267","LOC_Os02g32690",0,0,0,1,1,2,0,0,0,10,12,13
"330","Chr2-19406584","LOC_Os02g32690",3,0,1,0,1,0,2,1,0,8,12,7
"331","Chr2-19406282","LOC_Os02g32690",3,3,5,1,0,1,0,0,0,1,1,1
"332","Chr2-19405538","LOC_Os02g32690",0,0,0,1,8,15,1,0,0,37,63,29
"333","Chr2-21411357","LOC_Os02g35590",6,6,5,0,0,0,1,0,0,0,0,0
"334","Chr2-21410581","LOC_Os02g35590",0,3,2,0,0,1,2,0,0,4,8,2
"335","Chr2-21410854","LOC_Os02g35590",248,233,242,126,129,118,187,209,201,86,93,102
"336","Chr2+21417192","LOC_Os02g35600",155,126,170,79,104,89,148,142,155,62,63,46
"337","Chr2+21414776","LOC_Os02g35600",7,8,7,3,0,0,0,0,0,0,0,0
"338","Chr2+21417451","LOC_Os02g35600",3,5,4,0,1,1,7,4,5,0,0,0
"339","Chr2+21414661","LOC_Os02g35600",7,5,10,0,0,0,0,0,0,1,1,1
"340","Chr2-22365525","LOC_Os02g37030",18,5,16,0,0,0,2,2,2,0,0,0
"341","Chr2-22365434","LOC_Os02g37030",101,85,89,49,43,46,145,146,82,20,35,17
"342","Chr2-22365325","LOC_Os02g37030",78,53,89,75,69,65,144,137,159,48,49,46
"343","Chr2-23768598","LOC_Os02g39384",0,0,0,0,0,0,0,0,0,1,0,0
"344","Chr2-23768788","LOC_Os02g39384",0,0,3,0,0,0,0,0,0,0,0,0
"345","Chr2-23768996","LOC_Os02g39384",0,0,0,0,0,0,0,0,0,3,0,3
"346","Chr2-24976333","LOC_Os02g41630",0,0,0,1,0,0,0,0,0,0,0,0
"347","Chr2-24973449","LOC_Os02g41630",287,403,234,8704,7994,8252,332,298,336,11145,11593,11132
"348","Chr2-24985293","LOC_Os02g41650",1137,683,555,2844,2916,2962,312,300,307,2829,2377,2714
"349","Chr2-24989309","LOC_Os02g41650",1,1,1,11,12,10,1,0,0,10,10,9
"350","Chr2-24988736","LOC_Os02g41650",0,1,0,76,58,76,1,1,0,36,43,45
"351","Chr2-24984870","LOC_Os02g41650",8,1,5,2,2,2,0,0,0,0,2,1
"352","Chr2-24985579","LOC_Os02g41650",2,1,3,16,11,15,0,0,1,21,18,39
"353","Chr2-24988487","LOC_Os02g41650",0,1,0,32,28,29,0,0,0,5,6,7
"354","Chr2-25252915","LOC_Os02g42020",0,0,0,5,6,9,1,0,4,3,4,3
"355","Chr2-25250919","LOC_Os02g42020",0,0,0,1,6,9,0,1,3,4,2,3
"356","Chr2-25243157","LOC_Os02g42020",8,5,4,0,0,0,0,0,0,0,0,0
"357","Chr2-25242586","LOC_Os02g42020",241,225,220,43,46,43,116,116,119,63,52,54
"358","Chr2-25251004","LOC_Os02g42020",13,11,13,3,10,7,13,14,19,10,10,9
"359","Chr2+25400795","LOC_Os02g42220",2,3,1,12,9,3,3,1,4,11,8,10
"360","Chr2+25404079","LOC_Os02g42220",1,3,0,16,16,16,8,6,5,13,12,19
"361","Chr2+25404328","LOC_Os02g42220",0,0,0,0,1,4,0,0,0,1,1,1
"362","Chr2+25404210","LOC_Os02g42220",0,1,4,177,169,146,164,156,161,135,135,137
"363","Chr2+26519762","LOC_Os02g43930",6,5,7,0,0,0,0,0,0,1,0,0
"364","Chr2+26523221","LOC_Os02g43930",975,960,917,176,193,149,335,337,327,186,232,213
"365","Chr2-26866894","LOC_Os02g44380",0,0,0,0,0,0,0,0,0,2,2,0
"366","Chr2-26866526","LOC_Os02g44380",2,0,1,3,5,5,0,0,0,0,0,0
"367","Chr2-26875346","LOC_Os02g44380",1,2,0,1,3,0,0,0,2,3,3,4
"368","Chr2+27389105","LOC_Os02g45150",36,15,56,0,0,0,0,0,0,2,4,3
"369","Chr2+27387494","LOC_Os02g45150",1,1,2,11,9,11,0,0,0,9,3,4
"370","Chr2+27387677","LOC_Os02g45150",49,39,37,4,1,2,1,0,1,5,5,4
"371","Chr2-28109647","LOC_Os02g46120",0,0,0,0,0,0,1,1,0,1,0,0
"372","Chr2-28109106","LOC_Os02g46120",2,1,3,1,0,0,4,3,1,0,1,1
"373","Chr2-28108635","LOC_Os02g46120",0,0,0,2,2,2,0,0,0,1,1,0
"374","Chr2-28109791","LOC_Os02g46120",3,8,6,1,0,0,2,1,1,0,0,0
"375","Chr2+28118869","LOC_Os02g46130",3,1,7,1,4,2,1,1,0,9,12,10
"376","Chr2+28118978","LOC_Os02g46130",6,6,3,7,7,7,11,9,7,13,13,14
"377","Chr2+28118684","LOC_Os02g46130",161,158,165,63,74,102,57,54,43,176,166,138
"378","Chr2-28290012","LOC_Os02g46440",0,0,0,7,5,7,0,1,5,0,0,1
"379","Chr2-28289764","LOC_Os02g46440",5,2,1,16,20,9,6,1,2,7,3,6
"380","Chr2-28290945","LOC_Os02g46440",11,15,14,195,159,206,104,101,94,11,16,18
"381","Chr2-28480797","LOC_Os02g46660",7,5,5,0,0,0,1,0,2,0,0,0
"382","Chr2-28480842","LOC_Os02g46660",11,19,3,0,0,0,0,1,0,0,0,0
"383","Chr2-28480903","LOC_Os02g46660",3,2,6,0,0,0,0,0,1,0,0,0
"384","Chr2-28478685","LOC_Os02g46660",18,22,21,78,83,97,483,439,458,44,42,53
"385","Chr2-29226666","LOC_Os02g47790",2,4,1,11,14,17,0,0,0,8,11,13
"386","Chr2-29228191","LOC_Os02g47790",3,3,2,3,2,1,0,0,0,1,1,0
"387","Chr2+29801902","LOC_Os02g48680",0,0,0,1,1,0,0,0,5,0,0,1
"388","Chr2+29801621","LOC_Os02g48680",43,40,49,29,30,31,45,45,44,47,61,64
"389","Chr2+30448040","LOC_Os02g49820",0,0,0,0,7,7,21,27,17,4,2,1
"390","Chr2+30445332","LOC_Os02g49820",4,8,7,2,3,3,3,0,0,8,3,2
"391","Chr2+30447973","LOC_Os02g49820",3,3,0,20,30,18,21,21,17,1,8,1
"392","Chr2-31120619","LOC_Os02g50910",0,1,2,11,19,10,0,0,0,18,19,18
"393","Chr2-31123299","LOC_Os02g50910",2,1,0,2,0,4,2,3,0,2,1,1
"394","Chr2-31123156","LOC_Os02g50910",0,1,0,0,0,1,1,1,0,1,0,1
"395","Chr2-31538242","LOC_Os02g51500",0,0,0,0,0,1,1,2,1,2,6,5
"396","Chr2-31535365","LOC_Os02g51500",196,167,174,270,205,242,334,239,358,285,283,321
"397","Chr2-31535306","LOC_Os02g51500",30,14,17,51,57,55,80,66,87,107,110,113
"398","Chr2+32961389","LOC_Os02g53810",6,0,13,5,9,6,0,0,1,4,7,2
"399","Chr2+32961350","LOC_Os02g53810",8,7,3,10,14,13,1,1,1,13,13,13
"400","Chr2+33727675","LOC_Os02g55060",541,468,534,650,550,592,738,723,709,334,315,322
"401","Chr2+33727915","LOC_Os02g55060",0,0,0,3,0,2,0,0,0,0,0,2
"402","Chr2+33728174","LOC_Os02g55060",9,5,7,0,2,0,4,0,1,0,0,0
"403","Chr2+33733905","LOC_Os02g55070",0,0,0,0,1,0,0,1,0,0,0,0
"404","Chr2+33733819","LOC_Os02g55070",0,0,0,0,0,0,0,0,0,0,0,0
"405","Chr2+33729982","LOC_Os02g55070",4,1,5,0,1,0,2,1,1,1,0,1
"406","Chr2-34915930","LOC_Os02g56980",32,51,40,14,7,21,36,36,53,19,19,15
"407","Chr2-34916000","LOC_Os02g56980",2,7,1,0,0,0,5,0,4,0,1,0
"408","Chr2+35004795","LOC_Os02g57150",131,115,69,63,81,69,32,28,30,140,148,151
"409","Chr2+35004132","LOC_Os02g57150",4,5,2,2,3,3,7,2,9,3,5,2
"410","Chr2+35004918","LOC_Os02g57150",0,1,2,3,2,2,2,1,0,10,5,10
"411","Chr2+35683362","LOC_Os02g58330",1,1,3,0,0,0,1,1,1,0,1,1
"412","Chr2+35683539","LOC_Os02g58330",4,0,0,0,0,1,2,0,2,1,1,1
"413","Chr2+35806327","LOC_Os02g58570",31,24,27,30,30,27,91,64,59,28,27,29
"414","Chr2+35806783","LOC_Os02g58570",31,25,17,4,5,3,11,12,16,4,5,2
"415","Chr3+263497","LOC_Os03g01350",10,0,30,2,7,4,5,4,6,3,2,4
"416","Chr3+264263","LOC_Os03g01350",36,11,9,53,52,51,32,39,30,33,33,36
"417","Chr3+263679","LOC_Os03g01350",7,5,7,1,0,0,0,0,0,0,0,0
"418","Chr3+268702","LOC_Os03g01360",2,2,4,0,0,0,1,1,5,0,0,0
"419","Chr3+272500","LOC_Os03g01360",10,6,8,1,0,4,2,1,1,1,0,0
"420","Chr3+277286","LOC_Os03g01360",23,48,33,1,1,1,3,5,0,0,1,1
"421","Chr3+272747","LOC_Os03g01360",8,4,3,11,5,3,3,2,4,4,3,4
"422","Chr3+274944","LOC_Os03g01360",6,4,5,0,0,0,0,0,0,1,1,0
"423","Chr3+274763","LOC_Os03g01360",3,48,43,48,43,37,65,46,54,22,26,29
"424","Chr3+274995","LOC_Os03g01360",7,4,5,0,0,0,1,0,1,0,0,0
"425","Chr3+270943","LOC_Os03g01360",0,0,0,0,0,0,1,0,0,0,0,0
"426","Chr3+272581","LOC_Os03g01360",26,30,28,16,29,24,9,40,59,13,20,13
"427","Chr3-356966","LOC_Os03g01570",3,5,3,0,0,0,1,0,0,0,0,0
"428","Chr3-356870","LOC_Os03g01570",57,85,57,86,79,77,135,133,136,34,34,35
"429","Chr3-560631","LOC_Os03g01910",3,3,0,0,0,0,0,0,1,1,1,1
"430","Chr3-560194","LOC_Os03g01910",0,0,0,0,3,1,0,0,0,7,7,5
"431","Chr3-560399","LOC_Os03g01910",480,501,513,649,592,636,280,346,323,744,686,815
"432","Chr3+909800","LOC_Os03g02480",5,2,0,0,0,0,0,0,0,0,0,0
"433","Chr3+909945","LOC_Os03g02480",23,20,32,12,25,21,6,6,7,53,34,43
"434","Chr3-1499663","LOC_Os03g03470",1,1,1,67,73,62,20,21,21,2,1,0
"435","Chr3-1500269","LOC_Os03g03470",0,0,0,5,5,8,2,0,1,1,0,0
"436","Chr3-1499971","LOC_Os03g03470",2,0,1,71,66,68,19,7,12,2,2,2
"437","Chr3-1720577","LOC_Os03g03830",9,4,11,0,0,0,0,0,0,0,0,0
"438","Chr3-1720157","LOC_Os03g03830",70,48,102,137,134,127,99,127,106,170,169,104
"439","Chr3+1833036","LOC_Os03g04020",245,221,286,195,164,170,869,859,907,107,95,87
"440","Chr3+1833109","LOC_Os03g04020",0,0,0,6,0,0,1,9,5,2,1,0
"441","Chr3+1833465","LOC_Os03g04020",0,2,0,0,0,0,0,1,2,0,0,0
"442","Chr3-1948391","LOC_Os03g04240",0,0,0,8,16,14,0,0,0,4,4,6
"443","Chr3-1948315","LOC_Os03g04240",1,1,1,54,47,66,0,0,0,73,52,46
"444","Chr3+2101873","LOC_Os03g04500",0,5,4,0,0,0,3,3,1,1,1,1
"445","Chr3+2102000","LOC_Os03g04500",68,3,14,4,12,5,9,4,15,8,8,8
"446","Chr3+2875165","LOC_Os03g05760",45,31,22,0,0,1,1,1,1,1,0,0
"447","Chr3+2875336","LOC_Os03g05760",33,40,11,29,26,24,32,63,36,22,15,21
"448","Chr3+2871223","LOC_Os03g05760",1,8,4,0,0,1,1,3,1,0,0,0
"449","Chr3+2871081","LOC_Os03g05760",4,14,22,1,0,0,0,0,0,0,0,0
"450","Chr3+3189514","LOC_Os03g06370",2,9,9,0,2,2,1,11,0,1,1,2
"451","Chr3+3188701","LOC_Os03g06370",0,0,0,2,0,0,0,0,1,2,2,2
"452","Chr3+3189326","LOC_Os03g06370",10,28,5,1,1,1,5,3,5,4,0,2
"453","Chr3-3931613","LOC_Os03g07739",21,11,10,0,1,0,4,3,3,0,2,0
"454","Chr3-3931348","LOC_Os03g07739",27,29,35,27,24,26,28,40,37,23,20,24
"455","Chr3-3931235","LOC_Os03g07739",0,0,0,4,1,5,6,6,0,6,5,0
"456","Chr3+3983476","LOC_Os03g07820",3,2,2,5,2,5,0,0,1,0,1,4
"457","Chr3+3983550","LOC_Os03g07820",0,3,2,18,16,8,15,12,13,18,18,19
"458","Chr3+3983387","LOC_Os03g07820",11,8,20,1,0,0,0,0,0,1,1,2
"459","Chr3-4946381","LOC_Os03g09930",15,52,9,43,42,47,25,23,27,6,7,8
"460","Chr3-4952855","LOC_Os03g09930",3,3,4,0,0,0,0,2,1,0,1,0
"461","Chr3-4953231","LOC_Os03g09930",20,7,23,9,6,4,7,6,7,6,4,7
"462","Chr3-5297912","LOC_Os03g10400",0,0,0,0,0,0,0,0,0,1,0,0
"463","Chr3-5298414","LOC_Os03g10400",2,4,7,0,0,0,0,0,0,0,0,0
"464","Chr3-5297295","LOC_Os03g10400",45,34,40,27,25,21,38,57,44,26,28,32
"465","Chr3-5297655","LOC_Os03g10400",11,9,17,13,15,20,15,20,15,25,16,22
"466","Chr3-5298441","LOC_Os03g10400",1,7,2,2,0,2,7,1,1,6,3,13
"467","Chr3-5348422","LOC_Os03g10510",143,135,143,406,413,437,162,219,156,838,813,818
"468","Chr3-5348097","LOC_Os03g10510",0,2,0,0,0,0,0,0,0,1,0,0
"469","Chr3-5779675","LOC_Os03g11240",22,14,4,1,1,1,2,2,0,1,2,0
"470","Chr3-5779638","LOC_Os03g11240",105,62,47,61,66,59,60,57,62,14,32,45
"471","Chr3-7103254","LOC_Os03g13170",4,6,4,1,1,0,0,0,0,0,0,0
"472","Chr3-7103455","LOC_Os03g13170",29,36,21,1,0,1,11,5,4,3,4,3
"473","Chr3-7102176","LOC_Os03g13170",1291,1143,1129,1102,1124,1206,415,494,449,1664,1467,1818
"474","Chr3-7101925","LOC_Os03g13170",0,1,14,0,0,0,3,6,1,1,4,0
"475","Chr3-7103812","LOC_Os03g13170",4,8,0,0,0,0,0,0,0,0,0,0
"476","Chr3-7102010","LOC_Os03g13170",0,2,2,10,15,4,0,0,0,6,5,9
"477","Chr3-7102946","LOC_Os03g13170",45,26,60,7,2,6,1,1,0,3,7,5
"478","Chr3-7102730","LOC_Os03g13170",0,4,12,0,0,0,0,0,0,2,0,2
"479","Chr3+7231671","LOC_Os03g13390",32,19,7,3,4,1,15,6,16,120,109,119
"480","Chr3+7231779","LOC_Os03g13390",1,0,1,1,1,0,0,3,1,15,17,11
"481","Chr3+7231507","LOC_Os03g13390",186,292,343,24,26,34,125,138,168,286,258,345
"482","Chr3+7675319","LOC_Os03g14120",5,9,9,4,3,3,3,3,0,2,1,1
"483","Chr3+7675543","LOC_Os03g14120",4,5,2,28,24,25,10,9,9,6,7,7
"484","Chr3+7675886","LOC_Os03g14120",4,3,2,43,38,47,14,17,17,24,18,31
"485","Chr3+7676702","LOC_Os03g14120",0,0,0,0,0,0,0,0,0,1,0,0
"486","Chr3-7847873","LOC_Os03g14450",5,4,4,3,1,2,0,1,0,9,9,9
"487","Chr3-7847996","LOC_Os03g14450",160,180,188,353,348,336,105,106,90,876,1077,1002
"488","Chr3-8547193","LOC_Os03g15540",20,10,24,2,0,1,0,4,1,1,0,1
"489","Chr3-8546870","LOC_Os03g15540",0,0,0,0,0,0,0,0,0,0,0,0
"490","Chr3-8546947","LOC_Os03g15540",30,36,32,68,74,60,81,82,72,113,135,143
"491","Chr3-8581457","LOC_Os03g15580",11,15,18,22,21,21,20,15,11,16,17,16
"492","Chr3-8581591","LOC_Os03g15580",48,16,2,5,0,8,2,8,5,5,2,3
"493","Chr3+9016497","LOC_Os03g16334",838,700,633,89,92,90,59,52,55,40,41,40
"494","Chr3+9016764","LOC_Os03g16334",28,5,14,0,0,0,0,0,0,0,0,0
"495","Chr3+9014396","LOC_Os03g16334",2,3,0,1,1,0,2,3,2,0,1,0
"496","Chr3+9252238","LOC_Os03g16700",55,53,54,41,46,44,108,89,83,27,25,27
"497","Chr3+9249735","LOC_Os03g16700",3,3,3,0,0,1,0,0,0,0,1,0
"498","Chr3+9252587","LOC_Os03g16700",86,105,54,164,175,166,242,237,273,107,128,128
"499","Chr3+9247927","LOC_Os03g16700",3,1,1,0,0,0,4,1,0,0,1,0
"500","Chr3-10123820","LOC_Os03g18130",3,3,1,0,0,0,3,2,3,0,0,0
"501","Chr3-10120288","LOC_Os03g18130",76,76,58,94,100,125,351,422,292,54,42,48
"502","Chr3-10196515","LOC_Os03g18190",4,3,3,2,1,2,2,3,5,2,2,2
"503","Chr3-10191681","LOC_Os03g18190",0,0,0,1,0,0,1,1,0,4,2,4
"504","Chr3-10478483","LOC_Os03g18720",177,162,110,91,90,99,133,140,124,142,139,146
"505","Chr3-10480975","LOC_Os03g18720",0,0,0,0,0,0,0,0,0,1,1,1
"506","Chr3-10478135","LOC_Os03g18720",39,23,81,1,3,1,4,2,3,4,4,4
"507","Chr3-10478323","LOC_Os03g18720",2,3,4,11,10,10,9,9,15,12,12,15
"508","Chr3-11007598","LOC_Os03g19580",48,48,46,61,80,64,81,92,85,158,167,162
"509","Chr3-11007785","LOC_Os03g19580",5,0,1,0,0,0,0,1,0,0,0,0
"510","Chr3+11272950","LOC_Os03g20010",20,1,16,87,74,96,205,217,206,39,39,36
"511","Chr3+11273211","LOC_Os03g20010",1,5,3,3,11,1,16,16,19,2,1,4
"512","Chr3-12358932","LOC_Os03g21650",22,40,41,0,0,0,0,0,0,0,0,0
"513","Chr3-12359111","LOC_Os03g21650",333,213,261,0,0,0,0,0,0,0,0,0
"514","Chr3+12494791","LOC_Os03g21850",0,3,7,6,7,7,4,10,6,6,7,6
"515","Chr3+12493764","LOC_Os03g21850",8,4,23,0,0,0,0,0,0,0,0,0
"516","Chr3+12495617","LOC_Os03g21850",0,1,0,0,0,0,0,0,0,0,0,0
"517","Chr3+12500195","LOC_Os03g21850",4,1,8,1,2,3,4,2,3,0,0,0
"518","Chr3+12500011","LOC_Os03g21850",180,167,174,36,38,41,54,54,60,3,2,2
"519","Chr3-12823606","LOC_Os03g22400",3,4,3,9,7,11,13,8,15,7,7,6
"520","Chr3-12823981","LOC_Os03g22400",148,94,149,45,33,33,58,111,76,38,30,35
"521","Chr3-12823726","LOC_Os03g22400",4,9,2,13,6,10,21,19,12,11,9,11
"522","Chr3-13122593","LOC_Os03g22720",1,5,5,41,22,38,39,35,34,36,38,44
"523","Chr3-13122744","LOC_Os03g22720",6,10,11,1,1,1,2,0,1,3,2,1
"524","Chr3-15967318","LOC_Os03g27830",0,0,0,1,5,6,3,1,0,1,1,0
"525","Chr3-15969754","LOC_Os03g27830",1,1,0,4,5,1,0,0,1,1,1,2
"526","Chr3-15967901","LOC_Os03g27830",3,11,1,6,6,6,18,15,18,1,0,5
"527","Chr3-15967045","LOC_Os03g27830",0,0,0,0,0,0,0,0,0,0,0,0
"528","Chr3-15968050","LOC_Os03g27830",1,0,3,3,2,1,6,4,4,2,3,3
"529","Chr3-15966789","LOC_Os03g27830",0,0,0,0,1,1,1,2,1,0,1,0
"530","Chr3+16632280","LOC_Os03g29240",0,0,0,0,0,0,0,0,1,0,0,0
"531","Chr3+16631923","LOC_Os03g29240",127,89,98,164,120,134,65,71,65,373,368,356
"532","Chr3-17265532","LOC_Os03g30260",0,0,0,0,0,0,0,0,0,0,0,0
"533","Chr3-17262563","LOC_Os03g30260",0,0,0,0,3,1,0,0,0,0,1,2
"534","Chr3-17262487","LOC_Os03g30260",0,0,0,0,4,1,0,0,0,4,7,5
"535","Chr3-19518896","LOC_Os03g34300",13,3,56,142,156,148,188,141,145,114,131,92
"536","Chr3-19519047","LOC_Os03g34300",13,3,7,4,0,6,2,4,4,1,0,2
"537","Chr3-21002655","LOC_Os03g37840",1,1,1,4,5,10,68,65,57,6,5,6
"538","Chr3-21003023","LOC_Os03g37840",0,0,0,3,1,0,33,25,12,3,3,0
"539","Chr3-21002883","LOC_Os03g37840",0,0,0,15,7,10,103,106,106,8,6,7
"540","Chr3-22168103","LOC_Os03g39860",0,0,0,1,3,2,11,20,2,0,0,0
"541","Chr3-22167896","LOC_Os03g39860",0,2,1,1,1,3,2,2,5,0,0,0
"542","Chr3-22164643","LOC_Os03g39860",165,153,73,122,118,125,346,347,319,64,56,69
"543","Chr3-22167574","LOC_Os03g39860",0,0,0,3,0,0,5,17,15,0,3,0
"544","Chr3-22169781","LOC_Os03g39860",3,2,1,0,0,0,0,0,0,0,0,0
"545","Chr3+22377852","LOC_Os03g40260",0,0,0,0,0,0,0,0,0,0,0,0
"546","Chr3+22380017","LOC_Os03g40260",1,0,8,0,0,0,0,0,0,0,0,0
"547","Chr3+22377915","LOC_Os03g40260",0,0,0,0,0,0,0,0,0,0,0,0
"548","Chr3+22380147","LOC_Os03g40260",15,17,64,19,29,54,17,26,23,31,32,31
"549","Chr3-24049423","LOC_Os03g43114",0,2,0,0,0,0,0,1,3,1,0,1
"550","Chr3-24052867","LOC_Os03g43114",0,0,0,2,7,12,12,16,18,1,1,1
"551","Chr3-24052315","LOC_Os03g43114",0,0,0,7,8,8,12,11,11,0,0,0
"552","Chr3-24053082","LOC_Os03g43114",0,0,0,2,3,0,4,5,3,0,0,1
"553","Chr3+26439236","LOC_Os03g46710",47,40,51,45,50,37,25,30,32,34,32,49
"554","Chr3+26439085","LOC_Os03g46710",13,17,15,12,5,22,19,12,9,11,12,15
"555","Chr3+27123759","LOC_Os03g47780",28,33,25,55,59,52,43,41,50,42,57,24
"556","Chr3+27120063","LOC_Os03g47780",2,2,1,0,1,0,0,0,0,0,0,0
"557","Chr3+27256555","LOC_Os03g47940",5,3,2,139,116,155,0,0,0,3,2,1
"558","Chr3+27252695","LOC_Os03g47940",0,0,0,1,2,3,0,0,0,0,0,1
"559","Chr3-27300750","LOC_Os03g48030",0,1,1,10,10,9,25,24,21,0,0,0
"560","Chr3-27300866","LOC_Os03g48030",3,0,8,13,33,43,154,131,137,4,2,2
"561","Chr3-27300940","LOC_Os03g48030",0,0,0,0,1,0,18,3,6,0,0,0
"562","Chr3-27300989","LOC_Os03g48030",1,0,2,1,0,2,3,3,8,0,0,0
"563","Chr3+27825665","LOC_Os03g48840",39,27,30,28,41,42,10,9,12,40,42,42
"564","Chr3+27823905","LOC_Os03g48840",3,5,3,0,0,0,0,0,0,0,0,0
"565","Chr3-30062335","LOC_Os03g52340",124,143,138,42,44,43,77,54,29,40,48,47
"566","Chr3-30062223","LOC_Os03g52340",0,0,0,2,0,5,0,0,0,0,1,0
"567","Chr3-32360717","LOC_Os03g56790",708,953,1015,466,478,487,600,570,631,688,794,717
"568","Chr3-32361758","LOC_Os03g56790",8,0,2,0,0,0,0,0,0,0,0,0
"569","Chr3-32363116","LOC_Os03g56790",6,4,2,0,0,0,0,0,0,0,0,0
"570","Chr3-32363706","LOC_Os03g56790",8,10,12,0,0,0,1,0,0,1,2,1
"571","Chr3+32378357","LOC_Os03g56820",6,3,0,70,71,57,1,1,1,56,98,61
"572","Chr3+32378673","LOC_Os03g56820",1,4,1,17,22,13,0,0,2,47,47,47
"573","Chr3-32570108","LOC_Os03g57130",13,7,19,0,2,1,7,0,2,3,2,3
"574","Chr3-32570066","LOC_Os03g57130",81,47,94,41,48,49,191,154,182,92,107,95
"575","Chr3+33035379","LOC_Os03g58010",3,0,0,7,5,4,35,33,32,5,5,4
"576","Chr3+33035627","LOC_Os03g58010",1,0,0,1,1,1,27,31,30,2,2,1
"577","Chr3+33187191","LOC_Os03g58240",17,13,45,65,69,56,53,36,48,95,92,91
"578","Chr3+33183983","LOC_Os03g58240",2,8,5,1,0,0,0,1,0,1,1,1
"579","Chr3-33190872","LOC_Os03g58250",22,2,24,7,3,6,2,1,6,1,1,1
"580","Chr3-33187380","LOC_Os03g58250",58,48,63,22,15,39,109,85,84,29,27,28
"581","Chr3-33539234","LOC_Os03g58910",2,0,1,0,0,0,0,0,0,0,0,0
"582","Chr3-33530087","LOC_Os03g58910",44,63,44,20,15,25,36,35,19,19,19,19
"583","Chr3-33530530","LOC_Os03g58910",24,12,6,0,0,0,0,0,0,0,0,0
"584","Chr3-33530257","LOC_Os03g58910",3,0,3,0,0,0,0,0,0,0,0,0
"585","Chr3-33530461","LOC_Os03g58910",13,3,11,0,0,0,0,0,0,0,0,0
"586","Chr3+33713385","LOC_Os03g59200",0,0,1,32,34,29,3,0,0,25,22,26
"587","Chr3+33713543","LOC_Os03g59200",0,0,0,17,21,15,1,0,0,11,10,13
"588","Chr3+33713681","LOC_Os03g59200",0,0,0,6,4,4,0,0,0,6,6,5
