chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,endosperm1,endosperm2,endosperm3,leaf_20days1,leaf_20days2,leaf_20days3,husk1,husk2,husk3
Chr2-17254219,LOC_Os02g29130,3,2,0,0,1,3,0,4,1,0,0,0
Chr2+18712002,LOC_Os02g31220,130,165,154,90,97,114,91,88,104,79,79,86
Chr2+18711652,LOC_Os02g31220,18,7,15,11,6,6,7,8,29,14,18,21
Chr2+18706759,LOC_Os02g31220,4,4,5,0,2,5,0,0,0,3,4,2
Chr2+18712273,LOC_Os02g31220,28,31,28,49,46,43,12,13,11,36,22,27
Chr2+18711507,LOC_Os02g31220,1,1,0,1,0,0,1,0,1,0,0,2
Chr2+18711396,LOC_Os02g31220,0,9,10,6,7,5,4,0,9,3,3,3
Chr2-18889903,LOC_Os02g31960,0,0,0,3,2,1,10,8,11,9,15,2
Chr2-18889982,LOC_Os02g31960,13,13,5,8,9,9,2,10,2,6,7,7
Chr2-19309755,LOC_Os02g32590,127,143,122,233,278,210,0,0,0,53,46,36
Chr2-19309512,LOC_Os02g32590,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-19312149,LOC_Os02g32590,51,42,46,34,30,31,0,0,4,1,3,2
Chr2-19406144,LOC_Os02g32690,1,0,0,3,1,9,0,0,0,0,1,0
Chr2-19415539,LOC_Os02g32690,22,22,17,1,0,0,0,0,0,0,0,0
Chr2-19405398,LOC_Os02g32690,0,0,0,0,0,0,0,0,0,1,1,0
Chr2-19405267,LOC_Os02g32690,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-19406584,LOC_Os02g32690,0,0,0,3,0,1,3,0,0,1,2,1
Chr2-19406282,LOC_Os02g32690,0,0,0,3,3,5,0,0,0,0,0,0
Chr2-19405538,LOC_Os02g32690,0,0,0,0,0,0,0,1,0,0,0,0
Chr2-21411357,LOC_Os02g35590,1,6,4,6,6,5,0,0,0,3,2,3
Chr2-21410581,LOC_Os02g35590,0,1,0,0,3,2,0,0,3,0,3,0
Chr2-21410854,LOC_Os02g35590,131,176,155,248,233,242,326,291,283,139,240,69
Chr2+21417192,LOC_Os02g35600,99,159,143,155,126,170,175,168,172,93,104,115
Chr2+21414776,LOC_Os02g35600,6,5,2,7,8,7,0,0,0,0,0,0
Chr2+21417451,LOC_Os02g35600,0,1,1,3,5,4,5,2,11,1,2,0
Chr2+21414661,LOC_Os02g35600,13,35,10,7,5,10,0,0,0,0,1,0
Chr2-22365525,LOC_Os02g37030,10,3,1,18,5,16,2,2,3,0,4,1
Chr2-22365434,LOC_Os02g37030,120,53,76,101,85,89,80,74,104,56,47,52
Chr2-22365325,LOC_Os02g37030,53,54,49,78,53,89,112,107,139,60,62,62
Chr2-23768598,LOC_Os02g39384,5,17,10,0,0,0,0,0,0,0,0,0
Chr2-23768788,LOC_Os02g39384,0,5,2,0,0,3,0,0,0,0,0,0
Chr2-23768996,LOC_Os02g39384,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-24976333,LOC_Os02g41630,0,1,0,0,0,0,3,3,1,0,0,0
Chr2-24973449,LOC_Os02g41630,187,127,82,287,403,234,517,511,491,11137,11192,11366
Chr2-24985293,LOC_Os02g41650,427,447,417,1137,683,555,562,561,577,1965,2025,2013
Chr2-24989309,LOC_Os02g41650,2,12,6,1,1,1,1,2,1,0,0,0
Chr2-24988736,LOC_Os02g41650,0,0,0,0,1,0,0,3,0,8,7,5
Chr2-24984870,LOC_Os02g41650,1,2,2,8,1,5,0,0,0,4,1,1
Chr2-24985579,LOC_Os02g41650,3,3,3,2,1,3,0,0,0,53,52,58
Chr2-24988487,LOC_Os02g41650,1,1,0,0,1,0,0,0,0,2,1,3
Chr2-25252915,LOC_Os02g42020,0,1,0,0,0,0,0,0,0,0,2,3
Chr2-25250919,LOC_Os02g42020,0,1,0,0,0,0,2,3,10,1,1,1
Chr2-25243157,LOC_Os02g42020,9,7,1,8,5,4,0,0,0,0,0,0
Chr2-25242586,LOC_Os02g42020,298,206,200,241,225,220,71,85,82,127,107,111
Chr2-25251004,LOC_Os02g42020,9,14,21,13,11,13,10,10,3,7,7,12
Chr2+25400795,LOC_Os02g42220,0,0,0,2,3,1,3,3,2,15,14,17
Chr2+25404079,LOC_Os02g42220,0,0,0,1,3,0,9,11,10,21,25,31
Chr2+25404328,LOC_Os02g42220,0,0,0,0,0,0,3,2,0,3,0,3
Chr2+25404210,LOC_Os02g42220,3,3,10,0,1,4,105,93,99,217,188,203
Chr2+26519762,LOC_Os02g43930,16,21,4,6,5,7,0,0,0,0,0,0
Chr2+26523221,LOC_Os02g43930,758,1111,770,975,960,917,211,212,164,334,335,325
Chr2-26866894,LOC_Os02g44380,1,4,2,0,0,0,0,0,1,0,0,2
Chr2-26866526,LOC_Os02g44380,0,0,2,2,0,1,3,1,4,6,6,8
Chr2-26875346,LOC_Os02g44380,0,1,0,1,2,0,0,0,0,0,1,0
Chr2+27389105,LOC_Os02g45150,51,15,38,36,15,56,2,1,0,0,0,0
Chr2+27387494,LOC_Os02g45150,1,4,3,1,1,2,3,3,1,1,0,0
Chr2+27387677,LOC_Os02g45150,15,14,15,49,39,37,0,0,0,10,6,10
Chr2-28109647,LOC_Os02g46120,4,3,4,0,0,0,6,0,1,2,1,0
Chr2-28109106,LOC_Os02g46120,4,1,0,2,1,3,8,10,6,1,0,2
Chr2-28108635,LOC_Os02g46120,8,1,1,0,0,0,0,0,0,1,3,4
Chr2-28109791,LOC_Os02g46120,5,5,3,3,8,6,1,0,0,2,2,1
Chr2+28118869,LOC_Os02g46130,0,2,1,3,1,7,1,1,1,0,4,2
Chr2+28118978,LOC_Os02g46130,4,9,6,6,6,3,7,5,5,6,4,6
Chr2+28118684,LOC_Os02g46130,207,197,157,161,158,165,54,47,53,96,99,95
Chr2-28290012,LOC_Os02g46440,0,0,0,0,0,0,3,4,3,4,3,3
Chr2-28289764,LOC_Os02g46440,0,0,0,5,2,1,2,2,0,8,3,2
Chr2-28290945,LOC_Os02g46440,1,0,0,11,15,14,60,61,55,27,9,29
Chr2-28480797,LOC_Os02g46660,1,1,1,7,5,5,1,1,4,0,1,0
Chr2-28480842,LOC_Os02g46660,0,0,0,11,19,3,1,0,1,0,0,0
Chr2-28480903,LOC_Os02g46660,0,0,0,3,2,6,7,7,11,0,0,0
Chr2-28478685,LOC_Os02g46660,13,19,15,18,22,21,710,713,754,31,54,57
Chr2-29226666,LOC_Os02g47790,0,0,0,2,4,1,0,0,0,0,0,0
Chr2-29228191,LOC_Os02g47790,4,3,6,3,3,2,1,0,0,0,1,0
Chr2+29801902,LOC_Os02g48680,0,0,0,0,0,0,0,0,0,2,0,0
Chr2+29801621,LOC_Os02g48680,31,57,63,43,40,49,41,38,40,27,29,33
Chr2+30448040,LOC_Os02g49820,2,0,1,0,0,0,25,16,14,9,3,0
Chr2+30445332,LOC_Os02g49820,2,7,2,4,8,7,2,6,1,1,2,3
Chr2+30447973,LOC_Os02g49820,3,1,2,3,3,0,3,4,2,12,12,12
Chr2-31120619,LOC_Os02g50910,0,0,0,0,1,2,0,2,0,0,7,2
Chr2-31123299,LOC_Os02g50910,2,3,1,2,1,0,0,0,0,0,2,2
Chr2-31123156,LOC_Os02g50910,0,0,0,0,1,0,1,1,0,1,0,1
Chr2-31538242,LOC_Os02g51500,1,1,2,0,0,0,2,3,1,6,6,0
Chr2-31535365,LOC_Os02g51500,172,217,164,196,167,174,309,308,312,127,138,141
Chr2-31535306,LOC_Os02g51500,13,13,16,30,14,17,109,110,88,78,84,67
Chr2+32961389,LOC_Os02g53810,6,7,5,6,0,13,9,3,1,5,4,6
Chr2+32961350,LOC_Os02g53810,21,7,16,8,7,3,7,5,4,37,27,29
Chr2+33727675,LOC_Os02g55060,228,347,380,541,468,534,1799,1874,1789,614,743,548
Chr2+33727915,LOC_Os02g55060,9,5,1,0,0,0,1,4,2,2,2,1
Chr2+33728174,LOC_Os02g55060,1,9,1,9,5,7,2,0,9,2,3,4
Chr2+33733905,LOC_Os02g55070,0,0,0,0,0,0,0,0,0,0,0,1
Chr2+33733819,LOC_Os02g55070,1,0,0,0,0,0,0,0,0,0,0,0
Chr2+33729982,LOC_Os02g55070,1,0,0,4,1,5,5,6,0,0,0,0
Chr2-34915930,LOC_Os02g56980,48,37,59,32,51,40,30,25,33,60,67,63
Chr2-34916000,LOC_Os02g56980,4,9,7,2,7,1,1,1,3,3,2,2
Chr2+35004795,LOC_Os02g57150,45,143,98,131,115,69,34,34,35,56,51,71
Chr2+35004132,LOC_Os02g57150,4,3,4,4,5,2,12,7,8,3,3,3
Chr2+35004918,LOC_Os02g57150,3,0,4,0,1,2,3,4,8,0,0,0
Chr2+35683362,LOC_Os02g58330,0,0,0,1,1,3,0,0,0,0,0,0
Chr2+35683539,LOC_Os02g58330,0,0,0,4,0,0,0,0,0,1,2,1
Chr2+35806327,LOC_Os02g58570,31,21,32,31,24,27,110,95,84,37,41,41
Chr2+35806783,LOC_Os02g58570,18,18,19,31,25,17,6,0,28,1,4,0
Chr3+263497,LOC_Os03g01350,10,5,18,10,0,30,1,8,7,0,1,1
Chr3+264263,LOC_Os03g01350,27,8,15,36,11,9,33,35,37,3,6,2
Chr3+263679,LOC_Os03g01350,6,2,2,7,5,7,0,0,0,0,0,0
Chr3+268702,LOC_Os03g01360,0,4,1,2,2,4,0,0,0,0,0,0
Chr3+272500,LOC_Os03g01360,20,0,7,10,6,8,2,2,2,0,0,0
Chr3+277286,LOC_Os03g01360,34,29,45,23,48,33,2,1,2,0,0,0
Chr3+272747,LOC_Os03g01360,1,3,3,8,4,3,7,8,11,2,2,2
Chr3+274944,LOC_Os03g01360,1,8,9,6,4,5,0,0,0,0,0,0
Chr3+274763,LOC_Os03g01360,36,38,37,3,48,43,50,56,56,6,6,5
Chr3+274995,LOC_Os03g01360,11,7,12,7,4,5,0,2,0,0,0,0
Chr3+270943,LOC_Os03g01360,0,0,2,0,0,0,0,2,0,1,3,11
Chr3+272581,LOC_Os03g01360,37,32,43,26,30,28,35,58,47,1,2,7
Chr3-356966,LOC_Os03g01570,0,2,2,3,5,3,0,0,0,0,0,1
Chr3-356870,LOC_Os03g01570,72,66,63,57,85,57,162,250,193,79,74,70
Chr3-560631,LOC_Os03g01910,0,0,0,3,3,0,0,0,0,3,4,1
Chr3-560194,LOC_Os03g01910,3,2,3,0,0,0,1,0,0,0,2,2
Chr3-560399,LOC_Os03g01910,646,716,631,480,501,513,324,220,252,278,422,361
Chr3+909800,LOC_Os03g02480,0,8,5,5,2,0,0,0,0,0,0,0
Chr3+909945,LOC_Os03g02480,31,22,24,23,20,32,2,5,1,23,17,25
Chr3-1499663,LOC_Os03g03470,1,9,11,1,1,1,9,3,22,17,13,16
Chr3-1500269,LOC_Os03g03470,2,0,0,0,0,0,7,4,1,1,2,0
Chr3-1499971,LOC_Os03g03470,0,1,1,2,0,1,5,12,9,5,5,7
Chr3-1720577,LOC_Os03g03830,0,4,6,9,4,11,0,0,0,0,0,1
Chr3-1720157,LOC_Os03g03830,117,128,114,70,48,102,103,100,99,82,78,81
Chr3+1833036,LOC_Os03g04020,194,339,151,245,221,286,502,668,704,366,427,440
Chr3+1833109,LOC_Os03g04020,1,3,0,0,0,0,5,11,8,3,1,2
Chr3+1833465,LOC_Os03g04020,4,5,12,0,2,0,4,4,5,2,4,6
Chr3-1948391,LOC_Os03g04240,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-1948315,LOC_Os03g04240,4,1,2,1,1,1,0,0,0,1,2,2
Chr3+2101873,LOC_Os03g04500,5,3,0,0,5,4,1,1,0,1,2,2
Chr3+2102000,LOC_Os03g04500,7,11,5,68,3,14,10,7,11,20,20,19
Chr3+2875165,LOC_Os03g05760,42,30,47,45,31,22,5,5,1,0,0,0
Chr3+2875336,LOC_Os03g05760,30,33,28,33,40,11,59,55,58,32,26,28
Chr3+2871223,LOC_Os03g05760,0,0,0,1,8,4,0,1,0,2,0,0
Chr3+2871081,LOC_Os03g05760,5,1,1,4,14,22,0,2,4,0,0,0
Chr3+3189514,LOC_Os03g06370,5,5,12,2,9,9,1,0,1,0,2,0
Chr3+3188701,LOC_Os03g06370,4,1,1,0,0,0,0,0,0,0,0,0
Chr3+3189326,LOC_Os03g06370,3,7,8,10,28,5,3,4,3,3,2,2
Chr3-3931613,LOC_Os03g07739,7,20,23,21,11,10,8,9,2,3,2,2
Chr3-3931348,LOC_Os03g07739,23,17,31,27,29,35,13,12,9,12,9,12
Chr3-3931235,LOC_Os03g07739,0,0,0,0,0,0,0,0,2,2,0,3
Chr3+3983476,LOC_Os03g07820,1,1,5,3,2,2,4,4,5,1,4,0
Chr3+3983550,LOC_Os03g07820,0,5,8,0,3,2,5,21,13,8,3,4
Chr3+3983387,LOC_Os03g07820,2,2,0,11,8,20,0,0,0,0,0,0
Chr3-4946381,LOC_Os03g09930,18,45,31,15,52,9,38,39,38,46,25,30
Chr3-4952855,LOC_Os03g09930,3,1,2,3,3,4,0,0,0,1,2,2
Chr3-4953231,LOC_Os03g09930,2,18,12,20,7,23,5,5,13,18,32,10
Chr3-5297912,LOC_Os03g10400,0,4,2,0,0,0,0,0,0,0,0,0
Chr3-5298414,LOC_Os03g10400,2,3,4,2,4,7,0,0,0,0,2,2
Chr3-5297295,LOC_Os03g10400,16,39,12,45,34,40,52,67,49,28,30,26
Chr3-5297655,LOC_Os03g10400,33,23,17,11,9,17,23,30,25,15,15,14
Chr3-5298441,LOC_Os03g10400,1,1,2,1,7,2,7,0,1,6,2,4
Chr3-5348422,LOC_Os03g10510,99,138,97,143,135,143,230,238,189,173,174,170
Chr3-5348097,LOC_Os03g10510,6,10,15,0,2,0,0,0,0,0,0,0
Chr3-5779675,LOC_Os03g11240,6,7,2,22,14,4,2,2,3,2,2,0
Chr3-5779638,LOC_Os03g11240,87,91,67,105,62,47,94,102,100,50,45,37
Chr3-7103254,LOC_Os03g13170,7,12,9,4,6,4,0,0,0,0,0,0
Chr3-7103455,LOC_Os03g13170,163,137,151,29,36,21,3,3,0,1,0,2
Chr3-7102176,LOC_Os03g13170,1670,1979,1199,1291,1143,1129,372,490,397,796,748,710
Chr3-7101925,LOC_Os03g13170,2,1,1,0,1,14,1,0,0,2,2,5
Chr3-7103812,LOC_Os03g13170,6,13,8,4,8,0,0,0,0,0,0,0
Chr3-7102010,LOC_Os03g13170,3,3,2,0,2,2,8,0,2,6,2,7
Chr3-7102946,LOC_Os03g13170,262,295,159,45,26,60,2,3,3,3,4,0
Chr3-7102730,LOC_Os03g13170,4,10,11,0,4,12,1,0,0,1,0,2
Chr3+7231671,LOC_Os03g13390,27,16,13,32,19,7,1,0,0,1,2,1
Chr3+7231779,LOC_Os03g13390,4,6,4,1,0,1,0,1,1,0,0,0
Chr3+7231507,LOC_Os03g13390,271,189,177,186,292,343,47,43,55,26,23,3
Chr3+7675319,LOC_Os03g14120,4,2,3,5,9,9,3,2,6,3,4,0
Chr3+7675543,LOC_Os03g14120,5,5,2,4,5,2,8,1,5,13,7,10
Chr3+7675886,LOC_Os03g14120,6,6,5,4,3,2,25,39,27,28,40,33
Chr3+7676702,LOC_Os03g14120,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-7847873,LOC_Os03g14450,1,0,0,5,4,4,1,0,0,6,0,10
Chr3-7847996,LOC_Os03g14450,159,197,170,160,180,188,99,106,75,592,583,685
Chr3-8547193,LOC_Os03g15540,24,2,7,20,10,24,0,2,0,0,0,0
Chr3-8546870,LOC_Os03g15540,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-8546947,LOC_Os03g15540,49,70,67,30,36,32,59,61,61,45,59,90
Chr3-8581457,LOC_Os03g15580,2,4,18,11,15,18,14,14,28,18,28,22
Chr3-8581591,LOC_Os03g15580,22,22,37,48,16,2,0,0,4,3,4,4
Chr3+9016497,LOC_Os03g16334,503,502,523,838,700,633,114,109,113,108,93,76
Chr3+9016764,LOC_Os03g16334,5,5,10,28,5,14,0,0,0,0,0,1
Chr3+9014396,LOC_Os03g16334,2,4,2,2,3,0,6,2,5,1,0,3
Chr3+9252238,LOC_Os03g16700,27,34,34,55,53,54,156,157,155,49,43,68
Chr3+9249735,LOC_Os03g16700,0,2,6,3,3,3,0,0,0,4,3,3
Chr3+9252587,LOC_Os03g16700,10,98,39,86,105,54,562,557,555,277,271,170
Chr3+9247927,LOC_Os03g16700,5,3,0,3,1,1,0,0,1,4,5,2
Chr3-10123820,LOC_Os03g18130,0,3,1,3,3,1,0,0,0,0,0,0
Chr3-10120288,LOC_Os03g18130,72,75,69,76,76,58,7,12,9,198,176,175
Chr3-10196515,LOC_Os03g18190,2,3,0,4,3,3,6,6,6,0,1,1
Chr3-10191681,LOC_Os03g18190,6,6,0,0,0,0,3,1,1,3,3,1
Chr3-10478483,LOC_Os03g18720,107,171,221,177,162,110,51,143,81,72,102,91
Chr3-10480975,LOC_Os03g18720,2,1,3,0,0,0,0,0,0,2,2,1
Chr3-10478135,LOC_Os03g18720,23,21,39,39,23,81,1,1,1,1,0,3
Chr3-10478323,LOC_Os03g18720,22,14,21,2,3,4,5,5,3,5,5,5
Chr3-11007598,LOC_Os03g19580,39,36,27,48,48,46,97,95,97,66,90,69
Chr3-11007785,LOC_Os03g19580,3,2,1,5,0,1,0,0,0,0,0,2
Chr3+11272950,LOC_Os03g20010,10,10,12,20,1,16,187,197,266,62,65,61
Chr3+11273211,LOC_Os03g20010,2,6,1,1,5,3,25,25,21,5,6,7
Chr3-12358932,LOC_Os03g21650,38,29,20,22,40,41,0,1,0,0,0,0
Chr3-12359111,LOC_Os03g21650,215,104,121,333,213,261,0,0,0,0,0,0
Chr3+12494791,LOC_Os03g21850,3,3,0,0,3,7,5,4,3,3,3,0
Chr3+12493764,LOC_Os03g21850,3,4,9,8,4,23,0,0,0,0,0,0
Chr3+12495617,LOC_Os03g21850,6,5,8,0,1,0,0,0,0,5,2,2
Chr3+12500195,LOC_Os03g21850,6,15,7,4,1,8,3,0,6,7,8,6
Chr3+12500011,LOC_Os03g21850,118,129,157,180,167,174,53,32,47,117,119,114
Chr3-12823606,LOC_Os03g22400,13,13,1,3,4,3,11,10,10,3,2,10
Chr3-12823981,LOC_Os03g22400,103,105,74,148,94,149,48,59,65,41,67,72
Chr3-12823726,LOC_Os03g22400,8,16,24,4,9,2,8,11,14,18,3,18
Chr3-13122593,LOC_Os03g22720,8,9,13,1,5,5,51,55,54,27,21,26
Chr3-13122744,LOC_Os03g22720,2,0,6,6,10,11,1,1,0,5,3,5
Chr3-15967318,LOC_Os03g27830,1,0,0,0,0,0,6,3,1,4,3,3
Chr3-15969754,LOC_Os03g27830,0,1,1,1,1,0,0,0,4,1,0,0
Chr3-15967901,LOC_Os03g27830,10,1,13,3,11,1,11,27,13,33,22,24
Chr3-15967045,LOC_Os03g27830,0,0,4,0,0,0,0,0,0,0,1,0
Chr3-15968050,LOC_Os03g27830,1,5,0,1,0,3,4,8,1,9,7,16
Chr3-15966789,LOC_Os03g27830,7,2,5,0,0,0,0,0,0,0,0,1
Chr3+16632280,LOC_Os03g29240,0,1,6,0,0,0,1,1,2,0,0,0
Chr3+16631923,LOC_Os03g29240,112,106,106,127,89,98,41,52,39,296,300,272
Chr3-17265532,LOC_Os03g30260,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-17262563,LOC_Os03g30260,0,0,0,0,0,0,0,0,0,1,1,0
Chr3-17262487,LOC_Os03g30260,0,0,0,0,0,0,0,0,0,5,7,6
Chr3-19518896,LOC_Os03g34300,30,59,52,13,3,56,229,240,227,112,88,86
Chr3-19519047,LOC_Os03g34300,20,11,12,13,3,7,7,0,4,5,6,1
Chr3-21002655,LOC_Os03g37840,0,0,0,1,1,1,30,33,22,2,0,1
Chr3-21003023,LOC_Os03g37840,0,0,0,0,0,0,10,3,6,1,10,3
Chr3-21002883,LOC_Os03g37840,3,3,1,0,0,0,59,45,58,16,26,28
Chr3-22168103,LOC_Os03g39860,0,0,0,0,0,0,55,13,9,0,0,0
Chr3-22167896,LOC_Os03g39860,0,0,0,0,2,1,10,9,10,0,0,1
Chr3-22164643,LOC_Os03g39860,103,138,85,165,153,73,954,993,1102,61,58,64
Chr3-22167574,LOC_Os03g39860,0,0,0,0,0,0,23,33,25,2,2,1
Chr3-22169781,LOC_Os03g39860,1,3,3,3,2,1,0,0,0,0,0,0
Chr3+22377852,LOC_Os03g40260,0,0,0,0,0,0,0,0,0,0,0,0
Chr3+22380017,LOC_Os03g40260,8,1,0,1,0,8,0,0,0,0,0,0
Chr3+22377915,LOC_Os03g40260,0,0,0,0,0,0,0,0,0,0,0,0
Chr3+22380147,LOC_Os03g40260,49,51,52,15,17,64,24,21,23,12,12,15
Chr3-24049423,LOC_Os03g43114,1,2,0,0,2,0,3,2,2,0,0,0
Chr3-24052867,LOC_Os03g43114,0,0,0,0,0,0,7,12,32,0,0,0
Chr3-24052315,LOC_Os03g43114,0,0,0,0,0,0,26,12,20,3,3,7
Chr3-24053082,LOC_Os03g43114,0,0,0,0,0,0,0,2,1,1,1,1
Chr3+26439236,LOC_Os03g46710,14,55,46,47,40,51,38,28,30,23,19,24
Chr3+26439085,LOC_Os03g46710,11,13,17,13,17,15,4,8,6,6,4,5
Chr3+27123759,LOC_Os03g47780,76,13,97,28,33,25,30,19,27,40,41,42
Chr3+27120063,LOC_Os03g47780,0,0,0,2,2,1,0,0,0,0,1,0
Chr3+27256555,LOC_Os03g47940,4,4,6,5,3,2,0,0,0,76,75,76
Chr3+27252695,LOC_Os03g47940,0,0,0,0,0,0,1,1,1,0,0,0
Chr3-27300750,LOC_Os03g48030,0,0,0,0,1,1,57,54,62,0,0,1
Chr3-27300866,LOC_Os03g48030,1,2,1,3,0,8,319,344,384,4,6,5
Chr3-27300940,LOC_Os03g48030,1,3,0,0,0,0,39,33,26,0,0,0
Chr3-27300989,LOC_Os03g48030,1,4,2,1,0,2,16,17,19,0,0,0
Chr3+27825665,LOC_Os03g48840,45,34,43,39,27,30,10,11,28,33,32,41
Chr3+27823905,LOC_Os03g48840,8,8,14,3,5,3,0,0,0,0,0,1
Chr3-30062335,LOC_Os03g52340,103,125,127,124,143,138,28,22,58,24,47,66
Chr3-30062223,LOC_Os03g52340,0,0,0,0,0,0,0,0,0,4,3,5
Chr3-32360717,LOC_Os03g56790,808,937,746,708,953,1015,1026,1015,1023,1012,999,1009
Chr3-32361758,LOC_Os03g56790,2,0,1,8,0,2,0,0,0,2,2,2
Chr3-32363116,LOC_Os03g56790,7,9,6,6,4,2,0,0,0,0,0,0
Chr3-32363706,LOC_Os03g56790,10,6,2,8,10,12,1,0,0,2,2,2
Chr3+32378357,LOC_Os03g56820,0,0,0,6,3,0,3,1,2,63,26,43
Chr3+32378673,LOC_Os03g56820,1,0,1,1,4,1,1,2,2,14,12,2
Chr3-32570108,LOC_Os03g57130,24,34,41,13,7,19,4,4,3,12,1,6
Chr3-32570066,LOC_Os03g57130,87,91,62,81,47,94,118,109,105,80,118,104
Chr3+33035379,LOC_Os03g58010,7,3,2,3,0,0,22,17,27,3,0,1
Chr3+33035627,LOC_Os03g58010,0,0,2,1,0,0,27,17,24,0,1,0
Chr3+33187191,LOC_Os03g58240,38,38,29,17,13,45,38,32,3,24,26,16
Chr3+33183983,LOC_Os03g58240,3,1,5,2,8,5,0,0,0,0,0,0
Chr3-33190872,LOC_Os03g58250,12,11,12,22,2,24,1,3,6,11,13,0
Chr3-33187380,LOC_Os03g58250,37,35,35,58,48,63,52,52,76,43,28,39
Chr3-33539234,LOC_Os03g58910,10,2,6,2,0,1,0,0,0,0,0,0
Chr3-33530087,LOC_Os03g58910,65,56,74,44,63,44,20,21,23,23,23,26
Chr3-33530530,LOC_Os03g58910,17,8,14,24,12,6,0,0,0,0,0,0
Chr3-33530257,LOC_Os03g58910,8,9,7,3,0,3,0,0,0,2,1,0
Chr3-33530461,LOC_Os03g58910,3,0,0,13,3,11,0,1,0,0,0,0
Chr3+33713385,LOC_Os03g59200,0,0,0,0,0,1,8,5,4,12,0,9
Chr3+33713543,LOC_Os03g59200,0,1,1,0,0,0,3,1,4,4,1,6
Chr3+33713681,LOC_Os03g59200,0,0,0,0,0,0,1,0,1,3,2,1
Chr3+33734975,LOC_Os03g59240,0,8,6,1,0,0,0,4,4,29,31,30
Chr3+33735183,LOC_Os03g59240,0,2,0,5,1,0,0,3,0,6,9,15
Chr3+33734791,LOC_Os03g59240,0,0,0,0,0,0,3,1,0,0,0,2
Chr3-34820693,LOC_Os03g61340,72,86,102,160,84,118,136,110,136,121,107,110
Chr3-34820824,LOC_Os03g61340,27,28,37,75,84,92,9,15,11,12,11,12
Chr3-35447854,LOC_Os03g62640,6,5,2,1,2,0,0,0,0,2,1,0
Chr3-35446445,LOC_Os03g62640,153,226,272,171,166,122,136,145,97,69,71,70
Chr3-35447557,LOC_Os03g62640,3,6,3,1,1,7,0,0,0,0,0,0
Chr3-35447302,LOC_Os03g62640,7,12,9,0,0,0,0,0,0,2,2,2
Chr3-35664360,LOC_Os03g63074,1444,1651,1239,1667,1190,1705,6,3,6,69,70,57
Chr3-35659856,LOC_Os03g63074,2,0,2,0,0,0,11,16,20,2,0,4
Chr3-35660476,LOC_Os03g63074,1,1,0,3,1,2,0,0,0,0,0,0
Chr3-35665518,LOC_Os03g63074,8,6,0,10,10,10,0,0,0,0,0,0
Chr3+36175491,LOC_Os03g64010,7,7,4,5,0,6,11,19,14,12,12,10
Chr3+36175371,LOC_Os03g64010,53,36,34,42,40,54,182,185,178,55,16,65
Chr3+36175655,LOC_Os03g64010,0,8,8,3,12,6,1,0,0,0,0,1
Chr3-36265888,LOC_Os03g64190,12,15,20,14,5,26,0,0,0,10,1,9
Chr3-36265551,LOC_Os03g64190,109,98,98,120,159,119,76,94,53,82,75,81
Chr3-36265422,LOC_Os03g64190,7,13,17,7,8,3,1,4,1,2,0,5
Chr4-227055,LOC_Os04g01300,25,18,33,30,17,43,7,2,7,24,14,21
Chr4-226904,LOC_Os04g01300,109,126,55,170,59,118,174,156,166,222,309,291
Chr4-4446093,LOC_Os04g08330,7,9,7,4,10,6,0,6,5,0,0,0
Chr4-4446276,LOC_Os04g08330,8,7,5,23,15,13,43,40,30,23,27,27
Chr4-4446462,LOC_Os04g08330,16,7,20,12,15,18,20,21,17,27,18,13
Chr4+4455326,LOC_Os04g08340,1,0,6,16,9,13,3,1,4,6,10,11
Chr4+4455129,LOC_Os04g08340,1,3,14,7,0,0,4,3,0,1,1,0
Chr4+4455602,LOC_Os04g08340,0,0,0,0,0,0,1,1,1,1,0,0
Chr4+4455445,LOC_Os04g08340,0,0,0,3,1,0,3,3,2,1,3,2
Chr4-8310605,LOC_Os04g14790,1,1,1,1,2,1,0,2,2,1,0,4
Chr4-8307366,LOC_Os04g14790,104,234,176,216,203,180,98,87,114,77,91,78
Chr4-13821867,LOC_Os04g24170,1,13,9,10,10,5,4,4,0,0,0,1
Chr4-13821597,LOC_Os04g24170,15,17,12,7,4,4,7,4,4,5,1,2
Chr4-13822060,LOC_Os04g24170,12,19,29,7,19,15,2,0,1,0,0,0
Chr4-13821797,LOC_Os04g24170,138,130,122,116,177,135,126,109,124,61,56,62
Chr4-16645532,LOC_Os04g28180,20,13,9,25,26,25,8,3,5,4,1,3
Chr4-16645840,LOC_Os04g28180,2303,2332,2277,1678,1617,1655,518,554,545,1094,1255,1063
Chr4-16645602,LOC_Os04g28180,10,10,6,7,2,7,0,0,0,4,3,3
Chr4+19411544,LOC_Os04g32370,6,21,15,14,25,17,39,38,38,20,10,15
Chr4+19418448,LOC_Os04g32370,46,46,48,52,58,56,34,35,16,23,18,18
Chr4+19418720,LOC_Os04g32370,17,15,12,22,18,21,17,29,24,31,30,35
