chrstrandcoord,gene,dry_seed1,dry_seed2,dry_seed3,stem_60days1,stem_60days2,stem_60days3,husk1,husk2,husk3,embryo1,embryo2,embryo3
Chr2-17254219,LOC_Os02g29130,3,2,0,0,1,1,0,0,0,0,0,0
Chr2+18712002,LOC_Os02g31220,130,165,154,105,74,95,79,79,86,96,80,96
Chr2+18711652,LOC_Os02g31220,18,7,15,19,35,17,14,18,21,25,16,17
Chr2+18706759,LOC_Os02g31220,4,4,5,0,2,2,3,4,2,2,3,3
Chr2+18712273,LOC_Os02g31220,28,31,28,20,3,20,36,22,27,68,67,71
Chr2+18711507,LOC_Os02g31220,1,1,0,2,2,2,0,0,2,0,1,2
Chr2+18711396,LOC_Os02g31220,0,9,10,3,2,4,3,3,3,12,9,5
Chr2-18889903,LOC_Os02g31960,0,0,0,3,5,12,9,15,2,2,2,3
Chr2-18889982,LOC_Os02g31960,13,13,5,6,9,0,6,7,7,14,5,12
Chr2-19309755,LOC_Os02g32590,127,143,122,42,29,34,53,46,36,69,58,105
Chr2-19309512,LOC_Os02g32590,0,0,0,0,0,0,0,0,0,0,1,0
Chr2-19312149,LOC_Os02g32590,51,42,46,1,0,1,1,3,2,16,19,12
Chr2-19406144,LOC_Os02g32690,1,0,0,1,2,1,0,1,0,0,0,1
Chr2-19415539,LOC_Os02g32690,22,22,17,0,0,0,0,0,0,1,1,1
Chr2-19405398,LOC_Os02g32690,0,0,0,0,0,0,1,1,0,0,0,0
Chr2-19405267,LOC_Os02g32690,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-19406584,LOC_Os02g32690,0,0,0,1,0,0,1,2,1,0,0,0
Chr2-19406282,LOC_Os02g32690,0,0,0,0,0,1,0,0,0,0,0,0
Chr2-19405538,LOC_Os02g32690,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-21411357,LOC_Os02g35590,1,6,4,0,0,0,3,2,3,5,9,0
Chr2-21410581,LOC_Os02g35590,0,1,0,1,1,1,0,3,0,0,0,0
Chr2-21410854,LOC_Os02g35590,131,176,155,224,221,234,139,240,69,182,197,161
Chr2+21417192,LOC_Os02g35600,99,159,143,119,122,115,93,104,115,259,259,259
Chr2+21414776,LOC_Os02g35600,6,5,2,0,0,0,0,0,0,2,1,1
Chr2+21417451,LOC_Os02g35600,0,1,1,5,4,1,1,2,0,1,1,1
Chr2+21414661,LOC_Os02g35600,13,35,10,0,1,0,0,1,0,13,6,11
Chr2-22365525,LOC_Os02g37030,10,3,1,0,1,0,0,4,1,3,3,3
Chr2-22365434,LOC_Os02g37030,120,53,76,109,99,86,56,47,52,85,89,90
Chr2-22365325,LOC_Os02g37030,53,54,49,97,99,99,60,62,62,65,65,65
Chr2-23768598,LOC_Os02g39384,5,17,10,0,0,0,0,0,0,16,22,16
Chr2-23768788,LOC_Os02g39384,0,5,2,1,1,1,0,0,0,11,12,12
Chr2-23768996,LOC_Os02g39384,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-24976333,LOC_Os02g41630,0,1,0,0,0,0,0,0,0,0,0,0
Chr2-24973449,LOC_Os02g41630,187,127,82,12065,11514,11477,11137,11192,11366,122,116,83
Chr2-24985293,LOC_Os02g41650,427,447,417,2658,2690,2696,1965,2025,2013,373,374,373
Chr2-24989309,LOC_Os02g41650,2,12,6,1,1,1,0,0,0,1,0,1
Chr2-24988736,LOC_Os02g41650,0,0,0,10,11,10,8,7,5,0,0,0
Chr2-24984870,LOC_Os02g41650,1,2,2,0,1,1,4,1,1,0,2,3
Chr2-24985579,LOC_Os02g41650,3,3,3,1,3,5,53,52,58,1,0,0
Chr2-24988487,LOC_Os02g41650,1,1,0,0,6,1,2,1,3,0,0,1
Chr2-25252915,LOC_Os02g42020,0,1,0,0,0,0,0,2,3,0,18,50
Chr2-25250919,LOC_Os02g42020,0,1,0,0,0,1,1,1,1,0,0,0
Chr2-25243157,LOC_Os02g42020,9,7,1,0,0,0,0,0,0,15,11,0
Chr2-25242586,LOC_Os02g42020,298,206,200,120,121,114,127,107,111,221,218,220
Chr2-25251004,LOC_Os02g42020,9,14,21,7,11,7,7,7,12,10,11,9
Chr2+25400795,LOC_Os02g42220,0,0,0,4,6,5,15,14,17,0,0,0
Chr2+25404079,LOC_Os02g42220,0,0,0,16,16,16,21,25,31,10,2,5
Chr2+25404328,LOC_Os02g42220,0,0,0,0,5,4,3,0,3,0,0,0
Chr2+25404210,LOC_Os02g42220,3,3,10,215,191,203,217,188,203,21,21,21
Chr2+26519762,LOC_Os02g43930,16,21,4,1,1,2,0,0,0,9,16,14
Chr2+26523221,LOC_Os02g43930,758,1111,770,626,675,703,334,335,325,904,898,910
Chr2-26866894,LOC_Os02g44380,1,4,2,0,0,0,0,0,2,0,0,0
Chr2-26866526,LOC_Os02g44380,0,0,2,0,0,0,6,6,8,1,0,2
Chr2-26875346,LOC_Os02g44380,0,1,0,0,0,0,0,1,0,0,0,0
Chr2+27389105,LOC_Os02g45150,51,15,38,0,0,0,0,0,0,1,1,0
Chr2+27387494,LOC_Os02g45150,1,4,3,6,4,6,1,0,0,3,3,0
Chr2+27387677,LOC_Os02g45150,15,14,15,5,3,2,10,6,10,4,1,0
Chr2-28109647,LOC_Os02g46120,4,3,4,0,1,1,2,1,0,7,10,2
Chr2-28109106,LOC_Os02g46120,4,1,0,0,0,0,1,0,2,2,0,1
Chr2-28108635,LOC_Os02g46120,8,1,1,0,0,1,1,3,4,1,2,0
Chr2-28109791,LOC_Os02g46120,5,5,3,0,0,0,2,2,1,5,4,5
Chr2+28118869,LOC_Os02g46130,0,2,1,4,8,2,0,4,2,2,0,1
Chr2+28118978,LOC_Os02g46130,4,9,6,4,6,6,6,4,6,3,5,4
Chr2+28118684,LOC_Os02g46130,207,197,157,63,65,68,96,99,95,164,170,232
Chr2-28290012,LOC_Os02g46440,0,0,0,1,1,1,4,3,3,0,0,0
Chr2-28289764,LOC_Os02g46440,0,0,0,2,3,2,8,3,2,4,4,2
Chr2-28290945,LOC_Os02g46440,1,0,0,30,26,29,27,9,29,7,2,3
Chr2-28480797,LOC_Os02g46660,1,1,1,0,0,0,0,1,0,0,0,0
Chr2-28480842,LOC_Os02g46660,0,0,0,0,0,1,0,0,0,0,0,0
Chr2-28480903,LOC_Os02g46660,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-28478685,LOC_Os02g46660,13,19,15,134,120,122,31,54,57,10,9,10
Chr2-29226666,LOC_Os02g47790,0,0,0,0,0,0,0,0,0,0,0,0
Chr2-29228191,LOC_Os02g47790,4,3,6,1,0,0,0,1,0,0,1,1
Chr2+29801902,LOC_Os02g48680,0,0,0,0,0,0,2,0,0,1,3,0
Chr2+29801621,LOC_Os02g48680,31,57,63,39,44,52,27,29,33,42,66,53
Chr2+30448040,LOC_Os02g49820,2,0,1,8,9,8,9,3,0,1,3,2
Chr2+30445332,LOC_Os02g49820,2,7,2,0,1,1,1,2,3,2,2,0
Chr2+30447973,LOC_Os02g49820,3,1,2,7,9,8,12,12,12,31,37,18
Chr2-31120619,LOC_Os02g50910,0,0,0,0,0,1,0,7,2,0,0,0
Chr2-31123299,LOC_Os02g50910,2,3,1,1,1,1,0,2,2,0,0,0
Chr2-31123156,LOC_Os02g50910,0,0,0,0,1,0,1,0,1,0,0,0
Chr2-31538242,LOC_Os02g51500,1,1,2,4,0,1,6,6,0,3,6,3
Chr2-31535365,LOC_Os02g51500,172,217,164,256,247,248,127,138,141,104,118,152
Chr2-31535306,LOC_Os02g51500,13,13,16,63,60,53,78,84,67,6,9,8
Chr2+32961389,LOC_Os02g53810,6,7,5,4,1,3,5,4,6,0,1,0
Chr2+32961350,LOC_Os02g53810,21,7,16,6,1,2,37,27,29,5,0,1
Chr2+33727675,LOC_Os02g55060,228,347,380,838,853,807,614,743,548,292,298,269
Chr2+33727915,LOC_Os02g55060,9,5,1,1,1,1,2,2,1,0,0,0
Chr2+33728174,LOC_Os02g55060,1,9,1,2,2,2,2,3,4,7,5,5
Chr2+33733905,LOC_Os02g55070,0,0,0,4,2,2,0,0,1,0,0,0
Chr2+33733819,LOC_Os02g55070,1,0,0,8,1,4,0,0,0,0,0,0
Chr2+33729982,LOC_Os02g55070,1,0,0,0,0,0,0,0,0,0,0,0
Chr2-34915930,LOC_Os02g56980,48,37,59,27,16,24,60,67,63,59,85,95
Chr2-34916000,LOC_Os02g56980,4,9,7,2,0,1,3,2,2,18,41,38
Chr2+35004795,LOC_Os02g57150,45,143,98,56,52,55,56,51,71,88,149,104
Chr2+35004132,LOC_Os02g57150,4,3,4,5,3,1,3,3,3,2,2,1
Chr2+35004918,LOC_Os02g57150,3,0,4,2,2,1,0,0,0,3,0,0
Chr2+35683362,LOC_Os02g58330,0,0,0,1,0,0,0,0,0,6,0,2
Chr2+35683539,LOC_Os02g58330,0,0,0,0,2,0,1,2,1,1,1,2
Chr2+35806327,LOC_Os02g58570,31,21,32,58,59,60,37,41,41,20,22,21
Chr2+35806783,LOC_Os02g58570,18,18,19,8,8,8,1,4,0,15,17,20
Chr3+263497,LOC_Os03g01350,10,5,18,2,2,2,0,1,1,6,12,20
Chr3+264263,LOC_Os03g01350,27,8,15,35,25,30,3,6,2,8,9,14
Chr3+263679,LOC_Os03g01350,6,2,2,2,1,0,0,0,0,2,1,3
Chr3+268702,LOC_Os03g01360,0,4,1,0,0,0,0,0,0,13,0,1
Chr3+272500,LOC_Os03g01360,20,0,7,4,3,4,0,0,0,8,0,8
Chr3+277286,LOC_Os03g01360,34,29,45,1,3,2,0,0,0,38,37,26
Chr3+272747,LOC_Os03g01360,1,3,3,6,15,7,2,2,2,5,5,4
Chr3+274944,LOC_Os03g01360,1,8,9,1,0,0,0,0,0,9,15,11
Chr3+274763,LOC_Os03g01360,36,38,37,54,54,58,6,6,5,45,41,42
Chr3+274995,LOC_Os03g01360,11,7,12,0,1,0,0,0,0,16,17,16
Chr3+270943,LOC_Os03g01360,0,0,2,1,2,1,1,3,11,0,3,0
Chr3+272581,LOC_Os03g01360,37,32,43,43,38,51,1,2,7,37,33,26
Chr3-356966,LOC_Os03g01570,0,2,2,0,0,0,0,0,1,2,1,0
Chr3-356870,LOC_Os03g01570,72,66,63,90,95,94,79,74,70,49,32,6
Chr3-560631,LOC_Os03g01910,0,0,0,0,0,0,3,4,1,0,0,0
Chr3-560194,LOC_Os03g01910,3,2,3,0,1,0,0,2,2,3,3,3
Chr3-560399,LOC_Os03g01910,646,716,631,403,413,421,278,422,361,555,587,639
Chr3+909800,LOC_Os03g02480,0,8,5,0,0,0,0,0,0,0,1,1
Chr3+909945,LOC_Os03g02480,31,22,24,20,21,23,23,17,25,62,62,62
Chr3-1499663,LOC_Os03g03470,1,9,11,12,11,10,17,13,16,6,7,5
Chr3-1500269,LOC_Os03g03470,2,0,0,0,0,0,1,2,0,0,0,0
Chr3-1499971,LOC_Os03g03470,0,1,1,0,0,1,5,5,7,2,8,5
Chr3-1720577,LOC_Os03g03830,0,4,6,0,0,0,0,0,1,0,0,0
Chr3-1720157,LOC_Os03g03830,117,128,114,146,135,152,82,78,81,138,141,146
Chr3+1833036,LOC_Os03g04020,194,339,151,1218,1064,1064,366,427,440,236,193,247
Chr3+1833109,LOC_Os03g04020,1,3,0,6,7,6,3,1,2,0,0,0
Chr3+1833465,LOC_Os03g04020,4,5,12,2,1,1,2,4,6,0,1,0
Chr3-1948391,LOC_Os03g04240,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-1948315,LOC_Os03g04240,4,1,2,0,0,0,1,2,2,0,0,0
Chr3+2101873,LOC_Os03g04500,5,3,0,2,1,1,1,2,2,5,3,2
Chr3+2102000,LOC_Os03g04500,7,11,5,2,9,4,20,20,19,5,5,8
Chr3+2875165,LOC_Os03g05760,42,30,47,1,0,3,0,0,0,20,19,18
Chr3+2875336,LOC_Os03g05760,30,33,28,14,24,35,32,26,28,33,33,33
Chr3+2871223,LOC_Os03g05760,0,0,0,0,0,0,2,0,0,0,0,0
Chr3+2871081,LOC_Os03g05760,5,1,1,4,0,2,0,0,0,4,2,5
Chr3+3189514,LOC_Os03g06370,5,5,12,1,0,1,0,2,0,9,8,15
Chr3+3188701,LOC_Os03g06370,4,1,1,0,0,0,0,0,0,0,0,0
Chr3+3189326,LOC_Os03g06370,3,7,8,7,11,5,3,2,2,7,18,7
Chr3-3931613,LOC_Os03g07739,7,20,23,5,5,5,3,2,2,20,19,22
Chr3-3931348,LOC_Os03g07739,23,17,31,19,23,37,12,9,12,45,44,43
Chr3-3931235,LOC_Os03g07739,0,0,0,3,0,2,2,0,3,1,1,1
Chr3+3983476,LOC_Os03g07820,1,1,5,0,0,0,1,4,0,4,5,5
Chr3+3983550,LOC_Os03g07820,0,5,8,5,2,3,8,3,4,0,0,0
Chr3+3983387,LOC_Os03g07820,2,2,0,0,1,1,0,0,0,2,2,2
Chr3-4946381,LOC_Os03g09930,18,45,31,67,70,63,46,25,30,55,55,54
Chr3-4952855,LOC_Os03g09930,3,1,2,4,4,4,1,2,2,9,4,5
Chr3-4953231,LOC_Os03g09930,2,18,12,43,45,51,18,32,10,16,2,24
Chr3-5297912,LOC_Os03g10400,0,4,2,0,0,0,0,0,0,0,1,0
Chr3-5298414,LOC_Os03g10400,2,3,4,0,0,0,0,2,2,0,0,0
Chr3-5297295,LOC_Os03g10400,16,39,12,77,47,36,28,30,26,42,48,24
Chr3-5297655,LOC_Os03g10400,33,23,17,12,17,18,15,15,14,4,12,8
Chr3-5298441,LOC_Os03g10400,1,1,2,4,5,7,6,2,4,3,9,3
Chr3-5348422,LOC_Os03g10510,99,138,97,217,200,269,173,174,170,96,129,124
Chr3-5348097,LOC_Os03g10510,6,10,15,0,0,0,0,0,0,9,8,7
Chr3-5779675,LOC_Os03g11240,6,7,2,1,1,1,2,2,0,11,9,8
Chr3-5779638,LOC_Os03g11240,87,91,67,38,49,58,50,45,37,89,89,89
Chr3-7103254,LOC_Os03g13170,7,12,9,1,0,0,0,0,0,0,0,0
Chr3-7103455,LOC_Os03g13170,163,137,151,1,1,2,1,0,2,164,170,178
Chr3-7102176,LOC_Os03g13170,1670,1979,1199,1226,1184,1271,796,748,710,1652,1521,1413
Chr3-7101925,LOC_Os03g13170,2,1,1,2,1,4,2,2,5,1,1,2
Chr3-7103812,LOC_Os03g13170,6,13,8,0,0,0,0,0,0,12,13,11
Chr3-7102010,LOC_Os03g13170,3,3,2,3,4,7,6,2,7,3,3,3
Chr3-7102946,LOC_Os03g13170,262,295,159,1,1,3,3,4,0,1362,1725,1106
Chr3-7102730,LOC_Os03g13170,4,10,11,2,4,0,1,0,2,8,0,9
Chr3+7231671,LOC_Os03g13390,27,16,13,14,13,13,1,2,1,0,2,3
Chr3+7231779,LOC_Os03g13390,4,6,4,0,1,1,0,0,0,1,1,1
Chr3+7231507,LOC_Os03g13390,271,189,177,173,159,209,26,23,3,43,35,39
Chr3+7675319,LOC_Os03g14120,4,2,3,0,1,0,3,4,0,6,5,5
Chr3+7675543,LOC_Os03g14120,5,5,2,8,4,3,13,7,10,15,15,14
Chr3+7675886,LOC_Os03g14120,6,6,5,11,12,15,28,40,33,28,27,16
Chr3+7676702,LOC_Os03g14120,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-7847873,LOC_Os03g14450,1,0,0,1,2,3,6,0,10,2,2,3
Chr3-7847996,LOC_Os03g14450,159,197,170,206,205,224,592,583,685,279,276,278
Chr3-8547193,LOC_Os03g15540,24,2,7,0,1,0,0,0,0,20,30,16
Chr3-8546870,LOC_Os03g15540,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-8546947,LOC_Os03g15540,49,70,67,75,81,98,45,59,90,27,46,58
Chr3-8581457,LOC_Os03g15580,2,4,18,15,19,17,18,28,22,16,16,18
Chr3-8581591,LOC_Os03g15580,22,22,37,4,3,4,3,4,4,28,26,26
Chr3+9016497,LOC_Os03g16334,503,502,523,23,25,23,108,93,76,659,492,556
Chr3+9016764,LOC_Os03g16334,5,5,10,0,0,0,0,0,1,1,5,4
Chr3+9014396,LOC_Os03g16334,2,4,2,1,2,3,1,0,3,0,0,0
Chr3+9252238,LOC_Os03g16700,27,34,34,48,49,51,49,43,68,13,19,31
Chr3+9249735,LOC_Os03g16700,0,2,6,1,1,1,4,3,3,0,0,0
Chr3+9252587,LOC_Os03g16700,10,98,39,119,118,116,277,271,170,6,15,43
Chr3+9247927,LOC_Os03g16700,5,3,0,0,0,0,4,5,2,3,3,2
Chr3-10123820,LOC_Os03g18130,0,3,1,0,0,1,0,0,0,0,1,1
Chr3-10120288,LOC_Os03g18130,72,75,69,319,294,287,198,176,175,37,18,27
Chr3-10196515,LOC_Os03g18190,2,3,0,1,0,1,0,1,1,1,0,1
Chr3-10191681,LOC_Os03g18190,6,6,0,0,0,1,3,3,1,3,6,10
Chr3-10478483,LOC_Os03g18720,107,171,221,231,234,248,72,102,91,175,196,223
Chr3-10480975,LOC_Os03g18720,2,1,3,0,0,0,2,2,1,2,0,4
Chr3-10478135,LOC_Os03g18720,23,21,39,4,6,5,1,0,3,33,39,40
Chr3-10478323,LOC_Os03g18720,22,14,21,17,14,16,5,5,5,34,25,32
Chr3-11007598,LOC_Os03g19580,39,36,27,115,134,146,66,90,69,40,47,32
Chr3-11007785,LOC_Os03g19580,3,2,1,0,1,0,0,0,2,1,0,1
Chr3+11272950,LOC_Os03g20010,10,10,12,61,72,66,62,65,61,10,16,3
Chr3+11273211,LOC_Os03g20010,2,6,1,4,2,8,5,6,7,0,6,2
Chr3-12358932,LOC_Os03g21650,38,29,20,0,0,0,0,0,0,22,12,11
Chr3-12359111,LOC_Os03g21650,215,104,121,0,0,0,0,0,0,227,227,229
Chr3+12494791,LOC_Os03g21850,3,3,0,3,3,0,3,3,0,4,2,1
Chr3+12493764,LOC_Os03g21850,3,4,9,0,0,0,0,0,0,0,0,0
Chr3+12495617,LOC_Os03g21850,6,5,8,0,0,0,5,2,2,1,0,0
Chr3+12500195,LOC_Os03g21850,6,15,7,1,1,1,7,8,6,9,2,8
Chr3+12500011,LOC_Os03g21850,118,129,157,31,39,20,117,119,114,141,137,141
Chr3-12823606,LOC_Os03g22400,13,13,1,3,0,1,3,2,10,8,4,13
Chr3-12823981,LOC_Os03g22400,103,105,74,40,54,50,41,67,72,173,178,173
Chr3-12823726,LOC_Os03g22400,8,16,24,8,10,6,18,3,18,7,10,5
Chr3-13122593,LOC_Os03g22720,8,9,13,32,50,44,27,21,26,6,9,8
Chr3-13122744,LOC_Os03g22720,2,0,6,2,2,2,5,3,5,7,1,4
Chr3-15967318,LOC_Os03g27830,1,0,0,1,1,2,4,3,3,0,1,0
Chr3-15969754,LOC_Os03g27830,0,1,1,0,0,0,1,0,0,0,0,0
Chr3-15967901,LOC_Os03g27830,10,1,13,19,19,21,33,22,24,47,22,10
Chr3-15967045,LOC_Os03g27830,0,0,4,0,0,0,0,1,0,0,0,0
Chr3-15968050,LOC_Os03g27830,1,5,0,7,8,8,9,7,16,7,9,1
Chr3-15966789,LOC_Os03g27830,7,2,5,0,0,1,0,0,1,0,0,0
Chr3+16632280,LOC_Os03g29240,0,1,6,0,0,0,0,0,0,0,0,0
Chr3+16631923,LOC_Os03g29240,112,106,106,228,228,240,296,300,272,35,30,37
Chr3-17265532,LOC_Os03g30260,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-17262563,LOC_Os03g30260,0,0,0,0,0,0,1,1,0,0,0,0
Chr3-17262487,LOC_Os03g30260,0,0,0,0,0,0,5,7,6,0,0,0
Chr3-19518896,LOC_Os03g34300,30,59,52,147,163,184,112,88,86,38,37,36
Chr3-19519047,LOC_Os03g34300,20,11,12,3,0,2,5,6,1,12,11,11
Chr3-21002655,LOC_Os03g37840,0,0,0,7,13,11,2,0,1,0,0,0
Chr3-21003023,LOC_Os03g37840,0,0,0,5,5,5,1,10,3,0,0,0
Chr3-21002883,LOC_Os03g37840,3,3,1,25,26,32,16,26,28,0,0,0
Chr3-22168103,LOC_Os03g39860,0,0,0,3,8,3,0,0,0,2,2,4
Chr3-22167896,LOC_Os03g39860,0,0,0,2,2,1,0,0,1,1,0,0
Chr3-22164643,LOC_Os03g39860,103,138,85,82,91,81,61,58,64,103,94,95
Chr3-22167574,LOC_Os03g39860,0,0,0,6,5,3,2,2,1,0,0,0
Chr3-22169781,LOC_Os03g39860,1,3,3,0,0,0,0,0,0,2,5,4
Chr3+22377852,LOC_Os03g40260,0,0,0,0,0,0,0,0,0,0,0,0
Chr3+22380017,LOC_Os03g40260,8,1,0,0,0,0,0,0,0,14,8,5
Chr3+22377915,LOC_Os03g40260,0,0,0,0,0,0,0,0,0,0,0,0
Chr3+22380147,LOC_Os03g40260,49,51,52,11,7,20,12,12,15,75,93,81
Chr3-24049423,LOC_Os03g43114,1,2,0,0,1,1,0,0,0,1,1,0
Chr3-24052867,LOC_Os03g43114,0,0,0,7,8,6,0,0,0,0,0,0
Chr3-24052315,LOC_Os03g43114,0,0,0,6,6,11,3,3,7,5,3,3
Chr3-24053082,LOC_Os03g43114,0,0,0,1,0,2,1,1,1,0,0,0
Chr3+26439236,LOC_Os03g46710,14,55,46,40,44,53,23,19,24,38,50,36
Chr3+26439085,LOC_Os03g46710,11,13,17,15,15,15,6,4,5,22,33,24
Chr3+27123759,LOC_Os03g47780,76,13,97,34,28,41,40,41,42,45,80,75
Chr3+27120063,LOC_Os03g47780,0,0,0,0,0,0,0,1,0,0,0,0
Chr3+27256555,LOC_Os03g47940,4,4,6,0,0,0,76,75,76,9,9,3
Chr3+27252695,LOC_Os03g47940,0,0,0,0,0,0,0,0,0,0,0,0
Chr3-27300750,LOC_Os03g48030,0,0,0,5,2,4,0,0,1,3,0,2
Chr3-27300866,LOC_Os03g48030,1,2,1,18,26,31,4,6,5,9,9,6
Chr3-27300940,LOC_Os03g48030,1,3,0,1,1,1,0,0,0,10,10,10
Chr3-27300989,LOC_Os03g48030,1,4,2,7,3,0,0,0,0,1,4,2
Chr3+27825665,LOC_Os03g48840,45,34,43,34,26,25,33,32,41,29,25,32
Chr3+27823905,LOC_Os03g48840,8,8,14,0,0,0,0,0,1,31,31,29
Chr3-30062335,LOC_Os03g52340,103,125,127,35,56,42,24,47,66,149,164,164
Chr3-30062223,LOC_Os03g52340,0,0,0,0,0,0,4,3,5,0,0,0
Chr3-32360717,LOC_Os03g56790,808,937,746,1074,1015,1013,1012,999,1009,452,452,452
Chr3-32361758,LOC_Os03g56790,2,0,1,0,0,0,2,2,2,0,0,0
Chr3-32363116,LOC_Os03g56790,7,9,6,0,0,0,0,0,0,0,0,0
Chr3-32363706,LOC_Os03g56790,10,6,2,0,0,0,2,2,2,1,1,1
Chr3+32378357,LOC_Os03g56820,0,0,0,1,1,0,63,26,43,4,1,1
Chr3+32378673,LOC_Os03g56820,1,0,1,0,0,0,14,12,2,3,6,0
Chr3-32570108,LOC_Os03g57130,24,34,41,9,4,2,12,1,6,35,14,53
Chr3-32570066,LOC_Os03g57130,87,91,62,124,112,136,80,118,104,181,208,198
Chr3+33035379,LOC_Os03g58010,7,3,2,20,8,12,3,0,1,1,0,6
Chr3+33035627,LOC_Os03g58010,0,0,2,6,12,5,0,1,0,0,0,0
Chr3+33187191,LOC_Os03g58240,38,38,29,37,22,38,24,26,16,24,30,27
Chr3+33183983,LOC_Os03g58240,3,1,5,0,0,0,0,0,0,1,2,1
Chr3-33190872,LOC_Os03g58250,12,11,12,6,0,2,11,13,0,1,3,2
Chr3-33187380,LOC_Os03g58250,37,35,35,31,29,33,43,28,39,21,24,25
Chr3-33539234,LOC_Os03g58910,10,2,6,0,0,0,0,0,0,1,2,0
Chr3-33530087,LOC_Os03g58910,65,56,74,35,33,40,23,23,26,61,56,48
Chr3-33530530,LOC_Os03g58910,17,8,14,0,0,0,0,0,0,3,8,3
Chr3-33530257,LOC_Os03g58910,8,9,7,0,0,0,2,1,0,2,2,2
Chr3-33530461,LOC_Os03g58910,3,0,0,0,0,0,0,0,0,1,1,0
Chr3+33713385,LOC_Os03g59200,0,0,0,0,5,1,12,0,9,1,1,1
Chr3+33713543,LOC_Os03g59200,0,1,1,0,0,1,4,1,6,0,0,0
Chr3+33713681,LOC_Os03g59200,0,0,0,0,0,0,3,2,1,0,2,0
Chr3+33734975,LOC_Os03g59240,0,8,6,7,4,7,29,31,30,5,5,6
Chr3+33735183,LOC_Os03g59240,0,2,0,1,0,1,6,9,15,0,0,0
Chr3+33734791,LOC_Os03g59240,0,0,0,0,0,0,0,0,2,0,0,0
Chr3-34820693,LOC_Os03g61340,72,86,102,193,225,209,121,107,110,109,109,109
Chr3-34820824,LOC_Os03g61340,27,28,37,22,17,22,12,11,12,44,60,53
Chr3-35447854,LOC_Os03g62640,6,5,2,1,1,1,2,1,0,1,1,1
Chr3-35446445,LOC_Os03g62640,153,226,272,101,126,116,69,71,70,238,192,233
Chr3-35447557,LOC_Os03g62640,3,6,3,0,0,0,0,0,0,1,1,1
Chr3-35447302,LOC_Os03g62640,7,12,9,2,0,1,2,2,2,1,1,1
Chr3-35664360,LOC_Os03g63074,1444,1651,1239,7,9,10,69,70,57,1335,1778,1129
Chr3-35659856,LOC_Os03g63074,2,0,2,5,7,7,2,0,4,6,6,6
Chr3-35660476,LOC_Os03g63074,1,1,0,0,0,0,0,0,0,1,2,2
Chr3-35665518,LOC_Os03g63074,8,6,0,0,0,0,0,0,0,0,3,1
Chr3+36175491,LOC_Os03g64010,7,7,4,8,9,9,12,12,10,6,5,3
Chr3+36175371,LOC_Os03g64010,53,36,34,163,170,136,55,16,65,1,8,22
Chr3+36175655,LOC_Os03g64010,0,8,8,0,0,0,0,0,1,2,6,3
Chr3-36265888,LOC_Os03g64190,12,15,20,1,0,1,10,1,9,11,2,7
Chr3-36265551,LOC_Os03g64190,109,98,98,56,68,64,82,75,81,165,137,184
Chr3-36265422,LOC_Os03g64190,7,13,17,0,0,1,2,0,5,2,1,2
Chr4-227055,LOC_Os04g01300,25,18,33,18,29,17,24,14,21,35,50,48
Chr4-226904,LOC_Os04g01300,109,126,55,285,272,262,222,309,291,162,176,182
Chr4-4446093,LOC_Os04g08330,7,9,7,1,4,2,0,0,0,1,1,1
Chr4-4446276,LOC_Os04g08330,8,7,5,21,16,17,23,27,27,11,9,7
Chr4-4446462,LOC_Os04g08330,16,7,20,19,17,22,27,18,13,18,16,16
Chr4+4455326,LOC_Os04g08340,1,0,6,4,4,3,6,10,11,10,10,0
Chr4+4455129,LOC_Os04g08340,1,3,14,3,4,0,1,1,0,18,18,18
Chr4+4455602,LOC_Os04g08340,0,0,0,3,0,2,1,0,0,0,0,0
Chr4+4455445,LOC_Os04g08340,0,0,0,7,8,8,1,3,2,0,1,0
Chr4-8310605,LOC_Os04g14790,1,1,1,0,0,0,1,0,4,0,0,0
Chr4-8307366,LOC_Os04g14790,104,234,176,95,85,88,77,91,78,184,209,179
Chr4-13821867,LOC_Os04g24170,1,13,9,0,0,2,0,0,1,9,9,10
Chr4-13821597,LOC_Os04g24170,15,17,12,5,9,10,5,1,2,7,5,6
Chr4-13822060,LOC_Os04g24170,12,19,29,1,0,1,0,0,0,11,11,14
Chr4-13821797,LOC_Os04g24170,138,130,122,157,163,168,61,56,62,219,221,223
Chr4-16645532,LOC_Os04g28180,20,13,9,5,7,7,4,1,3,18,27,13
Chr4-16645840,LOC_Os04g28180,2303,2332,2277,2364,2316,2309,1094,1255,1063,4263,4239,4261
Chr4-16645602,LOC_Os04g28180,10,10,6,2,1,2,4,3,3,9,5,9
Chr4+19411544,LOC_Os04g32370,6,21,15,14,13,23,20,10,15,13,9,9
Chr4+19418448,LOC_Os04g32370,46,46,48,19,20,23,23,18,18,49,51,50
Chr4+19418720,LOC_Os04g32370,17,15,12,45,35,42,31,30,35,19,10,23
