"","chrstrandcoord","gene","dry_seed1","dry_seed2","dry_seed3","shoot1","shoot2","shoot3","leaf_20days1","leaf_20days2","leaf_20days3","leaf_60days1","leaf_60days2","leaf_60days3","root_5days1","root_5days2","root_5days3","anther1","anther2","anther3","mature_pollen1","mature_pollen2","mature_pollen3","pistil1","pistil2","pistil3"
"192","Chr1+33052173","LOC_Os01g57210",0,3,8,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1,1,2
"193","Chr1-33369626","LOC_Os01g57720",3,6,10,1,0,1,6,0,0,4,4,3,0,0,0,2,0,0,13,11,11,0,0,0
"194","Chr1-33368699","LOC_Os01g57720",10,25,4,0,11,11,23,18,19,16,19,20,5,9,18,18,16,19,23,40,93,11,13,5
"195","Chr1-33368984","LOC_Os01g57720",137,129,133,59,60,47,140,175,131,150,136,143,34,49,50,79,82,87,47,76,35,30,25,33
"196","Chr1-33369580","LOC_Os01g57720",1,18,18,2,2,4,9,7,7,9,12,8,1,0,0,7,5,6,0,0,0,5,3,10
"197","Chr1-33369316","LOC_Os01g57720",3,2,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,1,15,7,2,1,0,0
"198","Chr1+33663175","LOC_Os01g58240",0,1,0,4,3,4,0,0,0,4,4,1,0,0,0,0,0,0,1,3,1,0,0,0
"199","Chr1+33663606","LOC_Os01g58240",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"200","Chr1+33672497","LOC_Os01g58240",5,12,2,2,5,4,3,4,7,3,2,3,17,19,14,0,0,0,47,41,42,0,0,0
"201","Chr1-34163816","LOC_Os01g59140",0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,2,1,2,5,27,0,0,0,3
"202","Chr1-34163514","LOC_Os01g59140",0,0,0,1,2,2,0,0,0,1,1,1,0,1,1,2,3,1,0,0,0,1,0,3
"203","Chr1-34165817","LOC_Os01g59140",3,4,0,7,3,5,18,10,4,5,7,6,4,5,5,2,5,4,24,30,33,1,1,0
"204","Chr1-34163746","LOC_Os01g59140",18,13,11,32,37,38,17,26,17,30,31,26,73,62,68,34,29,30,14,65,30,37,38,38
"205","Chr1+34202742","LOC_Os01g59200",28,18,8,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"206","Chr1+34202645","LOC_Os01g59200",42,47,69,1,1,1,0,0,0,0,0,0,4,4,5,1,1,1,59,104,51,0,0,0
"207","Chr1+34423675","LOC_Os01g59530",7,5,6,150,154,120,199,220,215,246,215,223,31,31,39,600,557,605,539,571,594,47,49,49
"208","Chr1+34423862","LOC_Os01g59530",2,2,6,2,2,2,1,5,0,0,0,0,2,2,1,4,4,6,1,4,4,0,1,0
"209","Chr1-36014043","LOC_Os01g62230",701,533,838,384,430,306,173,172,161,44,70,63,359,369,410,196,226,220,222,202,273,145,148,161
"210","Chr1-36014480","LOC_Os01g62230",3,3,6,1,4,2,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,1,0,1
"211","Chr1-36102686","LOC_Os01g62380",0,1,17,59,70,70,3,2,1,2,4,2,40,56,37,7,26,14,24,28,24,79,36,87
"212","Chr1-36099882","LOC_Os01g62380",13,7,7,8,2,1,0,0,0,0,0,1,5,6,5,0,0,0,0,0,0,6,4,0
"213","Chr1-36141689","LOC_Os01g62440",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,24,30,6,0,0,0
"214","Chr1-36138825","LOC_Os01g62440",28,25,30,91,93,79,107,75,71,81,75,57,15,18,18,11,19,12,36,39,53,29,24,22
"215","Chr1-36139131","LOC_Os01g62440",4,9,19,0,2,1,1,0,1,6,7,0,0,0,0,0,0,1,0,0,0,1,1,1
"216","Chr1-36145739","LOC_Os01g62440",0,0,0,3,3,3,1,3,1,0,0,0,0,0,2,1,1,1,3,0,2,0,0,0
"217","Chr1+36280264","LOC_Os01g62650",0,0,4,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0
"218","Chr1+36286366","LOC_Os01g62650",110,188,223,60,58,56,81,85,82,130,141,120,67,57,68,150,140,157,8,24,40,367,375,301
"219","Chr1+36280419","LOC_Os01g62650",0,0,0,0,0,0,0,1,0,4,3,1,0,0,0,0,0,1,0,0,0,1,0,1
"220","Chr1+36285594","LOC_Os01g62650",4,2,0,3,0,4,3,3,3,4,1,0,3,1,1,0,0,0,6,7,8,0,0,0
"221","Chr1+36440121","LOC_Os01g62900",1,7,7,9,13,14,11,9,9,3,6,6,7,13,10,212,284,269,33,86,74,55,53,52
"222","Chr1+36440402","LOC_Os01g62900",1,2,1,0,4,1,3,3,3,13,10,12,2,5,9,78,63,70,0,0,0,5,3,2
"223","Chr1+36483777","LOC_Os01g62970",0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"224","Chr1+36481175","LOC_Os01g62970",1,1,1,3,11,4,12,11,10,5,6,9,7,2,5,0,4,2,5,6,15,1,1,0
"225","Chr1+36484002","LOC_Os01g62970",316,314,306,20,8,9,134,130,87,85,79,80,4,4,8,93,127,98,27,19,83,17,21,18
"226","Chr1-37049115","LOC_Os01g63854",1,0,0,26,27,28,21,21,20,20,20,14,31,72,39,18,15,17,1,4,3,7,28,5
"227","Chr1-37043633","LOC_Os01g63854",7,10,7,87,68,89,144,164,135,71,75,141,117,94,169,59,80,96,51,51,54,62,72,62
"228","Chr1-37043453","LOC_Os01g63854",0,0,0,6,4,8,4,3,0,10,13,19,2,7,5,4,7,5,0,0,0,3,0,2
"229","Chr1-37048729","LOC_Os01g63854",0,2,2,0,0,0,0,1,0,1,3,1,3,3,3,3,1,1,0,0,0,1,0,0
"230","Chr1-37048182","LOC_Os01g63854",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,2,0,0,0
"231","Chr1-38206951","LOC_Os01g65790",1,2,10,312,329,348,15,6,10,11,5,9,63,60,58,117,132,103,10,63,56,82,84,78
"232","Chr1-38208579","LOC_Os01g65790",9,0,8,1,8,5,11,12,10,12,1,3,10,2,5,8,6,8,14,90,48,2,1,0
"233","Chr1+38332591","LOC_Os01g66050",34,44,39,22,21,34,25,35,60,45,46,35,30,44,45,45,51,46,92,125,32,47,56,34
"234","Chr1+38332293","LOC_Os01g66050",0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,3,1
"235","Chr1-38400569","LOC_Os01g66120",0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
"236","Chr1-38399973","LOC_Os01g66120",98,62,111,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"237","Chr1-38398218","LOC_Os01g66120",9,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"238","Chr1-38400637","LOC_Os01g66120",4,10,9,0,0,0,0,0,0,0,1,2,0,0,0,3,1,2,0,0,0,0,0,0
"239","Chr1-38398994","LOC_Os01g66120",2383,2382,1953,169,172,154,730,656,694,1271,1087,1237,193,193,174,552,560,588,509,303,597,265,295,236
"240","Chr1+39863578","LOC_Os01g68640",1,1,3,2,7,12,0,7,0,0,0,0,3,3,2,5,8,6,0,0,0,6,5,3
"241","Chr1+39863436","LOC_Os01g68640",0,7,1,0,0,0,0,0,0,0,0,0,0,2,2,12,7,16,2,9,2,3,3,4
"242","Chr1+40920737","LOC_Os01g70670",9,40,46,21,19,22,41,58,46,43,43,45,22,22,25,10,5,13,26,34,22,24,11,7
"243","Chr1+40918499","LOC_Os01g70670",7,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"244","Chr1+40920606","LOC_Os01g70670",55,128,64,53,45,74,78,36,49,73,84,54,69,40,53,69,73,80,122,110,95,99,74,97
"245","Chr1-43072749","LOC_Os01g74350",16,24,8,41,51,43,33,34,27,48,35,29,38,52,50,62,60,72,123,35,11,72,55,78
"246","Chr1-43075776","LOC_Os01g74350",21,34,44,22,23,38,34,10,26,18,21,17,63,65,85,70,75,74,41,12,127,92,95,88
"247","Chr2-1178924","LOC_Os02g03000",3,4,1,3,3,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,3
"248","Chr2-1178890","LOC_Os02g03000",2,4,5,8,6,15,2,0,2,0,5,4,5,5,6,19,8,19,0,0,0,32,29,29
"249","Chr2+1211089","LOC_Os02g03060",5,1,1,35,29,29,11,11,8,6,8,6,55,52,53,15,13,16,12,62,4,36,26,37
"250","Chr2+1210986","LOC_Os02g03060",2,2,0,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,1,1
"251","Chr2-1288905","LOC_Os02g03230",0,0,0,2,6,4,2,1,0,2,0,1,0,0,0,2,1,3,0,0,0,0,0,0
"252","Chr2-1289078","LOC_Os02g03230",163,161,183,729,500,702,752,741,816,525,508,530,58,56,54,192,182,196,300,209,281,134,145,137
"253","Chr2-1550782","LOC_Os02g03700",2,1,1,8,6,9,11,14,18,36,27,52,11,12,12,3,2,1,155,3,3,6,3,10
"254","Chr2-1551808","LOC_Os02g03700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,45,4,10,0,0,0
"255","Chr2-1551474","LOC_Os02g03700",0,0,0,0,0,0,2,0,0,0,5,6,3,3,1,0,1,0,0,0,0,1,0,0
"256","Chr2-1550645","LOC_Os02g03700",0,0,0,2,4,3,0,2,0,3,5,8,3,3,4,1,1,1,0,1,2,1,4,3
"257","Chr2-1550907","LOC_Os02g03700",0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,1
"258","Chr2-1551642","LOC_Os02g03700",3,2,4,0,2,0,3,1,0,2,2,3,6,0,1,0,0,0,15,43,1,0,1,0
"259","Chr2-1552766","LOC_Os02g03700",55,65,35,144,113,95,114,128,84,110,89,124,131,153,84,356,365,353,46,313,236,153,143,128
"260","Chr2+2394151","LOC_Os02g05030",5,9,0,1,3,3,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0
"261","Chr2+2394322","LOC_Os02g05030",24,75,62,123,121,114,196,221,159,107,106,112,86,83,84,812,795,814,810,856,443,82,84,72
"262","Chr2-3846388","LOC_Os02g07450",4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0
"263","Chr2-3846019","LOC_Os02g07450",3,1,3,1,0,0,0,0,0,1,7,8,1,1,1,0,7,5,0,0,0,0,0,0
"264","Chr2-3846222","LOC_Os02g07450",90,72,96,25,17,33,4,57,15,63,80,61,32,45,50,58,58,50,0,250,58,57,78,106
"265","Chr2-4038895","LOC_Os02g07750",0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,2,6,3,0,0,0
"266","Chr2-4038492","LOC_Os02g07750",150,169,59,160,129,151,160,97,84,110,128,90,297,276,332,42,72,39,72,62,58,88,86,77
"267","Chr2+5504356","LOC_Os02g10470",9,4,13,76,43,23,104,73,67,40,28,30,18,14,18,758,599,696,324,134,236,51,65,49
"268","Chr2+5504238","LOC_Os02g10470",2,7,6,1,0,1,0,1,5,0,0,0,0,0,2,43,50,38,41,33,25,5,2,1
"269","Chr2-5587263","LOC_Os02g10630",3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,7,6,7,1,0,0,0,0,0
"270","Chr2-5587184","LOC_Os02g10630",8,3,8,2,6,3,2,9,5,5,6,3,2,1,1,464,425,434,589,790,716,11,12,15
"271","Chr2-5930297","LOC_Os02g11070",85,66,60,30,13,24,16,14,4,92,87,83,154,159,211,121,143,8,231,478,438,66,70,70
"272","Chr2-5932387","LOC_Os02g11070",2,2,2,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,26,16,21,0,0,0
"273","Chr2-5955075","LOC_Os02g11110",1,0,1,1,6,5,12,11,17,16,9,14,0,0,0,0,0,0,0,0,0,2,1,0
"274","Chr2-5955681","LOC_Os02g11110",15,20,13,107,92,91,69,70,42,64,53,62,3,2,2,8,9,12,29,9,36,10,10,6
"275","Chr2-5955017","LOC_Os02g11110",0,0,0,1,0,0,1,3,2,8,8,8,0,0,0,0,0,0,0,0,0,0,1,0
"276","Chr2-5955208","LOC_Os02g11110",3,5,4,2,6,1,4,2,6,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0
"277","Chr2-6529691","LOC_Os02g12490",0,4,6,4,5,4,17,17,17,19,19,27,3,0,3,4,5,0,10,23,12,14,12,12
"278","Chr2-6530247","LOC_Os02g12490",8,9,8,20,30,24,56,60,68,34,36,24,9,12,0,14,14,14,14,7,17,36,34,28
"279","Chr2-6532217","LOC_Os02g12490",1,1,2,0,0,0,0,0,1,0,0,1,0,1,0,3,4,2,0,0,0,1,0,0
"280","Chr2-6530886","LOC_Os02g12490",0,0,0,1,2,0,2,0,0,0,0,2,1,2,1,0,1,0,37,7,14,0,0,0
"281","Chr2-6530340","LOC_Os02g12490",32,36,47,13,15,17,43,42,40,13,35,41,16,13,14,21,28,25,9,6,16,31,32,25
"282","Chr2+7687331","LOC_Os02g14059",1190,1107,1169,168,187,181,93,84,83,95,117,109,344,324,274,116,127,124,237,221,116,416,318,337
"283","Chr2+7687624","LOC_Os02g14059",2,0,6,2,1,2,0,0,0,0,0,0,5,5,5,0,1,1,15,2,4,0,0,0
"284","Chr2+7682662","LOC_Os02g14059",9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"285","Chr2+7677787","LOC_Os02g14059",2,3,11,5,11,5,9,3,7,3,4,4,7,7,5,2,23,10,16,14,1,1,1,0
"286","Chr2+8221336","LOC_Os02g14800",4,4,9,2,1,3,0,0,0,2,2,0,1,0,0,1,1,1,0,0,0,2,1,1
"287","Chr2+8217132","LOC_Os02g14800",9,12,13,20,22,20,45,24,38,33,30,30,13,7,5,7,11,8,1,2,6,18,13,9
"288","Chr2+8317184","LOC_Os02g14900",2,2,2,9,11,9,2,3,3,1,1,2,26,24,35,9,9,11,0,1,0,22,20,6
"289","Chr2+8300243","LOC_Os02g14900",2,2,0,9,5,1,4,7,8,1,3,3,4,4,5,3,1,2,1,3,1,1,1,1
"290","Chr2+8316992","LOC_Os02g14900",0,0,1,0,3,1,0,0,0,0,0,0,3,1,6,4,1,2,0,0,0,0,1,0
"291","Chr2+8314499","LOC_Os02g14900",2,4,2,2,2,4,2,0,3,3,0,1,1,3,2,1,1,1,2,9,1,1,1,1
"292","Chr2-8747271","LOC_Os02g15580",4,2,6,0,0,0,0,0,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"293","Chr2-8747067","LOC_Os02g15580",98,69,106,111,88,92,121,84,99,100,105,109,76,71,46,46,47,54,19,19,14,79,76,77
"294","Chr2+9044660","LOC_Os02g15950",7,25,19,5,7,7,53,66,44,28,21,10,5,9,0,14,15,17,4,20,11,24,20,16
"295","Chr2+9046083","LOC_Os02g15950",14,11,14,3,3,4,78,35,46,28,20,18,0,6,1,16,12,18,28,62,36,9,9,8
"296","Chr2+9044737","LOC_Os02g15950",4,0,3,9,14,4,50,51,43,16,15,18,10,15,11,31,22,25,6,1,6,13,14,12
"297","Chr2-9913486","LOC_Os02g17292",6,5,1,5,3,1,4,1,3,3,3,7,2,4,2,4,5,5,8,1,4,4,11,15
"298","Chr2-9912522","LOC_Os02g17292",6,2,3,11,16,16,3,0,13,5,5,4,6,5,3,11,7,20,0,0,0,8,7,9
"299","Chr2-9913625","LOC_Os02g17292",0,0,0,1,2,2,0,0,6,1,1,1,7,3,2,0,0,0,0,0,0,1,0,1
"300","Chr2-9913669","LOC_Os02g17292",0,1,0,0,0,1,0,1,1,3,1,2,1,3,0,1,1,1,0,0,0,3,4,5
"301","Chr2-11160276","LOC_Os02g19140",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0
"302","Chr2-11157250","LOC_Os02g19140",314,334,344,240,227,230,92,113,134,104,120,105,312,307,320,245,310,308,299,292,317,103,108,100
"303","Chr2-11159684","LOC_Os02g19140",12,11,16,2,4,0,0,0,0,0,1,0,2,3,2,0,0,2,0,0,0,0,0,0
"304","Chr2-15468574","LOC_Os02g26349",0,4,0,2,19,16,0,4,4,6,4,4,16,17,16,6,4,2,0,0,0,14,18,13
"305","Chr2-15468252","LOC_Os02g26349",18,18,20,7,7,10,5,7,10,19,18,19,13,14,8,11,6,10,1,2,7,21,11,13
"306","Chr2+15912986","LOC_Os02g27060",26,24,19,3,2,6,8,7,3,8,7,3,1,0,2,0,4,4,0,0,0,1,1,1
"307","Chr2+15913311","LOC_Os02g27060",0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,2,3,0,0,0,1,0,1
"308","Chr2+15915382","LOC_Os02g27060",0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"309","Chr2+15915566","LOC_Os02g27060",40,41,45,43,47,46,313,310,222,114,129,118,20,21,20,83,81,70,64,33,70,32,31,35
"310","Chr2+16442642","LOC_Os02g27760",2,0,1,0,0,0,4,0,0,0,2,1,1,1,1,1,1,0,0,0,0,3,2,0
"311","Chr2+16442552","LOC_Os02g27760",6,2,5,4,2,2,10,1,7,0,2,0,2,4,1,1,1,1,0,0,0,2,2,2
"312","Chr2+16442445","LOC_Os02g27760",762,682,774,1086,1135,1179,251,269,192,384,386,375,1395,1572,1394,449,476,445,603,581,547,1251,1252,1292
"313","Chr2-17244950","LOC_Os02g29130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0,0,0,8,11,8
"314","Chr2-17254219","LOC_Os02g29130",3,2,0,4,0,1,0,4,1,1,1,0,3,0,0,1,0,0,14,2,12,0,0,0
"315","Chr2+18712002","LOC_Os02g31220",130,165,154,79,72,83,91,88,104,103,96,105,67,71,65,65,79,73,15,89,80,111,131,119
"316","Chr2+18711652","LOC_Os02g31220",18,7,15,5,6,17,7,8,29,10,10,10,22,17,9,13,14,6,66,5,115,22,25,19
"317","Chr2+18706759","LOC_Os02g31220",4,4,5,1,0,0,0,0,0,0,2,1,0,1,1,1,1,0,0,0,0,0,0,0
"318","Chr2+18712273","LOC_Os02g31220",28,31,28,16,22,15,12,13,11,7,5,8,18,18,18,9,6,13,0,1,4,22,8,15
"319","Chr2+18711507","LOC_Os02g31220",1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,4,6,0
"320","Chr2+18711396","LOC_Os02g31220",0,9,10,0,3,1,4,0,9,1,1,1,1,4,2,0,1,2,0,0,0,0,1,1
"321","Chr2-18889903","LOC_Os02g31960",0,0,0,8,7,14,10,8,11,20,14,11,10,8,9,11,5,18,0,0,0,15,8,0
"322","Chr2-18889982","LOC_Os02g31960",13,13,5,5,6,0,2,10,2,6,6,6,6,5,7,5,5,5,48,4,27,27,26,8
"323","Chr2-19309755","LOC_Os02g32590",127,143,122,7,6,17,0,0,0,65,66,64,2,4,2,114,132,101,118,19,64,85,93,83
"324","Chr2-19309512","LOC_Os02g32590",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,5,0,0,0,0,1,0
"325","Chr2-19312149","LOC_Os02g32590",51,42,46,0,1,2,0,0,4,0,2,0,2,0,1,6,7,7,0,0,0,13,11,11
"326","Chr2-19406144","LOC_Os02g32690",1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"327","Chr2-19415539","LOC_Os02g32690",22,22,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,4,0,0,0
"328","Chr2-19405398","LOC_Os02g32690",0,0,0,0,0,1,0,0,0,0,0,0,29,24,24,0,0,0,0,0,0,0,0,0
"329","Chr2-19405267","LOC_Os02g32690",0,0,0,1,1,2,0,0,0,0,0,0,10,12,13,0,0,0,0,0,0,0,0,0
"330","Chr2-19406584","LOC_Os02g32690",0,0,0,0,1,0,3,0,0,2,1,0,8,12,7,0,0,0,0,0,0,0,0,0
"331","Chr2-19406282","LOC_Os02g32690",0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"332","Chr2-19405538","LOC_Os02g32690",0,0,0,1,8,15,0,1,0,1,0,0,37,63,29,0,0,0,0,0,0,0,0,0
"333","Chr2-21411357","LOC_Os02g35590",1,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"334","Chr2-21410581","LOC_Os02g35590",0,1,0,0,0,1,0,0,3,2,0,0,4,8,2,2,0,1,0,0,1,0,0,0
"335","Chr2-21410854","LOC_Os02g35590",131,176,155,126,129,118,326,291,283,187,209,201,86,93,102,61,47,60,61,235,230,60,54,61
"336","Chr2+21417192","LOC_Os02g35600",99,159,143,79,104,89,175,168,172,148,142,155,62,63,46,81,82,83,58,9,47,205,175,219
"337","Chr2+21414776","LOC_Os02g35600",6,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"338","Chr2+21417451","LOC_Os02g35600",0,1,1,0,1,1,5,2,11,7,4,5,0,0,0,1,0,1,4,22,9,0,0,0
"339","Chr2+21414661","LOC_Os02g35600",13,35,10,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,0,1,1,0
"340","Chr2-22365525","LOC_Os02g37030",10,3,1,0,0,0,2,2,3,2,2,2,0,0,0,1,0,0,0,0,0,1,0,1
"341","Chr2-22365434","LOC_Os02g37030",120,53,76,49,43,46,80,74,104,145,146,82,20,35,17,50,51,53,6,23,15,52,42,35
"342","Chr2-22365325","LOC_Os02g37030",53,54,49,75,69,65,112,107,139,144,137,159,48,49,46,65,74,55,11,58,177,61,60,60
"343","Chr2-23768598","LOC_Os02g39384",5,17,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,1
"344","Chr2-23768788","LOC_Os02g39384",0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
"345","Chr2-23768996","LOC_Os02g39384",0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,0,0,0
"346","Chr2-24976333","LOC_Os02g41630",0,1,0,1,0,0,3,3,1,0,0,0,0,0,0,1,1,0,4,4,0,0,1,0
"347","Chr2-24973449","LOC_Os02g41630",187,127,82,8704,7994,8252,517,511,491,332,298,336,11145,11593,11132,219,214,262,4643,5050,737,557,400,380
"348","Chr2-24985293","LOC_Os02g41650",427,447,417,2844,2916,2962,562,561,577,312,300,307,2829,2377,2714,398,402,411,544,848,1112,710,726,720
"349","Chr2-24989309","LOC_Os02g41650",2,12,6,11,12,10,1,2,1,1,0,0,10,10,9,0,2,4,0,0,0,1,1,0
"350","Chr2-24988736","LOC_Os02g41650",0,0,0,76,58,76,0,3,0,1,1,0,36,43,45,1,0,0,7,5,5,2,0,1
"351","Chr2-24984870","LOC_Os02g41650",1,2,2,2,2,2,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,1,3,2
"352","Chr2-24985579","LOC_Os02g41650",3,3,3,16,11,15,0,0,0,0,0,1,21,18,39,6,4,0,0,0,0,1,3,3
"353","Chr2-24988487","LOC_Os02g41650",1,1,0,32,28,29,0,0,0,0,0,0,5,6,7,0,1,0,9,19,6,5,2,4
"354","Chr2-25252915","LOC_Os02g42020",0,1,0,5,6,9,0,0,0,1,0,4,3,4,3,1,1,1,0,0,0,2,3,2
"355","Chr2-25250919","LOC_Os02g42020",0,1,0,1,6,9,2,3,10,0,1,3,4,2,3,0,0,0,0,0,0,2,2,2
"356","Chr2-25243157","LOC_Os02g42020",9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"357","Chr2-25242586","LOC_Os02g42020",298,206,200,43,46,43,71,85,82,116,116,119,63,52,54,65,55,59,47,8,5,104,109,114
"358","Chr2-25251004","LOC_Os02g42020",9,14,21,3,10,7,10,10,3,13,14,19,10,10,9,2,3,2,4,1,1,11,11,5
"359","Chr2+25400795","LOC_Os02g42220",0,0,0,12,9,3,3,3,2,3,1,4,11,8,10,0,0,0,0,0,0,1,1,2
"360","Chr2+25404079","LOC_Os02g42220",0,0,0,16,16,16,9,11,10,8,6,5,13,12,19,0,0,0,3,2,5,2,3,4
"361","Chr2+25404328","LOC_Os02g42220",0,0,0,0,1,4,3,2,0,0,0,0,1,1,1,1,1,1,0,0,0,0,2,0
"362","Chr2+25404210","LOC_Os02g42220",3,3,10,177,169,146,105,93,99,164,156,161,135,135,137,28,25,19,19,9,11,60,54,57
"363","Chr2+26519762","LOC_Os02g43930",16,21,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0
"364","Chr2+26523221","LOC_Os02g43930",758,1111,770,176,193,149,211,212,164,335,337,327,186,232,213,493,521,552,753,448,271,628,603,639
"365","Chr2-26866894","LOC_Os02g44380",1,4,2,0,0,0,0,0,1,0,0,0,2,2,0,22,26,29,14,15,2,4,0,0
"366","Chr2-26866526","LOC_Os02g44380",0,0,2,3,5,5,3,1,4,0,0,0,0,0,0,187,148,157,380,54,126,16,14,8
"367","Chr2-26875346","LOC_Os02g44380",0,1,0,1,3,0,0,0,0,0,0,2,3,3,4,0,0,0,2,3,1,0,0,0
"368","Chr2+27389105","LOC_Os02g45150",51,15,38,0,0,0,2,1,0,0,0,0,2,4,3,0,0,0,0,0,0,1,2,0
"369","Chr2+27387494","LOC_Os02g45150",1,4,3,11,9,11,3,3,1,0,0,0,9,3,4,0,2,1,0,0,0,24,1,23
"370","Chr2+27387677","LOC_Os02g45150",15,14,15,4,1,2,0,0,0,1,0,1,5,5,4,1,1,1,0,0,0,2,3,4
"371","Chr2-28109647","LOC_Os02g46120",4,3,4,0,0,0,6,0,1,1,1,0,1,0,0,0,0,0,0,0,0,3,2,2
"372","Chr2-28109106","LOC_Os02g46120",4,1,0,1,0,0,8,10,6,4,3,1,0,1,1,1,0,0,0,0,0,2,3,2
"373","Chr2-28108635","LOC_Os02g46120",8,1,1,2,2,2,0,0,0,0,0,0,1,1,0,1,1,1,1,1,2,1,2,1
"374","Chr2-28109791","LOC_Os02g46120",5,5,3,1,0,0,1,0,0,2,1,1,0,0,0,3,2,0,0,0,0,6,4,5
"375","Chr2+28118869","LOC_Os02g46130",0,2,1,1,4,2,1,1,1,1,1,0,9,12,10,3,1,0,0,0,0,2,0,0
"376","Chr2+28118978","LOC_Os02g46130",4,9,6,7,7,7,7,5,5,11,9,7,13,13,14,4,4,5,0,0,0,6,4,4
"377","Chr2+28118684","LOC_Os02g46130",207,197,157,63,74,102,54,47,53,57,54,43,176,166,138,65,54,66,85,47,47,97,88,99
"378","Chr2-28290012","LOC_Os02g46440",0,0,0,7,5,7,3,4,3,0,1,5,0,0,1,1,0,1,0,0,0,6,3,2
"379","Chr2-28289764","LOC_Os02g46440",0,0,0,16,20,9,2,2,0,6,1,2,7,3,6,0,1,0,1,1,0,1,1,1
"380","Chr2-28290945","LOC_Os02g46440",1,0,0,195,159,206,60,61,55,104,101,94,11,16,18,22,15,20,0,0,1,58,58,69
"381","Chr2-28480797","LOC_Os02g46660",1,1,1,0,0,0,1,1,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"382","Chr2-28480842","LOC_Os02g46660",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"383","Chr2-28480903","LOC_Os02g46660",0,0,0,0,0,0,7,7,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"384","Chr2-28478685","LOC_Os02g46660",13,19,15,78,83,97,710,713,754,483,439,458,44,42,53,23,23,14,40,27,58,11,5,6
"385","Chr2-29226666","LOC_Os02g47790",0,0,0,11,14,17,0,0,0,0,0,0,8,11,13,0,0,0,0,0,0,1,2,1
