"","chrstrandcoord","gene","endosperm1","endosperm2","endosperm3","imbibed_seed1","imbibed_seed2","imbibed_seed3","shoot1","shoot2","shoot3","leaf_20days1","leaf_20days2","leaf_20days3","root_5days1","root_5days2","root_5days3","root_60days1","root_60days2","root_60days3","mature_pollen1","mature_pollen2","mature_pollen3","pistil1","pistil2","pistil3"
"192","Chr1+33052173","LOC_Os01g57210",6,1,5,0,1,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,2
"193","Chr1-33369626","LOC_Os01g57720",10,4,0,4,1,1,1,0,1,6,0,0,0,0,0,0,0,0,13,11,11,0,0,0
"194","Chr1-33368699","LOC_Os01g57720",26,47,6,8,15,13,0,11,11,23,18,19,5,9,18,14,11,11,23,40,93,11,13,5
"195","Chr1-33368984","LOC_Os01g57720",83,192,173,150,161,155,59,60,47,140,175,131,34,49,50,57,47,46,47,76,35,30,25,33
"196","Chr1-33369580","LOC_Os01g57720",21,14,43,3,2,3,2,2,4,9,7,7,1,0,0,2,2,0,0,0,0,5,3,10
"197","Chr1-33369316","LOC_Os01g57720",2,12,4,0,0,2,0,0,0,0,2,1,0,0,0,1,0,1,15,7,2,1,0,0
"198","Chr1+33663175","LOC_Os01g58240",5,2,0,0,0,0,4,3,4,0,0,0,0,0,0,94,98,94,1,3,1,0,0,0
"199","Chr1+33663606","LOC_Os01g58240",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,19,29,0,0,0,0,0,0
"200","Chr1+33672497","LOC_Os01g58240",1,0,0,0,0,0,2,5,4,3,4,7,17,19,14,143,144,79,47,41,42,0,0,0
"201","Chr1-34163816","LOC_Os01g59140",2,4,6,0,0,0,1,1,2,0,0,0,0,0,0,3,1,2,5,27,0,0,0,3
"202","Chr1-34163514","LOC_Os01g59140",0,0,0,1,1,0,1,2,2,0,0,0,0,1,1,2,3,2,0,0,0,1,0,3
"203","Chr1-34165817","LOC_Os01g59140",8,19,7,8,6,9,7,3,5,18,10,4,4,5,5,8,2,6,24,30,33,1,1,0
"204","Chr1-34163746","LOC_Os01g59140",42,6,44,33,33,41,32,37,38,17,26,17,73,62,68,57,61,61,14,65,30,37,38,38
"205","Chr1+34202742","LOC_Os01g59200",24,13,10,18,19,15,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
"206","Chr1+34202645","LOC_Os01g59200",81,58,80,72,48,44,1,1,1,0,0,0,4,4,5,0,0,0,59,104,51,0,0,0
"207","Chr1+34423675","LOC_Os01g59530",13,15,16,9,27,23,150,154,120,199,220,215,31,31,39,2,8,10,539,571,594,47,49,49
"208","Chr1+34423862","LOC_Os01g59530",2,3,1,2,5,3,2,2,2,1,5,0,2,2,1,2,1,2,1,4,4,0,1,0
"209","Chr1-36014043","LOC_Os01g62230",562,619,423,221,220,305,384,430,306,173,172,161,359,369,410,476,431,476,222,202,273,145,148,161
"210","Chr1-36014480","LOC_Os01g62230",0,0,0,0,1,2,1,4,2,0,0,0,1,1,0,1,1,3,0,0,0,1,0,1
"211","Chr1-36102686","LOC_Os01g62380",25,12,9,39,47,53,59,70,70,3,2,1,40,56,37,46,49,47,24,28,24,79,36,87
"212","Chr1-36099882","LOC_Os01g62380",9,14,1,12,24,5,8,2,1,0,0,0,5,6,5,4,3,4,0,0,0,6,4,0
"213","Chr1-36141689","LOC_Os01g62440",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,30,6,0,0,0
"214","Chr1-36138825","LOC_Os01g62440",21,12,8,17,18,17,91,93,79,107,75,71,15,18,18,11,10,10,36,39,53,29,24,22
"215","Chr1-36139131","LOC_Os01g62440",1,6,3,1,1,0,0,2,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1
"216","Chr1-36145739","LOC_Os01g62440",0,0,0,2,3,0,3,3,3,1,3,1,0,0,2,0,0,0,3,0,2,0,0,0
"217","Chr1+36280264","LOC_Os01g62650",0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,0,1,0,0
"218","Chr1+36286366","LOC_Os01g62650",173,173,166,264,216,286,60,58,56,81,85,82,67,57,68,163,124,142,8,24,40,367,375,301
"219","Chr1+36280419","LOC_Os01g62650",2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
"220","Chr1+36285594","LOC_Os01g62650",2,2,2,1,0,2,3,0,4,3,3,3,3,1,1,0,0,0,6,7,8,0,0,0
"221","Chr1+36440121","LOC_Os01g62900",0,1,1,77,94,89,9,13,14,11,9,9,7,13,10,11,16,5,33,86,74,55,53,52
"222","Chr1+36440402","LOC_Os01g62900",0,0,0,14,14,14,0,4,1,3,3,3,2,5,9,4,3,1,0,0,0,5,3,2
"223","Chr1+36483777","LOC_Os01g62970",12,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"224","Chr1+36481175","LOC_Os01g62970",3,0,7,0,0,3,3,11,4,12,11,10,7,2,5,3,2,3,5,6,15,1,1,0
"225","Chr1+36484002","LOC_Os01g62970",564,534,524,36,32,36,20,8,9,134,130,87,4,4,8,11,10,11,27,19,83,17,21,18
"226","Chr1-37049115","LOC_Os01g63854",2,2,16,2,0,2,26,27,28,21,21,20,31,72,39,15,14,14,1,4,3,7,28,5
"227","Chr1-37043633","LOC_Os01g63854",14,12,6,2,8,1,87,68,89,144,164,135,117,94,169,41,82,32,51,51,54,62,72,62
"228","Chr1-37043453","LOC_Os01g63854",0,2,1,0,0,0,6,4,8,4,3,0,2,7,5,1,7,5,0,0,0,3,0,2
"229","Chr1-37048729","LOC_Os01g63854",0,3,0,0,0,0,0,0,0,0,1,0,3,3,3,0,0,0,0,0,0,1,0,0
"230","Chr1-37048182","LOC_Os01g63854",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,3,2,0,0,0
"231","Chr1-38206951","LOC_Os01g65790",1,4,6,61,85,70,312,329,348,15,6,10,63,60,58,189,190,186,10,63,56,82,84,78
"232","Chr1-38208579","LOC_Os01g65790",16,3,10,2,0,4,1,8,5,11,12,10,10,2,5,2,6,0,14,90,48,2,1,0
"233","Chr1+38332591","LOC_Os01g66050",31,31,24,26,12,22,22,21,34,25,35,60,30,44,45,24,35,17,92,125,32,47,56,34
"234","Chr1+38332293","LOC_Os01g66050",0,0,1,0,0,0,0,0,0,0,0,2,0,2,2,0,0,1,0,0,0,0,3,1
"235","Chr1-38400569","LOC_Os01g66120",7,5,3,0,3,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
"236","Chr1-38399973","LOC_Os01g66120",141,107,110,23,29,25,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0
"237","Chr1-38398218","LOC_Os01g66120",6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"238","Chr1-38400637","LOC_Os01g66120",19,10,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"239","Chr1-38398994","LOC_Os01g66120",2962,3152,2589,646,565,627,169,172,154,730,656,694,193,193,174,1921,1855,1913,509,303,597,265,295,236
"240","Chr1+39863578","LOC_Os01g68640",0,0,0,8,12,6,2,7,12,0,7,0,3,3,2,4,2,5,0,0,0,6,5,3
"241","Chr1+39863436","LOC_Os01g68640",4,4,4,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,2,9,2,3,3,4
"242","Chr1+40920737","LOC_Os01g70670",36,44,49,27,23,27,21,19,22,41,58,46,22,22,25,25,26,3,26,34,22,24,11,7
"243","Chr1+40918499","LOC_Os01g70670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"244","Chr1+40920606","LOC_Os01g70670",113,68,127,86,93,115,53,45,74,78,36,49,69,40,53,46,38,95,122,110,95,99,74,97
"245","Chr1-43072749","LOC_Os01g74350",15,25,13,26,21,21,41,51,43,33,34,27,38,52,50,125,144,113,123,35,11,72,55,78
"246","Chr1-43075776","LOC_Os01g74350",37,25,22,63,40,46,22,23,38,34,10,26,63,65,85,40,33,42,41,12,127,92,95,88
"247","Chr2-1178924","LOC_Os02g03000",0,0,0,0,0,0,3,3,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,3
"248","Chr2-1178890","LOC_Os02g03000",8,2,6,4,2,1,8,6,15,2,0,2,5,5,6,0,1,1,0,0,0,32,29,29
"249","Chr2+1211089","LOC_Os02g03060",0,0,0,13,24,6,35,29,29,11,11,8,55,52,53,26,29,38,12,62,4,36,26,37
"250","Chr2+1210986","LOC_Os02g03060",0,0,1,0,0,0,0,1,0,0,0,0,2,2,1,0,1,2,0,0,0,1,1,1
"251","Chr2-1288905","LOC_Os02g03230",0,0,0,0,0,0,2,6,4,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0
"252","Chr2-1289078","LOC_Os02g03230",175,181,246,234,216,223,729,500,702,752,741,816,58,56,54,65,59,60,300,209,281,134,145,137
"253","Chr2-1550782","LOC_Os02g03700",1,8,0,9,8,9,8,6,9,11,14,18,11,12,12,12,15,13,155,3,3,6,3,10
"254","Chr2-1551808","LOC_Os02g03700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,45,4,10,0,0,0
"255","Chr2-1551474","LOC_Os02g03700",2,6,6,0,1,1,0,0,0,2,0,0,3,3,1,0,1,1,0,0,0,1,0,0
"256","Chr2-1550645","LOC_Os02g03700",3,5,2,0,0,0,2,4,3,0,2,0,3,3,4,5,2,4,0,1,2,1,4,3
"257","Chr2-1550907","LOC_Os02g03700",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1
"258","Chr2-1551642","LOC_Os02g03700",12,11,2,0,0,4,0,2,0,3,1,0,6,0,1,1,0,0,15,43,1,0,1,0
"259","Chr2-1552766","LOC_Os02g03700",47,42,49,44,60,46,144,113,95,114,128,84,131,153,84,82,92,90,46,313,236,153,143,128
"260","Chr2+2394151","LOC_Os02g05030",0,0,1,0,0,0,1,3,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"261","Chr2+2394322","LOC_Os02g05030",81,55,44,26,11,19,123,121,114,196,221,159,86,83,84,33,27,34,810,856,443,82,84,72
"262","Chr2-3846388","LOC_Os02g07450",0,2,11,5,1,5,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4,0,0
"263","Chr2-3846019","LOC_Os02g07450",15,19,11,0,0,0,1,0,0,0,0,0,1,1,1,4,0,4,0,0,0,0,0,0
"264","Chr2-3846222","LOC_Os02g07450",78,85,96,199,188,102,25,17,33,4,57,15,32,45,50,94,78,97,0,250,58,57,78,106
"265","Chr2-4038895","LOC_Os02g07750",1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,6,3,0,0,0
"266","Chr2-4038492","LOC_Os02g07750",214,194,188,102,134,126,160,129,151,160,97,84,297,276,332,876,980,629,72,62,58,88,86,77
"267","Chr2+5504356","LOC_Os02g10470",27,35,21,6,15,10,76,43,23,104,73,67,18,14,18,5,3,3,324,134,236,51,65,49
"268","Chr2+5504238","LOC_Os02g10470",9,10,13,2,3,3,1,0,1,0,1,5,0,0,2,0,0,0,41,33,25,5,2,1
"269","Chr2-5587263","LOC_Os02g10630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"270","Chr2-5587184","LOC_Os02g10630",5,4,5,0,0,0,2,6,3,2,9,5,2,1,1,0,3,0,589,790,716,11,12,15
"271","Chr2-5930297","LOC_Os02g11070",148,30,166,98,110,110,30,13,24,16,14,4,154,159,211,3938,3871,4031,231,478,438,66,70,70
"272","Chr2-5932387","LOC_Os02g11070",0,0,1,3,0,4,0,2,1,1,2,0,0,0,0,0,0,0,26,16,21,0,0,0
"273","Chr2-5955075","LOC_Os02g11110",0,0,0,0,0,0,1,6,5,12,11,17,0,0,0,0,0,0,0,0,0,2,1,0
"274","Chr2-5955681","LOC_Os02g11110",21,18,29,4,28,11,107,92,91,69,70,42,3,2,2,0,0,0,29,9,36,10,10,6
"275","Chr2-5955017","LOC_Os02g11110",0,0,0,0,0,0,1,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0
"276","Chr2-5955208","LOC_Os02g11110",7,1,11,1,1,1,2,6,1,4,2,6,0,0,0,0,0,0,0,0,0,1,0,0
"277","Chr2-6529691","LOC_Os02g12490",0,2,2,9,2,20,4,5,4,17,17,17,3,0,3,12,12,9,10,23,12,14,12,12
"278","Chr2-6530247","LOC_Os02g12490",7,7,4,28,24,23,20,30,24,56,60,68,9,12,0,24,20,10,14,7,17,36,34,28
"279","Chr2-6532217","LOC_Os02g12490",0,0,0,1,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
"280","Chr2-6530886","LOC_Os02g12490",2,1,0,1,2,4,1,2,0,2,0,0,1,2,1,0,0,2,37,7,14,0,0,0
"281","Chr2-6530340","LOC_Os02g12490",20,8,36,2,42,0,13,15,17,43,42,40,16,13,14,8,14,22,9,6,16,31,32,25
"282","Chr2+7687331","LOC_Os02g14059",900,892,929,684,946,977,168,187,181,93,84,83,344,324,274,277,276,279,237,221,116,416,318,337
"283","Chr2+7687624","LOC_Os02g14059",23,21,12,2,2,1,2,1,2,0,0,0,5,5,5,2,1,1,15,2,4,0,0,0
"284","Chr2+7682662","LOC_Os02g14059",2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"285","Chr2+7677787","LOC_Os02g14059",21,2,5,5,8,4,5,11,5,9,3,7,7,7,5,4,0,3,16,14,1,1,1,0
"286","Chr2+8221336","LOC_Os02g14800",4,0,0,0,0,0,2,1,3,0,0,0,1,0,0,0,1,0,0,0,0,2,1,1
"287","Chr2+8217132","LOC_Os02g14800",7,9,20,132,116,123,20,22,20,45,24,38,13,7,5,12,4,7,1,2,6,18,13,9
"288","Chr2+8317184","LOC_Os02g14900",0,2,0,0,0,1,9,11,9,2,3,3,26,24,35,13,19,14,0,1,0,22,20,6
"289","Chr2+8300243","LOC_Os02g14900",2,2,2,4,3,5,9,5,1,4,7,8,4,4,5,3,2,5,1,3,1,1,1,1
"290","Chr2+8316992","LOC_Os02g14900",1,0,1,1,1,0,0,3,1,0,0,0,3,1,6,1,1,1,0,0,0,0,1,0
"291","Chr2+8314499","LOC_Os02g14900",4,2,3,0,0,0,2,2,4,2,0,3,1,3,2,4,3,3,2,9,1,1,1,1
"292","Chr2-8747271","LOC_Os02g15580",6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"293","Chr2-8747067","LOC_Os02g15580",53,68,67,43,22,43,111,88,92,121,84,99,76,71,46,39,52,48,19,19,14,79,76,77
"294","Chr2+9044660","LOC_Os02g15950",5,3,3,14,14,15,5,7,7,53,66,44,5,9,0,3,3,3,4,20,11,24,20,16
"295","Chr2+9046083","LOC_Os02g15950",1,0,3,11,11,11,3,3,4,78,35,46,0,6,1,1,1,0,28,62,36,9,9,8
"296","Chr2+9044737","LOC_Os02g15950",2,0,0,8,15,7,9,14,4,50,51,43,10,15,11,5,4,3,6,1,6,13,14,12
"297","Chr2-9913486","LOC_Os02g17292",0,0,0,1,4,3,5,3,1,4,1,3,2,4,2,1,3,3,8,1,4,4,11,15
"298","Chr2-9912522","LOC_Os02g17292",10,18,8,3,2,4,11,16,16,3,0,13,6,5,3,8,7,6,0,0,0,8,7,9
"299","Chr2-9913625","LOC_Os02g17292",0,0,0,0,0,0,1,2,2,0,0,6,7,3,2,0,0,1,0,0,0,1,0,1
"300","Chr2-9913669","LOC_Os02g17292",0,0,0,0,5,3,0,0,1,0,1,1,1,3,0,0,5,5,0,0,0,3,4,5
"301","Chr2-11160276","LOC_Os02g19140",0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0
"302","Chr2-11157250","LOC_Os02g19140",309,257,297,115,129,102,240,227,230,92,113,134,312,307,320,186,182,188,299,292,317,103,108,100
"303","Chr2-11159684","LOC_Os02g19140",17,21,32,9,10,10,2,4,0,0,0,0,2,3,2,2,1,2,0,0,0,0,0,0
"304","Chr2-15468574","LOC_Os02g26349",0,4,1,3,1,1,2,19,16,0,4,4,16,17,16,15,20,16,0,0,0,14,18,13
"305","Chr2-15468252","LOC_Os02g26349",32,44,31,0,0,8,7,7,10,5,7,10,13,14,8,8,3,8,1,2,7,21,11,13
"306","Chr2+15912986","LOC_Os02g27060",56,44,26,4,14,2,3,2,6,8,7,3,1,0,2,3,1,1,0,0,0,1,1,1
"307","Chr2+15913311","LOC_Os02g27060",5,8,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"308","Chr2+15915382","LOC_Os02g27060",0,1,1,1,1,1,1,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"309","Chr2+15915566","LOC_Os02g27060",33,31,30,64,12,32,43,47,46,313,310,222,20,21,20,19,22,22,64,33,70,32,31,35
"310","Chr2+16442642","LOC_Os02g27760",0,0,0,0,0,1,0,0,0,4,0,0,1,1,1,2,2,1,0,0,0,3,2,0
"311","Chr2+16442552","LOC_Os02g27760",1,2,1,2,1,0,4,2,2,10,1,7,2,4,1,2,0,1,0,0,0,2,2,2
"312","Chr2+16442445","LOC_Os02g27760",628,642,651,1420,1380,1502,1086,1135,1179,251,269,192,1395,1572,1394,1490,1279,1373,603,581,547,1251,1252,1292
"313","Chr2-17244950","LOC_Os02g29130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,8
"314","Chr2-17254219","LOC_Os02g29130",0,1,3,4,2,5,4,0,1,0,4,1,3,0,0,0,1,1,14,2,12,0,0,0
"315","Chr2+18712002","LOC_Os02g31220",90,97,114,103,114,158,79,72,83,91,88,104,67,71,65,56,84,51,15,89,80,111,131,119
"316","Chr2+18711652","LOC_Os02g31220",11,6,6,46,37,41,5,6,17,7,8,29,22,17,9,14,15,14,66,5,115,22,25,19
"317","Chr2+18706759","LOC_Os02g31220",0,2,5,10,3,8,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
"318","Chr2+18712273","LOC_Os02g31220",49,46,43,22,43,34,16,22,15,12,13,11,18,18,18,21,24,23,0,1,4,22,8,15
"319","Chr2+18711507","LOC_Os02g31220",1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,4,6,0
"320","Chr2+18711396","LOC_Os02g31220",6,7,5,1,2,3,0,3,1,4,0,9,1,4,2,0,4,3,0,0,0,0,1,1
"321","Chr2-18889903","LOC_Os02g31960",3,2,1,5,5,4,8,7,14,10,8,11,10,8,9,4,3,4,0,0,0,15,8,0
"322","Chr2-18889982","LOC_Os02g31960",8,9,9,12,9,9,5,6,0,2,10,2,6,5,7,3,6,4,48,4,27,27,26,8
"323","Chr2-19309755","LOC_Os02g32590",233,278,210,354,315,437,7,6,17,0,0,0,2,4,2,475,424,413,118,19,64,85,93,83
"324","Chr2-19309512","LOC_Os02g32590",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,1,0
"325","Chr2-19312149","LOC_Os02g32590",34,30,31,22,27,22,0,1,2,0,0,4,2,0,1,38,37,39,0,0,0,13,11,11
"326","Chr2-19406144","LOC_Os02g32690",3,1,9,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
"327","Chr2-19415539","LOC_Os02g32690",1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,9,4,0,0,0
"328","Chr2-19405398","LOC_Os02g32690",0,0,0,0,0,0,0,0,1,0,0,0,29,24,24,1,8,6,0,0,0,0,0,0
"329","Chr2-19405267","LOC_Os02g32690",0,0,0,1,2,4,1,1,2,0,0,0,10,12,13,1,0,3,0,0,0,0,0,0
"330","Chr2-19406584","LOC_Os02g32690",3,0,1,0,1,1,0,1,0,3,0,0,8,12,7,2,2,3,0,0,0,0,0,0
"331","Chr2-19406282","LOC_Os02g32690",3,3,5,0,0,0,1,0,1,0,0,0,1,1,1,1,2,2,0,0,0,0,0,0
"332","Chr2-19405538","LOC_Os02g32690",0,0,0,0,0,0,1,8,15,0,1,0,37,63,29,1,6,11,0,0,0,0,0,0
"333","Chr2-21411357","LOC_Os02g35590",6,6,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"334","Chr2-21410581","LOC_Os02g35590",0,3,2,0,2,0,0,0,1,0,0,3,4,8,2,3,3,4,0,0,1,0,0,0
"335","Chr2-21410854","LOC_Os02g35590",248,233,242,143,132,112,126,129,118,326,291,283,86,93,102,97,124,83,61,235,230,60,54,61
"336","Chr2+21417192","LOC_Os02g35600",155,126,170,116,115,114,79,104,89,175,168,172,62,63,46,30,37,37,58,9,47,205,175,219
"337","Chr2+21414776","LOC_Os02g35600",7,8,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"338","Chr2+21417451","LOC_Os02g35600",3,5,4,2,2,2,0,1,1,5,2,11,0,0,0,1,1,0,4,22,9,0,0,0
"339","Chr2+21414661","LOC_Os02g35600",7,5,10,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0
"340","Chr2-22365525","LOC_Os02g37030",18,5,16,3,3,0,0,0,0,2,2,3,0,0,0,2,1,2,0,0,0,1,0,1
"341","Chr2-22365434","LOC_Os02g37030",101,85,89,82,21,57,49,43,46,80,74,104,20,35,17,44,47,46,6,23,15,52,42,35
"342","Chr2-22365325","LOC_Os02g37030",78,53,89,83,89,77,75,69,65,112,107,139,48,49,46,73,79,80,11,58,177,61,60,60
"343","Chr2-23768598","LOC_Os02g39384",0,0,0,7,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,1
"344","Chr2-23768788","LOC_Os02g39384",0,0,3,3,12,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2
"345","Chr2-23768996","LOC_Os02g39384",0,0,0,3,1,1,0,0,0,0,0,0,3,0,3,0,0,7,4,0,4,0,0,0
"346","Chr2-24976333","LOC_Os02g41630",0,0,0,0,0,0,1,0,0,3,3,1,0,0,0,1,0,0,4,4,0,0,1,0
"347","Chr2-24973449","LOC_Os02g41630",287,403,234,147,218,191,8704,7994,8252,517,511,491,11145,11593,11132,8777,8943,8238,4643,5050,737,557,400,380
"348","Chr2-24985293","LOC_Os02g41650",1137,683,555,448,366,238,2844,2916,2962,562,561,577,2829,2377,2714,7280,5478,6743,544,848,1112,710,726,720
"349","Chr2-24989309","LOC_Os02g41650",1,1,1,2,2,0,11,12,10,1,2,1,10,10,9,40,30,44,0,0,0,1,1,0
"350","Chr2-24988736","LOC_Os02g41650",0,1,0,1,1,1,76,58,76,0,3,0,36,43,45,59,47,52,7,5,5,2,0,1
"351","Chr2-24984870","LOC_Os02g41650",8,1,5,0,1,0,2,2,2,0,0,0,0,2,1,13,7,7,0,0,0,1,3,2
"352","Chr2-24985579","LOC_Os02g41650",2,1,3,3,2,1,16,11,15,0,0,0,21,18,39,9,10,12,0,0,0,1,3,3
"353","Chr2-24988487","LOC_Os02g41650",0,1,0,0,0,0,32,28,29,0,0,0,5,6,7,25,24,27,9,19,6,5,2,4
"354","Chr2-25252915","LOC_Os02g42020",0,0,0,1,3,4,5,6,9,0,0,0,3,4,3,7,5,2,0,0,0,2,3,2
"355","Chr2-25250919","LOC_Os02g42020",0,0,0,2,0,0,1,6,9,2,3,10,4,2,3,0,2,0,0,0,0,2,2,2
"356","Chr2-25243157","LOC_Os02g42020",8,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"357","Chr2-25242586","LOC_Os02g42020",241,225,220,214,184,250,43,46,43,71,85,82,63,52,54,138,137,140,47,8,5,104,109,114
"358","Chr2-25251004","LOC_Os02g42020",13,11,13,13,16,16,3,10,7,10,10,3,10,10,9,12,11,13,4,1,1,11,11,5
"359","Chr2+25400795","LOC_Os02g42220",2,3,1,2,2,1,12,9,3,3,3,2,11,8,10,1,1,1,0,0,0,1,1,2
"360","Chr2+25404079","LOC_Os02g42220",1,3,0,12,18,24,16,16,16,9,11,10,13,12,19,0,1,2,3,2,5,2,3,4
"361","Chr2+25404328","LOC_Os02g42220",0,0,0,0,0,0,0,1,4,3,2,0,1,1,1,0,0,0,0,0,0,0,2,0
"362","Chr2+25404210","LOC_Os02g42220",0,1,4,79,78,73,177,169,146,105,93,99,135,135,137,33,36,32,19,9,11,60,54,57
"363","Chr2+26519762","LOC_Os02g43930",6,5,7,9,6,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0
"364","Chr2+26523221","LOC_Os02g43930",975,960,917,1341,1938,1405,176,193,149,211,212,164,186,232,213,468,422,437,753,448,271,628,603,639
"365","Chr2-26866894","LOC_Os02g44380",0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,0,14,15,2,4,0,0
"366","Chr2-26866526","LOC_Os02g44380",2,0,1,0,0,0,3,5,5,3,1,4,0,0,0,4,1,2,380,54,126,16,14,8
"367","Chr2-26875346","LOC_Os02g44380",1,2,0,0,0,0,1,3,0,0,0,0,3,3,4,0,1,0,2,3,1,0,0,0
"368","Chr2+27389105","LOC_Os02g45150",36,15,56,33,34,40,0,0,0,2,1,0,2,4,3,0,0,0,0,0,0,1,2,0
"369","Chr2+27387494","LOC_Os02g45150",1,1,2,5,5,7,11,9,11,3,3,1,9,3,4,2,2,2,0,0,0,24,1,23
"370","Chr2+27387677","LOC_Os02g45150",49,39,37,19,20,20,4,1,2,0,0,0,5,5,4,4,3,3,0,0,0,2,3,4
"371","Chr2-28109647","LOC_Os02g46120",0,0,0,0,0,2,0,0,0,6,0,1,1,0,0,0,1,0,0,0,0,3,2,2
"372","Chr2-28109106","LOC_Os02g46120",2,1,3,2,2,1,1,0,0,8,10,6,0,1,1,2,0,0,0,0,0,2,3,2
"373","Chr2-28108635","LOC_Os02g46120",0,0,0,2,7,4,2,2,2,0,0,0,1,1,0,4,2,5,1,1,2,1,2,1
"374","Chr2-28109791","LOC_Os02g46120",3,8,6,0,1,3,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,6,4,5
"375","Chr2+28118869","LOC_Os02g46130",3,1,7,2,4,2,1,4,2,1,1,1,9,12,10,4,4,3,0,0,0,2,0,0
"376","Chr2+28118978","LOC_Os02g46130",6,6,3,9,22,14,7,7,7,7,5,5,13,13,14,13,15,13,0,0,0,6,4,4
"377","Chr2+28118684","LOC_Os02g46130",161,158,165,80,88,78,63,74,102,54,47,53,176,166,138,84,80,84,85,47,47,97,88,99
"378","Chr2-28290012","LOC_Os02g46440",0,0,0,1,1,3,7,5,7,3,4,3,0,0,1,0,0,1,0,0,0,6,3,2
"379","Chr2-28289764","LOC_Os02g46440",5,2,1,2,1,1,16,20,9,2,2,0,7,3,6,3,1,4,1,1,0,1,1,1
"380","Chr2-28290945","LOC_Os02g46440",11,15,14,4,8,10,195,159,206,60,61,55,11,16,18,12,6,7,0,0,1,58,58,69
"381","Chr2-28480797","LOC_Os02g46660",7,5,5,2,4,1,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0
"382","Chr2-28480842","LOC_Os02g46660",11,19,3,0,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"383","Chr2-28480903","LOC_Os02g46660",3,2,6,0,0,2,0,0,0,7,7,11,0,0,0,0,0,0,0,0,0,0,0,0
"384","Chr2-28478685","LOC_Os02g46660",18,22,21,21,16,25,78,83,97,710,713,754,44,42,53,23,15,17,40,27,58,11,5,6
"385","Chr2-29226666","LOC_Os02g47790",2,4,1,1,1,0,11,14,17,0,0,0,8,11,13,17,17,14,0,0,0,1,2,1
