"","chrstrandcoord","gene","dry_seed1","dry_seed2","dry_seed3","endosperm1","endosperm2","endosperm3","leaf_20days1","leaf_20days2","leaf_20days3","leaf_60days1","leaf_60days2","leaf_60days3","stem_60days1","stem_60days2","stem_60days3","root_60days1","root_60days2","root_60days3","anther1","anther2","anther3","mature_pollen1","mature_pollen2","mature_pollen3"
"192","Chr1+33052173","LOC_Os01g57210",0,3,8,6,1,5,0,0,0,0,0,0,1,0,0,1,0,1,2,1,1,0,0,0
"193","Chr1-33369626","LOC_Os01g57720",3,6,10,10,4,0,6,0,0,4,4,3,1,0,0,0,0,0,2,0,0,13,11,11
"194","Chr1-33368699","LOC_Os01g57720",10,25,4,26,47,6,23,18,19,16,19,20,10,9,11,14,11,11,18,16,19,23,40,93
"195","Chr1-33368984","LOC_Os01g57720",137,129,133,83,192,173,140,175,131,150,136,143,66,65,67,57,47,46,79,82,87,47,76,35
"196","Chr1-33369580","LOC_Os01g57720",1,18,18,21,14,43,9,7,7,9,12,8,18,8,9,2,2,0,7,5,6,0,0,0
"197","Chr1-33369316","LOC_Os01g57720",3,2,0,2,12,4,0,2,1,1,1,0,1,1,0,1,0,1,0,0,1,15,7,2
"198","Chr1+33663175","LOC_Os01g58240",0,1,0,5,2,0,0,0,0,4,4,1,10,3,9,94,98,94,0,0,0,1,3,1
"199","Chr1+33663606","LOC_Os01g58240",0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,31,19,29,0,0,0,0,0,0
"200","Chr1+33672497","LOC_Os01g58240",5,12,2,1,0,0,3,4,7,3,2,3,44,22,38,143,144,79,0,0,0,47,41,42
"201","Chr1-34163816","LOC_Os01g59140",0,0,0,2,4,6,0,0,0,1,0,0,2,1,1,3,1,2,2,1,2,5,27,0
"202","Chr1-34163514","LOC_Os01g59140",0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,2,3,2,2,3,1,0,0,0
"203","Chr1-34165817","LOC_Os01g59140",3,4,0,8,19,7,18,10,4,5,7,6,3,4,3,8,2,6,2,5,4,24,30,33
"204","Chr1-34163746","LOC_Os01g59140",18,13,11,42,6,44,17,26,17,30,31,26,36,51,39,57,61,61,34,29,30,14,65,30
"205","Chr1+34202742","LOC_Os01g59200",28,18,8,24,13,10,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"206","Chr1+34202645","LOC_Os01g59200",42,47,69,81,58,80,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,59,104,51
"207","Chr1+34423675","LOC_Os01g59530",7,5,6,13,15,16,199,220,215,246,215,223,339,365,298,2,8,10,600,557,605,539,571,594
"208","Chr1+34423862","LOC_Os01g59530",2,2,6,2,3,1,1,5,0,0,0,0,0,0,0,2,1,2,4,4,6,1,4,4
"209","Chr1-36014043","LOC_Os01g62230",701,533,838,562,619,423,173,172,161,44,70,63,91,75,89,476,431,476,196,226,220,222,202,273
"210","Chr1-36014480","LOC_Os01g62230",3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,2,0,0,0
"211","Chr1-36102686","LOC_Os01g62380",0,1,17,25,12,9,3,2,1,2,4,2,6,9,7,46,49,47,7,26,14,24,28,24
"212","Chr1-36099882","LOC_Os01g62380",13,7,7,9,14,1,0,0,0,0,0,1,0,0,2,4,3,4,0,0,0,0,0,0
"213","Chr1-36141689","LOC_Os01g62440",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,24,30,6
"214","Chr1-36138825","LOC_Os01g62440",28,25,30,21,12,8,107,75,71,81,75,57,35,46,39,11,10,10,11,19,12,36,39,53
"215","Chr1-36139131","LOC_Os01g62440",4,9,19,1,6,3,1,0,1,6,7,0,0,2,0,1,1,1,0,0,1,0,0,0
"216","Chr1-36145739","LOC_Os01g62440",0,0,0,0,0,0,1,3,1,0,0,0,0,2,1,0,0,0,1,1,1,3,0,2
"217","Chr1+36280264","LOC_Os01g62650",0,0,4,0,2,0,0,0,0,1,1,0,0,0,0,2,1,2,1,0,0,0,0,0
"218","Chr1+36286366","LOC_Os01g62650",110,188,223,173,173,166,81,85,82,130,141,120,142,112,122,163,124,142,150,140,157,8,24,40
"219","Chr1+36280419","LOC_Os01g62650",0,0,0,2,4,1,0,1,0,4,3,1,0,2,1,0,0,1,0,0,1,0,0,0
"220","Chr1+36285594","LOC_Os01g62650",4,2,0,2,2,2,3,3,3,4,1,0,1,0,0,0,0,0,0,0,0,6,7,8
"221","Chr1+36440121","LOC_Os01g62900",1,7,7,0,1,1,11,9,9,3,6,6,24,28,35,11,16,5,212,284,269,33,86,74
"222","Chr1+36440402","LOC_Os01g62900",1,2,1,0,0,0,3,3,3,13,10,12,16,10,0,4,3,1,78,63,70,0,0,0
"223","Chr1+36483777","LOC_Os01g62970",0,2,8,12,6,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"224","Chr1+36481175","LOC_Os01g62970",1,1,1,3,0,7,12,11,10,5,6,9,3,2,3,3,2,3,0,4,2,5,6,15
"225","Chr1+36484002","LOC_Os01g62970",316,314,306,564,534,524,134,130,87,85,79,80,191,182,192,11,10,11,93,127,98,27,19,83
"226","Chr1-37049115","LOC_Os01g63854",1,0,0,2,2,16,21,21,20,20,20,14,17,17,16,15,14,14,18,15,17,1,4,3
"227","Chr1-37043633","LOC_Os01g63854",7,10,7,14,12,6,144,164,135,71,75,141,69,47,64,41,82,32,59,80,96,51,51,54
"228","Chr1-37043453","LOC_Os01g63854",0,0,0,0,2,1,4,3,0,10,13,19,3,1,3,1,7,5,4,7,5,0,0,0
"229","Chr1-37048729","LOC_Os01g63854",0,2,2,0,3,0,0,1,0,1,3,1,1,1,0,0,0,0,3,1,1,0,0,0
"230","Chr1-37048182","LOC_Os01g63854",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,13,3,2
"231","Chr1-38206951","LOC_Os01g65790",1,2,10,1,4,6,15,6,10,11,5,9,10,9,11,189,190,186,117,132,103,10,63,56
"232","Chr1-38208579","LOC_Os01g65790",9,0,8,16,3,10,11,12,10,12,1,3,3,1,4,2,6,0,8,6,8,14,90,48
"233","Chr1+38332591","LOC_Os01g66050",34,44,39,31,31,24,25,35,60,45,46,35,31,33,30,24,35,17,45,51,46,92,125,32
"234","Chr1+38332293","LOC_Os01g66050",0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"235","Chr1-38400569","LOC_Os01g66120",0,2,2,7,5,3,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0
"236","Chr1-38399973","LOC_Os01g66120",98,62,111,141,107,110,0,0,0,0,1,0,1,1,1,1,0,3,1,0,1,0,0,0
"237","Chr1-38398218","LOC_Os01g66120",9,7,4,6,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"238","Chr1-38400637","LOC_Os01g66120",4,10,9,19,10,2,0,0,0,0,1,2,0,0,0,0,0,3,3,1,2,0,0,0
"239","Chr1-38398994","LOC_Os01g66120",2383,2382,1953,2962,3152,2589,730,656,694,1271,1087,1237,890,883,865,1921,1855,1913,552,560,588,509,303,597
"240","Chr1+39863578","LOC_Os01g68640",1,1,3,0,0,0,0,7,0,0,0,0,3,1,1,4,2,5,5,8,6,0,0,0
"241","Chr1+39863436","LOC_Os01g68640",0,7,1,4,4,4,0,0,0,0,0,0,1,1,0,2,1,2,12,7,16,2,9,2
"242","Chr1+40920737","LOC_Os01g70670",9,40,46,36,44,49,41,58,46,43,43,45,41,31,43,25,26,3,10,5,13,26,34,22
"243","Chr1+40918499","LOC_Os01g70670",7,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"244","Chr1+40920606","LOC_Os01g70670",55,128,64,113,68,127,78,36,49,73,84,54,112,93,94,46,38,95,69,73,80,122,110,95
"245","Chr1-43072749","LOC_Os01g74350",16,24,8,15,25,13,33,34,27,48,35,29,35,39,50,125,144,113,62,60,72,123,35,11
"246","Chr1-43075776","LOC_Os01g74350",21,34,44,37,25,22,34,10,26,18,21,17,27,27,41,40,33,42,70,75,74,41,12,127
"247","Chr2-1178924","LOC_Os02g03000",3,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0
"248","Chr2-1178890","LOC_Os02g03000",2,4,5,8,2,6,2,0,2,0,5,4,2,1,2,0,1,1,19,8,19,0,0,0
"249","Chr2+1211089","LOC_Os02g03060",5,1,1,0,0,0,11,11,8,6,8,6,18,25,13,26,29,38,15,13,16,12,62,4
"250","Chr2+1210986","LOC_Os02g03060",2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
"251","Chr2-1288905","LOC_Os02g03230",0,0,0,0,0,0,2,1,0,2,0,1,0,0,0,0,1,2,2,1,3,0,0,0
"252","Chr2-1289078","LOC_Os02g03230",163,161,183,175,181,246,752,741,816,525,508,530,275,251,227,65,59,60,192,182,196,300,209,281
"253","Chr2-1550782","LOC_Os02g03700",2,1,1,1,8,0,11,14,18,36,27,52,26,39,40,12,15,13,3,2,1,155,3,3
"254","Chr2-1551808","LOC_Os02g03700",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,1,0,45,4,10
"255","Chr2-1551474","LOC_Os02g03700",0,0,0,2,6,6,2,0,0,0,5,6,6,4,1,0,1,1,0,1,0,0,0,0
"256","Chr2-1550645","LOC_Os02g03700",0,0,0,3,5,2,0,2,0,3,5,8,5,4,10,5,2,4,1,1,1,0,1,2
"257","Chr2-1550907","LOC_Os02g03700",0,0,0,0,0,0,0,0,0,1,0,3,4,3,1,1,1,1,0,0,0,0,0,0
"258","Chr2-1551642","LOC_Os02g03700",3,2,4,12,11,2,3,1,0,2,2,3,2,4,1,1,0,0,0,0,0,15,43,1
"259","Chr2-1552766","LOC_Os02g03700",55,65,35,47,42,49,114,128,84,110,89,124,269,308,279,82,92,90,356,365,353,46,313,236
"260","Chr2+2394151","LOC_Os02g05030",5,9,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0
"261","Chr2+2394322","LOC_Os02g05030",24,75,62,81,55,44,196,221,159,107,106,112,81,141,121,33,27,34,812,795,814,810,856,443
"262","Chr2-3846388","LOC_Os02g07450",4,4,4,0,2,11,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
"263","Chr2-3846019","LOC_Os02g07450",3,1,3,15,19,11,0,0,0,1,7,8,4,4,2,4,0,4,0,7,5,0,0,0
"264","Chr2-3846222","LOC_Os02g07450",90,72,96,78,85,96,4,57,15,63,80,61,157,125,151,94,78,97,58,58,50,0,250,58
"265","Chr2-4038895","LOC_Os02g07750",0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,6,3
"266","Chr2-4038492","LOC_Os02g07750",150,169,59,214,194,188,160,97,84,110,128,90,164,206,120,876,980,629,42,72,39,72,62,58
"267","Chr2+5504356","LOC_Os02g10470",9,4,13,27,35,21,104,73,67,40,28,30,2,13,10,5,3,3,758,599,696,324,134,236
"268","Chr2+5504238","LOC_Os02g10470",2,7,6,9,10,13,0,1,5,0,0,0,2,0,2,0,0,0,43,50,38,41,33,25
"269","Chr2-5587263","LOC_Os02g10630",3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,7,1,0,0
"270","Chr2-5587184","LOC_Os02g10630",8,3,8,5,4,5,2,9,5,5,6,3,0,1,0,0,3,0,464,425,434,589,790,716
"271","Chr2-5930297","LOC_Os02g11070",85,66,60,148,30,166,16,14,4,92,87,83,42,36,34,3938,3871,4031,121,143,8,231,478,438
"272","Chr2-5932387","LOC_Os02g11070",2,2,2,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,26,16,21
"273","Chr2-5955075","LOC_Os02g11110",1,0,1,0,0,0,12,11,17,16,9,14,0,0,0,0,0,0,0,0,0,0,0,0
"274","Chr2-5955681","LOC_Os02g11110",15,20,13,21,18,29,69,70,42,64,53,62,17,17,17,0,0,0,8,9,12,29,9,36
"275","Chr2-5955017","LOC_Os02g11110",0,0,0,0,0,0,1,3,2,8,8,8,0,0,1,0,0,0,0,0,0,0,0,0
"276","Chr2-5955208","LOC_Os02g11110",3,5,4,7,1,11,4,2,6,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"277","Chr2-6529691","LOC_Os02g12490",0,4,6,0,2,2,17,17,17,19,19,27,19,20,17,12,12,9,4,5,0,10,23,12
"278","Chr2-6530247","LOC_Os02g12490",8,9,8,7,7,4,56,60,68,34,36,24,33,27,32,24,20,10,14,14,14,14,7,17
"279","Chr2-6532217","LOC_Os02g12490",1,1,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,3,4,2,0,0,0
"280","Chr2-6530886","LOC_Os02g12490",0,0,0,2,1,0,2,0,0,0,0,2,0,0,0,0,0,2,0,1,0,37,7,14
"281","Chr2-6530340","LOC_Os02g12490",32,36,47,20,8,36,43,42,40,13,35,41,18,21,22,8,14,22,21,28,25,9,6,16
"282","Chr2+7687331","LOC_Os02g14059",1190,1107,1169,900,892,929,93,84,83,95,117,109,395,457,364,277,276,279,116,127,124,237,221,116
"283","Chr2+7687624","LOC_Os02g14059",2,0,6,23,21,12,0,0,0,0,0,0,0,1,0,2,1,1,0,1,1,15,2,4
"284","Chr2+7682662","LOC_Os02g14059",9,1,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"285","Chr2+7677787","LOC_Os02g14059",2,3,11,21,2,5,9,3,7,3,4,4,0,0,1,4,0,3,2,23,10,16,14,1
"286","Chr2+8221336","LOC_Os02g14800",4,4,9,4,0,0,0,0,0,2,2,0,1,2,2,0,1,0,1,1,1,0,0,0
"287","Chr2+8217132","LOC_Os02g14800",9,12,13,7,9,20,45,24,38,33,30,30,31,24,26,12,4,7,7,11,8,1,2,6
"288","Chr2+8317184","LOC_Os02g14900",2,2,2,0,2,0,2,3,3,1,1,2,10,9,12,13,19,14,9,9,11,0,1,0
"289","Chr2+8300243","LOC_Os02g14900",2,2,0,2,2,2,4,7,8,1,3,3,2,2,1,3,2,5,3,1,2,1,3,1
"290","Chr2+8316992","LOC_Os02g14900",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,4,1,2,0,0,0
"291","Chr2+8314499","LOC_Os02g14900",2,4,2,4,2,3,2,0,3,3,0,1,2,1,1,4,3,3,1,1,1,2,9,1
"292","Chr2-8747271","LOC_Os02g15580",4,2,6,6,6,0,0,0,2,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0
"293","Chr2-8747067","LOC_Os02g15580",98,69,106,53,68,67,121,84,99,100,105,109,114,118,115,39,52,48,46,47,54,19,19,14
"294","Chr2+9044660","LOC_Os02g15950",7,25,19,5,3,3,53,66,44,28,21,10,15,18,15,3,3,3,14,15,17,4,20,11
"295","Chr2+9046083","LOC_Os02g15950",14,11,14,1,0,3,78,35,46,28,20,18,9,11,6,1,1,0,16,12,18,28,62,36
"296","Chr2+9044737","LOC_Os02g15950",4,0,3,2,0,0,50,51,43,16,15,18,10,11,3,5,4,3,31,22,25,6,1,6
"297","Chr2-9913486","LOC_Os02g17292",6,5,1,0,0,0,4,1,3,3,3,7,5,3,7,1,3,3,4,5,5,8,1,4
"298","Chr2-9912522","LOC_Os02g17292",6,2,3,10,18,8,3,0,13,5,5,4,11,8,9,8,7,6,11,7,20,0,0,0
"299","Chr2-9913625","LOC_Os02g17292",0,0,0,0,0,0,0,0,6,1,1,1,1,1,2,0,0,1,0,0,0,0,0,0
"300","Chr2-9913669","LOC_Os02g17292",0,1,0,0,0,0,0,1,1,3,1,2,0,0,1,0,5,5,1,1,1,0,0,0
"301","Chr2-11160276","LOC_Os02g19140",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3
"302","Chr2-11157250","LOC_Os02g19140",314,334,344,309,257,297,92,113,134,104,120,105,218,231,231,186,182,188,245,310,308,299,292,317
"303","Chr2-11159684","LOC_Os02g19140",12,11,16,17,21,32,0,0,0,0,1,0,1,1,3,2,1,2,0,0,2,0,0,0
"304","Chr2-15468574","LOC_Os02g26349",0,4,0,0,4,1,0,4,4,6,4,4,7,6,7,15,20,16,6,4,2,0,0,0
"305","Chr2-15468252","LOC_Os02g26349",18,18,20,32,44,31,5,7,10,19,18,19,21,14,12,8,3,8,11,6,10,1,2,7
"306","Chr2+15912986","LOC_Os02g27060",26,24,19,56,44,26,8,7,3,8,7,3,3,3,1,3,1,1,0,4,4,0,0,0
"307","Chr2+15913311","LOC_Os02g27060",0,0,0,5,8,8,1,0,0,0,0,2,0,0,0,0,0,0,3,2,3,0,0,0
"308","Chr2+15915382","LOC_Os02g27060",0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0
"309","Chr2+15915566","LOC_Os02g27060",40,41,45,33,31,30,313,310,222,114,129,118,73,25,95,19,22,22,83,81,70,64,33,70
"310","Chr2+16442642","LOC_Os02g27760",2,0,1,0,0,0,4,0,0,0,2,1,0,4,1,2,2,1,1,1,0,0,0,0
"311","Chr2+16442552","LOC_Os02g27760",6,2,5,1,2,1,10,1,7,0,2,0,1,2,1,2,0,1,1,1,1,0,0,0
"312","Chr2+16442445","LOC_Os02g27760",762,682,774,628,642,651,251,269,192,384,386,375,836,942,990,1490,1279,1373,449,476,445,603,581,547
"313","Chr2-17244950","LOC_Os02g29130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0,0,0
"314","Chr2-17254219","LOC_Os02g29130",3,2,0,0,1,3,0,4,1,1,1,0,0,1,1,0,1,1,1,0,0,14,2,12
"315","Chr2+18712002","LOC_Os02g31220",130,165,154,90,97,114,91,88,104,103,96,105,105,74,95,56,84,51,65,79,73,15,89,80
"316","Chr2+18711652","LOC_Os02g31220",18,7,15,11,6,6,7,8,29,10,10,10,19,35,17,14,15,14,13,14,6,66,5,115
"317","Chr2+18706759","LOC_Os02g31220",4,4,5,0,2,5,0,0,0,0,2,1,0,2,2,1,1,0,1,1,0,0,0,0
"318","Chr2+18712273","LOC_Os02g31220",28,31,28,49,46,43,12,13,11,7,5,8,20,3,20,21,24,23,9,6,13,0,1,4
"319","Chr2+18711507","LOC_Os02g31220",1,1,0,1,0,0,1,0,1,1,0,1,2,2,2,1,0,0,0,0,1,0,0,0
"320","Chr2+18711396","LOC_Os02g31220",0,9,10,6,7,5,4,0,9,1,1,1,3,2,4,0,4,3,0,1,2,0,0,0
"321","Chr2-18889903","LOC_Os02g31960",0,0,0,3,2,1,10,8,11,20,14,11,3,5,12,4,3,4,11,5,18,0,0,0
"322","Chr2-18889982","LOC_Os02g31960",13,13,5,8,9,9,2,10,2,6,6,6,6,9,0,3,6,4,5,5,5,48,4,27
"323","Chr2-19309755","LOC_Os02g32590",127,143,122,233,278,210,0,0,0,65,66,64,42,29,34,475,424,413,114,132,101,118,19,64
"324","Chr2-19309512","LOC_Os02g32590",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,2,1,6,5,0,0,0
"325","Chr2-19312149","LOC_Os02g32590",51,42,46,34,30,31,0,0,4,0,2,0,1,0,1,38,37,39,6,7,7,0,0,0
"326","Chr2-19406144","LOC_Os02g32690",1,0,0,3,1,9,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0
"327","Chr2-19415539","LOC_Os02g32690",22,22,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,4
"328","Chr2-19405398","LOC_Os02g32690",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,6,0,0,0,0,0,0
"329","Chr2-19405267","LOC_Os02g32690",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0
"330","Chr2-19406584","LOC_Os02g32690",0,0,0,3,0,1,3,0,0,2,1,0,1,0,0,2,2,3,0,0,0,0,0,0
"331","Chr2-19406282","LOC_Os02g32690",0,0,0,3,3,5,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0
"332","Chr2-19405538","LOC_Os02g32690",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,6,11,0,0,0,0,0,0
"333","Chr2-21411357","LOC_Os02g35590",1,6,4,6,6,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"334","Chr2-21410581","LOC_Os02g35590",0,1,0,0,3,2,0,0,3,2,0,0,1,1,1,3,3,4,2,0,1,0,0,1
"335","Chr2-21410854","LOC_Os02g35590",131,176,155,248,233,242,326,291,283,187,209,201,224,221,234,97,124,83,61,47,60,61,235,230
"336","Chr2+21417192","LOC_Os02g35600",99,159,143,155,126,170,175,168,172,148,142,155,119,122,115,30,37,37,81,82,83,58,9,47
"337","Chr2+21414776","LOC_Os02g35600",6,5,2,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"338","Chr2+21417451","LOC_Os02g35600",0,1,1,3,5,4,5,2,11,7,4,5,5,4,1,1,1,0,1,0,1,4,22,9
"339","Chr2+21414661","LOC_Os02g35600",13,35,10,7,5,10,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
"340","Chr2-22365525","LOC_Os02g37030",10,3,1,18,5,16,2,2,3,2,2,2,0,1,0,2,1,2,1,0,0,0,0,0
"341","Chr2-22365434","LOC_Os02g37030",120,53,76,101,85,89,80,74,104,145,146,82,109,99,86,44,47,46,50,51,53,6,23,15
"342","Chr2-22365325","LOC_Os02g37030",53,54,49,78,53,89,112,107,139,144,137,159,97,99,99,73,79,80,65,74,55,11,58,177
"343","Chr2-23768598","LOC_Os02g39384",5,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"344","Chr2-23768788","LOC_Os02g39384",0,5,2,0,0,3,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
"345","Chr2-23768996","LOC_Os02g39384",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,4
"346","Chr2-24976333","LOC_Os02g41630",0,1,0,0,0,0,3,3,1,0,0,0,0,0,0,1,0,0,1,1,0,4,4,0
"347","Chr2-24973449","LOC_Os02g41630",187,127,82,287,403,234,517,511,491,332,298,336,12065,11514,11477,8777,8943,8238,219,214,262,4643,5050,737
"348","Chr2-24985293","LOC_Os02g41650",427,447,417,1137,683,555,562,561,577,312,300,307,2658,2690,2696,7280,5478,6743,398,402,411,544,848,1112
"349","Chr2-24989309","LOC_Os02g41650",2,12,6,1,1,1,1,2,1,1,0,0,1,1,1,40,30,44,0,2,4,0,0,0
"350","Chr2-24988736","LOC_Os02g41650",0,0,0,0,1,0,0,3,0,1,1,0,10,11,10,59,47,52,1,0,0,7,5,5
"351","Chr2-24984870","LOC_Os02g41650",1,2,2,8,1,5,0,0,0,0,0,0,0,1,1,13,7,7,1,1,0,0,0,0
"352","Chr2-24985579","LOC_Os02g41650",3,3,3,2,1,3,0,0,0,0,0,1,1,3,5,9,10,12,6,4,0,0,0,0
"353","Chr2-24988487","LOC_Os02g41650",1,1,0,0,1,0,0,0,0,0,0,0,0,6,1,25,24,27,0,1,0,9,19,6
"354","Chr2-25252915","LOC_Os02g42020",0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,7,5,2,1,1,1,0,0,0
"355","Chr2-25250919","LOC_Os02g42020",0,1,0,0,0,0,2,3,10,0,1,3,0,0,1,0,2,0,0,0,0,0,0,0
"356","Chr2-25243157","LOC_Os02g42020",9,7,1,8,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"357","Chr2-25242586","LOC_Os02g42020",298,206,200,241,225,220,71,85,82,116,116,119,120,121,114,138,137,140,65,55,59,47,8,5
"358","Chr2-25251004","LOC_Os02g42020",9,14,21,13,11,13,10,10,3,13,14,19,7,11,7,12,11,13,2,3,2,4,1,1
"359","Chr2+25400795","LOC_Os02g42220",0,0,0,2,3,1,3,3,2,3,1,4,4,6,5,1,1,1,0,0,0,0,0,0
"360","Chr2+25404079","LOC_Os02g42220",0,0,0,1,3,0,9,11,10,8,6,5,16,16,16,0,1,2,0,0,0,3,2,5
"361","Chr2+25404328","LOC_Os02g42220",0,0,0,0,0,0,3,2,0,0,0,0,0,5,4,0,0,0,1,1,1,0,0,0
"362","Chr2+25404210","LOC_Os02g42220",3,3,10,0,1,4,105,93,99,164,156,161,215,191,203,33,36,32,28,25,19,19,9,11
"363","Chr2+26519762","LOC_Os02g43930",16,21,4,6,5,7,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0
"364","Chr2+26523221","LOC_Os02g43930",758,1111,770,975,960,917,211,212,164,335,337,327,626,675,703,468,422,437,493,521,552,753,448,271
"365","Chr2-26866894","LOC_Os02g44380",1,4,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,22,26,29,14,15,2
"366","Chr2-26866526","LOC_Os02g44380",0,0,2,2,0,1,3,1,4,0,0,0,0,0,0,4,1,2,187,148,157,380,54,126
"367","Chr2-26875346","LOC_Os02g44380",0,1,0,1,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,3,1
"368","Chr2+27389105","LOC_Os02g45150",51,15,38,36,15,56,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"369","Chr2+27387494","LOC_Os02g45150",1,4,3,1,1,2,3,3,1,0,0,0,6,4,6,2,2,2,0,2,1,0,0,0
"370","Chr2+27387677","LOC_Os02g45150",15,14,15,49,39,37,0,0,0,1,0,1,5,3,2,4,3,3,1,1,1,0,0,0
"371","Chr2-28109647","LOC_Os02g46120",4,3,4,0,0,0,6,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0
"372","Chr2-28109106","LOC_Os02g46120",4,1,0,2,1,3,8,10,6,4,3,1,0,0,0,2,0,0,1,0,0,0,0,0
"373","Chr2-28108635","LOC_Os02g46120",8,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,2,5,1,1,1,1,1,2
"374","Chr2-28109791","LOC_Os02g46120",5,5,3,3,8,6,1,0,0,2,1,1,0,0,0,0,2,0,3,2,0,0,0,0
"375","Chr2+28118869","LOC_Os02g46130",0,2,1,3,1,7,1,1,1,1,1,0,4,8,2,4,4,3,3,1,0,0,0,0
"376","Chr2+28118978","LOC_Os02g46130",4,9,6,6,6,3,7,5,5,11,9,7,4,6,6,13,15,13,4,4,5,0,0,0
"377","Chr2+28118684","LOC_Os02g46130",207,197,157,161,158,165,54,47,53,57,54,43,63,65,68,84,80,84,65,54,66,85,47,47
"378","Chr2-28290012","LOC_Os02g46440",0,0,0,0,0,0,3,4,3,0,1,5,1,1,1,0,0,1,1,0,1,0,0,0
"379","Chr2-28289764","LOC_Os02g46440",0,0,0,5,2,1,2,2,0,6,1,2,2,3,2,3,1,4,0,1,0,1,1,0
"380","Chr2-28290945","LOC_Os02g46440",1,0,0,11,15,14,60,61,55,104,101,94,30,26,29,12,6,7,22,15,20,0,0,1
"381","Chr2-28480797","LOC_Os02g46660",1,1,1,7,5,5,1,1,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"382","Chr2-28480842","LOC_Os02g46660",0,0,0,11,19,3,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"383","Chr2-28480903","LOC_Os02g46660",0,0,0,3,2,6,7,7,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"384","Chr2-28478685","LOC_Os02g46660",13,19,15,18,22,21,710,713,754,483,439,458,134,120,122,23,15,17,23,23,14,40,27,58
"385","Chr2-29226666","LOC_Os02g47790",0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,17,17,14,0,0,0,0,0,0
