"","chrstrandcoord","gene","dry_seed1","dry_seed2","dry_seed3","imbibed_seed1","imbibed_seed2","imbibed_seed3","stem_60days1","stem_60days2","stem_60days3","root_5days1","root_5days2","root_5days3","root_60days1","root_60days2","root_60days3","mature_pollen1","mature_pollen2","mature_pollen3"
"232","Chr1-38208579","LOC_Os01g65790",9,0,8,2,0,4,3,1,4,10,2,5,2,6,0,14,90,48
"233","Chr1+38332591","LOC_Os01g66050",34,44,39,26,12,22,31,33,30,30,44,45,24,35,17,92,125,32
"234","Chr1+38332293","LOC_Os01g66050",0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0
"235","Chr1-38400569","LOC_Os01g66120",0,2,2,0,3,2,0,0,0,0,0,0,1,1,1,0,0,0
"236","Chr1-38399973","LOC_Os01g66120",98,62,111,23,29,25,1,1,1,0,0,0,1,0,3,0,0,0
"237","Chr1-38398218","LOC_Os01g66120",9,7,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"238","Chr1-38400637","LOC_Os01g66120",4,10,9,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0
"239","Chr1-38398994","LOC_Os01g66120",2383,2382,1953,646,565,627,890,883,865,193,193,174,1921,1855,1913,509,303,597
"240","Chr1+39863578","LOC_Os01g68640",1,1,3,8,12,6,3,1,1,3,3,2,4,2,5,0,0,0
"241","Chr1+39863436","LOC_Os01g68640",0,7,1,0,0,0,1,1,0,0,2,2,2,1,2,2,9,2
"242","Chr1+40920737","LOC_Os01g70670",9,40,46,27,23,27,41,31,43,22,22,25,25,26,3,26,34,22
"243","Chr1+40918499","LOC_Os01g70670",7,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"244","Chr1+40920606","LOC_Os01g70670",55,128,64,86,93,115,112,93,94,69,40,53,46,38,95,122,110,95
"245","Chr1-43072749","LOC_Os01g74350",16,24,8,26,21,21,35,39,50,38,52,50,125,144,113,123,35,11
"246","Chr1-43075776","LOC_Os01g74350",21,34,44,63,40,46,27,27,41,63,65,85,40,33,42,41,12,127
"247","Chr2-1178924","LOC_Os02g03000",3,4,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0
"248","Chr2-1178890","LOC_Os02g03000",2,4,5,4,2,1,2,1,2,5,5,6,0,1,1,0,0,0
"249","Chr2+1211089","LOC_Os02g03060",5,1,1,13,24,6,18,25,13,55,52,53,26,29,38,12,62,4
"250","Chr2+1210986","LOC_Os02g03060",2,2,0,0,0,0,0,0,0,2,2,1,0,1,2,0,0,0
"251","Chr2-1288905","LOC_Os02g03230",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
"252","Chr2-1289078","LOC_Os02g03230",163,161,183,234,216,223,275,251,227,58,56,54,65,59,60,300,209,281
"253","Chr2-1550782","LOC_Os02g03700",2,1,1,9,8,9,26,39,40,11,12,12,12,15,13,155,3,3
"254","Chr2-1551808","LOC_Os02g03700",0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,45,4,10
"255","Chr2-1551474","LOC_Os02g03700",0,0,0,0,1,1,6,4,1,3,3,1,0,1,1,0,0,0
"256","Chr2-1550645","LOC_Os02g03700",0,0,0,0,0,0,5,4,10,3,3,4,5,2,4,0,1,2
"257","Chr2-1550907","LOC_Os02g03700",0,0,0,0,0,0,4,3,1,1,0,0,1,1,1,0,0,0
"258","Chr2-1551642","LOC_Os02g03700",3,2,4,0,0,4,2,4,1,6,0,1,1,0,0,15,43,1
"259","Chr2-1552766","LOC_Os02g03700",55,65,35,44,60,46,269,308,279,131,153,84,82,92,90,46,313,236
"260","Chr2+2394151","LOC_Os02g05030",5,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"261","Chr2+2394322","LOC_Os02g05030",24,75,62,26,11,19,81,141,121,86,83,84,33,27,34,810,856,443
"262","Chr2-3846388","LOC_Os02g07450",4,4,4,5,1,5,0,0,0,0,0,0,1,1,1,0,0,0
"263","Chr2-3846019","LOC_Os02g07450",3,1,3,0,0,0,4,4,2,1,1,1,4,0,4,0,0,0
"264","Chr2-3846222","LOC_Os02g07450",90,72,96,199,188,102,157,125,151,32,45,50,94,78,97,0,250,58
"265","Chr2-4038895","LOC_Os02g07750",0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,6,3
"266","Chr2-4038492","LOC_Os02g07750",150,169,59,102,134,126,164,206,120,297,276,332,876,980,629,72,62,58
"267","Chr2+5504356","LOC_Os02g10470",9,4,13,6,15,10,2,13,10,18,14,18,5,3,3,324,134,236
"268","Chr2+5504238","LOC_Os02g10470",2,7,6,2,3,3,2,0,2,0,0,2,0,0,0,41,33,25
"269","Chr2-5587263","LOC_Os02g10630",3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"270","Chr2-5587184","LOC_Os02g10630",8,3,8,0,0,0,0,1,0,2,1,1,0,3,0,589,790,716
"271","Chr2-5930297","LOC_Os02g11070",85,66,60,98,110,110,42,36,34,154,159,211,3938,3871,4031,231,478,438
"272","Chr2-5932387","LOC_Os02g11070",2,2,2,3,0,4,0,1,0,0,0,0,0,0,0,26,16,21
"273","Chr2-5955075","LOC_Os02g11110",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"274","Chr2-5955681","LOC_Os02g11110",15,20,13,4,28,11,17,17,17,3,2,2,0,0,0,29,9,36
"275","Chr2-5955017","LOC_Os02g11110",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"276","Chr2-5955208","LOC_Os02g11110",3,5,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"277","Chr2-6529691","LOC_Os02g12490",0,4,6,9,2,20,19,20,17,3,0,3,12,12,9,10,23,12
"278","Chr2-6530247","LOC_Os02g12490",8,9,8,28,24,23,33,27,32,9,12,0,24,20,10,14,7,17
"279","Chr2-6532217","LOC_Os02g12490",1,1,2,1,3,0,0,0,1,0,1,0,1,0,0,0,0,0
"280","Chr2-6530886","LOC_Os02g12490",0,0,0,1,2,4,0,0,0,1,2,1,0,0,2,37,7,14
"281","Chr2-6530340","LOC_Os02g12490",32,36,47,2,42,0,18,21,22,16,13,14,8,14,22,9,6,16
"282","Chr2+7687331","LOC_Os02g14059",1190,1107,1169,684,946,977,395,457,364,344,324,274,277,276,279,237,221,116
"283","Chr2+7687624","LOC_Os02g14059",2,0,6,2,2,1,0,1,0,5,5,5,2,1,1,15,2,4
"284","Chr2+7682662","LOC_Os02g14059",9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"285","Chr2+7677787","LOC_Os02g14059",2,3,11,5,8,4,0,0,1,7,7,5,4,0,3,16,14,1
"286","Chr2+8221336","LOC_Os02g14800",4,4,9,0,0,0,1,2,2,1,0,0,0,1,0,0,0,0
"287","Chr2+8217132","LOC_Os02g14800",9,12,13,132,116,123,31,24,26,13,7,5,12,4,7,1,2,6
"288","Chr2+8317184","LOC_Os02g14900",2,2,2,0,0,1,10,9,12,26,24,35,13,19,14,0,1,0
"289","Chr2+8300243","LOC_Os02g14900",2,2,0,4,3,5,2,2,1,4,4,5,3,2,5,1,3,1
"290","Chr2+8316992","LOC_Os02g14900",0,0,1,1,1,0,0,0,0,3,1,6,1,1,1,0,0,0
"291","Chr2+8314499","LOC_Os02g14900",2,4,2,0,0,0,2,1,1,1,3,2,4,3,3,2,9,1
"292","Chr2-8747271","LOC_Os02g15580",4,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"293","Chr2-8747067","LOC_Os02g15580",98,69,106,43,22,43,114,118,115,76,71,46,39,52,48,19,19,14
"294","Chr2+9044660","LOC_Os02g15950",7,25,19,14,14,15,15,18,15,5,9,0,3,3,3,4,20,11
"295","Chr2+9046083","LOC_Os02g15950",14,11,14,11,11,11,9,11,6,0,6,1,1,1,0,28,62,36
"296","Chr2+9044737","LOC_Os02g15950",4,0,3,8,15,7,10,11,3,10,15,11,5,4,3,6,1,6
"297","Chr2-9913486","LOC_Os02g17292",6,5,1,1,4,3,5,3,7,2,4,2,1,3,3,8,1,4
"298","Chr2-9912522","LOC_Os02g17292",6,2,3,3,2,4,11,8,9,6,5,3,8,7,6,0,0,0
"299","Chr2-9913625","LOC_Os02g17292",0,0,0,0,0,0,1,1,2,7,3,2,0,0,1,0,0,0
"300","Chr2-9913669","LOC_Os02g17292",0,1,0,0,5,3,0,0,1,1,3,0,0,5,5,0,0,0
"301","Chr2-11160276","LOC_Os02g19140",0,2,0,1,4,2,0,0,0,0,0,0,0,0,0,3,1,3
"302","Chr2-11157250","LOC_Os02g19140",314,334,344,115,129,102,218,231,231,312,307,320,186,182,188,299,292,317
"303","Chr2-11159684","LOC_Os02g19140",12,11,16,9,10,10,1,1,3,2,3,2,2,1,2,0,0,0
"304","Chr2-15468574","LOC_Os02g26349",0,4,0,3,1,1,7,6,7,16,17,16,15,20,16,0,0,0
"305","Chr2-15468252","LOC_Os02g26349",18,18,20,0,0,8,21,14,12,13,14,8,8,3,8,1,2,7
"306","Chr2+15912986","LOC_Os02g27060",26,24,19,4,14,2,3,3,1,1,0,2,3,1,1,0,0,0
"307","Chr2+15913311","LOC_Os02g27060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"308","Chr2+15915382","LOC_Os02g27060",0,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0,0,0
"309","Chr2+15915566","LOC_Os02g27060",40,41,45,64,12,32,73,25,95,20,21,20,19,22,22,64,33,70
"310","Chr2+16442642","LOC_Os02g27760",2,0,1,0,0,1,0,4,1,1,1,1,2,2,1,0,0,0
"311","Chr2+16442552","LOC_Os02g27760",6,2,5,2,1,0,1,2,1,2,4,1,2,0,1,0,0,0
"312","Chr2+16442445","LOC_Os02g27760",762,682,774,1420,1380,1502,836,942,990,1395,1572,1394,1490,1279,1373,603,581,547
"313","Chr2-17244950","LOC_Os02g29130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"314","Chr2-17254219","LOC_Os02g29130",3,2,0,4,2,5,0,1,1,3,0,0,0,1,1,14,2,12
"315","Chr2+18712002","LOC_Os02g31220",130,165,154,103,114,158,105,74,95,67,71,65,56,84,51,15,89,80
"316","Chr2+18711652","LOC_Os02g31220",18,7,15,46,37,41,19,35,17,22,17,9,14,15,14,66,5,115
"317","Chr2+18706759","LOC_Os02g31220",4,4,5,10,3,8,0,2,2,0,1,1,1,1,0,0,0,0
"318","Chr2+18712273","LOC_Os02g31220",28,31,28,22,43,34,20,3,20,18,18,18,21,24,23,0,1,4
"319","Chr2+18711507","LOC_Os02g31220",1,1,0,0,1,1,2,2,2,0,0,1,1,0,0,0,0,0
"320","Chr2+18711396","LOC_Os02g31220",0,9,10,1,2,3,3,2,4,1,4,2,0,4,3,0,0,0
"321","Chr2-18889903","LOC_Os02g31960",0,0,0,5,5,4,3,5,12,10,8,9,4,3,4,0,0,0
"322","Chr2-18889982","LOC_Os02g31960",13,13,5,12,9,9,6,9,0,6,5,7,3,6,4,48,4,27
"323","Chr2-19309755","LOC_Os02g32590",127,143,122,354,315,437,42,29,34,2,4,2,475,424,413,118,19,64
"324","Chr2-19309512","LOC_Os02g32590",0,0,0,0,0,1,0,0,0,0,0,0,4,4,2,0,0,0
"325","Chr2-19312149","LOC_Os02g32590",51,42,46,22,27,22,1,0,1,2,0,1,38,37,39,0,0,0
"326","Chr2-19406144","LOC_Os02g32690",1,0,0,0,0,0,1,2,1,0,0,2,1,0,0,0,0,0
"327","Chr2-19415539","LOC_Os02g32690",22,22,17,0,0,3,0,0,0,0,0,0,0,0,0,9,9,4
"328","Chr2-19405398","LOC_Os02g32690",0,0,0,0,0,0,0,0,0,29,24,24,1,8,6,0,0,0
"329","Chr2-19405267","LOC_Os02g32690",0,0,0,1,2,4,0,0,0,10,12,13,1,0,3,0,0,0
"330","Chr2-19406584","LOC_Os02g32690",0,0,0,0,1,1,1,0,0,8,12,7,2,2,3,0,0,0
"331","Chr2-19406282","LOC_Os02g32690",0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,0,0,0
"332","Chr2-19405538","LOC_Os02g32690",0,0,0,0,0,0,0,0,0,37,63,29,1,6,11,0,0,0
"333","Chr2-21411357","LOC_Os02g35590",1,6,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"334","Chr2-21410581","LOC_Os02g35590",0,1,0,0,2,0,1,1,1,4,8,2,3,3,4,0,0,1
"335","Chr2-21410854","LOC_Os02g35590",131,176,155,143,132,112,224,221,234,86,93,102,97,124,83,61,235,230
"336","Chr2+21417192","LOC_Os02g35600",99,159,143,116,115,114,119,122,115,62,63,46,30,37,37,58,9,47
"337","Chr2+21414776","LOC_Os02g35600",6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"338","Chr2+21417451","LOC_Os02g35600",0,1,1,2,2,2,5,4,1,0,0,0,1,1,0,4,22,9
"339","Chr2+21414661","LOC_Os02g35600",13,35,10,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0
"340","Chr2-22365525","LOC_Os02g37030",10,3,1,3,3,0,0,1,0,0,0,0,2,1,2,0,0,0
"341","Chr2-22365434","LOC_Os02g37030",120,53,76,82,21,57,109,99,86,20,35,17,44,47,46,6,23,15
"342","Chr2-22365325","LOC_Os02g37030",53,54,49,83,89,77,97,99,99,48,49,46,73,79,80,11,58,177
"343","Chr2-23768598","LOC_Os02g39384",5,17,10,7,5,4,0,0,0,1,0,0,0,0,0,0,0,0
"344","Chr2-23768788","LOC_Os02g39384",0,5,2,3,12,5,1,1,1,0,0,0,0,0,1,0,0,0
"345","Chr2-23768996","LOC_Os02g39384",0,0,0,3,1,1,0,0,0,3,0,3,0,0,7,4,0,4
"346","Chr2-24976333","LOC_Os02g41630",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,0
"347","Chr2-24973449","LOC_Os02g41630",187,127,82,147,218,191,12065,11514,11477,11145,11593,11132,8777,8943,8238,4643,5050,737
"348","Chr2-24985293","LOC_Os02g41650",427,447,417,448,366,238,2658,2690,2696,2829,2377,2714,7280,5478,6743,544,848,1112
"349","Chr2-24989309","LOC_Os02g41650",2,12,6,2,2,0,1,1,1,10,10,9,40,30,44,0,0,0
"350","Chr2-24988736","LOC_Os02g41650",0,0,0,1,1,1,10,11,10,36,43,45,59,47,52,7,5,5
"351","Chr2-24984870","LOC_Os02g41650",1,2,2,0,1,0,0,1,1,0,2,1,13,7,7,0,0,0
"352","Chr2-24985579","LOC_Os02g41650",3,3,3,3,2,1,1,3,5,21,18,39,9,10,12,0,0,0
"353","Chr2-24988487","LOC_Os02g41650",1,1,0,0,0,0,0,6,1,5,6,7,25,24,27,9,19,6
"354","Chr2-25252915","LOC_Os02g42020",0,1,0,1,3,4,0,0,0,3,4,3,7,5,2,0,0,0
"355","Chr2-25250919","LOC_Os02g42020",0,1,0,2,0,0,0,0,1,4,2,3,0,2,0,0,0,0
"356","Chr2-25243157","LOC_Os02g42020",9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"357","Chr2-25242586","LOC_Os02g42020",298,206,200,214,184,250,120,121,114,63,52,54,138,137,140,47,8,5
"358","Chr2-25251004","LOC_Os02g42020",9,14,21,13,16,16,7,11,7,10,10,9,12,11,13,4,1,1
"359","Chr2+25400795","LOC_Os02g42220",0,0,0,2,2,1,4,6,5,11,8,10,1,1,1,0,0,0
"360","Chr2+25404079","LOC_Os02g42220",0,0,0,12,18,24,16,16,16,13,12,19,0,1,2,3,2,5
"361","Chr2+25404328","LOC_Os02g42220",0,0,0,0,0,0,0,5,4,1,1,1,0,0,0,0,0,0
"362","Chr2+25404210","LOC_Os02g42220",3,3,10,79,78,73,215,191,203,135,135,137,33,36,32,19,9,11
"363","Chr2+26519762","LOC_Os02g43930",16,21,4,9,6,6,1,1,2,1,0,0,0,0,1,0,0,0
"364","Chr2+26523221","LOC_Os02g43930",758,1111,770,1341,1938,1405,626,675,703,186,232,213,468,422,437,753,448,271
"365","Chr2-26866894","LOC_Os02g44380",1,4,2,0,0,0,0,0,0,2,2,0,1,0,0,14,15,2
"366","Chr2-26866526","LOC_Os02g44380",0,0,2,0,0,0,0,0,0,0,0,0,4,1,2,380,54,126
"367","Chr2-26875346","LOC_Os02g44380",0,1,0,0,0,0,0,0,0,3,3,4,0,1,0,2,3,1
"368","Chr2+27389105","LOC_Os02g45150",51,15,38,33,34,40,0,0,0,2,4,3,0,0,0,0,0,0
"369","Chr2+27387494","LOC_Os02g45150",1,4,3,5,5,7,6,4,6,9,3,4,2,2,2,0,0,0
"370","Chr2+27387677","LOC_Os02g45150",15,14,15,19,20,20,5,3,2,5,5,4,4,3,3,0,0,0
"371","Chr2-28109647","LOC_Os02g46120",4,3,4,0,0,2,0,1,1,1,0,0,0,1,0,0,0,0
"372","Chr2-28109106","LOC_Os02g46120",4,1,0,2,2,1,0,0,0,0,1,1,2,0,0,0,0,0
"373","Chr2-28108635","LOC_Os02g46120",8,1,1,2,7,4,0,0,1,1,1,0,4,2,5,1,1,2
"374","Chr2-28109791","LOC_Os02g46120",5,5,3,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0
"375","Chr2+28118869","LOC_Os02g46130",0,2,1,2,4,2,4,8,2,9,12,10,4,4,3,0,0,0
"376","Chr2+28118978","LOC_Os02g46130",4,9,6,9,22,14,4,6,6,13,13,14,13,15,13,0,0,0
"377","Chr2+28118684","LOC_Os02g46130",207,197,157,80,88,78,63,65,68,176,166,138,84,80,84,85,47,47
"378","Chr2-28290012","LOC_Os02g46440",0,0,0,1,1,3,1,1,1,0,0,1,0,0,1,0,0,0
"379","Chr2-28289764","LOC_Os02g46440",0,0,0,2,1,1,2,3,2,7,3,6,3,1,4,1,1,0
"380","Chr2-28290945","LOC_Os02g46440",1,0,0,4,8,10,30,26,29,11,16,18,12,6,7,0,0,1
"381","Chr2-28480797","LOC_Os02g46660",1,1,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0
"382","Chr2-28480842","LOC_Os02g46660",0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0
"383","Chr2-28480903","LOC_Os02g46660",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"384","Chr2-28478685","LOC_Os02g46660",13,19,15,21,16,25,134,120,122,44,42,53,23,15,17,40,27,58
"385","Chr2-29226666","LOC_Os02g47790",0,0,0,1,1,0,0,0,0,8,11,13,17,17,14,0,0,0
"386","Chr2-29228191","LOC_Os02g47790",4,3,6,5,1,0,1,0,0,1,1,0,3,0,2,0,0,1
"387","Chr2+29801902","LOC_Os02g48680",0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0
"388","Chr2+29801621","LOC_Os02g48680",31,57,63,72,96,51,39,44,52,47,61,64,28,31,28,57,80,28
"389","Chr2+30448040","LOC_Os02g49820",2,0,1,2,1,0,8,9,8,4,2,1,5,0,0,26,5,12
"390","Chr2+30445332","LOC_Os02g49820",2,7,2,4,1,2,0,1,1,8,3,2,3,2,3,6,6,11
"391","Chr2+30447973","LOC_Os02g49820",3,1,2,10,4,10,7,9,8,1,8,1,0,1,0,17,18,4
"392","Chr2-31120619","LOC_Os02g50910",0,0,0,0,0,1,0,0,1,18,19,18,21,8,9,184,421,371
"393","Chr2-31123299","LOC_Os02g50910",2,3,1,0,1,3,1,1,1,2,1,1,1,0,0,12,0,9
"394","Chr2-31123156","LOC_Os02g50910",0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,3
"395","Chr2-31538242","LOC_Os02g51500",1,1,2,3,2,3,4,0,1,2,6,5,2,0,5,0,0,0
"396","Chr2-31535365","LOC_Os02g51500",172,217,164,151,152,151,256,247,248,285,283,321,285,277,190,36,89,61
"397","Chr2-31535306","LOC_Os02g51500",13,13,16,33,29,34,63,60,53,107,110,113,104,83,96,5,2,1
"398","Chr2+32961389","LOC_Os02g53810",6,7,5,1,3,1,4,1,3,4,7,2,5,4,5,0,0,0
"399","Chr2+32961350","LOC_Os02g53810",21,7,16,7,6,8,6,1,2,13,13,13,12,10,30,54,22,6
"400","Chr2+33727675","LOC_Os02g55060",228,347,380,218,344,307,838,853,807,334,315,322,433,386,369,242,267,285
"401","Chr2+33727915","LOC_Os02g55060",9,5,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0
"402","Chr2+33728174","LOC_Os02g55060",1,9,1,1,4,0,2,2,2,0,0,0,1,0,2,0,0,0
"403","Chr2+33733905","LOC_Os02g55070",0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0
"404","Chr2+33733819","LOC_Os02g55070",1,0,0,1,0,1,8,1,4,0,0,0,0,0,0,0,0,1
"405","Chr2+33729982","LOC_Os02g55070",1,0,0,6,0,3,0,0,0,1,0,1,0,0,0,8,14,14
"406","Chr2-34915930","LOC_Os02g56980",48,37,59,54,69,71,27,16,24,19,19,15,33,37,31,0,0,0
"407","Chr2-34916000","LOC_Os02g56980",4,9,7,2,2,1,2,0,1,0,1,0,0,0,0,0,0,0
"408","Chr2+35004795","LOC_Os02g57150",45,143,98,106,119,62,56,52,55,140,148,151,88,91,76,139,149,132
"409","Chr2+35004132","LOC_Os02g57150",4,3,4,1,1,2,5,3,1,3,5,2,4,5,2,0,18,23
"410","Chr2+35004918","LOC_Os02g57150",3,0,4,2,3,3,2,2,1,10,5,10,3,7,4,0,0,0
"411","Chr2+35683362","LOC_Os02g58330",0,0,0,0,0,0,1,0,0,0,1,1,1,1,2,0,2,3
"412","Chr2+35683539","LOC_Os02g58330",0,0,0,1,1,0,0,2,0,1,1,1,0,0,0,135,30,93
"413","Chr2+35806327","LOC_Os02g58570",31,21,32,47,38,30,58,59,60,28,27,29,47,37,30,231,621,278
"414","Chr2+35806783","LOC_Os02g58570",18,18,19,2,10,6,8,8,8,4,5,2,5,4,5,25,31,26
"415","Chr3+263497","LOC_Os03g01350",10,5,18,17,8,11,2,2,2,3,2,4,2,4,9,0,0,0
"416","Chr3+264263","LOC_Os03g01350",27,8,15,51,54,59,35,25,30,33,33,36,111,82,89,1,31,50
"417","Chr3+263679","LOC_Os03g01350",6,2,2,0,0,0,2,1,0,0,0,0,0,0,0,5,6,5
"418","Chr3+268702","LOC_Os03g01360",0,4,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"419","Chr3+272500","LOC_Os03g01360",20,0,7,1,6,5,4,3,4,1,0,0,0,0,0,4,34,28
"420","Chr3+277286","LOC_Os03g01360",34,29,45,8,23,4,1,3,2,0,1,1,0,3,1,0,0,0
"421","Chr3+272747","LOC_Os03g01360",1,3,3,8,0,4,6,15,7,4,3,4,2,8,8,0,0,0
"422","Chr3+274944","LOC_Os03g01360",1,8,9,0,5,2,1,0,0,1,1,0,0,0,1,0,0,0
"423","Chr3+274763","LOC_Os03g01360",36,38,37,88,112,120,54,54,58,22,26,29,46,45,41,28,11,4
"424","Chr3+274995","LOC_Os03g01360",11,7,12,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0
"425","Chr3+270943","LOC_Os03g01360",0,0,2,0,0,3,1,2,1,0,0,0,2,3,2,2,3,1
"426","Chr3+272581","LOC_Os03g01360",37,32,43,36,32,45,43,38,51,13,20,13,29,3,34,3,4,6
"427","Chr3-356966","LOC_Os03g01570",0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"428","Chr3-356870","LOC_Os03g01570",72,66,63,13,13,13,90,95,94,34,34,35,8,17,21,100,55,87
"429","Chr3-560631","LOC_Os03g01910",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0
"430","Chr3-560194","LOC_Os03g01910",3,2,3,2,1,7,0,1,0,7,7,5,1,1,1,0,0,0
"431","Chr3-560399","LOC_Os03g01910",646,716,631,681,676,680,403,413,421,744,686,815,551,539,516,288,138,123
"432","Chr3+909800","LOC_Os03g02480",0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"433","Chr3+909945","LOC_Os03g02480",31,22,24,41,52,12,20,21,23,53,34,43,15,27,15,83,40,35
"434","Chr3-1499663","LOC_Os03g03470",1,9,11,6,1,2,12,11,10,2,1,0,0,0,0,119,27,21
"435","Chr3-1500269","LOC_Os03g03470",2,0,0,5,1,2,0,0,0,1,0,0,0,0,0,0,0,0
"436","Chr3-1499971","LOC_Os03g03470",0,1,1,0,0,1,0,0,1,2,2,2,0,0,0,0,0,0
"437","Chr3-1720577","LOC_Os03g03830",0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"438","Chr3-1720157","LOC_Os03g03830",117,128,114,88,119,102,146,135,152,170,169,104,82,88,107,62,103,38
"439","Chr3+1833036","LOC_Os03g04020",194,339,151,586,269,327,1218,1064,1064,107,95,87,476,608,546,70,884,68
"440","Chr3+1833109","LOC_Os03g04020",1,3,0,0,0,0,6,7,6,2,1,0,15,9,11,0,0,0
"441","Chr3+1833465","LOC_Os03g04020",4,5,12,0,1,0,2,1,1,0,0,0,1,0,2,0,0,0
"442","Chr3-1948391","LOC_Os03g04240",0,0,0,0,0,0,0,0,0,4,4,6,3,2,1,36,8,12
"443","Chr3-1948315","LOC_Os03g04240",4,1,2,0,0,1,0,0,0,73,52,46,42,37,53,0,0,0
"444","Chr3+2101873","LOC_Os03g04500",5,3,0,0,1,7,2,1,1,1,1,1,4,2,0,0,0,0
"445","Chr3+2102000","LOC_Os03g04500",7,11,5,11,6,9,2,9,4,8,8,8,16,9,17,9,28,43
"446","Chr3+2875165","LOC_Os03g05760",42,30,47,3,0,1,1,0,3,1,0,0,34,25,47,2,2,1
"447","Chr3+2875336","LOC_Os03g05760",30,33,28,31,29,38,14,24,35,22,15,21,299,341,324,6,84,4
"448","Chr3+2871223","LOC_Os03g05760",0,0,0,2,0,0,0,0,0,0,0,0,20,11,16,0,0,0
"449","Chr3+2871081","LOC_Os03g05760",5,1,1,0,0,0,4,0,2,0,0,0,2,0,4,12,4,2
"450","Chr3+3189514","LOC_Os03g06370",5,5,12,3,16,0,1,0,1,1,1,2,2,4,2,0,0,0
"451","Chr3+3188701","LOC_Os03g06370",4,1,1,0,0,0,0,0,0,2,2,2,0,5,0,0,0,0
"452","Chr3+3189326","LOC_Os03g06370",3,7,8,16,5,7,7,11,5,4,0,2,1,0,0,13,11,7
"453","Chr3-3931613","LOC_Os03g07739",7,20,23,1,0,0,5,5,5,0,2,0,2,1,2,0,0,0
"454","Chr3-3931348","LOC_Os03g07739",23,17,31,15,24,29,19,23,37,23,20,24,9,5,9,1,0,20
"455","Chr3-3931235","LOC_Os03g07739",0,0,0,2,2,5,3,0,2,6,5,0,1,6,4,0,0,0
"456","Chr3+3983476","LOC_Os03g07820",1,1,5,1,1,1,0,0,0,0,1,4,4,0,6,26,29,12
"457","Chr3+3983550","LOC_Os03g07820",0,5,8,5,2,5,5,2,3,18,18,19,13,13,14,2,1,1
"458","Chr3+3983387","LOC_Os03g07820",2,2,0,0,0,0,0,1,1,1,1,2,0,0,0,11,6,1
"459","Chr3-4946381","LOC_Os03g09930",18,45,31,13,26,19,67,70,63,6,7,8,14,13,9,72,28,47
"460","Chr3-4952855","LOC_Os03g09930",3,1,2,8,12,2,4,4,4,0,1,0,1,3,1,3,1,4
"461","Chr3-4953231","LOC_Os03g09930",2,18,12,17,25,27,43,45,51,6,4,7,9,10,7,126,467,377
"462","Chr3-5297912","LOC_Os03g10400",0,4,2,1,0,0,0,0,0,1,0,0,0,0,0,16,53,33
"463","Chr3-5298414","LOC_Os03g10400",2,3,4,0,4,3,0,0,0,0,0,0,0,1,0,0,0,0
"464","Chr3-5297295","LOC_Os03g10400",16,39,12,45,36,48,77,47,36,26,28,32,23,22,22,11,34,13
"465","Chr3-5297655","LOC_Os03g10400",33,23,17,42,4,14,12,17,18,25,16,22,12,13,14,2,7,1
