"","chrstrandcoord","gene","leaf_20days1","leaf_20days2","leaf_20days3","leaf_60days1","leaf_60days2","leaf_60days3","stem_60days1","stem_60days2","stem_60days3","root_60days1","root_60days2","root_60days3","anther1","anther2","anther3","pistil1","pistil2","pistil3"
"233","Chr1+38332591","LOC_Os01g66050",25,35,60,45,46,35,31,33,30,24,35,17,45,51,46,47,56,34
"234","Chr1+38332293","LOC_Os01g66050",0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1
"235","Chr1-38400569","LOC_Os01g66120",0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0,1,0
"236","Chr1-38399973","LOC_Os01g66120",0,0,0,0,1,0,1,1,1,1,0,3,1,0,1,0,0,0
"237","Chr1-38398218","LOC_Os01g66120",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"238","Chr1-38400637","LOC_Os01g66120",0,0,0,0,1,2,0,0,0,0,0,3,3,1,2,0,0,0
"239","Chr1-38398994","LOC_Os01g66120",730,656,694,1271,1087,1237,890,883,865,1921,1855,1913,552,560,588,265,295,236
"240","Chr1+39863578","LOC_Os01g68640",0,7,0,0,0,0,3,1,1,4,2,5,5,8,6,6,5,3
"241","Chr1+39863436","LOC_Os01g68640",0,0,0,0,0,0,1,1,0,2,1,2,12,7,16,3,3,4
"242","Chr1+40920737","LOC_Os01g70670",41,58,46,43,43,45,41,31,43,25,26,3,10,5,13,24,11,7
"243","Chr1+40918499","LOC_Os01g70670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"244","Chr1+40920606","LOC_Os01g70670",78,36,49,73,84,54,112,93,94,46,38,95,69,73,80,99,74,97
"245","Chr1-43072749","LOC_Os01g74350",33,34,27,48,35,29,35,39,50,125,144,113,62,60,72,72,55,78
"246","Chr1-43075776","LOC_Os01g74350",34,10,26,18,21,17,27,27,41,40,33,42,70,75,74,92,95,88
"247","Chr2-1178924","LOC_Os02g03000",0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,3
"248","Chr2-1178890","LOC_Os02g03000",2,0,2,0,5,4,2,1,2,0,1,1,19,8,19,32,29,29
"249","Chr2+1211089","LOC_Os02g03060",11,11,8,6,8,6,18,25,13,26,29,38,15,13,16,36,26,37
"250","Chr2+1210986","LOC_Os02g03060",0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,1
"251","Chr2-1288905","LOC_Os02g03230",2,1,0,2,0,1,0,0,0,0,1,2,2,1,3,0,0,0
"252","Chr2-1289078","LOC_Os02g03230",752,741,816,525,508,530,275,251,227,65,59,60,192,182,196,134,145,137
"253","Chr2-1550782","LOC_Os02g03700",11,14,18,36,27,52,26,39,40,12,15,13,3,2,1,6,3,10
"254","Chr2-1551808","LOC_Os02g03700",0,0,0,0,0,0,0,1,2,1,0,1,1,1,0,0,0,0
"255","Chr2-1551474","LOC_Os02g03700",2,0,0,0,5,6,6,4,1,0,1,1,0,1,0,1,0,0
"256","Chr2-1550645","LOC_Os02g03700",0,2,0,3,5,8,5,4,10,5,2,4,1,1,1,1,4,3
"257","Chr2-1550907","LOC_Os02g03700",0,0,0,1,0,3,4,3,1,1,1,1,0,0,0,0,1,1
"258","Chr2-1551642","LOC_Os02g03700",3,1,0,2,2,3,2,4,1,1,0,0,0,0,0,0,1,0
"259","Chr2-1552766","LOC_Os02g03700",114,128,84,110,89,124,269,308,279,82,92,90,356,365,353,153,143,128
"260","Chr2+2394151","LOC_Os02g05030",0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"261","Chr2+2394322","LOC_Os02g05030",196,221,159,107,106,112,81,141,121,33,27,34,812,795,814,82,84,72
"262","Chr2-3846388","LOC_Os02g07450",0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,4,0,0
"263","Chr2-3846019","LOC_Os02g07450",0,0,0,1,7,8,4,4,2,4,0,4,0,7,5,0,0,0
"264","Chr2-3846222","LOC_Os02g07450",4,57,15,63,80,61,157,125,151,94,78,97,58,58,50,57,78,106
"265","Chr2-4038895","LOC_Os02g07750",0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"266","Chr2-4038492","LOC_Os02g07750",160,97,84,110,128,90,164,206,120,876,980,629,42,72,39,88,86,77
"267","Chr2+5504356","LOC_Os02g10470",104,73,67,40,28,30,2,13,10,5,3,3,758,599,696,51,65,49
"268","Chr2+5504238","LOC_Os02g10470",0,1,5,0,0,0,2,0,2,0,0,0,43,50,38,5,2,1
"269","Chr2-5587263","LOC_Os02g10630",0,0,0,0,0,0,0,0,0,0,0,0,7,6,7,0,0,0
"270","Chr2-5587184","LOC_Os02g10630",2,9,5,5,6,3,0,1,0,0,3,0,464,425,434,11,12,15
"271","Chr2-5930297","LOC_Os02g11070",16,14,4,92,87,83,42,36,34,3938,3871,4031,121,143,8,66,70,70
"272","Chr2-5932387","LOC_Os02g11070",1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"273","Chr2-5955075","LOC_Os02g11110",12,11,17,16,9,14,0,0,0,0,0,0,0,0,0,2,1,0
"274","Chr2-5955681","LOC_Os02g11110",69,70,42,64,53,62,17,17,17,0,0,0,8,9,12,10,10,6
"275","Chr2-5955017","LOC_Os02g11110",1,3,2,8,8,8,0,0,1,0,0,0,0,0,0,0,1,0
"276","Chr2-5955208","LOC_Os02g11110",4,2,6,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0
"277","Chr2-6529691","LOC_Os02g12490",17,17,17,19,19,27,19,20,17,12,12,9,4,5,0,14,12,12
"278","Chr2-6530247","LOC_Os02g12490",56,60,68,34,36,24,33,27,32,24,20,10,14,14,14,36,34,28
"279","Chr2-6532217","LOC_Os02g12490",0,0,1,0,0,1,0,0,1,1,0,0,3,4,2,1,0,0
"280","Chr2-6530886","LOC_Os02g12490",2,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0
"281","Chr2-6530340","LOC_Os02g12490",43,42,40,13,35,41,18,21,22,8,14,22,21,28,25,31,32,25
"282","Chr2+7687331","LOC_Os02g14059",93,84,83,95,117,109,395,457,364,277,276,279,116,127,124,416,318,337
"283","Chr2+7687624","LOC_Os02g14059",0,0,0,0,0,0,0,1,0,2,1,1,0,1,1,0,0,0
"284","Chr2+7682662","LOC_Os02g14059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"285","Chr2+7677787","LOC_Os02g14059",9,3,7,3,4,4,0,0,1,4,0,3,2,23,10,1,1,0
"286","Chr2+8221336","LOC_Os02g14800",0,0,0,2,2,0,1,2,2,0,1,0,1,1,1,2,1,1
"287","Chr2+8217132","LOC_Os02g14800",45,24,38,33,30,30,31,24,26,12,4,7,7,11,8,18,13,9
"288","Chr2+8317184","LOC_Os02g14900",2,3,3,1,1,2,10,9,12,13,19,14,9,9,11,22,20,6
"289","Chr2+8300243","LOC_Os02g14900",4,7,8,1,3,3,2,2,1,3,2,5,3,1,2,1,1,1
"290","Chr2+8316992","LOC_Os02g14900",0,0,0,0,0,0,0,0,0,1,1,1,4,1,2,0,1,0
"291","Chr2+8314499","LOC_Os02g14900",2,0,3,3,0,1,2,1,1,4,3,3,1,1,1,1,1,1
"292","Chr2-8747271","LOC_Os02g15580",0,0,2,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0
"293","Chr2-8747067","LOC_Os02g15580",121,84,99,100,105,109,114,118,115,39,52,48,46,47,54,79,76,77
"294","Chr2+9044660","LOC_Os02g15950",53,66,44,28,21,10,15,18,15,3,3,3,14,15,17,24,20,16
"295","Chr2+9046083","LOC_Os02g15950",78,35,46,28,20,18,9,11,6,1,1,0,16,12,18,9,9,8
"296","Chr2+9044737","LOC_Os02g15950",50,51,43,16,15,18,10,11,3,5,4,3,31,22,25,13,14,12
"297","Chr2-9913486","LOC_Os02g17292",4,1,3,3,3,7,5,3,7,1,3,3,4,5,5,4,11,15
"298","Chr2-9912522","LOC_Os02g17292",3,0,13,5,5,4,11,8,9,8,7,6,11,7,20,8,7,9
"299","Chr2-9913625","LOC_Os02g17292",0,0,6,1,1,1,1,1,2,0,0,1,0,0,0,1,0,1
"300","Chr2-9913669","LOC_Os02g17292",0,1,1,3,1,2,0,0,1,0,5,5,1,1,1,3,4,5
"301","Chr2-11160276","LOC_Os02g19140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"302","Chr2-11157250","LOC_Os02g19140",92,113,134,104,120,105,218,231,231,186,182,188,245,310,308,103,108,100
"303","Chr2-11159684","LOC_Os02g19140",0,0,0,0,1,0,1,1,3,2,1,2,0,0,2,0,0,0
"304","Chr2-15468574","LOC_Os02g26349",0,4,4,6,4,4,7,6,7,15,20,16,6,4,2,14,18,13
"305","Chr2-15468252","LOC_Os02g26349",5,7,10,19,18,19,21,14,12,8,3,8,11,6,10,21,11,13
"306","Chr2+15912986","LOC_Os02g27060",8,7,3,8,7,3,3,3,1,3,1,1,0,4,4,1,1,1
"307","Chr2+15913311","LOC_Os02g27060",1,0,0,0,0,2,0,0,0,0,0,0,3,2,3,1,0,1
"308","Chr2+15915382","LOC_Os02g27060",2,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0
"309","Chr2+15915566","LOC_Os02g27060",313,310,222,114,129,118,73,25,95,19,22,22,83,81,70,32,31,35
"310","Chr2+16442642","LOC_Os02g27760",4,0,0,0,2,1,0,4,1,2,2,1,1,1,0,3,2,0
"311","Chr2+16442552","LOC_Os02g27760",10,1,7,0,2,0,1,2,1,2,0,1,1,1,1,2,2,2
"312","Chr2+16442445","LOC_Os02g27760",251,269,192,384,386,375,836,942,990,1490,1279,1373,449,476,445,1251,1252,1292
"313","Chr2-17244950","LOC_Os02g29130",0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,8,11,8
"314","Chr2-17254219","LOC_Os02g29130",0,4,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0
"315","Chr2+18712002","LOC_Os02g31220",91,88,104,103,96,105,105,74,95,56,84,51,65,79,73,111,131,119
"316","Chr2+18711652","LOC_Os02g31220",7,8,29,10,10,10,19,35,17,14,15,14,13,14,6,22,25,19
"317","Chr2+18706759","LOC_Os02g31220",0,0,0,0,2,1,0,2,2,1,1,0,1,1,0,0,0,0
"318","Chr2+18712273","LOC_Os02g31220",12,13,11,7,5,8,20,3,20,21,24,23,9,6,13,22,8,15
"319","Chr2+18711507","LOC_Os02g31220",1,0,1,1,0,1,2,2,2,1,0,0,0,0,1,4,6,0
"320","Chr2+18711396","LOC_Os02g31220",4,0,9,1,1,1,3,2,4,0,4,3,0,1,2,0,1,1
"321","Chr2-18889903","LOC_Os02g31960",10,8,11,20,14,11,3,5,12,4,3,4,11,5,18,15,8,0
"322","Chr2-18889982","LOC_Os02g31960",2,10,2,6,6,6,6,9,0,3,6,4,5,5,5,27,26,8
"323","Chr2-19309755","LOC_Os02g32590",0,0,0,65,66,64,42,29,34,475,424,413,114,132,101,85,93,83
"324","Chr2-19309512","LOC_Os02g32590",0,0,0,0,1,0,0,0,0,4,4,2,1,6,5,0,1,0
"325","Chr2-19312149","LOC_Os02g32590",0,0,4,0,2,0,1,0,1,38,37,39,6,7,7,13,11,11
"326","Chr2-19406144","LOC_Os02g32690",0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0
"327","Chr2-19415539","LOC_Os02g32690",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"328","Chr2-19405398","LOC_Os02g32690",0,0,0,0,0,0,0,0,0,1,8,6,0,0,0,0,0,0
"329","Chr2-19405267","LOC_Os02g32690",0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0
"330","Chr2-19406584","LOC_Os02g32690",3,0,0,2,1,0,1,0,0,2,2,3,0,0,0,0,0,0
"331","Chr2-19406282","LOC_Os02g32690",0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0
"332","Chr2-19405538","LOC_Os02g32690",0,1,0,1,0,0,0,0,0,1,6,11,0,0,0,0,0,0
"333","Chr2-21411357","LOC_Os02g35590",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"334","Chr2-21410581","LOC_Os02g35590",0,0,3,2,0,0,1,1,1,3,3,4,2,0,1,0,0,0
"335","Chr2-21410854","LOC_Os02g35590",326,291,283,187,209,201,224,221,234,97,124,83,61,47,60,60,54,61
"336","Chr2+21417192","LOC_Os02g35600",175,168,172,148,142,155,119,122,115,30,37,37,81,82,83,205,175,219
"337","Chr2+21414776","LOC_Os02g35600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"338","Chr2+21417451","LOC_Os02g35600",5,2,11,7,4,5,5,4,1,1,1,0,1,0,1,0,0,0
"339","Chr2+21414661","LOC_Os02g35600",0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0
"340","Chr2-22365525","LOC_Os02g37030",2,2,3,2,2,2,0,1,0,2,1,2,1,0,0,1,0,1
"341","Chr2-22365434","LOC_Os02g37030",80,74,104,145,146,82,109,99,86,44,47,46,50,51,53,52,42,35
"342","Chr2-22365325","LOC_Os02g37030",112,107,139,144,137,159,97,99,99,73,79,80,65,74,55,61,60,60
"343","Chr2-23768598","LOC_Os02g39384",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
"344","Chr2-23768788","LOC_Os02g39384",0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,2,2,2
"345","Chr2-23768996","LOC_Os02g39384",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"346","Chr2-24976333","LOC_Os02g41630",3,3,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
"347","Chr2-24973449","LOC_Os02g41630",517,511,491,332,298,336,12065,11514,11477,8777,8943,8238,219,214,262,557,400,380
"348","Chr2-24985293","LOC_Os02g41650",562,561,577,312,300,307,2658,2690,2696,7280,5478,6743,398,402,411,710,726,720
"349","Chr2-24989309","LOC_Os02g41650",1,2,1,1,0,0,1,1,1,40,30,44,0,2,4,1,1,0
"350","Chr2-24988736","LOC_Os02g41650",0,3,0,1,1,0,10,11,10,59,47,52,1,0,0,2,0,1
"351","Chr2-24984870","LOC_Os02g41650",0,0,0,0,0,0,0,1,1,13,7,7,1,1,0,1,3,2
"352","Chr2-24985579","LOC_Os02g41650",0,0,0,0,0,1,1,3,5,9,10,12,6,4,0,1,3,3
"353","Chr2-24988487","LOC_Os02g41650",0,0,0,0,0,0,0,6,1,25,24,27,0,1,0,5,2,4
"354","Chr2-25252915","LOC_Os02g42020",0,0,0,1,0,4,0,0,0,7,5,2,1,1,1,2,3,2
"355","Chr2-25250919","LOC_Os02g42020",2,3,10,0,1,3,0,0,1,0,2,0,0,0,0,2,2,2
"356","Chr2-25243157","LOC_Os02g42020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"357","Chr2-25242586","LOC_Os02g42020",71,85,82,116,116,119,120,121,114,138,137,140,65,55,59,104,109,114
"358","Chr2-25251004","LOC_Os02g42020",10,10,3,13,14,19,7,11,7,12,11,13,2,3,2,11,11,5
"359","Chr2+25400795","LOC_Os02g42220",3,3,2,3,1,4,4,6,5,1,1,1,0,0,0,1,1,2
"360","Chr2+25404079","LOC_Os02g42220",9,11,10,8,6,5,16,16,16,0,1,2,0,0,0,2,3,4
"361","Chr2+25404328","LOC_Os02g42220",3,2,0,0,0,0,0,5,4,0,0,0,1,1,1,0,2,0
"362","Chr2+25404210","LOC_Os02g42220",105,93,99,164,156,161,215,191,203,33,36,32,28,25,19,60,54,57
"363","Chr2+26519762","LOC_Os02g43930",0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,1,2,0
"364","Chr2+26523221","LOC_Os02g43930",211,212,164,335,337,327,626,675,703,468,422,437,493,521,552,628,603,639
"365","Chr2-26866894","LOC_Os02g44380",0,0,1,0,0,0,0,0,0,1,0,0,22,26,29,4,0,0
"366","Chr2-26866526","LOC_Os02g44380",3,1,4,0,0,0,0,0,0,4,1,2,187,148,157,16,14,8
"367","Chr2-26875346","LOC_Os02g44380",0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
"368","Chr2+27389105","LOC_Os02g45150",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"369","Chr2+27387494","LOC_Os02g45150",3,3,1,0,0,0,6,4,6,2,2,2,0,2,1,24,1,23
"370","Chr2+27387677","LOC_Os02g45150",0,0,0,1,0,1,5,3,2,4,3,3,1,1,1,2,3,4
"371","Chr2-28109647","LOC_Os02g46120",6,0,1,1,1,0,0,1,1,0,1,0,0,0,0,3,2,2
"372","Chr2-28109106","LOC_Os02g46120",8,10,6,4,3,1,0,0,0,2,0,0,1,0,0,2,3,2
"373","Chr2-28108635","LOC_Os02g46120",0,0,0,0,0,0,0,0,1,4,2,5,1,1,1,1,2,1
"374","Chr2-28109791","LOC_Os02g46120",1,0,0,2,1,1,0,0,0,0,2,0,3,2,0,6,4,5
"375","Chr2+28118869","LOC_Os02g46130",1,1,1,1,1,0,4,8,2,4,4,3,3,1,0,2,0,0
"376","Chr2+28118978","LOC_Os02g46130",7,5,5,11,9,7,4,6,6,13,15,13,4,4,5,6,4,4
"377","Chr2+28118684","LOC_Os02g46130",54,47,53,57,54,43,63,65,68,84,80,84,65,54,66,97,88,99
"378","Chr2-28290012","LOC_Os02g46440",3,4,3,0,1,5,1,1,1,0,0,1,1,0,1,6,3,2
"379","Chr2-28289764","LOC_Os02g46440",2,2,0,6,1,2,2,3,2,3,1,4,0,1,0,1,1,1
"380","Chr2-28290945","LOC_Os02g46440",60,61,55,104,101,94,30,26,29,12,6,7,22,15,20,58,58,69
"381","Chr2-28480797","LOC_Os02g46660",1,1,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"382","Chr2-28480842","LOC_Os02g46660",1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"383","Chr2-28480903","LOC_Os02g46660",7,7,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"384","Chr2-28478685","LOC_Os02g46660",710,713,754,483,439,458,134,120,122,23,15,17,23,23,14,11,5,6
"385","Chr2-29226666","LOC_Os02g47790",0,0,0,0,0,0,0,0,0,17,17,14,0,0,0,1,2,1
"386","Chr2-29228191","LOC_Os02g47790",1,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0
"387","Chr2+29801902","LOC_Os02g48680",0,0,0,0,0,5,0,0,0,1,1,2,0,0,0,3,3,0
"388","Chr2+29801621","LOC_Os02g48680",41,38,40,45,45,44,39,44,52,28,31,28,68,75,93,65,77,77
"389","Chr2+30448040","LOC_Os02g49820",25,16,14,21,27,17,8,9,8,5,0,0,2,1,1,7,10,11
"390","Chr2+30445332","LOC_Os02g49820",2,6,1,3,0,0,0,1,1,3,2,3,1,1,1,0,0,0
"391","Chr2+30447973","LOC_Os02g49820",3,4,2,21,21,17,7,9,8,0,1,0,7,6,6,24,21,18
"392","Chr2-31120619","LOC_Os02g50910",0,2,0,0,0,0,0,0,1,21,8,9,81,71,85,5,4,4
"393","Chr2-31123299","LOC_Os02g50910",0,0,0,2,3,0,1,1,1,1,0,0,0,0,0,0,0,0
"394","Chr2-31123156","LOC_Os02g50910",1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"395","Chr2-31538242","LOC_Os02g51500",2,3,1,1,2,1,4,0,1,2,0,5,1,5,3,5,5,5
"396","Chr2-31535365","LOC_Os02g51500",309,308,312,334,239,358,256,247,248,285,277,190,102,125,149,80,58,68
"397","Chr2-31535306","LOC_Os02g51500",109,110,88,80,66,87,63,60,53,104,83,96,37,17,39,23,23,5
"398","Chr2+32961389","LOC_Os02g53810",9,3,1,0,0,1,4,1,3,5,4,5,11,12,8,9,10,7
"399","Chr2+32961350","LOC_Os02g53810",7,5,4,1,1,1,6,1,2,12,10,30,36,39,35,27,29,30
"400","Chr2+33727675","LOC_Os02g55060",1799,1874,1789,738,723,709,838,853,807,433,386,369,162,159,178,207,194,196
"401","Chr2+33727915","LOC_Os02g55060",1,4,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2
"402","Chr2+33728174","LOC_Os02g55060",2,0,9,4,0,1,2,2,2,1,0,2,1,0,2,1,1,1
"403","Chr2+33733905","LOC_Os02g55070",0,0,0,0,1,0,4,2,2,0,0,0,2,6,13,0,0,0
"404","Chr2+33733819","LOC_Os02g55070",0,0,0,0,0,0,8,1,4,0,0,0,9,3,6,0,0,0
"405","Chr2+33729982","LOC_Os02g55070",5,6,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"406","Chr2-34915930","LOC_Os02g56980",30,25,33,36,36,53,27,16,24,33,37,31,29,15,36,49,44,50
"407","Chr2-34916000","LOC_Os02g56980",1,1,3,5,0,4,2,0,1,0,0,0,1,0,2,1,0,1
"408","Chr2+35004795","LOC_Os02g57150",34,34,35,32,28,30,56,52,55,88,91,76,100,101,94,95,90,96
"409","Chr2+35004132","LOC_Os02g57150",12,7,8,7,2,9,5,3,1,4,5,2,2,5,3,1,1,1
"410","Chr2+35004918","LOC_Os02g57150",3,4,8,2,1,0,2,2,1,3,7,4,3,4,4,3,5,5
"411","Chr2+35683362","LOC_Os02g58330",0,0,0,1,1,1,1,0,0,1,1,2,2,0,2,1,2,2
"412","Chr2+35683539","LOC_Os02g58330",0,0,0,2,0,2,0,2,0,0,0,0,9,7,5,2,3,0
"413","Chr2+35806327","LOC_Os02g58570",110,95,84,91,64,59,58,59,60,47,37,30,143,137,148,48,47,47
"414","Chr2+35806783","LOC_Os02g58570",6,0,28,11,12,16,8,8,8,5,4,5,9,13,1,4,0,9
"415","Chr3+263497","LOC_Os03g01350",1,8,7,5,4,6,2,2,2,2,4,9,16,15,13,1,0,1
"416","Chr3+264263","LOC_Os03g01350",33,35,37,32,39,30,35,25,30,111,82,89,23,18,23,8,11,12
"417","Chr3+263679","LOC_Os03g01350",0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0
"418","Chr3+268702","LOC_Os03g01360",0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0
"419","Chr3+272500","LOC_Os03g01360",2,2,2,2,1,1,4,3,4,0,0,0,0,0,1,0,0,1
"420","Chr3+277286","LOC_Os03g01360",2,1,2,3,5,0,1,3,2,0,3,1,0,2,0,1,0,1
"421","Chr3+272747","LOC_Os03g01360",7,8,11,3,2,4,6,15,7,2,8,8,0,2,0,0,0,0
"422","Chr3+274944","LOC_Os03g01360",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"423","Chr3+274763","LOC_Os03g01360",50,56,56,65,46,54,54,54,58,46,45,41,9,9,10,6,5,8
"424","Chr3+274995","LOC_Os03g01360",0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"425","Chr3+270943","LOC_Os03g01360",0,2,0,1,0,0,1,2,1,2,3,2,1,1,1,6,7,7
"426","Chr3+272581","LOC_Os03g01360",35,58,47,9,40,59,43,38,51,29,3,34,7,5,10,9,7,9
"427","Chr3-356966","LOC_Os03g01570",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"428","Chr3-356870","LOC_Os03g01570",162,250,193,135,133,136,90,95,94,8,17,21,44,44,47,22,55,50
"429","Chr3-560631","LOC_Os03g01910",0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
"430","Chr3-560194","LOC_Os03g01910",1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0
"431","Chr3-560399","LOC_Os03g01910",324,220,252,280,346,323,403,413,421,551,539,516,200,201,198,500,560,581
"432","Chr3+909800","LOC_Os03g02480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"433","Chr3+909945","LOC_Os03g02480",2,5,1,6,6,7,20,21,23,15,27,15,26,24,34,54,47,31
"434","Chr3-1499663","LOC_Os03g03470",9,3,22,20,21,21,12,11,10,0,0,0,2,3,1,5,4,4
"435","Chr3-1500269","LOC_Os03g03470",7,4,1,2,0,1,0,0,0,0,0,0,1,0,1,4,10,9
"436","Chr3-1499971","LOC_Os03g03470",5,12,9,19,7,12,0,0,1,0,0,0,2,0,2,4,5,3
"437","Chr3-1720577","LOC_Os03g03830",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"438","Chr3-1720157","LOC_Os03g03830",103,100,99,99,127,106,146,135,152,82,88,107,89,83,92,104,93,95
"439","Chr3+1833036","LOC_Os03g04020",502,668,704,869,859,907,1218,1064,1064,476,608,546,80,98,76,138,175,151
"440","Chr3+1833109","LOC_Os03g04020",5,11,8,1,9,5,6,7,6,15,9,11,3,1,3,1,4,0
"441","Chr3+1833465","LOC_Os03g04020",4,4,5,0,1,2,2,1,1,1,0,2,0,0,0,0,0,0
"442","Chr3-1948391","LOC_Os03g04240",0,0,0,0,0,0,0,0,0,3,2,1,0,1,0,1,3,1
"443","Chr3-1948315","LOC_Os03g04240",0,0,0,0,0,0,0,0,0,42,37,53,1,6,0,4,4,2
"444","Chr3+2101873","LOC_Os03g04500",1,1,0,3,3,1,2,1,1,4,2,0,5,5,5,1,0,0
"445","Chr3+2102000","LOC_Os03g04500",10,7,11,9,4,15,2,9,4,16,9,17,54,69,52,10,12,6
"446","Chr3+2875165","LOC_Os03g05760",5,5,1,1,1,1,1,0,3,34,25,47,0,2,0,2,9,3
"447","Chr3+2875336","LOC_Os03g05760",59,55,58,32,63,36,14,24,35,299,341,324,58,46,65,41,47,34
"448","Chr3+2871223","LOC_Os03g05760",0,1,0,1,3,1,0,0,0,20,11,16,0,1,0,0,0,1
"449","Chr3+2871081","LOC_Os03g05760",0,2,4,0,0,0,4,0,2,2,0,4,2,1,2,1,1,1
"450","Chr3+3189514","LOC_Os03g06370",1,0,1,1,11,0,1,0,1,2,4,2,6,5,1,4,3,4
"451","Chr3+3188701","LOC_Os03g06370",0,0,0,0,0,1,0,0,0,0,5,0,3,2,3,2,2,1
"452","Chr3+3189326","LOC_Os03g06370",3,4,3,5,3,5,7,11,5,1,0,0,4,3,9,8,8,6
"453","Chr3-3931613","LOC_Os03g07739",8,9,2,4,3,3,5,5,5,2,1,2,1,3,5,5,7,5
"454","Chr3-3931348","LOC_Os03g07739",13,12,9,28,40,37,19,23,37,9,5,9,20,20,17,38,32,41
"455","Chr3-3931235","LOC_Os03g07739",0,0,2,6,6,0,3,0,2,1,6,4,3,3,1,8,10,1
"456","Chr3+3983476","LOC_Os03g07820",4,4,5,0,0,1,0,0,0,4,0,6,1,0,1,1,2,1
"457","Chr3+3983550","LOC_Os03g07820",5,21,13,15,12,13,5,2,3,13,13,14,4,17,7,4,2,10
"458","Chr3+3983387","LOC_Os03g07820",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"459","Chr3-4946381","LOC_Os03g09930",38,39,38,25,23,27,67,70,63,14,13,9,17,15,27,21,22,24
"460","Chr3-4952855","LOC_Os03g09930",0,0,0,0,2,1,4,4,4,1,3,1,14,9,5,3,2,2
"461","Chr3-4953231","LOC_Os03g09930",5,5,13,7,6,7,43,45,51,9,10,7,66,59,65,22,29,25
"462","Chr3-5297912","LOC_Os03g10400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"463","Chr3-5298414","LOC_Os03g10400",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1
"464","Chr3-5297295","LOC_Os03g10400",52,67,49,38,57,44,77,47,36,23,22,22,41,33,43,54,37,36
"465","Chr3-5297655","LOC_Os03g10400",23,30,25,15,20,15,12,17,18,12,13,14,6,9,11,15,17,21
"466","Chr3-5298441","LOC_Os03g10400",7,0,1,7,1,1,4,5,7,2,3,2,3,3,2,0,1,3
