"","chrstrandcoord","gene","dry_seed1","dry_seed2","dry_seed3","imbibed_seed1","imbibed_seed2","imbibed_seed3","leaf_60days1","leaf_60days2","leaf_60days3","husk1","husk2","husk3","anther1","anther2","anther3","embryo1","embryo2","embryo3"
"233","Chr1+38332591","LOC_Os01g66050",34,44,39,26,12,22,45,46,35,29,39,33,45,51,46,16,24,18
"234","Chr1+38332293","LOC_Os01g66050",0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0
"235","Chr1-38400569","LOC_Os01g66120",0,2,2,0,3,2,0,0,0,0,0,0,0,3,0,1,1,1
"236","Chr1-38399973","LOC_Os01g66120",98,62,111,23,29,25,0,1,0,0,0,0,1,0,1,35,36,43
"237","Chr1-38398218","LOC_Os01g66120",9,7,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3
"238","Chr1-38400637","LOC_Os01g66120",4,10,9,2,0,1,0,1,2,0,0,0,3,1,2,0,1,1
"239","Chr1-38398994","LOC_Os01g66120",2383,2382,1953,646,565,627,1271,1087,1237,566,511,513,552,560,588,1166,1129,1232
"240","Chr1+39863578","LOC_Os01g68640",1,1,3,8,12,6,0,0,0,6,5,5,5,8,6,1,2,1
"241","Chr1+39863436","LOC_Os01g68640",0,7,1,0,0,0,0,0,0,6,9,5,12,7,16,2,1,1
"242","Chr1+40920737","LOC_Os01g70670",9,40,46,27,23,27,43,43,45,33,43,37,10,5,13,19,18,18
"243","Chr1+40918499","LOC_Os01g70670",7,10,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
"244","Chr1+40920606","LOC_Os01g70670",55,128,64,86,93,115,73,84,54,73,52,63,69,73,80,96,92,110
"245","Chr1-43072749","LOC_Os01g74350",16,24,8,26,21,21,48,35,29,64,59,73,62,60,72,38,31,37
"246","Chr1-43075776","LOC_Os01g74350",21,34,44,63,40,46,18,21,17,39,37,38,70,75,74,37,37,37
"247","Chr2-1178924","LOC_Os02g03000",3,4,1,0,0,0,0,0,0,4,4,0,1,1,1,11,9,8
"248","Chr2-1178890","LOC_Os02g03000",2,4,5,4,2,1,0,5,4,14,15,7,19,8,19,8,5,3
"249","Chr2+1211089","LOC_Os02g03060",5,1,1,13,24,6,6,8,6,28,29,30,15,13,16,1,0,0
"250","Chr2+1210986","LOC_Os02g03060",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
"251","Chr2-1288905","LOC_Os02g03230",0,0,0,0,0,0,2,0,1,2,1,0,2,1,3,0,0,0
"252","Chr2-1289078","LOC_Os02g03230",163,161,183,234,216,223,525,508,530,311,316,258,192,182,196,241,187,252
"253","Chr2-1550782","LOC_Os02g03700",2,1,1,9,8,9,36,27,52,3,57,51,3,2,1,1,2,1
"254","Chr2-1551808","LOC_Os02g03700",0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"255","Chr2-1551474","LOC_Os02g03700",0,0,0,0,1,1,0,5,6,2,4,0,0,1,0,0,0,0
"256","Chr2-1550645","LOC_Os02g03700",0,0,0,0,0,0,3,5,8,0,7,7,1,1,1,0,0,0
"257","Chr2-1550907","LOC_Os02g03700",0,0,0,0,0,0,1,0,3,6,3,5,0,0,0,0,0,0
"258","Chr2-1551642","LOC_Os02g03700",3,2,4,0,0,4,2,2,3,0,9,1,0,0,0,1,2,2
"259","Chr2-1552766","LOC_Os02g03700",55,65,35,44,60,46,110,89,124,238,245,235,356,365,353,58,55,54
"260","Chr2+2394151","LOC_Os02g05030",5,9,0,0,0,0,0,2,1,0,0,0,0,0,0,1,2,0
"261","Chr2+2394322","LOC_Os02g05030",24,75,62,26,11,19,107,106,112,156,174,178,812,795,814,60,55,54
"262","Chr2-3846388","LOC_Os02g07450",4,4,4,5,1,5,0,0,0,1,0,0,0,1,0,5,7,7
"263","Chr2-3846019","LOC_Os02g07450",3,1,3,0,0,0,1,7,8,0,0,4,0,7,5,0,4,0
"264","Chr2-3846222","LOC_Os02g07450",90,72,96,199,188,102,63,80,61,63,66,76,58,58,50,114,126,125
"265","Chr2-4038895","LOC_Os02g07750",0,1,0,0,2,0,1,0,0,0,0,0,1,1,1,0,0,0
"266","Chr2-4038492","LOC_Os02g07750",150,169,59,102,134,126,110,128,90,94,120,134,42,72,39,227,226,224
"267","Chr2+5504356","LOC_Os02g10470",9,4,13,6,15,10,40,28,30,71,98,50,758,599,696,11,19,16
"268","Chr2+5504238","LOC_Os02g10470",2,7,6,2,3,3,0,0,0,3,6,6,43,50,38,1,0,3
"269","Chr2-5587263","LOC_Os02g10630",3,4,2,0,0,0,0,0,0,2,1,0,7,6,7,0,0,0
"270","Chr2-5587184","LOC_Os02g10630",8,3,8,0,0,0,5,6,3,46,57,45,464,425,434,1,1,1
"271","Chr2-5930297","LOC_Os02g11070",85,66,60,98,110,110,92,87,83,56,76,68,121,143,8,17,6,6
"272","Chr2-5932387","LOC_Os02g11070",2,2,2,3,0,4,0,0,0,0,0,1,0,0,0,0,0,0
"273","Chr2-5955075","LOC_Os02g11110",1,0,1,0,0,0,16,9,14,0,0,0,0,0,0,0,1,1
"274","Chr2-5955681","LOC_Os02g11110",15,20,13,4,28,11,64,53,62,9,5,9,8,9,12,9,13,8
"275","Chr2-5955017","LOC_Os02g11110",0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0
"276","Chr2-5955208","LOC_Os02g11110",3,5,4,1,1,1,3,3,3,2,2,1,0,0,0,1,0,2
"277","Chr2-6529691","LOC_Os02g12490",0,4,6,9,2,20,19,19,27,16,14,9,4,5,0,5,2,2
"278","Chr2-6530247","LOC_Os02g12490",8,9,8,28,24,23,34,36,24,40,44,39,14,14,14,15,15,16
"279","Chr2-6532217","LOC_Os02g12490",1,1,2,1,3,0,0,0,1,2,2,2,3,4,2,0,0,0
"280","Chr2-6530886","LOC_Os02g12490",0,0,0,1,2,4,0,0,2,0,0,1,0,1,0,0,1,1
"281","Chr2-6530340","LOC_Os02g12490",32,36,47,2,42,0,13,35,41,24,28,31,21,28,25,43,39,47
"282","Chr2+7687331","LOC_Os02g14059",1190,1107,1169,684,946,977,95,117,109,163,178,219,116,127,124,1767,1868,1715
"283","Chr2+7687624","LOC_Os02g14059",2,0,6,2,2,1,0,0,0,0,1,0,0,1,1,4,10,2
"284","Chr2+7682662","LOC_Os02g14059",9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3
"285","Chr2+7677787","LOC_Os02g14059",2,3,11,5,8,4,3,4,4,0,0,2,2,23,10,0,0,0
"286","Chr2+8221336","LOC_Os02g14800",4,4,9,0,0,0,2,2,0,2,6,1,1,1,1,2,2,9
"287","Chr2+8217132","LOC_Os02g14800",9,12,13,132,116,123,33,30,30,7,5,8,7,11,8,12,12,12
"288","Chr2+8317184","LOC_Os02g14900",2,2,2,0,0,1,1,1,2,19,18,15,9,9,11,1,0,1
"289","Chr2+8300243","LOC_Os02g14900",2,2,0,4,3,5,1,3,3,3,0,2,3,1,2,1,1,1
"290","Chr2+8316992","LOC_Os02g14900",0,0,1,1,1,0,0,0,0,1,0,1,4,1,2,0,4,1
"291","Chr2+8314499","LOC_Os02g14900",2,4,2,0,0,0,3,0,1,0,0,0,1,1,1,0,0,0
"292","Chr2-8747271","LOC_Os02g15580",4,2,6,0,0,0,2,1,2,2,1,1,0,0,0,0,6,5
"293","Chr2-8747067","LOC_Os02g15580",98,69,106,43,22,43,100,105,109,86,35,97,46,47,54,72,63,76
"294","Chr2+9044660","LOC_Os02g15950",7,25,19,14,14,15,28,21,10,3,1,10,14,15,17,1,0,1
"295","Chr2+9046083","LOC_Os02g15950",14,11,14,11,11,11,28,20,18,1,6,0,16,12,18,7,15,10
"296","Chr2+9044737","LOC_Os02g15950",4,0,3,8,15,7,16,15,18,13,6,8,31,22,25,2,2,0
"297","Chr2-9913486","LOC_Os02g17292",6,5,1,1,4,3,3,3,7,8,8,9,4,5,5,2,2,4
"298","Chr2-9912522","LOC_Os02g17292",6,2,3,3,2,4,5,5,4,11,9,11,11,7,20,3,3,3
"299","Chr2-9913625","LOC_Os02g17292",0,0,0,0,0,0,1,1,1,4,3,4,0,0,0,1,3,1
"300","Chr2-9913669","LOC_Os02g17292",0,1,0,0,5,3,3,1,2,6,6,5,1,1,1,0,0,0
"301","Chr2-11160276","LOC_Os02g19140",0,2,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0
"302","Chr2-11157250","LOC_Os02g19140",314,334,344,115,129,102,104,120,105,183,146,160,245,310,308,221,270,227
"303","Chr2-11159684","LOC_Os02g19140",12,11,16,9,10,10,0,1,0,2,2,2,0,0,2,5,3,4
"304","Chr2-15468574","LOC_Os02g26349",0,4,0,3,1,1,6,4,4,2,5,8,6,4,2,0,1,0
"305","Chr2-15468252","LOC_Os02g26349",18,18,20,0,0,8,19,18,19,9,8,5,11,6,10,12,14,14
"306","Chr2+15912986","LOC_Os02g27060",26,24,19,4,14,2,8,7,3,0,0,2,0,4,4,1,1,2
"307","Chr2+15913311","LOC_Os02g27060",0,0,0,0,0,0,0,0,2,0,0,1,3,2,3,0,0,0
"308","Chr2+15915382","LOC_Os02g27060",0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,4,0
"309","Chr2+15915566","LOC_Os02g27060",40,41,45,64,12,32,114,129,118,54,26,44,83,81,70,71,102,77
"310","Chr2+16442642","LOC_Os02g27760",2,0,1,0,0,1,0,2,1,2,0,2,1,1,0,3,3,3
"311","Chr2+16442552","LOC_Os02g27760",6,2,5,2,1,0,0,2,0,3,3,3,1,1,1,1,1,1
"312","Chr2+16442445","LOC_Os02g27760",762,682,774,1420,1380,1502,384,386,375,642,726,596,449,476,445,1119,1142,1126
"313","Chr2-17244950","LOC_Os02g29130",0,0,0,0,0,0,0,0,0,8,9,5,3,4,2,0,0,0
"314","Chr2-17254219","LOC_Os02g29130",3,2,0,4,2,5,1,1,0,0,0,0,1,0,0,0,0,0
"315","Chr2+18712002","LOC_Os02g31220",130,165,154,103,114,158,103,96,105,79,79,86,65,79,73,96,80,96
"316","Chr2+18711652","LOC_Os02g31220",18,7,15,46,37,41,10,10,10,14,18,21,13,14,6,25,16,17
"317","Chr2+18706759","LOC_Os02g31220",4,4,5,10,3,8,0,2,1,3,4,2,1,1,0,2,3,3
"318","Chr2+18712273","LOC_Os02g31220",28,31,28,22,43,34,7,5,8,36,22,27,9,6,13,68,67,71
"319","Chr2+18711507","LOC_Os02g31220",1,1,0,0,1,1,1,0,1,0,0,2,0,0,1,0,1,2
"320","Chr2+18711396","LOC_Os02g31220",0,9,10,1,2,3,1,1,1,3,3,3,0,1,2,12,9,5
"321","Chr2-18889903","LOC_Os02g31960",0,0,0,5,5,4,20,14,11,9,15,2,11,5,18,2,2,3
"322","Chr2-18889982","LOC_Os02g31960",13,13,5,12,9,9,6,6,6,6,7,7,5,5,5,14,5,12
"323","Chr2-19309755","LOC_Os02g32590",127,143,122,354,315,437,65,66,64,53,46,36,114,132,101,69,58,105
"324","Chr2-19309512","LOC_Os02g32590",0,0,0,0,0,1,0,1,0,0,0,0,1,6,5,0,1,0
"325","Chr2-19312149","LOC_Os02g32590",51,42,46,22,27,22,0,2,0,1,3,2,6,7,7,16,19,12
"326","Chr2-19406144","LOC_Os02g32690",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"327","Chr2-19415539","LOC_Os02g32690",22,22,17,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1
"328","Chr2-19405398","LOC_Os02g32690",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"329","Chr2-19405267","LOC_Os02g32690",0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0
"330","Chr2-19406584","LOC_Os02g32690",0,0,0,0,1,1,2,1,0,1,2,1,0,0,0,0,0,0
"331","Chr2-19406282","LOC_Os02g32690",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"332","Chr2-19405538","LOC_Os02g32690",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"333","Chr2-21411357","LOC_Os02g35590",1,6,4,1,2,0,1,0,0,3,2,3,0,0,0,5,9,0
"334","Chr2-21410581","LOC_Os02g35590",0,1,0,0,2,0,2,0,0,0,3,0,2,0,1,0,0,0
"335","Chr2-21410854","LOC_Os02g35590",131,176,155,143,132,112,187,209,201,139,240,69,61,47,60,182,197,161
"336","Chr2+21417192","LOC_Os02g35600",99,159,143,116,115,114,148,142,155,93,104,115,81,82,83,259,259,259
"337","Chr2+21414776","LOC_Os02g35600",6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
"338","Chr2+21417451","LOC_Os02g35600",0,1,1,2,2,2,7,4,5,1,2,0,1,0,1,1,1,1
"339","Chr2+21414661","LOC_Os02g35600",13,35,10,1,0,1,0,0,0,0,1,0,0,2,0,13,6,11
"340","Chr2-22365525","LOC_Os02g37030",10,3,1,3,3,0,2,2,2,0,4,1,1,0,0,3,3,3
"341","Chr2-22365434","LOC_Os02g37030",120,53,76,82,21,57,145,146,82,56,47,52,50,51,53,85,89,90
"342","Chr2-22365325","LOC_Os02g37030",53,54,49,83,89,77,144,137,159,60,62,62,65,74,55,65,65,65
"343","Chr2-23768598","LOC_Os02g39384",5,17,10,7,5,4,0,0,0,0,0,0,0,0,0,16,22,16
"344","Chr2-23768788","LOC_Os02g39384",0,5,2,3,12,5,0,0,0,0,0,0,0,0,0,11,12,12
"345","Chr2-23768996","LOC_Os02g39384",0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"346","Chr2-24976333","LOC_Os02g41630",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"347","Chr2-24973449","LOC_Os02g41630",187,127,82,147,218,191,332,298,336,11137,11192,11366,219,214,262,122,116,83
"348","Chr2-24985293","LOC_Os02g41650",427,447,417,448,366,238,312,300,307,1965,2025,2013,398,402,411,373,374,373
"349","Chr2-24989309","LOC_Os02g41650",2,12,6,2,2,0,1,0,0,0,0,0,0,2,4,1,0,1
"350","Chr2-24988736","LOC_Os02g41650",0,0,0,1,1,1,1,1,0,8,7,5,1,0,0,0,0,0
"351","Chr2-24984870","LOC_Os02g41650",1,2,2,0,1,0,0,0,0,4,1,1,1,1,0,0,2,3
"352","Chr2-24985579","LOC_Os02g41650",3,3,3,3,2,1,0,0,1,53,52,58,6,4,0,1,0,0
"353","Chr2-24988487","LOC_Os02g41650",1,1,0,0,0,0,0,0,0,2,1,3,0,1,0,0,0,1
"354","Chr2-25252915","LOC_Os02g42020",0,1,0,1,3,4,1,0,4,0,2,3,1,1,1,0,18,50
"355","Chr2-25250919","LOC_Os02g42020",0,1,0,2,0,0,0,1,3,1,1,1,0,0,0,0,0,0
"356","Chr2-25243157","LOC_Os02g42020",9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,15,11,0
"357","Chr2-25242586","LOC_Os02g42020",298,206,200,214,184,250,116,116,119,127,107,111,65,55,59,221,218,220
"358","Chr2-25251004","LOC_Os02g42020",9,14,21,13,16,16,13,14,19,7,7,12,2,3,2,10,11,9
"359","Chr2+25400795","LOC_Os02g42220",0,0,0,2,2,1,3,1,4,15,14,17,0,0,0,0,0,0
"360","Chr2+25404079","LOC_Os02g42220",0,0,0,12,18,24,8,6,5,21,25,31,0,0,0,10,2,5
"361","Chr2+25404328","LOC_Os02g42220",0,0,0,0,0,0,0,0,0,3,0,3,1,1,1,0,0,0
"362","Chr2+25404210","LOC_Os02g42220",3,3,10,79,78,73,164,156,161,217,188,203,28,25,19,21,21,21
"363","Chr2+26519762","LOC_Os02g43930",16,21,4,9,6,6,0,0,0,0,0,0,0,0,0,9,16,14
"364","Chr2+26523221","LOC_Os02g43930",758,1111,770,1341,1938,1405,335,337,327,334,335,325,493,521,552,904,898,910
"365","Chr2-26866894","LOC_Os02g44380",1,4,2,0,0,0,0,0,0,0,0,2,22,26,29,0,0,0
"366","Chr2-26866526","LOC_Os02g44380",0,0,2,0,0,0,0,0,0,6,6,8,187,148,157,1,0,2
"367","Chr2-26875346","LOC_Os02g44380",0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
"368","Chr2+27389105","LOC_Os02g45150",51,15,38,33,34,40,0,0,0,0,0,0,0,0,0,1,1,0
"369","Chr2+27387494","LOC_Os02g45150",1,4,3,5,5,7,0,0,0,1,0,0,0,2,1,3,3,0
"370","Chr2+27387677","LOC_Os02g45150",15,14,15,19,20,20,1,0,1,10,6,10,1,1,1,4,1,0
"371","Chr2-28109647","LOC_Os02g46120",4,3,4,0,0,2,1,1,0,2,1,0,0,0,0,7,10,2
"372","Chr2-28109106","LOC_Os02g46120",4,1,0,2,2,1,4,3,1,1,0,2,1,0,0,2,0,1
"373","Chr2-28108635","LOC_Os02g46120",8,1,1,2,7,4,0,0,0,1,3,4,1,1,1,1,2,0
"374","Chr2-28109791","LOC_Os02g46120",5,5,3,0,1,3,2,1,1,2,2,1,3,2,0,5,4,5
"375","Chr2+28118869","LOC_Os02g46130",0,2,1,2,4,2,1,1,0,0,4,2,3,1,0,2,0,1
"376","Chr2+28118978","LOC_Os02g46130",4,9,6,9,22,14,11,9,7,6,4,6,4,4,5,3,5,4
"377","Chr2+28118684","LOC_Os02g46130",207,197,157,80,88,78,57,54,43,96,99,95,65,54,66,164,170,232
"378","Chr2-28290012","LOC_Os02g46440",0,0,0,1,1,3,0,1,5,4,3,3,1,0,1,0,0,0
"379","Chr2-28289764","LOC_Os02g46440",0,0,0,2,1,1,6,1,2,8,3,2,0,1,0,4,4,2
"380","Chr2-28290945","LOC_Os02g46440",1,0,0,4,8,10,104,101,94,27,9,29,22,15,20,7,2,3
"381","Chr2-28480797","LOC_Os02g46660",1,1,1,2,4,1,1,0,2,0,1,0,0,0,0,0,0,0
"382","Chr2-28480842","LOC_Os02g46660",0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0
"383","Chr2-28480903","LOC_Os02g46660",0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
"384","Chr2-28478685","LOC_Os02g46660",13,19,15,21,16,25,483,439,458,31,54,57,23,23,14,10,9,10
"385","Chr2-29226666","LOC_Os02g47790",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"386","Chr2-29228191","LOC_Os02g47790",4,3,6,5,1,0,0,0,0,0,1,0,0,0,0,0,1,1
"387","Chr2+29801902","LOC_Os02g48680",0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,1,3,0
"388","Chr2+29801621","LOC_Os02g48680",31,57,63,72,96,51,45,45,44,27,29,33,68,75,93,42,66,53
"389","Chr2+30448040","LOC_Os02g49820",2,0,1,2,1,0,21,27,17,9,3,0,2,1,1,1,3,2
"390","Chr2+30445332","LOC_Os02g49820",2,7,2,4,1,2,3,0,0,1,2,3,1,1,1,2,2,0
"391","Chr2+30447973","LOC_Os02g49820",3,1,2,10,4,10,21,21,17,12,12,12,7,6,6,31,37,18
"392","Chr2-31120619","LOC_Os02g50910",0,0,0,0,0,1,0,0,0,0,7,2,81,71,85,0,0,0
"393","Chr2-31123299","LOC_Os02g50910",2,3,1,0,1,3,2,3,0,0,2,2,0,0,0,0,0,0
"394","Chr2-31123156","LOC_Os02g50910",0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
"395","Chr2-31538242","LOC_Os02g51500",1,1,2,3,2,3,1,2,1,6,6,0,1,5,3,3,6,3
"396","Chr2-31535365","LOC_Os02g51500",172,217,164,151,152,151,334,239,358,127,138,141,102,125,149,104,118,152
"397","Chr2-31535306","LOC_Os02g51500",13,13,16,33,29,34,80,66,87,78,84,67,37,17,39,6,9,8
"398","Chr2+32961389","LOC_Os02g53810",6,7,5,1,3,1,0,0,1,5,4,6,11,12,8,0,1,0
"399","Chr2+32961350","LOC_Os02g53810",21,7,16,7,6,8,1,1,1,37,27,29,36,39,35,5,0,1
"400","Chr2+33727675","LOC_Os02g55060",228,347,380,218,344,307,738,723,709,614,743,548,162,159,178,292,298,269
"401","Chr2+33727915","LOC_Os02g55060",9,5,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0
"402","Chr2+33728174","LOC_Os02g55060",1,9,1,1,4,0,4,0,1,2,3,4,1,0,2,7,5,5
"403","Chr2+33733905","LOC_Os02g55070",0,0,0,0,0,0,0,1,0,0,0,1,2,6,13,0,0,0
"404","Chr2+33733819","LOC_Os02g55070",1,0,0,1,0,1,0,0,0,0,0,0,9,3,6,0,0,0
"405","Chr2+33729982","LOC_Os02g55070",1,0,0,6,0,3,2,1,1,0,0,0,0,0,0,0,0,0
"406","Chr2-34915930","LOC_Os02g56980",48,37,59,54,69,71,36,36,53,60,67,63,29,15,36,59,85,95
"407","Chr2-34916000","LOC_Os02g56980",4,9,7,2,2,1,5,0,4,3,2,2,1,0,2,18,41,38
"408","Chr2+35004795","LOC_Os02g57150",45,143,98,106,119,62,32,28,30,56,51,71,100,101,94,88,149,104
"409","Chr2+35004132","LOC_Os02g57150",4,3,4,1,1,2,7,2,9,3,3,3,2,5,3,2,2,1
"410","Chr2+35004918","LOC_Os02g57150",3,0,4,2,3,3,2,1,0,0,0,0,3,4,4,3,0,0
"411","Chr2+35683362","LOC_Os02g58330",0,0,0,0,0,0,1,1,1,0,0,0,2,0,2,6,0,2
"412","Chr2+35683539","LOC_Os02g58330",0,0,0,1,1,0,2,0,2,1,2,1,9,7,5,1,1,2
"413","Chr2+35806327","LOC_Os02g58570",31,21,32,47,38,30,91,64,59,37,41,41,143,137,148,20,22,21
"414","Chr2+35806783","LOC_Os02g58570",18,18,19,2,10,6,11,12,16,1,4,0,9,13,1,15,17,20
"415","Chr3+263497","LOC_Os03g01350",10,5,18,17,8,11,5,4,6,0,1,1,16,15,13,6,12,20
"416","Chr3+264263","LOC_Os03g01350",27,8,15,51,54,59,32,39,30,3,6,2,23,18,23,8,9,14
"417","Chr3+263679","LOC_Os03g01350",6,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3
"418","Chr3+268702","LOC_Os03g01360",0,4,1,1,4,0,1,1,5,0,0,0,0,0,0,13,0,1
"419","Chr3+272500","LOC_Os03g01360",20,0,7,1,6,5,2,1,1,0,0,0,0,0,1,8,0,8
"420","Chr3+277286","LOC_Os03g01360",34,29,45,8,23,4,3,5,0,0,0,0,0,2,0,38,37,26
"421","Chr3+272747","LOC_Os03g01360",1,3,3,8,0,4,3,2,4,2,2,2,0,2,0,5,5,4
"422","Chr3+274944","LOC_Os03g01360",1,8,9,0,5,2,0,0,0,0,0,0,0,0,0,9,15,11
"423","Chr3+274763","LOC_Os03g01360",36,38,37,88,112,120,65,46,54,6,6,5,9,9,10,45,41,42
"424","Chr3+274995","LOC_Os03g01360",11,7,12,1,3,4,1,0,1,0,0,0,0,0,0,16,17,16
"425","Chr3+270943","LOC_Os03g01360",0,0,2,0,0,3,1,0,0,1,3,11,1,1,1,0,3,0
"426","Chr3+272581","LOC_Os03g01360",37,32,43,36,32,45,9,40,59,1,2,7,7,5,10,37,33,26
"427","Chr3-356966","LOC_Os03g01570",0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0
"428","Chr3-356870","LOC_Os03g01570",72,66,63,13,13,13,135,133,136,79,74,70,44,44,47,49,32,6
"429","Chr3-560631","LOC_Os03g01910",0,0,0,0,0,0,0,0,1,3,4,1,0,0,0,0,0,0
"430","Chr3-560194","LOC_Os03g01910",3,2,3,2,1,7,0,0,0,0,2,2,1,1,0,3,3,3
"431","Chr3-560399","LOC_Os03g01910",646,716,631,681,676,680,280,346,323,278,422,361,200,201,198,555,587,639
"432","Chr3+909800","LOC_Os03g02480",0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"433","Chr3+909945","LOC_Os03g02480",31,22,24,41,52,12,6,6,7,23,17,25,26,24,34,62,62,62
"434","Chr3-1499663","LOC_Os03g03470",1,9,11,6,1,2,20,21,21,17,13,16,2,3,1,6,7,5
"435","Chr3-1500269","LOC_Os03g03470",2,0,0,5,1,2,2,0,1,1,2,0,1,0,1,0,0,0
"436","Chr3-1499971","LOC_Os03g03470",0,1,1,0,0,1,19,7,12,5,5,7,2,0,2,2,8,5
"437","Chr3-1720577","LOC_Os03g03830",0,4,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"438","Chr3-1720157","LOC_Os03g03830",117,128,114,88,119,102,99,127,106,82,78,81,89,83,92,138,141,146
"439","Chr3+1833036","LOC_Os03g04020",194,339,151,586,269,327,869,859,907,366,427,440,80,98,76,236,193,247
"440","Chr3+1833109","LOC_Os03g04020",1,3,0,0,0,0,1,9,5,3,1,2,3,1,3,0,0,0
"441","Chr3+1833465","LOC_Os03g04020",4,5,12,0,1,0,0,1,2,2,4,6,0,0,0,0,1,0
"442","Chr3-1948391","LOC_Os03g04240",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"443","Chr3-1948315","LOC_Os03g04240",4,1,2,0,0,1,0,0,0,1,2,2,1,6,0,0,0,0
"444","Chr3+2101873","LOC_Os03g04500",5,3,0,0,1,7,3,3,1,1,2,2,5,5,5,5,3,2
"445","Chr3+2102000","LOC_Os03g04500",7,11,5,11,6,9,9,4,15,20,20,19,54,69,52,5,5,8
"446","Chr3+2875165","LOC_Os03g05760",42,30,47,3,0,1,1,1,1,0,0,0,0,2,0,20,19,18
"447","Chr3+2875336","LOC_Os03g05760",30,33,28,31,29,38,32,63,36,32,26,28,58,46,65,33,33,33
"448","Chr3+2871223","LOC_Os03g05760",0,0,0,2,0,0,1,3,1,2,0,0,0,1,0,0,0,0
"449","Chr3+2871081","LOC_Os03g05760",5,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5
"450","Chr3+3189514","LOC_Os03g06370",5,5,12,3,16,0,1,11,0,0,2,0,6,5,1,9,8,15
"451","Chr3+3188701","LOC_Os03g06370",4,1,1,0,0,0,0,0,1,0,0,0,3,2,3,0,0,0
"452","Chr3+3189326","LOC_Os03g06370",3,7,8,16,5,7,5,3,5,3,2,2,4,3,9,7,18,7
"453","Chr3-3931613","LOC_Os03g07739",7,20,23,1,0,0,4,3,3,3,2,2,1,3,5,20,19,22
"454","Chr3-3931348","LOC_Os03g07739",23,17,31,15,24,29,28,40,37,12,9,12,20,20,17,45,44,43
"455","Chr3-3931235","LOC_Os03g07739",0,0,0,2,2,5,6,6,0,2,0,3,3,3,1,1,1,1
"456","Chr3+3983476","LOC_Os03g07820",1,1,5,1,1,1,0,0,1,1,4,0,1,0,1,4,5,5
"457","Chr3+3983550","LOC_Os03g07820",0,5,8,5,2,5,15,12,13,8,3,4,4,17,7,0,0,0
"458","Chr3+3983387","LOC_Os03g07820",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
"459","Chr3-4946381","LOC_Os03g09930",18,45,31,13,26,19,25,23,27,46,25,30,17,15,27,55,55,54
"460","Chr3-4952855","LOC_Os03g09930",3,1,2,8,12,2,0,2,1,1,2,2,14,9,5,9,4,5
"461","Chr3-4953231","LOC_Os03g09930",2,18,12,17,25,27,7,6,7,18,32,10,66,59,65,16,2,24
"462","Chr3-5297912","LOC_Os03g10400",0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"463","Chr3-5298414","LOC_Os03g10400",2,3,4,0,4,3,0,0,0,0,2,2,1,1,0,0,0,0
"464","Chr3-5297295","LOC_Os03g10400",16,39,12,45,36,48,38,57,44,28,30,26,41,33,43,42,48,24
"465","Chr3-5297655","LOC_Os03g10400",33,23,17,42,4,14,15,20,15,15,15,14,6,9,11,4,12,8
"466","Chr3-5298441","LOC_Os03g10400",1,1,2,11,4,3,7,1,1,6,2,4,3,3,2,3,9,3
