"","chrstrandcoord","gene","imbibed_seed1","imbibed_seed2","imbibed_seed3","shoot1","shoot2","shoot3","leaf_20days1","leaf_20days2","leaf_20days3","leaf_60days1","leaf_60days2","leaf_60days3","stem_60days1","stem_60days2","stem_60days3","mature_pollen1","mature_pollen2","mature_pollen3"
"232","Chr1-38208579","LOC_Os01g65790",2,0,4,1,8,5,11,12,10,12,1,3,3,1,4,14,90,48
"233","Chr1+38332591","LOC_Os01g66050",26,12,22,22,21,34,25,35,60,45,46,35,31,33,30,92,125,32
"234","Chr1+38332293","LOC_Os01g66050",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"235","Chr1-38400569","LOC_Os01g66120",0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"236","Chr1-38399973","LOC_Os01g66120",23,29,25,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0
"237","Chr1-38398218","LOC_Os01g66120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"238","Chr1-38400637","LOC_Os01g66120",2,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
"239","Chr1-38398994","LOC_Os01g66120",646,565,627,169,172,154,730,656,694,1271,1087,1237,890,883,865,509,303,597
"240","Chr1+39863578","LOC_Os01g68640",8,12,6,2,7,12,0,7,0,0,0,0,3,1,1,0,0,0
"241","Chr1+39863436","LOC_Os01g68640",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,9,2
"242","Chr1+40920737","LOC_Os01g70670",27,23,27,21,19,22,41,58,46,43,43,45,41,31,43,26,34,22
"243","Chr1+40918499","LOC_Os01g70670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"244","Chr1+40920606","LOC_Os01g70670",86,93,115,53,45,74,78,36,49,73,84,54,112,93,94,122,110,95
"245","Chr1-43072749","LOC_Os01g74350",26,21,21,41,51,43,33,34,27,48,35,29,35,39,50,123,35,11
"246","Chr1-43075776","LOC_Os01g74350",63,40,46,22,23,38,34,10,26,18,21,17,27,27,41,41,12,127
"247","Chr2-1178924","LOC_Os02g03000",0,0,0,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0
"248","Chr2-1178890","LOC_Os02g03000",4,2,1,8,6,15,2,0,2,0,5,4,2,1,2,0,0,0
"249","Chr2+1211089","LOC_Os02g03060",13,24,6,35,29,29,11,11,8,6,8,6,18,25,13,12,62,4
"250","Chr2+1210986","LOC_Os02g03060",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"251","Chr2-1288905","LOC_Os02g03230",0,0,0,2,6,4,2,1,0,2,0,1,0,0,0,0,0,0
"252","Chr2-1289078","LOC_Os02g03230",234,216,223,729,500,702,752,741,816,525,508,530,275,251,227,300,209,281
"253","Chr2-1550782","LOC_Os02g03700",9,8,9,8,6,9,11,14,18,36,27,52,26,39,40,155,3,3
"254","Chr2-1551808","LOC_Os02g03700",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,45,4,10
"255","Chr2-1551474","LOC_Os02g03700",0,1,1,0,0,0,2,0,0,0,5,6,6,4,1,0,0,0
"256","Chr2-1550645","LOC_Os02g03700",0,0,0,2,4,3,0,2,0,3,5,8,5,4,10,0,1,2
"257","Chr2-1550907","LOC_Os02g03700",0,0,0,0,0,0,0,0,0,1,0,3,4,3,1,0,0,0
"258","Chr2-1551642","LOC_Os02g03700",0,0,4,0,2,0,3,1,0,2,2,3,2,4,1,15,43,1
"259","Chr2-1552766","LOC_Os02g03700",44,60,46,144,113,95,114,128,84,110,89,124,269,308,279,46,313,236
"260","Chr2+2394151","LOC_Os02g05030",0,0,0,1,3,3,0,0,0,0,2,1,0,0,0,0,1,0
"261","Chr2+2394322","LOC_Os02g05030",26,11,19,123,121,114,196,221,159,107,106,112,81,141,121,810,856,443
"262","Chr2-3846388","LOC_Os02g07450",5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"263","Chr2-3846019","LOC_Os02g07450",0,0,0,1,0,0,0,0,0,1,7,8,4,4,2,0,0,0
"264","Chr2-3846222","LOC_Os02g07450",199,188,102,25,17,33,4,57,15,63,80,61,157,125,151,0,250,58
"265","Chr2-4038895","LOC_Os02g07750",0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,2,6,3
"266","Chr2-4038492","LOC_Os02g07750",102,134,126,160,129,151,160,97,84,110,128,90,164,206,120,72,62,58
"267","Chr2+5504356","LOC_Os02g10470",6,15,10,76,43,23,104,73,67,40,28,30,2,13,10,324,134,236
"268","Chr2+5504238","LOC_Os02g10470",2,3,3,1,0,1,0,1,5,0,0,0,2,0,2,41,33,25
"269","Chr2-5587263","LOC_Os02g10630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"270","Chr2-5587184","LOC_Os02g10630",0,0,0,2,6,3,2,9,5,5,6,3,0,1,0,589,790,716
"271","Chr2-5930297","LOC_Os02g11070",98,110,110,30,13,24,16,14,4,92,87,83,42,36,34,231,478,438
"272","Chr2-5932387","LOC_Os02g11070",3,0,4,0,2,1,1,2,0,0,0,0,0,1,0,26,16,21
"273","Chr2-5955075","LOC_Os02g11110",0,0,0,1,6,5,12,11,17,16,9,14,0,0,0,0,0,0
"274","Chr2-5955681","LOC_Os02g11110",4,28,11,107,92,91,69,70,42,64,53,62,17,17,17,29,9,36
"275","Chr2-5955017","LOC_Os02g11110",0,0,0,1,0,0,1,3,2,8,8,8,0,0,1,0,0,0
"276","Chr2-5955208","LOC_Os02g11110",1,1,1,2,6,1,4,2,6,3,3,3,0,0,0,0,0,0
"277","Chr2-6529691","LOC_Os02g12490",9,2,20,4,5,4,17,17,17,19,19,27,19,20,17,10,23,12
"278","Chr2-6530247","LOC_Os02g12490",28,24,23,20,30,24,56,60,68,34,36,24,33,27,32,14,7,17
"279","Chr2-6532217","LOC_Os02g12490",1,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"280","Chr2-6530886","LOC_Os02g12490",1,2,4,1,2,0,2,0,0,0,0,2,0,0,0,37,7,14
"281","Chr2-6530340","LOC_Os02g12490",2,42,0,13,15,17,43,42,40,13,35,41,18,21,22,9,6,16
"282","Chr2+7687331","LOC_Os02g14059",684,946,977,168,187,181,93,84,83,95,117,109,395,457,364,237,221,116
"283","Chr2+7687624","LOC_Os02g14059",2,2,1,2,1,2,0,0,0,0,0,0,0,1,0,15,2,4
"284","Chr2+7682662","LOC_Os02g14059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"285","Chr2+7677787","LOC_Os02g14059",5,8,4,5,11,5,9,3,7,3,4,4,0,0,1,16,14,1
"286","Chr2+8221336","LOC_Os02g14800",0,0,0,2,1,3,0,0,0,2,2,0,1,2,2,0,0,0
"287","Chr2+8217132","LOC_Os02g14800",132,116,123,20,22,20,45,24,38,33,30,30,31,24,26,1,2,6
"288","Chr2+8317184","LOC_Os02g14900",0,0,1,9,11,9,2,3,3,1,1,2,10,9,12,0,1,0
"289","Chr2+8300243","LOC_Os02g14900",4,3,5,9,5,1,4,7,8,1,3,3,2,2,1,1,3,1
"290","Chr2+8316992","LOC_Os02g14900",1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"291","Chr2+8314499","LOC_Os02g14900",0,0,0,2,2,4,2,0,3,3,0,1,2,1,1,2,9,1
"292","Chr2-8747271","LOC_Os02g15580",0,0,0,0,0,0,0,0,2,2,1,2,0,0,1,0,0,0
"293","Chr2-8747067","LOC_Os02g15580",43,22,43,111,88,92,121,84,99,100,105,109,114,118,115,19,19,14
"294","Chr2+9044660","LOC_Os02g15950",14,14,15,5,7,7,53,66,44,28,21,10,15,18,15,4,20,11
"295","Chr2+9046083","LOC_Os02g15950",11,11,11,3,3,4,78,35,46,28,20,18,9,11,6,28,62,36
"296","Chr2+9044737","LOC_Os02g15950",8,15,7,9,14,4,50,51,43,16,15,18,10,11,3,6,1,6
"297","Chr2-9913486","LOC_Os02g17292",1,4,3,5,3,1,4,1,3,3,3,7,5,3,7,8,1,4
"298","Chr2-9912522","LOC_Os02g17292",3,2,4,11,16,16,3,0,13,5,5,4,11,8,9,0,0,0
"299","Chr2-9913625","LOC_Os02g17292",0,0,0,1,2,2,0,0,6,1,1,1,1,1,2,0,0,0
"300","Chr2-9913669","LOC_Os02g17292",0,5,3,0,0,1,0,1,1,3,1,2,0,0,1,0,0,0
"301","Chr2-11160276","LOC_Os02g19140",1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3
"302","Chr2-11157250","LOC_Os02g19140",115,129,102,240,227,230,92,113,134,104,120,105,218,231,231,299,292,317
"303","Chr2-11159684","LOC_Os02g19140",9,10,10,2,4,0,0,0,0,0,1,0,1,1,3,0,0,0
"304","Chr2-15468574","LOC_Os02g26349",3,1,1,2,19,16,0,4,4,6,4,4,7,6,7,0,0,0
"305","Chr2-15468252","LOC_Os02g26349",0,0,8,7,7,10,5,7,10,19,18,19,21,14,12,1,2,7
"306","Chr2+15912986","LOC_Os02g27060",4,14,2,3,2,6,8,7,3,8,7,3,3,3,1,0,0,0
"307","Chr2+15913311","LOC_Os02g27060",0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
"308","Chr2+15915382","LOC_Os02g27060",1,1,1,1,1,2,2,0,0,0,0,0,0,1,0,0,0,0
"309","Chr2+15915566","LOC_Os02g27060",64,12,32,43,47,46,313,310,222,114,129,118,73,25,95,64,33,70
"310","Chr2+16442642","LOC_Os02g27760",0,0,1,0,0,0,4,0,0,0,2,1,0,4,1,0,0,0
"311","Chr2+16442552","LOC_Os02g27760",2,1,0,4,2,2,10,1,7,0,2,0,1,2,1,0,0,0
"312","Chr2+16442445","LOC_Os02g27760",1420,1380,1502,1086,1135,1179,251,269,192,384,386,375,836,942,990,603,581,547
"313","Chr2-17244950","LOC_Os02g29130",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"314","Chr2-17254219","LOC_Os02g29130",4,2,5,4,0,1,0,4,1,1,1,0,0,1,1,14,2,12
"315","Chr2+18712002","LOC_Os02g31220",103,114,158,79,72,83,91,88,104,103,96,105,105,74,95,15,89,80
"316","Chr2+18711652","LOC_Os02g31220",46,37,41,5,6,17,7,8,29,10,10,10,19,35,17,66,5,115
"317","Chr2+18706759","LOC_Os02g31220",10,3,8,1,0,0,0,0,0,0,2,1,0,2,2,0,0,0
"318","Chr2+18712273","LOC_Os02g31220",22,43,34,16,22,15,12,13,11,7,5,8,20,3,20,0,1,4
"319","Chr2+18711507","LOC_Os02g31220",0,1,1,0,1,0,1,0,1,1,0,1,2,2,2,0,0,0
"320","Chr2+18711396","LOC_Os02g31220",1,2,3,0,3,1,4,0,9,1,1,1,3,2,4,0,0,0
"321","Chr2-18889903","LOC_Os02g31960",5,5,4,8,7,14,10,8,11,20,14,11,3,5,12,0,0,0
"322","Chr2-18889982","LOC_Os02g31960",12,9,9,5,6,0,2,10,2,6,6,6,6,9,0,48,4,27
"323","Chr2-19309755","LOC_Os02g32590",354,315,437,7,6,17,0,0,0,65,66,64,42,29,34,118,19,64
"324","Chr2-19309512","LOC_Os02g32590",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"325","Chr2-19312149","LOC_Os02g32590",22,27,22,0,1,2,0,0,4,0,2,0,1,0,1,0,0,0
"326","Chr2-19406144","LOC_Os02g32690",0,0,0,0,1,1,0,0,0,0,0,0,1,2,1,0,0,0
"327","Chr2-19415539","LOC_Os02g32690",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,9,4
"328","Chr2-19405398","LOC_Os02g32690",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"329","Chr2-19405267","LOC_Os02g32690",1,2,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"330","Chr2-19406584","LOC_Os02g32690",0,1,1,0,1,0,3,0,0,2,1,0,1,0,0,0,0,0
"331","Chr2-19406282","LOC_Os02g32690",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"332","Chr2-19405538","LOC_Os02g32690",0,0,0,1,8,15,0,1,0,1,0,0,0,0,0,0,0,0
"333","Chr2-21411357","LOC_Os02g35590",1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"334","Chr2-21410581","LOC_Os02g35590",0,2,0,0,0,1,0,0,3,2,0,0,1,1,1,0,0,1
"335","Chr2-21410854","LOC_Os02g35590",143,132,112,126,129,118,326,291,283,187,209,201,224,221,234,61,235,230
"336","Chr2+21417192","LOC_Os02g35600",116,115,114,79,104,89,175,168,172,148,142,155,119,122,115,58,9,47
"337","Chr2+21414776","LOC_Os02g35600",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"338","Chr2+21417451","LOC_Os02g35600",2,2,2,0,1,1,5,2,11,7,4,5,5,4,1,4,22,9
"339","Chr2+21414661","LOC_Os02g35600",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"340","Chr2-22365525","LOC_Os02g37030",3,3,0,0,0,0,2,2,3,2,2,2,0,1,0,0,0,0
"341","Chr2-22365434","LOC_Os02g37030",82,21,57,49,43,46,80,74,104,145,146,82,109,99,86,6,23,15
"342","Chr2-22365325","LOC_Os02g37030",83,89,77,75,69,65,112,107,139,144,137,159,97,99,99,11,58,177
"343","Chr2-23768598","LOC_Os02g39384",7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"344","Chr2-23768788","LOC_Os02g39384",3,12,5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"345","Chr2-23768996","LOC_Os02g39384",3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
"346","Chr2-24976333","LOC_Os02g41630",0,0,0,1,0,0,3,3,1,0,0,0,0,0,0,4,4,0
"347","Chr2-24973449","LOC_Os02g41630",147,218,191,8704,7994,8252,517,511,491,332,298,336,12065,11514,11477,4643,5050,737
"348","Chr2-24985293","LOC_Os02g41650",448,366,238,2844,2916,2962,562,561,577,312,300,307,2658,2690,2696,544,848,1112
"349","Chr2-24989309","LOC_Os02g41650",2,2,0,11,12,10,1,2,1,1,0,0,1,1,1,0,0,0
"350","Chr2-24988736","LOC_Os02g41650",1,1,1,76,58,76,0,3,0,1,1,0,10,11,10,7,5,5
"351","Chr2-24984870","LOC_Os02g41650",0,1,0,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0
"352","Chr2-24985579","LOC_Os02g41650",3,2,1,16,11,15,0,0,0,0,0,1,1,3,5,0,0,0
"353","Chr2-24988487","LOC_Os02g41650",0,0,0,32,28,29,0,0,0,0,0,0,0,6,1,9,19,6
"354","Chr2-25252915","LOC_Os02g42020",1,3,4,5,6,9,0,0,0,1,0,4,0,0,0,0,0,0
"355","Chr2-25250919","LOC_Os02g42020",2,0,0,1,6,9,2,3,10,0,1,3,0,0,1,0,0,0
"356","Chr2-25243157","LOC_Os02g42020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"357","Chr2-25242586","LOC_Os02g42020",214,184,250,43,46,43,71,85,82,116,116,119,120,121,114,47,8,5
"358","Chr2-25251004","LOC_Os02g42020",13,16,16,3,10,7,10,10,3,13,14,19,7,11,7,4,1,1
"359","Chr2+25400795","LOC_Os02g42220",2,2,1,12,9,3,3,3,2,3,1,4,4,6,5,0,0,0
"360","Chr2+25404079","LOC_Os02g42220",12,18,24,16,16,16,9,11,10,8,6,5,16,16,16,3,2,5
"361","Chr2+25404328","LOC_Os02g42220",0,0,0,0,1,4,3,2,0,0,0,0,0,5,4,0,0,0
"362","Chr2+25404210","LOC_Os02g42220",79,78,73,177,169,146,105,93,99,164,156,161,215,191,203,19,9,11
"363","Chr2+26519762","LOC_Os02g43930",9,6,6,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0
"364","Chr2+26523221","LOC_Os02g43930",1341,1938,1405,176,193,149,211,212,164,335,337,327,626,675,703,753,448,271
"365","Chr2-26866894","LOC_Os02g44380",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,15,2
"366","Chr2-26866526","LOC_Os02g44380",0,0,0,3,5,5,3,1,4,0,0,0,0,0,0,380,54,126
"367","Chr2-26875346","LOC_Os02g44380",0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,2,3,1
"368","Chr2+27389105","LOC_Os02g45150",33,34,40,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
"369","Chr2+27387494","LOC_Os02g45150",5,5,7,11,9,11,3,3,1,0,0,0,6,4,6,0,0,0
"370","Chr2+27387677","LOC_Os02g45150",19,20,20,4,1,2,0,0,0,1,0,1,5,3,2,0,0,0
"371","Chr2-28109647","LOC_Os02g46120",0,0,2,0,0,0,6,0,1,1,1,0,0,1,1,0,0,0
"372","Chr2-28109106","LOC_Os02g46120",2,2,1,1,0,0,8,10,6,4,3,1,0,0,0,0,0,0
"373","Chr2-28108635","LOC_Os02g46120",2,7,4,2,2,2,0,0,0,0,0,0,0,0,1,1,1,2
"374","Chr2-28109791","LOC_Os02g46120",0,1,3,1,0,0,1,0,0,2,1,1,0,0,0,0,0,0
"375","Chr2+28118869","LOC_Os02g46130",2,4,2,1,4,2,1,1,1,1,1,0,4,8,2,0,0,0
"376","Chr2+28118978","LOC_Os02g46130",9,22,14,7,7,7,7,5,5,11,9,7,4,6,6,0,0,0
"377","Chr2+28118684","LOC_Os02g46130",80,88,78,63,74,102,54,47,53,57,54,43,63,65,68,85,47,47
"378","Chr2-28290012","LOC_Os02g46440",1,1,3,7,5,7,3,4,3,0,1,5,1,1,1,0,0,0
"379","Chr2-28289764","LOC_Os02g46440",2,1,1,16,20,9,2,2,0,6,1,2,2,3,2,1,1,0
"380","Chr2-28290945","LOC_Os02g46440",4,8,10,195,159,206,60,61,55,104,101,94,30,26,29,0,0,1
"381","Chr2-28480797","LOC_Os02g46660",2,4,1,0,0,0,1,1,4,1,0,2,0,0,0,0,0,0
"382","Chr2-28480842","LOC_Os02g46660",0,5,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
"383","Chr2-28480903","LOC_Os02g46660",0,0,2,0,0,0,7,7,11,0,0,1,0,0,0,0,0,0
"384","Chr2-28478685","LOC_Os02g46660",21,16,25,78,83,97,710,713,754,483,439,458,134,120,122,40,27,58
"385","Chr2-29226666","LOC_Os02g47790",1,1,0,11,14,17,0,0,0,0,0,0,0,0,0,0,0,0
"386","Chr2-29228191","LOC_Os02g47790",5,1,0,3,2,1,1,0,0,0,0,0,1,0,0,0,0,1
"387","Chr2+29801902","LOC_Os02g48680",0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0
"388","Chr2+29801621","LOC_Os02g48680",72,96,51,29,30,31,41,38,40,45,45,44,39,44,52,57,80,28
"389","Chr2+30448040","LOC_Os02g49820",2,1,0,0,7,7,25,16,14,21,27,17,8,9,8,26,5,12
"390","Chr2+30445332","LOC_Os02g49820",4,1,2,2,3,3,2,6,1,3,0,0,0,1,1,6,6,11
"391","Chr2+30447973","LOC_Os02g49820",10,4,10,20,30,18,3,4,2,21,21,17,7,9,8,17,18,4
"392","Chr2-31120619","LOC_Os02g50910",0,0,1,11,19,10,0,2,0,0,0,0,0,0,1,184,421,371
"393","Chr2-31123299","LOC_Os02g50910",0,1,3,2,0,4,0,0,0,2,3,0,1,1,1,12,0,9
"394","Chr2-31123156","LOC_Os02g50910",0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,2,3
"395","Chr2-31538242","LOC_Os02g51500",3,2,3,0,0,1,2,3,1,1,2,1,4,0,1,0,0,0
"396","Chr2-31535365","LOC_Os02g51500",151,152,151,270,205,242,309,308,312,334,239,358,256,247,248,36,89,61
"397","Chr2-31535306","LOC_Os02g51500",33,29,34,51,57,55,109,110,88,80,66,87,63,60,53,5,2,1
"398","Chr2+32961389","LOC_Os02g53810",1,3,1,5,9,6,9,3,1,0,0,1,4,1,3,0,0,0
"399","Chr2+32961350","LOC_Os02g53810",7,6,8,10,14,13,7,5,4,1,1,1,6,1,2,54,22,6
"400","Chr2+33727675","LOC_Os02g55060",218,344,307,650,550,592,1799,1874,1789,738,723,709,838,853,807,242,267,285
"401","Chr2+33727915","LOC_Os02g55060",0,0,0,3,0,2,1,4,2,0,0,0,1,1,1,0,0,0
"402","Chr2+33728174","LOC_Os02g55060",1,4,0,0,2,0,2,0,9,4,0,1,2,2,2,0,0,0
"403","Chr2+33733905","LOC_Os02g55070",0,0,0,0,1,0,0,0,0,0,1,0,4,2,2,0,0,0
"404","Chr2+33733819","LOC_Os02g55070",1,0,1,0,0,0,0,0,0,0,0,0,8,1,4,0,0,1
"405","Chr2+33729982","LOC_Os02g55070",6,0,3,0,1,0,5,6,0,2,1,1,0,0,0,8,14,14
"406","Chr2-34915930","LOC_Os02g56980",54,69,71,14,7,21,30,25,33,36,36,53,27,16,24,0,0,0
"407","Chr2-34916000","LOC_Os02g56980",2,2,1,0,0,0,1,1,3,5,0,4,2,0,1,0,0,0
"408","Chr2+35004795","LOC_Os02g57150",106,119,62,63,81,69,34,34,35,32,28,30,56,52,55,139,149,132
"409","Chr2+35004132","LOC_Os02g57150",1,1,2,2,3,3,12,7,8,7,2,9,5,3,1,0,18,23
"410","Chr2+35004918","LOC_Os02g57150",2,3,3,3,2,2,3,4,8,2,1,0,2,2,1,0,0,0
"411","Chr2+35683362","LOC_Os02g58330",0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,3
"412","Chr2+35683539","LOC_Os02g58330",1,1,0,0,0,1,0,0,0,2,0,2,0,2,0,135,30,93
"413","Chr2+35806327","LOC_Os02g58570",47,38,30,30,30,27,110,95,84,91,64,59,58,59,60,231,621,278
"414","Chr2+35806783","LOC_Os02g58570",2,10,6,4,5,3,6,0,28,11,12,16,8,8,8,25,31,26
"415","Chr3+263497","LOC_Os03g01350",17,8,11,2,7,4,1,8,7,5,4,6,2,2,2,0,0,0
"416","Chr3+264263","LOC_Os03g01350",51,54,59,53,52,51,33,35,37,32,39,30,35,25,30,1,31,50
"417","Chr3+263679","LOC_Os03g01350",0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,5,6,5
"418","Chr3+268702","LOC_Os03g01360",1,4,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0
"419","Chr3+272500","LOC_Os03g01360",1,6,5,1,0,4,2,2,2,2,1,1,4,3,4,4,34,28
"420","Chr3+277286","LOC_Os03g01360",8,23,4,1,1,1,2,1,2,3,5,0,1,3,2,0,0,0
"421","Chr3+272747","LOC_Os03g01360",8,0,4,11,5,3,7,8,11,3,2,4,6,15,7,0,0,0
"422","Chr3+274944","LOC_Os03g01360",0,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"423","Chr3+274763","LOC_Os03g01360",88,112,120,48,43,37,50,56,56,65,46,54,54,54,58,28,11,4
"424","Chr3+274995","LOC_Os03g01360",1,3,4,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0
"425","Chr3+270943","LOC_Os03g01360",0,0,3,0,0,0,0,2,0,1,0,0,1,2,1,2,3,1
"426","Chr3+272581","LOC_Os03g01360",36,32,45,16,29,24,35,58,47,9,40,59,43,38,51,3,4,6
"427","Chr3-356966","LOC_Os03g01570",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"428","Chr3-356870","LOC_Os03g01570",13,13,13,86,79,77,162,250,193,135,133,136,90,95,94,100,55,87
"429","Chr3-560631","LOC_Os03g01910",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"430","Chr3-560194","LOC_Os03g01910",2,1,7,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0
"431","Chr3-560399","LOC_Os03g01910",681,676,680,649,592,636,324,220,252,280,346,323,403,413,421,288,138,123
"432","Chr3+909800","LOC_Os03g02480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"433","Chr3+909945","LOC_Os03g02480",41,52,12,12,25,21,2,5,1,6,6,7,20,21,23,83,40,35
"434","Chr3-1499663","LOC_Os03g03470",6,1,2,67,73,62,9,3,22,20,21,21,12,11,10,119,27,21
"435","Chr3-1500269","LOC_Os03g03470",5,1,2,5,5,8,7,4,1,2,0,1,0,0,0,0,0,0
"436","Chr3-1499971","LOC_Os03g03470",0,0,1,71,66,68,5,12,9,19,7,12,0,0,1,0,0,0
"437","Chr3-1720577","LOC_Os03g03830",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"438","Chr3-1720157","LOC_Os03g03830",88,119,102,137,134,127,103,100,99,99,127,106,146,135,152,62,103,38
"439","Chr3+1833036","LOC_Os03g04020",586,269,327,195,164,170,502,668,704,869,859,907,1218,1064,1064,70,884,68
"440","Chr3+1833109","LOC_Os03g04020",0,0,0,6,0,0,5,11,8,1,9,5,6,7,6,0,0,0
"441","Chr3+1833465","LOC_Os03g04020",0,1,0,0,0,0,4,4,5,0,1,2,2,1,1,0,0,0
"442","Chr3-1948391","LOC_Os03g04240",0,0,0,8,16,14,0,0,0,0,0,0,0,0,0,36,8,12
"443","Chr3-1948315","LOC_Os03g04240",0,0,1,54,47,66,0,0,0,0,0,0,0,0,0,0,0,0
"444","Chr3+2101873","LOC_Os03g04500",0,1,7,0,0,0,1,1,0,3,3,1,2,1,1,0,0,0
"445","Chr3+2102000","LOC_Os03g04500",11,6,9,4,12,5,10,7,11,9,4,15,2,9,4,9,28,43
"446","Chr3+2875165","LOC_Os03g05760",3,0,1,0,0,1,5,5,1,1,1,1,1,0,3,2,2,1
"447","Chr3+2875336","LOC_Os03g05760",31,29,38,29,26,24,59,55,58,32,63,36,14,24,35,6,84,4
"448","Chr3+2871223","LOC_Os03g05760",2,0,0,0,0,1,0,1,0,1,3,1,0,0,0,0,0,0
"449","Chr3+2871081","LOC_Os03g05760",0,0,0,1,0,0,0,2,4,0,0,0,4,0,2,12,4,2
"450","Chr3+3189514","LOC_Os03g06370",3,16,0,0,2,2,1,0,1,1,11,0,1,0,1,0,0,0
"451","Chr3+3188701","LOC_Os03g06370",0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"452","Chr3+3189326","LOC_Os03g06370",16,5,7,1,1,1,3,4,3,5,3,5,7,11,5,13,11,7
"453","Chr3-3931613","LOC_Os03g07739",1,0,0,0,1,0,8,9,2,4,3,3,5,5,5,0,0,0
"454","Chr3-3931348","LOC_Os03g07739",15,24,29,27,24,26,13,12,9,28,40,37,19,23,37,1,0,20
"455","Chr3-3931235","LOC_Os03g07739",2,2,5,4,1,5,0,0,2,6,6,0,3,0,2,0,0,0
"456","Chr3+3983476","LOC_Os03g07820",1,1,1,5,2,5,4,4,5,0,0,1,0,0,0,26,29,12
"457","Chr3+3983550","LOC_Os03g07820",5,2,5,18,16,8,5,21,13,15,12,13,5,2,3,2,1,1
"458","Chr3+3983387","LOC_Os03g07820",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,11,6,1
"459","Chr3-4946381","LOC_Os03g09930",13,26,19,43,42,47,38,39,38,25,23,27,67,70,63,72,28,47
"460","Chr3-4952855","LOC_Os03g09930",8,12,2,0,0,0,0,0,0,0,2,1,4,4,4,3,1,4
"461","Chr3-4953231","LOC_Os03g09930",17,25,27,9,6,4,5,5,13,7,6,7,43,45,51,126,467,377
"462","Chr3-5297912","LOC_Os03g10400",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,53,33
"463","Chr3-5298414","LOC_Os03g10400",0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"464","Chr3-5297295","LOC_Os03g10400",45,36,48,27,25,21,52,67,49,38,57,44,77,47,36,11,34,13
"465","Chr3-5297655","LOC_Os03g10400",42,4,14,13,15,20,23,30,25,15,20,15,12,17,18,2,7,1
